moment,node,bytes_read,bytes_write,io_read,io_write,time_spent_read,time_spent_write
1,2,0,57344,0,2,0,0
1,5,0,71827456,0,39,0,0.0200000000004366
1,3,0,397312,0,33,0,0.00399999999899592
1,1,0,1867776,0,11,0,0.00799999999981083
1,6,0,71778304,0,23,0,0.0119999999988067
1,4,0,298205184,0,47,0,0.0240000000012515
1,7,0,40960,0,4,0,0
2,2,0,57344,0,4,0,0.00399999999899592
2,5,0,0,0,0,0,0
2,3,0,16384,0,2,0,0
2,1,0,16384,0,2,0,0
2,6,0,81920,0,7,0,0.0119999999998157
2,4,0,16384,0,2,0,0
2,7,0,94208,0,14,0,0.128
3,2,0,319488,0,7,0,0.0200000000014313
3,5,0,12288,0,2,0,0
3,3,0,0,0,0,0,0
3,1,0,430080,0,24,0,0.0720000000004291
3,4,0,110592,0,5,0,0.0319999999998117
3,6,0,90112,0,2,0,0.00399999999999068
3,7,0,0,0,0,0,0
4,6,0,68632576,0,540,0,23.116
4,2,0,68792320,0,567,0,20.9959999999992
4,1,0,102514688,0,789,0,53.0360000000001
4,5,0,68575232,0,534,0,20.9519999999993
4,3,0,68542464,0,531,0,29.5320000000011
4,4,0,68681728,0,547,0,23.1440000000002
4,7,0,68521984,0,529,0,23.884
5,2,0,311296,0,26,0,0.24800000000063
5,6,0,299008,0,24,0,0.160000000001446
5,1,0,442368,0,33,0,0.0120000000006257
5,5,0,163840,0,5,0,0.00799999999981083
5,3,0,241664,0,21,0,0.0599999999998033
5,7,0,380928,0,32,0,0.0120000000006257
5,4,0,245760,0,20,0,0.11199999999981
6,2,0,3280896,0,28,0,0.16399999999885
6,6,0,3280896,0,28,0,0.0959999999995489
6,1,0,4935680,0,43,0,0.0999999999989285
6,7,0,3305472,0,30,0,0.0880000000001075
6,5,0,3592192,0,63,0,0.0960000000013679
6,3,0,3305472,0,31,0,0.0599999999994907
6,4,0,3268608,0,26,0,0.111999999999171
7,1,0,380928,0,12,0,0.0320000000006218
7,6,0,385024,0,9,0,0.0239999999994325
7,2,0,421888,0,11,0,0.0120000000006257
7,7,0,413696,0,9,0,0.0199999999986176
7,4,0,503808,0,16,0,0.0200000000006355
7,5,0,454656,0,13,0,0.0359999999988077
7,3,0,319488,0,9,0,0.0600000000006276
8,6,0,647168,0,10,0,0.0120000000006257
8,1,0,471040,0,7,0,0.0120000000006257
8,2,4096,358936576,1,2867,0.0319999999999999,357.172
8,4,0,610304,0,6,0,0.0280000000002474
8,3,0,663552,0,46,0,0.0120000000006257
8,7,0,651264,0,10,0,0.0280000000002474
8,5,0,610304,0,6,0,0.0120000000006257
9,6,0,135680000,0,1039,0,107.103999999999
9,1,0,179695616,0,1497,0,150.748
9,2,0,4788224,0,58,0,0.247999999999593
9,4,0,44703744,0,347,0,17.4319999999989
9,3,0,700416,0,10,0,0.0319999999984333
9,5,0,323584,0,6,0,0.00799999999981083
9,7,0,413696,0,15,0,0.0120000000006257
10,1,0,561152,0,60,0,0.21599999999944
10,6,0,184430592,0,1582,0,169.16
10,2,0,34275328,0,285,0,9.77199999999959
10,4,0,178823168,0,1508,0,173.112000000001
10,3,0,179093504,0,1514,0,162.204
10,5,0,178827264,0,1509,0,161.523999999999
10,7,0,178814976,0,1508,0,164.795999999999
