moment,node,buffer_cache,free,map,used
1,1,11453936,93690080,60552,2339396
1,5,12275204,92457428,60360,2750780
1,3,11779648,93014156,60112,2689608
1,4,11523688,93269840,60208,2689884
1,2,11916400,92934444,60076,2632568
1,6,12014296,92722916,59908,2746200
1,7,12056888,92679756,60112,2746768
2,5,12449784,92035056,72824,2998572
2,1,11497188,93648452,60248,2337772
2,3,11779660,93014380,60112,2689372
2,4,11566916,93227836,60208,2688660
2,2,12048508,92798060,59864,2636844
2,6,12014300,92722984,60212,2746128
2,7,12188996,92550764,60112,2743652
3,5,12449972,91395172,72868,3638268
3,1,11671868,93060636,72868,2750908
3,3,11954232,92387272,72700,3141908
3,4,11741616,92665624,72912,3076172
3,2,12223108,92164272,72628,3096032
3,6,12188940,92170912,72808,3123560
3,7,12363764,91427276,72788,3692372
4,5,12582952,90655456,75148,4245004
4,4,11873512,92022800,72912,3587100
4,1,11803268,92515092,72868,3165052
4,2,12355100,91644036,72664,3484276
4,3,12086116,91811724,72756,3585572
4,6,12320152,91565712,72840,3597548
4,7,12561508,90840108,73452,4081796
5,5,12583164,88970516,77448,5929732
5,3,12087504,90065100,77272,5330808
5,4,11874788,90409212,77460,5199412
5,2,12356264,90076324,77188,5050824
5,1,11805092,90652800,77408,5025520
5,7,12563428,88264816,79576,6655168
5,6,12322072,89989780,77372,5171560
6,5,12583164,87688088,77448,7212160
6,4,11874804,88818928,77460,6789680
6,3,12087764,88733028,77272,6662620
6,2,12356280,88385944,77188,6741188
6,1,11805288,89068888,77408,6609236
6,6,12322080,88226408,77372,6934924
6,7,12563444,86639068,79576,8280900
7,5,12583172,86504716,77448,8395524
7,4,11874812,87354696,77460,8253904
7,3,12088100,87695224,77272,7700088
7,2,12356280,87345688,77188,7781444
7,1,11805616,88178652,77408,7499144
7,6,12322080,87126232,77372,8035100
7,7,12563452,85077520,79576,9842440
8,5,12583172,85759840,77448,9140400
8,3,12088304,87012932,77272,8382176
8,2,12356292,86484624,77188,8642496
8,4,11874812,86682944,77460,8925656
8,1,11805884,87460488,77408,8217040
8,6,12322088,86244372,77372,8916952
8,7,12563452,83590728,79576,11329232
9,5,12583180,85047740,77448,9852492
9,4,11874824,86177268,77460,9431320
9,2,12356312,85614256,77188,9512844
9,3,12088568,85984736,77272,9410108
9,1,11806084,86567260,77408,9110068
9,6,12322096,85730908,77372,9430408
9,7,12563460,82215772,79576,12704180
10,5,12583188,84775568,77448,10124656
10,3,12088892,85570320,77272,9824200
10,2,12356320,85358208,77320,9768884
10,4,11874832,85643600,77460,9964980
