moment,node,buffer_cache,free,map,used
1,6,11280224,93822340,60096,2380848
1,5,11062680,94039324,60208,2381408
1,2,11141724,94042540,59964,2299148
1,3,10834388,94306100,59832,2342924
1,4,10969508,94143020,60080,2370884
1,1,10855112,94268960,60148,2359340
1,7,11073752,94069388,59956,2340272
2,6,11280232,93822464,60096,2380716
2,5,11062768,94039628,60204,2381016
2,2,11141732,94042520,59976,2299160
2,3,11184140,93711432,72680,2587840
2,4,10969516,94143412,59972,2370484
2,1,10855120,94269484,60148,2358808
2,7,11248840,93883476,59956,2351096
3,3,11184528,93111536,72696,3187348
3,6,11454908,93261784,72728,2766720
3,5,11237324,93428196,72608,2817892
3,7,11423856,92798452,72640,3261104
3,2,11316264,93432300,72548,2734848
3,4,11143876,93574848,72384,2764688
3,1,11029660,93690176,72680,2763576
4,7,11622892,92197004,72736,3663516
4,3,11317216,92592040,72728,3574156
4,6,11586848,92564944,72740,3331620
4,5,11369276,92634708,75164,3479428
4,2,11448860,92818808,72576,3215744
4,4,11276336,92938520,72812,3268556
4,1,11161704,93088872,72756,3232836
5,3,11317664,90406704,77236,5759044
5,6,11588124,90671232,77256,5224056
5,7,11623708,89542436,79476,6317268
5,5,11370844,90487180,77440,5625388
5,2,11449504,90857840,77128,5176068
5,4,11277292,90961208,77352,5244912
5,1,11162892,91201880,77268,5118640
6,3,11317664,88892400,77236,7273348
6,6,11588140,89379536,77256,6515736
6,7,11624224,87428536,79476,8430652
6,4,11277300,89486272,77352,6719840
6,2,11449520,89416484,77128,6617408
6,5,11371236,88867432,77440,7244744
6,1,11162908,89889840,77268,6430664
7,6,11588148,88125684,77256,7769580
7,3,11317672,87694028,77236,8471712
7,4,11277308,88436892,77352,7769212
7,7,11624612,85039764,79476,10819036
7,2,11449528,88198540,77128,7835344
7,5,11371628,88272012,77440,7839772
7,1,11162916,88580496,77268,7740000
8,6,11588152,87351384,77256,8543876
8,4,11277308,87503516,77352,8702588
8,7,11625024,84706804,79476,11151584
8,3,11317680,86750780,77236,9414952
8,2,11449528,87530136,77128,8503748
8,1,11162924,87857796,77268,8462692
8,5,11372012,87852748,77440,8258652
9,6,11588152,86600196,77256,9295064
9,4,11277308,86888124,77352,9317980
9,7,11625412,83415192,79476,12442808
9,3,11317692,86057636,77236,10108084
9,2,11449528,86339964,77128,9693920
9,1,11162932,86829580,77268,9490900
9,5,11372400,86843896,77440,9267116
10,3,11317708,85484284,77236,10681420
10,7,11625812,82714924,79476,13142676
10,6,11588160,86258956,77256,9636296
10,4,11277328,86424648,77352,9781436
10,1,11162932,86566152,77268,9754328
10,2,11449536,86055932,77128,9977944
10,5,11372800,86207904,77440,9902708
11,7,11626212,81097796,79476,14759404
11,6,11588168,85363396,77256,10531848
11,3,11317736,84934808,77236,11230868
11,4,11277344,85661344,77352,10544724
11,1,11162940,85628552,77268,10691920
11,2,11449552,84933184,77128,11100676
11,5,11373188,85993144,77440,10117080
12,7,11626608,80859588,79476,14997216
12,6,11588184,84725572,77256,11169656
12,3,11317744,84244672,77236,11920996
12,4,11277360,85230428,77352,10975624
12,1,11162956,85385684,77268,10934772
12,2,11449568,84634968,77128,11398876
12,5,11373588,85166108,77440,10943716
13,7,11626996,79124480,79476,16731936
13,6,11588184,83933080,77256,11962148
13,3,11317752,83771544,77236,12394116
13,4,11277364,84351064,77352,11854984
13,1,11162956,84357524,77268,11962932
13,2,11449568,83731276,77128,12302568
13,5,11373916,84922532,77440,11186964
14,7,11627388,78836920,79476,17019104
14,6,11588184,83801216,77256,12094012
14,3,11317752,83171628,77236,12994032
14,2,11449584,83430356,77128,12603472
14,4,11277368,84172952,77352,12033092
14,1,11162964,84080072,77268,12240376
14,5,11374368,84439800,77440,11669244
15,7,11627832,78462500,79476,17393080
15,6,11588184,83480824,77256,12414404
15,4,11277368,83600880,77352,12605164
15,3,11317752,82648960,77236,13516700
15,2,11449592,83433272,77128,12600548
15,5,11374812,84245408,77440,11863192
15,1,11162968,83492596,77268,12827848
16,7,11628228,76306280,80140,19548904
16,6,11588192,83199352,77256,12695868
16,4,11277376,83317268,77352,12888768
16,3,11317760,82484500,77236,13681152
16,5,11375216,84209004,77440,11899192
16,1,11162972,83398172,77268,12922268
16,2,11449592,82859768,77128,13174052
17,7,11628624,76212036,79476,19642752
17,6,11588200,82850772,77256,13044440
17,4,11277384,82792516,77352,13413512
17,3,11317768,82003440,77236,14162204
17,5,11375612,83833972,77440,12273828
17,1,11162980,83330760,77268,12989672
17,2,11449600,82495384,77128,13538428
18,7,11629016,76049760,79476,19804636
18,6,11588200,82550276,77256,13344936
18,4,11277384,82657156,77352,13548872
18,3,11317768,81860132,77236,14305512
18,1,11162980,82730880,77268,13589552
18,5,11375864,83759252,77440,12348296
18,2,11449600,82268676,77128,13765136
19,7,11629400,75624820,79476,20229192
19,6,11588200,82196036,77260,13699176
19,4,11277392,82296500,77352,13909520
19,3,11317776,81762348,77236,14403288
19,5,11376372,83405600,77440,12701440
19,1,11162988,82374192,77268,13946232
19,2,11449608,82126164,77128,13907640
20,7,11635724,75017336,82020,20830352
20,6,11593924,82178836,79576,13710652
20,3,11325520,81622264,79740,14535628
20,4,11284540,82241812,79584,13957060
20,1,11169144,82333440,79532,13980828
20,5,11384424,83409276,79908,12689712
20,2,11456092,81984084,79516,14043236
21,7,11653956,74994776,82020,20834680
21,6,11609192,81741972,79684,14132248
21,3,11339452,81237600,79632,14906360
21,4,11296788,81925324,79584,14261300
21,1,11182800,82460320,79532,13840292
21,5,11397580,83293196,79908,12792636
21,2,11471844,81810128,79516,14201440
22,7,11674132,74468628,81832,21340652
22,6,11625680,81571280,79684,14286452
22,3,11353436,81080044,79632,15049932
22,1,11197924,82278972,79532,14006516
22,4,11311088,81900184,79584,14272140
22,5,11413944,83339196,79908,12730272
22,2,11487072,81978836,79516,14017504
23,7,11690460,74263892,82020,21529060
23,6,11640216,81758480,79684,14084716
23,3,11369220,81301152,79632,14813040
23,1,11212440,82363388,79532,13907584
23,5,11428956,83261104,79908,12793352
23,4,11328280,81813096,79584,14342036
23,2,11499832,81844644,79516,14138936
24,7,11709272,74153356,82020,21620784
24,6,11654168,81606796,79684,14222448
24,3,11382404,81278752,79632,14822256
24,1,11227344,82225188,79532,14030880
24,5,11440828,83132176,79908,12910408
24,4,11342776,81739072,79584,14401564
24,2,11514328,82059364,79516,13909720
25,7,11728536,74234488,82020,21520388
25,6,11668044,81431464,79684,14383904
25,3,11398220,81486776,79632,14598416
25,1,11243516,82350116,79532,13889780
25,5,11454440,83229800,79908,12799172
25,4,11357376,81851144,79584,14274892
25,2,11529560,82162812,79516,13791040
26,7,11745716,74159860,82020,21577836
26,6,11682012,81580092,79684,14221308
26,1,11258636,82422520,79532,13802256
26,5,11469732,83330652,79908,12683028
26,3,11413160,81583972,79632,14486280
26,4,11372268,81837672,79584,14273472
26,2,11542916,82359664,79516,13580832
27,6,11694060,81670736,79684,14118616
27,7,11765860,74361576,82020,21355976
27,1,11271924,82518580,79532,13692908
27,3,11427316,81624656,79632,14431440
27,5,11485456,83355028,79908,12642928
27,4,11388788,81931048,79584,14163576
27,2,11556776,82499968,79516,13426668
28,7,11782836,74494820,81844,21205756
28,6,11708984,81893476,79684,13880952
28,1,11285208,82812816,79532,13385388
28,3,11439972,81818316,79420,14225124
28,5,11502208,83560960,79908,12420244
28,4,11404220,81978516,79584,14100676
28,2,11572744,82694420,79516,13216248
29,6,11723856,81913472,79684,13846084
29,7,11799124,74233284,82020,21451004
29,1,11298488,82936780,79532,13248144
29,5,11516196,83497608,79908,12469608
29,3,11455788,81776932,79632,14250692
29,4,11418752,82190776,79584,13873884
29,2,11586652,82790280,79516,13106480
30,6,11736452,82198148,79684,13548812
30,7,11816736,74314028,82020,21352648
30,1,11313700,83344780,79532,12824932
30,5,11532520,83695432,79908,12255460
30,4,11432708,82417424,79584,13633280
30,3,11472624,82047464,79836,13963324
30,2,11600516,83004804,79516,12878092
31,6,11750384,82233044,79684,13499984
