moment,node,buffer_cache,free,map,used
1,3,11631928,93392640,60032,2458844
1,2,11759468,93326932,60036,2397012
1,5,11871364,93101632,60156,2510416
1,1,11613668,93380020,60200,2489724
1,4,11586876,93398360,60012,2498176
1,6,12061072,92906856,60476,2515484
1,7,12029580,92966176,60016,2487656
2,3,11764116,93261172,60032,2458124
2,2,11759492,93327728,60036,2396192
2,5,11871388,93102404,60412,2509620
2,1,11656696,93335100,60200,2491616
2,4,11586884,93398852,60132,2497676
2,6,12061072,92906616,60172,2515724
2,7,12379448,92368856,72536,2735108
3,3,11938756,92111128,72676,3433528
3,2,11934164,92383716,72612,3165532
3,5,12046112,92131148,72836,3306152
3,1,11831672,92371260,72832,3280480
3,4,11761556,92442788,72800,3279068
3,6,12235864,91926884,72800,3320664
3,7,12379692,91474436,72712,3629284
4,3,12138564,90610340,79472,4734508
4,5,12179248,91213036,77356,4091128
4,2,12067284,90884004,77180,4532124
4,4,11894676,91477856,77332,4110880
4,1,11964788,91375324,77376,4143300
4,6,12369044,90920728,77316,4193640
4,7,12512816,90717232,77224,4253364
5,3,12138580,88578752,79484,6766080
5,5,12179640,89508060,77356,5795712
5,2,12067328,89186540,77180,6229544
5,1,11964800,89769108,77376,5749504
5,4,11894716,89699412,77332,5889284
5,6,12369472,89275964,77316,5837976
5,7,12512832,89283528,77224,5687052
6,3,12138564,86423604,79484,8921244
6,5,12180008,88098160,77356,7205244
6,2,12067324,88235160,77180,7180928
6,1,11964776,88461764,77376,7056872
6,4,11894704,88321760,77332,7266948
6,6,12369856,88323280,77316,6790276
6,7,12512828,88105052,77224,6865532
7,3,12138576,85247508,79484,10097328
7,5,12180472,87245368,77356,8057572
7,2,12067332,87633476,77180,7782604
7,1,11964788,87666728,77376,7851896
7,4,11894712,87497016,77332,8091684
7,6,12370312,87756408,77316,7356692
7,7,12512836,87227632,77224,7742944
8,3,12138584,83928304,79484,11416524
8,5,12180864,86848132,77356,8454416
8,2,12067340,87014936,77180,8401136
8,1,11964788,87145500,77376,8373124
8,4,11894716,87057772,77332,8530924
8,6,12370640,87143164,77980,7969608
8,7,12512836,86446580,77224,8523996
9,3,12138584,82921560,79484,12423268
9,5,12181320,86163268,77356,9138824
9,2,12067340,86426732,77180,8989340
9,1,11964800,86656772,77376,8861840
9,4,11894716,86213296,77332,9375400
9,6,12371164,86607964,77316,8504284
9,7,12512844,85744616,77224,9225952
10,3,12150268,82020264,82128,13312880
10,5,12191352,85493144,79740,9798916
10,1,11972716,85864844,79744,9645852
10,4,11903512,85723648,79612,9856252
10,2,12076132,85967448,79548,9439832
10,6,12380800,86178152,79564,8924460
10,7,12520012,85396752,79720,9566648
11,3,12164000,81202016,82128,14117396
11,5,12203140,84740108,79740,10540164
11,1,11981744,85551692,79744,9949976
11,2,12087380,85103296,79548,10292736
11,4,11912356,85037968,79612,10533088
11,6,12391644,85613036,79564,9478732
11,7,12528752,84572824,79720,10381836
12,3,12178272,79821400,82128,15483740
12,5,12214640,83664448,80404,11604324
12,2,12099360,84779856,79548,10604196
12,6,12401916,84998356,79564,10083140
12,1,11992972,84850940,79744,10639500
12,4,11923580,84217368,79612,11342464
12,7,12539024,83850452,79720,11093936
13,3,12193600,78915264,82128,16374548
13,5,12226388,83336220,79740,11920804
13,6,12413256,84736688,79564,10333468
13,2,12109752,84408432,79548,10965228
13,1,12004468,84550600,79744,10928344
13,4,11933936,83750224,79612,11799252
13,7,12546984,83081916,79720,11854512
14,3,12207436,77497068,82128,17778908
14,5,12237712,82746076,79924,12499624
14,6,12423156,84420696,79368,10639560
14,2,12120388,84079968,79548,11283056
14,1,12015568,84096316,79744,11371528
14,4,11943496,83403328,79612,12136588
14,7,12555700,83106056,79720,11821656
15,3,12217668,77410080,82128,17855664
15,5,12243440,82409840,79740,12830132
15,6,12428880,83870384,79564,11184148
15,1,12023892,83652368,79744,11807152
15,4,11951088,83010308,79612,12522016
15,2,12127284,83587660,79548,11768468
15,7,12561648,82391364,79720,12530400
16,3,12232500,76485436,82128,18765476
16,5,12256328,82042212,79872,13184872
16,6,12440584,83439880,79564,11602948
16,1,12036184,82976980,79744,12470248
16,2,12136840,83214148,79548,12132424
16,4,11961036,82541356,79612,12981020
