moment,node,buffer_cache,free,map,used
1,2,9215872,96109472,59936,2158068
1,5,8992048,96223280,60112,2268084
1,3,8840276,96332168,59932,2310968
1,1,9039576,96231048,60036,2212788
1,6,9097696,96125044,60064,2260672
1,4,8990564,96221648,59788,2271200
1,7,8769100,96510520,59904,2203792
2,2,9565716,95459432,72644,2458264
2,5,8992048,96223824,60112,2267540
2,3,8840284,96332700,59800,2310428
2,1,9039664,96231548,59844,2212200
2,6,9229828,95986624,60072,2266960
2,4,9033904,96167712,60092,2281796
2,7,8769100,96511152,59908,2203160
3,2,9566012,94787136,72548,3130264
3,5,9166696,95398068,72824,2918648
3,3,9014924,95340848,72572,3127640
3,1,9214396,94986880,72700,3282136
3,4,9208532,95346092,72772,2928788
3,6,9404532,95175044,72680,2903836
3,7,8943748,95489700,72548,3049964
4,6,9537672,94254536,77188,3691204
4,2,9699140,93532428,76888,4251844
4,1,9413708,93722392,79396,4347312
4,5,9299812,94433908,77144,3749692
4,3,9148040,94644108,77076,3691264
4,4,9341224,94404316,76888,3737872
4,7,9076864,94787900,77060,3618648
5,2,9699776,91871948,77096,5911688
5,6,9538324,92777880,77192,5167208
5,1,9414068,91662804,79480,6406540
5,5,9299828,92922064,77352,5261520
5,3,9148056,93095540,77088,5239816
5,7,9076880,93209084,77084,5197448
5,4,9341664,92967260,77348,5174488
6,2,9703708,90890112,79316,6889592
6,6,9543000,91615476,79644,6324936
6,1,9418600,90404456,81900,7660356
6,7,9080792,92280132,79220,6122488
6,5,9304220,91990548,79740,6188644
6,3,9151676,92028484,79360,6303252
6,4,9345388,92124344,79452,6013680
7,1,9433340,88683364,81956,9366708
7,6,9556452,90433516,79644,7493444
7,2,9717424,89799832,79400,7966156
7,7,9093712,90696940,79220,7692760
7,4,9357952,90884944,79768,7240516
7,5,9316660,90706280,79740,7460472
7,3,9163504,90703552,79312,7616356
8,6,9553920,89352644,79644,8576848
8,1,9428800,87677552,81956,10377060
8,2,9713452,88723924,79400,9046036
8,4,9353592,89787040,79768,8342780
8,3,9160152,89367048,79312,8956212
8,7,9089272,89652320,79220,8741820
8,5,9311676,89586504,79740,8585232
9,6,9560396,88728864,79948,9194152
9,1,9436280,86563980,82448,11483152
9,2,9721840,88109568,79764,9652004
9,4,9359292,88984788,80044,9139332
9,3,9166704,88377188,79576,9939520
9,5,9318224,89044628,80060,9120560
9,7,9095288,89082532,79600,9305592
10,1,9436288,85996696,82264,12050428
10,6,9561180,88364900,80124,9557332
10,2,9722624,87647516,79764,10113272
10,4,9359320,88289504,80044,9834588
10,3,9166732,87905832,79376,10410848
10,5,9318248,88339964,80060,9825200
10,7,9095312,87814164,79600,10573936
