moment,node,recv_packets,send_bytes,send_packets
1,1,49,26779,52
1,5,67,22851,64
1,3,88,36608,80
1,4,67,23124,64
1,2,66,17542,66
1,6,47,11517,47
1,7,68,37860,67
2,5,4977,283330,2933
2,1,2246,44477954,2583
2,3,14,5374,22
2,4,3112,44446608,2489
2,2,6910,136357169,7529
2,6,22,5516,30
2,7,12589,135904333,8119
3,5,283,295489,314
3,1,4402,44583431,3103
3,3,5024,196716,2895
3,4,5798,133387162,4870
3,2,5543,271092881,6190
3,6,4976,213835,2927
3,7,5857,271106968,6311
4,5,3756,270975,2456
4,4,1785,219335,1315
4,1,1864,172673,1274
4,2,1844,148815,1441
4,3,1965,206559,1592
4,6,1853,137048,1497
4,7,3940,165795,1711
5,5,96295,5349114,78267
5,3,130592,7152939,105962
5,4,63926,3537870,52252
5,2,50759,2754139,40096
5,1,90332,5037106,73323
5,7,122633,6169869,91527
5,6,51141,2652642,38675
6,5,175785,9269796,138288
6,4,150488,7990639,119048
6,3,134411,7036014,104889
6,2,149907,8258648,123206
6,1,173222,9321319,135929
6,6,162945,8359410,124035
6,7,239880,12276423,183768
7,5,170486,8630363,129041
7,4,153871,7930026,117570
7,3,173130,9464237,141244
7,2,189896,10302516,153668
7,1,163478,9183875,132308
7,6,138361,7438051,111198
7,7,298147,15321987,229483
8,5,150528,8067685,120300
8,3,151112,8067098,120428
8,2,201645,10906462,162733
8,4,159912,8283762,123622
8,1,146088,7961812,114719
8,6,155402,7975799,118712
8,7,296929,15033684,225135
9,5,182880,9906902,147976
9,4,157354,8320017,124265
9,2,188939,10565897,158075
9,3,182761,9758896,145583
9,1,141083,7742315,112356
9,6,145655,7646138,113956
9,7,288262,14856992,222678
10,5,191442,10165176,151658
10,3,167388,8969696,134098
10,2,159955,8927777,133217
10,4,141638,7445526,110576
10,1,150667,8131998,116325
10,6,170666,8754688,130268
10,7,281113,14627144,219054
11,5,158583,8533309,127670
11,4,179902,9198189,136460
11,2,167576,9301238,138806
11,3,149106,7882030,117530
11,1,147521,8030659,115680
11,6,173642,9042026,135001
11,7,245576,12409025,185942
12,5,153415,8198893,122159
12,3,174976,9167295,136926
12,4,183434,9731498,145466
12,2,165185,9249738,138429
12,1,135822,7355757,104433
12,6,195797,10104926,150417
12,7,259657,13319113,199407
13,5,164040,8675069,129382
13,4,200489,10802274,160971
13,2,170204,9502434,142199
13,3,148695,8218363,122642
13,1,148543,7922134,115126
13,6,158220,8326989,124355
13,7,257896,13174892,197101
14,5,123372,6653034,99256
14,3,144499,7816069,116629
14,4,181279,9937453,148511
14,2,193762,10526311,157006
14,1,117993,6491393,91516
14,7,290559,15178322,227715
14,6,192843,10038899,149172
15,5,172350,8951001,133526
15,2,157163,8777683,131208
15,3,152595,8316671,123970
15,4,174371,9080199,135297
15,1,139074,7292125,105691
15,7,241852,12554995,187768
15,6,189440,9858496,147174
16,5,159447,8508590,127196
16,3,191318,10249634,153082
16,2,183554,10303139,153900
16,4,194165,10124893,151130
16,1,133599,7283367,104482
16,7,271186,13767244,206418
16,6,167628,8842660,131710
17,2,199756,11182165,167153
17,5,149035,8179121,122300
17,3,173214,9565310,142744
17,4,185857,9762641,145855
17,1,140517,7722940,110324
17,7,298247,15407844,230816
17,6,185188,9962888,148815
18,2,163319,8989068,133872
18,5,180690,9544363,142391
18,3,183127,9682363,144618
18,4,170406,8943004,133530
18,7,246404,12720156,190660
18,1,144403,7628471,110798
18,6,157772,8452710,125931
19,2,180127,9807077,146746
19,5,156262,8402718,125528
19,3,168848,9014248,134472
19,4,134154,7218032,107410
19,7,320759,17098521,256074
19,1,186963,9785392,142140
19,6,161116,8524028,127157
20,2,159159,8687807,129627
20,5,147336,7987878,118990
20,4,126985,6796623,101199
20,3,169197,9119263,136455
20,7,313352,16220741,243130
20,1,130675,6910285,99621
20,6,209470,10949583,163362
21,2,157040,8821221,131832
21,5,173375,9365392,140064
21,4,152909,8163552,121773
21,7,300197,15214367,227851
21,3,181093,9435941,140626
21,1,139148,7352309,104693
21,6,196557,10230870,152192
22,2,215004,11465597,171083
22,5,140857,7171065,107034
22,4,147661,7847541,116973
22,1,145985,7986933,113881
22,7,310831,16805373,251729
22,3,152113,8062619,120346
22,6,147993,8092628,120844
23,2,183717,10390284,155336
23,5,170466,9171804,136950
23,4,151982,8299913,123633
23,7,312821,15966257,239287
23,1,159895,8363935,122106
23,3,194216,10637904,158757
23,6,182782,9304484,138720
24,2,176089,9702034,144623
24,5,154663,8402654,125260
24,4,149771,8060789,120343
24,7,287350,14345021,214982
24,1,161445,8991577,130241
24,3,187036,9772034,146168
24,6,200081,10253049,152730
25,2,162212,8863581,132313
25,5,149802,8169938,122094
25,4,176207,9489780,141524
25,7,284454,14297449,213831
25,3,172781,9672389,144359
25,1,159639,8709451,125226
25,6,152640,8323764,124772
26,2,168571,9240313,138071
26,4,180030,9413183,140721
26,7,230748,11455846,171431
26,5,194213,10409836,155412
26,3,165341,8664973,129285
26,1,162833,8445430,122748
26,6,184615,10007503,148984
27,2,186582,10047752,150092
27,7,261340,13489640,202129
27,4,176241,9519907,141833
27,5,193589,10042730,149426
27,3,129308,6799772,101547
27,1,158032,8575423,124490
27,6,178126,9448120,140937
28,7,284826,14925952,223725
28,2,153769,8654773,129186
28,5,176583,9517523,142170
28,4,163928,8487821,126433
28,3,179434,9418033,140453
28,1,151858,8254106,117894
28,6,178746,9283931,138548
29,2,180042,9658076,144086
29,7,248904,12579867,188149
29,5,178448,9510036,142078
29,3,153641,8125770,121096
29,4,153897,8033444,119843
29,1,161240,8772676,128034
29,6,131461,6886329,102312
30,2,159812,8936612,133704
30,7,300505,15708643,235419
30,5,165085,8752223,130344
30,3,151163,8071426,120358
30,4,149597,8229870,123051
30,1,207146,11315705,163894
30,6,159858,8762690,131006
31,2,191968,10564628,158099
31,7,280403,14208832,212551
31,5,172338,9327601,139277
31,3,163567,8548442,127495
31,1,143753,7504994,108841
31,4,177812,9598705,142963
31,6,168405,8960711,133818
32,2,181523,10302189,153751
32,7,255258,13047017,195373
32,5,149603,7787588,115915
32,3,194208,10114291,150781
32,4,168757,9099772,136301
32,1,158479,8665166,125265
32,6,150835,7841221,116730
33,2,175642,9647246,144089
33,7,279906,13927048,208010
33,5,168633,9031569,135186
33,3,149092,8147039,121770
33,1,163742,8873719,127648
33,4,168112,8736542,129700
33,6,172162,9159027,136780
34,2,195418,10910177,163210
34,7,279740,14340536,214986
34,5,143286,7629819,113782
34,3,184533,9764330,145863
34,1,155019,8313325,120563
34,4,168199,9153988,136905
34,6,172316,9406004,140534
35,2,194232,11094847,165801
35,7,282422,14579792,218355
35,5,175207,9431085,140801
35,1,157745,9006684,130973
35,3,168528,8892638,132526
35,4,205795,10761828,160394
35,6,165593,8564946,127892
36,2,148648,8099856,121058
36,7,292997,14839085,222325
36,5,204383,11356705,169931
36,4,190761,10143071,151241
36,1,171767,9625450,138767
36,3,175150,9604316,143670
36,6,173239,9282424,138158
37,2,162908,8802635,131292
37,7,291062,15231427,228037
37,5,185758,10177202,151976
37,4,140115,7296013,108574
37,1,154177,8444495,121624
37,3,178188,9539548,142148
37,6,179640,9511991,141906
38,2,166405,9296197,138945
38,7,312439,16228807,243037
38,5,187859,10134684,151268
38,4,165783,8644644,129005
38,3,141456,7402434,110545
38,1,146327,7986296,115877
38,6,171729,9050129,135118
39,2,184010,10164233,151981
39,7,293158,15086310,226189
39,5,143903,7668990,114754
39,4,166906,8567384,127205
39,3,156645,8427053,125562
39,1,156042,8282920,119593
39,6,160024,8503355,126749
40,7,255766,12860152,192669
40,2,171376,9319283,139117
40,5,196940,10707648,160164
40,3,179392,9770800,146354
40,4,160465,8447522,126051
40,1,160731,8592583,124774
40,6,186255,9966745,148746
41,7,318608,16499937,247075
41,2,172428,9671251,144666
41,5,185904,9562666,142587
41,4,148208,7872267,117014
41,3,177766,9348735,139722
41,6,173810,9295942,138567
41,1,162631,8888131,128081
42,7,261890,13163549,197450
42,2,202585,11077527,165367
42,5,186399,9682198,144665
42,4,163004,8545580,127426
42,3,158793,8762493,130908
42,6,176356,9447157,140997
42,1,146368,8081753,116635
43,7,271115,14638020,219168
43,2,190323,10655064,159233
43,5,164861,8606877,128129
43,4,165321,9057269,135331
43,3,170416,9018882,134511
43,6,170156,8851005,131689
43,1,146036,8019253,114910
44,7,281903,14831699,222494
44,2,202975,11191744,167376
44,5,180995,9207446,137168
44,4,175858,9383378,140204
44,3,159912,8487241,126762
44,6,176965,9632014,143760
44,1,139637,7353001,106317
45,7,280330,14611727,218953
45,2,163982,8983347,134291
45,5,147300,8176451,122265
45,4,151317,8207638,122150
45,3,160222,8336194,124324
45,6,179871,9464009,141275
45,1,183832,9887195,142890
46,7,277706,14428809,216036
46,2,184445,10287405,153608
46,4,158615,8622372,128982
46,5,160313,8379694,125219
46,3,152992,7910876,117823
46,6,139523,7475159,111241
46,1,156437,8448376,122424
47,7,314559,16456004,246589
47,2,192060,10845282,161977
47,4,170076,8990291,133754
47,5,135313,7514026,112179
47,3,178955,9334863,139193
47,6,169714,9064444,135165
47,1,152543,8319881,120565
48,7,282527,14773810,221366
48,2,183901,10007026,149405
48,4,178227,9705724,145148
48,5,159171,8664071,129385
48,3,179017,9866740,147430
48,6,153813,8237129,122878
48,1,159033,8963900,128864
49,7,313807,16026260,240033
49,2,157632,8612869,128634
49,4,153287,8290085,123613
49,5,186997,10121498,151281
49,3,128563,6829954,101727
49,6,188309,9979384,148893
49,1,187040,10028457,146728
50,7,282343,14478730,216856
50,2,208667,11207511,167447
50,4,180204,9753294,145567
50,5,167339,9091675,135817
50,3,150499,8307966,124113
50,6,158419,8451988,126034
50,1,139947,7416381,106877
51,7,288294,14595058,218569
51,2,198583,11096555,166006
51,5,210237,11436020,170654
51,4,118842,6033838,89414
51,3,155204,8185821,122109
51,6,161788,8500553,126948
51,1,151324,8199472,117368
52,7,296585,15160875,227141
52,2,163255,8947062,133807
52,5,135518,7258017,108083
52,3,173206,9116146,136098
52,4,161757,8575202,128026
52,1,136283,6952469,100386
52,6,151582,8221299,122418
53,7,243911,12504320,187135
53,2,207214,11230922,167554
53,4,199777,10409981,155218
53,5,141100,7555875,112849
53,3,190915,10462364,156248
53,6,128057,6645191,98993
53,1,130106,6897997,98179
54,7,283098,14342663,214455
54,4,169127,9424532,141022
54,2,162687,9055203,135259
54,5,176467,9282679,138348
54,3,143056,7348798,109442
54,6,148113,7685292,114380
54,1,167419,8869064,128174
55,7,255337,12790131,191820
55,4,180673,9805184,146291
55,2,180955,9799886,146298
55,5,209189,11626855,173971
55,3,169195,8782410,131017
55,6,154014,8003263,119281
55,1,149562,7764274,112826
56,7,274767,14424555,216114
56,4,143134,7326370,109306
56,2,193857,10555761,157652
56,5,181472,10124591,151215
56,3,161480,8779565,131416
56,1,167799,9254958,133123
56,6,164321,9026019,134611
57,7,259040,13512758,202450
57,5,171407,9421248,140836
57,4,124379,6482415,95939
57,2,172856,9555604,142670
57,3,202013,10582127,157752
57,6,170260,9216452,137462
57,1,145991,7883081,113779
58,7,254976,12764446,190756
58,2,160541,8985757,134366
58,5,171800,9522759,142431
58,4,146725,7715889,114663
58,3,194775,10262322,153059
58,6,150507,8224471,122808
58,1,164905,8986741,131215
59,7,313735,16197441,242475
59,2,167356,9217727,137661
59,5,185675,10238020,153156
59,4,151061,8156850,121430
59,3,136304,7291927,108698
59,6,174090,9274092,138507
59,1,137067,7575188,108512
60,7,237261,12146020,182504
60,2,156142,8564509,128187
60,5,150757,8004098,119728
60,4,157724,8291592,124307
60,6,170860,9003076,134624
60,3,196961,10461075,156783
60,1,159511,8645369,126013
61,7,97692,5141352,76159
61,2,73527,4301232,63712
61,5,48567,2606070,38357
61,6,36154,2142156,31407
61,4,18072,1041945,14565
61,3,55914,3111721,45783
61,1,66674,3769504,52740
62,7,266436,14133698,211696
62,2,196300,10689158,159692
62,5,162553,8985906,134288
62,6,161955,8710996,129875
62,4,160460,8659958,129318
62,3,155939,8630359,129052
62,1,132379,7316892,105215
63,7,249333,13066323,195673
63,2,172782,9826233,146764
63,6,182103,9773479,145809
63,5,185236,9970903,148936
63,4,185385,10037624,149604
63,3,164028,9023505,134701
63,1,166589,9184756,132027
64,7,308883,15686848,234686
64,6,195809,10427844,155528
64,5,171073,9327592,139390
64,2,167530,9487188,141765
64,3,151694,7963032,118588
64,4,188429,10397935,155522
64,1,161035,8967540,128014
65,7,287061,15101018,226089
65,6,161980,8641178,128857
65,5,170427,9211403,137284
65,2,206719,11491318,171951
65,3,177937,9820583,146720
65,4,168375,9151190,136597
65,1,172394,9656269,138291
66,7,275685,13867024,207533
66,6,187857,10121652,150877
66,4,159557,8764439,130800
66,5,183844,9982875,148858
66,2,174650,9613288,143389
66,3,171709,9325853,139373
66,1,180610,10064638,146502
67,7,355579,18225545,272881
67,6,137353,7290713,108630
67,4,194021,10568837,157675
67,3,152164,8126360,121234
67,2,147134,8128969,121236
67,5,187785,10308287,154325
67,1,172837,9844305,140241
68,7,277522,14150579,212003
68,6,160888,8295352,123761
68,3,167961,8746996,130137
68,4,162969,8646169,129021
68,2,150300,8120426,121149
68,5,167531,9041652,134855
68,1,149571,7981616,114797
69,7,267897,13650325,204178
69,3,151108,8176997,121889
69,2,170094,9460213,141217
69,6,168962,9045751,134619
69,5,185126,10158467,151819
69,4,173382,9493218,141583
69,1,103008,5599623,77731
70,7,281313,13953559,208811
70,2,183622,10270709,153408
70,3,170307,9001881,134634
70,6,176945,9409184,140409
70,5,191324,10454855,156058
70,4,161609,8411245,125355
70,1,146232,7859250,111149
71,7,303268,15797861,236661
71,2,158537,8913935,133232
71,3,140129,7706341,115035
71,6,159616,8654082,129262
71,5,208113,11298451,168722
71,4,141496,7660103,114061
71,1,167952,9481716,135854
72,7,256047,13483508,201934
72,2,187936,10495363,156788
72,5,127280,6830214,101858
72,4,179091,9747993,145754
72,3,173070,9169930,137112
72,6,166696,8866491,131696
72,1,183234,10143023,147204
73,7,319735,16814267,252107
73,2,207816,11916458,178137
73,5,159195,8426149,125670
73,3,176565,9118105,135819
73,4,162731,8686422,129518
73,6,156299,8283046,123803
73,1,138131,7765292,109032
74,7,260615,13643365,204252
74,2,178632,10127949,151566
74,5,143405,7903390,118010
74,4,136404,7782186,116188
74,3,142906,7619888,113548
74,6,169748,9070186,135019
74,1,147650,8548708,124191
75,7,282735,15339016,229831
75,2,151850,8593771,128184
75,5,187372,10006634,149512
75,3,157974,8396543,125145
75,4,115730,6016011,89266
75,6,144623,7790426,116494
75,1,156195,8539325,122404
76,7,296921,15874434,237820
76,2,183811,10338688,154639
76,5,153076,8230491,122778
76,4,150330,7945826,118727
76,3,169259,9098478,136002
76,6,153804,8414110,125481
76,1,172410,9079447,131459
77,7,213840,10993097,164255
77,2,171282,9591889,143240
77,4,185650,9922992,147971
77,5,181068,9603181,143448
77,3,190286,9971947,148507
77,6,178766,9613684,143480
77,1,141464,7589686,107325
78,7,297827,15384189,230430
78,5,142176,8089366,120945
78,3,161515,8461364,126189
78,2,183671,9883385,147505
78,4,184011,9590888,142935
78,6,176989,9544826,142500
78,1,142336,7861612,112219
79,7,308752,15705323,235193
79,5,186715,9994446,149324
79,4,167121,8975169,133492
79,3,186750,10054567,150177
79,2,140984,7934459,118498
79,6,165671,8895744,132552
79,1,134149,7281470,103084
80,7,283557,14629397,219117
80,4,138361,7134212,105921
80,5,172968,9620701,143570
80,2,197747,10988236,164095
80,6,180114,9730237,145235
80,3,166285,8923285,133276
80,1,107113,5864933,82031
81,7,223939,11225745,167871
81,5,182111,9681847,144517
81,4,159974,8488578,126311
81,3,161733,8859142,132201
81,2,171285,9524514,142292
81,6,175891,9695615,144705
81,1,162076,8834547,125967
82,7,280770,14558774,218030
82,5,177285,9572565,142868
82,6,147511,7665420,114211
82,4,154198,8218800,122555
82,3,156461,8552435,127690
82,2,184360,10196809,152500
82,1,141561,7865486,113161
83,7,309767,15929735,238538
83,5,144336,7906776,118042
83,4,165064,8911908,133099
83,2,179585,10072327,150574
83,6,166089,8888082,132536
83,3,191468,10447290,155956
83,1,131418,7308600,103129
84,7,246717,12716765,190359
84,5,154442,8105268,120801
84,4,160987,8561605,127753
84,6,142507,7435372,110567
84,2,175474,10045491,150335
84,3,149620,8187016,122306
84,1,138258,7876072,112494
85,7,280510,14347149,214936
85,5,143538,7882628,117797
85,4,171930,9319423,138955
85,6,151394,8146862,121541
85,3,139628,7967674,118759
85,2,175734,10018222,149922
85,1,148979,8008546,115508
86,7,283064,14708078,219950
86,5,190754,10438863,155779
86,2,146864,8105587,120678
86,6,180794,10210807,152668
86,4,168051,9150061,136608
86,3,165980,8593928,127967
86,1,166044,9337760,132442
87,7,272417,14126294,211559
87,5,194213,10107632,150984
87,2,193583,10559293,157405
87,4,131828,6924213,103069
87,3,175827,9563848,142672
87,6,161563,8609045,128227
