moment,node,recv_packets,send_bytes,send_packets
1,6,67,28057,65
1,5,67,30998,67
1,2,68,31440,65
1,3,55,12254,57
1,4,92,41980,88
1,1,53,12521,52
1,7,118,534278,107
2,6,53,149909,72
2,5,31,7446,43
2,2,16,4492,24
2,3,10533,136014985,9322
2,4,19,6167,27
2,1,16,5125,23
2,7,9557,44829572,7301
3,3,7181,448579473,9157
3,6,5002,405595,2910
3,5,5024,326225,3014
3,7,7307,450799223,9214
3,2,4960,193467,2838
3,4,4932,201314,2907
3,1,4865,208903,2845
4,7,4054,400831,2298
4,3,1781,139735,1215
4,6,1761,148600,1189
4,5,3433,295553,2246
4,2,1919,145737,1427
4,4,1834,148086,1461
4,1,1856,130479,1410
5,3,135184,6989270,101294
5,6,117162,6030707,89324
5,7,199282,9833838,146215
5,5,170966,9215375,133669
5,2,153196,8139194,120958
5,4,134129,6885695,101698
5,1,137522,7146252,105665
6,3,210799,10996103,163587
6,6,199479,10608130,157821
6,7,320795,16340382,244073
6,4,195089,10135538,150312
6,2,206914,11070025,164435
6,5,201207,10776422,153513
6,1,190494,9754258,144630
7,6,220217,10828090,160448
7,3,196560,10438175,155409
7,4,139102,7216608,106607
7,7,334524,17517835,261784
7,2,226976,12168555,181140
7,5,203639,11063470,158751
7,1,205263,10587273,157265
8,6,182039,9456140,140372
8,4,170478,8992118,133326
8,7,353811,18167387,271381
8,3,195808,9919375,147383
8,2,182164,9989866,148628
8,1,199668,9949070,147788
8,5,214122,11428825,164142
9,6,187041,9440338,139863
9,4,184164,9630234,143077
9,7,340986,17387670,259672
9,3,204042,10265386,152087
9,2,214386,11393849,169854
9,1,170105,8694344,128600
9,5,219219,11580662,166587
10,3,189472,9952017,148183
10,7,319860,16629176,248293
10,6,219183,10959095,162523
10,4,170673,8416864,124657
10,1,183918,9028422,133635
10,2,198174,10513159,155944
10,5,210637,11463683,164955
11,7,386045,20262586,303055
11,6,207250,10656693,158402
11,3,197408,9849313,146200
11,4,175074,9130083,135750
11,1,172045,8781771,129984
11,2,224731,11908568,177491
11,5,210688,11088405,158901
12,7,314011,16001645,239136
12,6,220009,11285631,167741
12,3,208837,10829911,161207
12,4,203592,10678730,158632
12,1,179587,9233587,136879
12,2,208170,11233503,166875
12,5,207417,11089506,159187
13,7,351008,17754800,265004
13,6,201749,10649519,158351
13,3,200121,10460612,155533
13,4,215132,10938715,162558
13,1,171470,8855120,131219
13,2,229871,12067539,179446
13,5,212898,11455588,164757
14,7,326094,16212636,241732
14,6,220632,11422686,169951
14,3,174013,8966884,133334
14,2,194889,10720546,159747
14,4,184081,9382882,139091
14,1,191704,9377854,138965
14,5,226118,12006964,172995
15,7,391651,19828171,296243
15,6,169925,8799221,130402
15,4,193713,10068623,149195
15,3,219354,11182561,166167
15,2,206126,11220005,167320
15,5,185238,10646822,151664
15,1,200700,10581256,157345
16,7,366634,18890328,282156
16,6,185345,9839671,146581
16,4,177725,9256729,137526
16,3,198973,10189625,151287
16,5,224895,11897676,171159
16,1,197392,10135149,150342
16,2,223137,12164847,181546
17,7,341456,17742163,264894
17,6,181921,9699689,143961
17,4,191133,9478239,140303
17,3,228628,11646266,173339
17,5,183738,10240708,146843
17,1,206064,10206918,151466
17,2,223422,12183275,181872
18,7,302322,15127747,225450
18,6,196659,10162673,150638
18,4,193643,9825693,146061
18,3,233771,12182361,181418
18,1,163878,8555128,127120
18,5,219402,11582010,166139
18,2,210764,11397231,169592
19,7,336519,17483842,261544
19,6,214124,11168799,166715
19,4,195405,10278544,152719
19,3,216488,11538957,172077
19,5,188740,10016015,143265
19,1,204938,10287907,152967
19,2,196050,10908703,162942
20,7,154067,8139646,121190
20,6,88304,4777142,70653
20,3,137273,7587682,112766
20,4,96194,5116156,75654
20,1,107507,5726719,84868
20,5,138684,8060633,116395
20,2,131389,7464394,111167
21,7,343215,17546358,261767
21,6,230978,11603249,172510
21,3,206479,11069682,164598
21,4,170125,8736354,129337
21,1,161802,8125894,120039
21,5,209827,11768934,167109
21,2,223295,12047201,179093
22,7,316707,15949021,237512
22,6,194804,9991088,147886
22,3,233208,12075182,180001
22,1,202634,10122080,150325
