moment,node,recv_packets,send_bytes,send_packets
1,3,87,522667,97
1,2,63,28914,64
1,5,60,23586,65
1,1,57,34369,59
1,4,44,12513,48
1,6,60,29449,60
1,7,57,26481,57
2,3,9453,135873240,7650
2,2,15,4604,21
2,5,18,5938,25
2,1,1501,265659,1638
2,4,15,4335,22
2,6,21,4401,29
2,7,9962,44865417,7751
3,3,5728,271177001,6299
3,2,5034,212668,2995
3,5,5062,284145,3012
3,1,5217,89131684,4134
3,4,4913,203382,2863
3,6,5133,266942,3108
3,7,8671,539729235,11056
4,3,13999,867653,10538
4,5,11130,680042,8143
4,2,35212,1985884,26640
4,4,18048,1026391,14018
4,1,16227,889821,12176
4,6,16984,1005330,13352
4,7,11282,506821,6162
5,3,161359,7849600,115000
5,5,163022,8686383,122907
5,2,170934,8647350,127489
5,1,153714,7772940,114837
5,4,157037,7859055,116114
5,6,155565,7816877,115223
5,7,182755,8402649,124732
6,3,201589,9570664,140712
6,5,159659,8531303,120551
6,2,162620,8239766,121609
6,1,136696,6860373,100830
6,4,172122,8528596,125853
6,6,169670,8367413,123433
6,7,202261,9164215,136041
7,3,204409,9667340,141936
7,5,158040,8383686,116906
7,2,176067,9256343,136866
7,1,147759,7229282,106140
7,4,159945,7923120,116393
7,6,137004,7076020,104387
7,7,211154,9726764,144426
8,3,188581,9001473,131828
8,5,166897,8807783,124612
8,2,171478,8784979,129961
8,1,151054,7378284,108788
8,4,157131,7744049,113999
8,6,168137,8516916,126159
8,7,238235,11197030,166565
9,3,174843,8520382,125471
9,5,150195,7950374,111281
9,2,153473,7793796,115766
9,1,141277,7121152,105625
9,4,130333,6524719,96692
9,6,139277,7065467,104638
9,7,198838,9506314,142069
10,3,136211,6570176,95254
10,5,116076,6196772,84838
10,1,102477,5021320,73180
10,4,97770,4958957,72243
10,2,115004,5966072,87436
10,6,124984,6269888,91851
10,7,162799,7588388,112212
11,3,180390,8748149,127733
11,5,195593,10424910,143469
11,1,153700,7475739,110024
11,2,184867,9242915,136065
11,4,148781,7537714,110786
11,6,154380,7803727,114834
11,7,217404,10566267,157151
12,3,185530,8894990,130147
12,5,183982,9988592,138586
12,2,195439,9911716,146343
12,6,151560,7439124,109288
12,1,149490,7149911,104666
12,4,166187,8213067,121012
12,7,217828,10186278,150866
13,3,189539,9160993,133764
13,5,159011,8450685,115895
13,6,151407,7631071,112159
13,2,162138,8247767,121474
13,1,181158,8824345,129727
13,4,160170,7978432,117368
13,7,231786,11069232,164945
14,3,185643,9080692,133604
14,5,157459,8340983,114874
14,6,157845,7808185,115922
14,2,168039,8620849,127798
14,1,175695,8578408,126653
14,4,150224,7526458,111107
14,7,207444,9912637,147870
15,3,136776,65349195,99540
15,5,130006,50724963,100783
15,6,113984,48182036,83407
15,1,132982,51531434,97229
15,4,120560,50667415,90809
15,2,104860,50378396,80234
15,7,178744,47601044,129280
16,3,196475,9353853,136528
16,5,182232,9618535,131257
16,6,147070,7466845,109877
16,1,143570,7132703,103950
16,2,158763,8090221,118922
16,4,166306,8307542,122457
16,7,207839,9346099,138450
17,3,183728,8818647,129039
17,5,166763,8856749,121639
17,6,154308,7699205,113032
17,1,139322,7001436,102315
17,4,153046,7606647,111425
17,2,174759,8878373,131177
17,7,228718,10611992,157698
18,3,184584,8955996,130732
18,5,167678,8921317,122938
18,6,158669,8016782,118227
18,1,134263,6638620,97005
18,4,168753,8253261,121369
18,2,179518,9149702,135118
18,7,223953,10749406,159796
19,3,181137,8740556,128539
19,5,168675,9094893,126461
19,6,163303,8253398,121842
19,1,152409,7472583,110326
19,4,152871,7756512,114909
19,2,153295,8056518,119427
19,7,199769,9259185,137819
20,3,95726,60505380,69510
20,5,85209,50710847,62173
20,6,70100,46100579,52884
20,1,84052,50007372,63511
20,4,88833,48355932,68877
20,2,89799,46326915,67960
20,7,147699,41244110,106410
21,3,192689,9215542,134918
21,5,165260,8951760,124548
21,6,162542,8232963,121031
21,1,145720,7120499,104181
21,2,164915,8408600,123758
21,4,167557,8399977,123419
21,7,239720,11610957,172620
22,3,185785,9074042,132793
22,5,160033,8523230,118953
22,6,174137,8642595,127453
22,1,148890,7314251,107521
22,2,172617,8722693,129144
22,4,168043,8245873,121212
22,7,244594,11576642,172332
23,3,194500,9411313,137908
23,5,163936,8597411,120569
23,6,161778,8197565,120415
23,1,159095,7798608,114855
23,2,188487,9718331,143234
23,4,156098,7624543,112309
23,7,237579,11247537,167470
24,3,203672,9610152,141408
24,5,180601,9640215,135040
24,1,157753,7776993,114629
24,6,166867,8384517,123816
24,2,168183,8611174,127384
24,4,163456,8126128,119721
24,7,240579,11219863,166822
