moment,node,recv_packets,send_bytes,send_packets
1,2,70,21362,66
1,5,67,32130,69
1,3,67,18982,67
1,1,69,28070,66
1,6,53,11065,50
1,4,90,33390,87
1,7,50,24894,53
2,2,11763,180360311,9834
2,5,17,6112,24
2,3,16,5811,23
2,1,27,6236,38
2,6,4598,336013,4380
2,4,1532,259461,1568
2,7,17,5160,24
3,2,7815,495418776,10114
3,5,4993,204357,2917
3,3,4959,197522,2769
3,1,4826,303493,2866
3,4,5929,133471652,5028
3,6,5577,271082171,6230
3,7,5688,211513,3018
4,6,1987,232698,1660
4,2,19482,1186629,14510
4,1,2756,204200,2118
4,5,2638,227854,1627
4,3,2001,184196,1630
4,4,2083,221025,1446
4,7,3557,168573,1764
5,2,162803,8493586,113557
5,6,147072,7110610,102505
5,1,140214,7670147,107435
5,5,159024,7702853,111230
5,3,151317,7406269,106711
5,7,191880,8376949,121585
5,4,149866,7205944,103934
6,2,87576,4724211,60138
6,6,93485,4571570,65921
6,1,112891,6151388,86907
6,7,125524,5228821,76085
6,5,113455,5529807,80184
6,3,98725,4754589,68435
6,4,88271,4271819,61252
7,1,162256,9581803,132779
7,6,170419,8192310,117466
7,2,172479,9605781,121260
7,7,238340,10113571,146829
7,4,162592,7935515,113888
7,5,182994,8768803,126493
7,3,170983,8191468,117658
8,6,144567,20612217,101817
8,1,140683,21684773,107258
8,2,148143,22847617,104992
8,4,135465,19974587,92458
8,3,155146,20379456,108984
8,7,197885,21793225,123313
8,5,153734,22352669,106605
9,6,132433,16508344,91669
9,1,124122,21608181,96744
9,2,132979,21568508,92378
9,4,130527,17969652,92427
9,3,133517,19453547,92810
9,5,126389,20268518,87271
9,7,172765,20430089,107622
10,1,135859,7474213,105569
10,6,132937,6530570,94215
10,2,143523,7681194,99487
10,4,149390,7349916,106084
10,3,157013,7607093,110230
10,5,157813,7739045,111944
10,7,198952,8357057,121280
