moment,node,load5,load10,load15,procs
1,3,0.82,3.77,3.5,497
1,2,0.79,5.3,6.72,499
1,5,0.91,4.06,4.3,497
1,4,1.1,4.45,4.14,505
1,1,0.92,3.94,3.78,499
1,7,0.77,3.56,3.37,497
1,6,0.79,3.72,3.73,499
2,2,0.72,5.21,6.68,540
2,3,0.75,3.71,3.49,498
2,5,0.84,3.99,4.27,497
2,4,1.02,4.37,4.12,505
2,1,0.85,3.87,3.76,500
2,7,0.71,3.5,3.35,497
2,6,0.72,3.66,3.71,499
3,3,0.69,3.65,3.47,541
3,2,0.75,5.14,6.65,641
3,5,0.77,3.93,4.25,539
3,4,0.93,4.3,4.1,544
3,1,0.78,3.81,3.74,543
3,7,0.65,3.44,3.33,538
3,6,0.66,3.6,3.69,537
4,2,0.68,5.05,6.62,759
4,3,0.63,3.59,3.45,615
4,4,0.86,4.23,4.08,623
4,5,0.71,3.86,4.23,615
4,1,0.88,3.78,3.73,617
4,7,0.6,3.39,3.31,617
4,6,0.69,3.55,3.68,621
5,4,1.27,4.26,4.09,645
5,5,1.29,3.93,4.25,635
5,2,1.35,5.12,6.63,788
5,3,0.9,3.6,3.45,636
5,1,0.81,3.72,3.71,636
5,7,0.87,3.4,3.31,635
5,6,1.04,3.58,3.68,639
6,3,1.55,3.68,3.48,635
6,4,1.57,4.27,4.09,644
6,2,2.28,5.25,6.66,788
6,1,1.22,3.75,3.72,635
6,5,1.75,3.98,4.26,634
6,7,1.2,3.42,3.32,635
6,6,1.67,3.67,3.71,638
7,3,2.55,3.86,3.54,635
7,1,1.68,3.81,3.74,635
7,4,2.08,4.33,4.11,644
7,2,3.06,5.36,6.69,788
7,5,2.09,4.02,4.27,634
7,6,2.18,3.74,3.74,637
7,7,1.51,3.45,3.33,635
8,3,2.91,3.91,3.56,635
8,1,1.87,3.81,3.74,636
8,4,2.48,4.38,4.13,644
8,2,3.7,5.46,6.72,788
8,5,2.4,4.05,4.28,634
8,6,2.65,3.81,3.76,638
8,7,1.95,3.51,3.35,635
