moment,node,load5,load10,load15,procs
1,6,1.29,3.59,4.25,496
1,5,1.04,2.92,3.3,510
1,2,1.22,3.21,3.4,515
1,3,1.93,3.82,3.4,514
1,4,1.55,3.85,3.69,513
1,1,1.14,3.78,4.88,511
1,7,1.68,5.09,4.85,511
2,6,1.18,3.53,4.23,496
2,5,1.04,2.89,3.29,512
2,2,1.12,3.16,3.38,515
2,3,1.78,3.76,3.38,554
2,4,1.43,3.79,3.67,513
2,1,1.05,3.71,4.85,511
2,7,1.54,5.01,4.83,510
3,3,1.88,3.74,3.38,707
3,6,1.25,3.51,4.21,590
3,5,1.04,2.85,3.28,604
3,7,1.42,4.92,4.8,687
3,2,1.03,3.11,3.36,617
3,4,1.31,3.73,3.65,590
3,1,0.96,3.65,4.83,605
4,7,1.31,4.84,4.77,709
4,3,1.81,3.7,3.37,731
4,6,1.63,3.55,4.22,632
4,5,1.51,2.92,3.3,651
4,2,1.43,3.15,3.38,650
4,4,1.45,3.71,3.65,648
4,1,1.05,3.62,4.81,643
5,3,2.14,3.74,3.38,738
5,6,2.14,3.62,4.24,634
5,7,2,4.93,4.8,716
5,5,2.35,3.07,3.34,655
5,2,2.03,3.25,3.41,652
5,4,2.14,3.82,3.68,651
5,1,1.97,3.73,4.84,647
6,3,2.61,3.81,3.41,738
6,6,2.37,3.65,4.25,634
6,7,2.88,5.06,4.85,716
6,4,2.6,3.89,3.7,651
6,2,2.35,3.3,3.42,652
6,5,2.89,3.17,3.37,655
6,1,2.29,3.77,4.84,647
7,6,2.66,3.68,4.26,634
7,3,3.36,3.94,3.45,738
7,4,2.8,3.91,3.71,651
7,7,3.69,5.19,4.89,716
7,2,3.04,3.42,3.46,652
7,5,3.94,3.39,3.44,655
7,1,2.59,3.81,4.85,647
8,6,3.41,3.82,4.3,634
8,4,3.05,3.94,3.72,651
8,7,3.96,5.22,4.9,716
8,3,3.57,3.98,3.47,738
8,2,3.44,3.5,3.49,652
8,1,3.1,3.9,4.87,647
8,5,4.18,3.45,3.46,654
9,6,3.78,3.89,4.32,634
9,4,3.29,3.98,3.74,651
