moment,node,load5,load10,load15,procs
1,3,1.06,3.63,6.8,516
1,2,2.53,2.77,4.39,514
1,5,2.27,2.41,4.63,514
1,1,3.77,3.78,5.08,516
1,4,2.82,2.93,4.71,512
1,6,1.22,2.22,4.34,498
1,7,1.03,1.82,3.34,511
2,3,0.97,3.57,6.76,515
2,2,2.33,2.73,4.36,514
2,5,2.09,2.37,4.61,514
2,1,3.47,3.71,5.06,517
2,4,2.67,2.89,4.69,512
2,6,1.12,2.19,4.32,498
2,7,0.94,1.79,3.33,552
3,3,0.89,3.51,6.73,692
3,2,2.14,2.68,4.34,648
3,5,1.92,2.33,4.58,650
3,1,3.35,3.68,5.04,655
3,4,2.46,2.85,4.66,646
3,6,1.28,2.2,4.31,635
3,7,1.19,1.82,3.33,729
4,3,0.9,3.47,6.7,726
4,5,2.41,2.42,4.6,657
4,2,2.13,2.67,4.33,660
4,4,2.42,2.83,4.65,651
4,1,3.72,3.76,5.06,655
4,6,1.89,2.31,4.34,641
4,7,1.17,1.81,3.32,728
5,3,1.71,3.6,6.72,724
5,5,2.7,2.48,4.61,655
5,2,2.52,2.74,4.34,658
5,1,3.98,3.81,5.07,652
5,4,2.79,2.9,4.66,649
5,6,2.46,2.42,4.36,639
5,7,1.64,1.9,3.34,727
6,3,2.14,3.65,6.72,724
6,5,3.12,2.57,4.63,655
6,2,2.96,2.83,4.36,658
6,1,4.39,3.9,5.09,652
6,4,3.37,3.02,4.69,650
6,6,2.91,2.52,4.38,639
6,7,2.07,1.98,3.36,727
7,3,3.01,3.81,6.76,723
7,5,3.43,2.65,4.64,655
7,2,3.2,2.88,4.37,658
7,1,4.68,3.96,5.1,652
7,4,3.58,3.07,4.7,649
7,6,3.24,2.59,4.4,639
7,7,2.55,2.08,3.38,727
8,3,3.57,3.91,6.77,723
8,5,3.72,2.72,4.65,655
8,2,3.51,2.95,4.38,657
8,1,5.1,4.07,5.13,652
8,4,3.69,3.1,4.7,649
8,6,3.54,2.66,4.41,639
8,7,2.74,2.13,3.39,727
9,3,3.68,3.93,6.76,724
9,5,3.42,2.68,4.63,653
9,2,3.87,3.04,4.4,657
9,1,4.77,4.01,5.11,650
9,4,3.88,3.15,4.7,647
9,6,3.33,2.64,4.39,637
9,7,3.08,2.21,3.41,725
10,3,4.59,4.11,6.81,774
10,5,3.71,2.75,4.64,691
10,1,4.79,4.03,5.11,688
10,4,3.65,3.11,4.68,681
10,2,3.58,3,4.38,690
10,6,3.47,2.68,4.4,675
10,7,2.84,2.17,3.39,762
11,3,5.18,4.24,6.84,774
11,5,3.81,2.79,4.64,691
11,1,4.89,4.06,5.11,688
11,2,4.02,3.1,4.4,690
11,4,3.91,3.18,4.7,681
11,6,3.83,2.77,4.42,675
11,7,3.01,2.22,3.4,763
12,3,6.45,4.52,6.91,782
12,5,4.15,2.87,4.66,695
12,2,4.34,3.18,4.42,696
12,6,4.16,2.85,4.44,680
12,1,5.14,4.13,5.13,691
12,4,4.32,3.27,4.72,687
12,7,3.49,2.33,3.43,769
13,3,6.97,4.66,6.95,782
13,5,4.54,2.97,4.68,695
13,6,4.47,2.94,4.45,680
13,2,4.47,3.23,4.43,696
13,1,5.21,4.16,5.13,691
13,4,4.7,3.37,4.74,687
13,7,3.93,2.44,3.46,769
14,3,7.38,4.79,6.97,782
14,5,4.25,2.94,4.66,695
14,6,4.19,2.91,4.44,680
14,2,4.27,3.21,4.42,696
14,1,4.95,4.12,5.12,691
14,4,4.96,3.45,4.76,687
14,7,4.26,2.54,3.49,767
15,3,6.79,4.71,6.93,796
15,5,4.15,2.94,4.65,700
15,6,4.26,2.94,4.44,685
15,1,4.79,4.1,5.1,700
15,4,4.72,3.42,4.75,698
15,2,4.41,3.26,4.43,700
15,7,3.92,2.49,3.47,759
16,3,7.28,4.84,6.97,792
16,5,4.46,3.03,4.67,698
16,6,4.56,3.03,4.46,683
16,1,5.05,4.17,5.12,698
16,2,4.54,3.3,4.43,698
16,4,4.83,3.47,4.75,696
16,7,3.76,2.49,3.46,757
17,3,7.66,4.96,7,792
17,5,4.9,3.14,4.7,698
17,6,4.75,3.09,4.47,683
17,1,5.29,4.23,5.14,698
17,4,5.16,3.56,4.78,696
17,2,4.82,3.38,4.45,698
17,7,4.26,2.61,3.49,757
18,3,7.77,5.03,7.01,792
18,5,5.15,3.22,4.72,698
18,6,5.17,3.21,4.5,683
18,1,5.5,4.3,5.15,698
18,4,5.31,3.62,4.79,696
18,2,4.83,3.41,4.46,698
18,7,4.48,2.68,3.51,757
19,3,8.27,5.18,7.04,790
19,5,4.9,3.2,4.7,697
19,6,4.92,3.19,4.49,683
19,1,5.14,4.24,5.13,697
19,4,5.52,3.69,4.81,694
19,2,4.44,3.35,4.43,697
19,7,4.76,2.77,3.54,756
20,3,7.61,5.09,7.01,792
20,5,5.07,3.27,4.72,698
20,6,4.93,3.22,4.49,683
20,1,5.13,4.25,5.13,698
20,4,5.08,3.63,4.78,696
20,2,4.33,3.34,4.43,698
20,7,4.38,2.73,3.52,757
21,3,7.56,5.12,7.01,792
21,5,5.06,3.3,4.72,698
21,6,5.25,3.31,4.52,683
21,1,5.44,4.33,5.15,698
21,2,4.62,3.42,4.44,698
21,4,4.75,3.58,4.76,696
21,7,4.35,2.75,3.52,757
22,3,8.07,5.27,7.04,792
22,5,5.06,3.32,4.72,697
22,6,5.31,3.36,4.52,683
22,1,5.89,4.44,5.18,697
22,2,4.81,3.48,4.46,698
22,4,5.02,3.66,4.78,696
22,7,4.64,2.83,3.55,757
23,3,8.55,5.42,7.08,796
23,5,5.29,3.4,4.74,700
23,6,5.37,3.4,4.53,685
23,1,5.9,4.47,5.18,699
23,2,4.99,3.54,4.47,702
23,4,5.25,3.73,4.8,697
23,7,4.99,2.94,3.58,760
24,3,8.58,5.48,7.09,795
24,5,5.43,3.46,4.75,700
24,1,5.91,4.5,5.19,699
24,6,5.18,3.39,4.52,684
24,2,4.67,3.5,4.45,701
24,4,5.47,3.8,4.81,697
24,7,5.31,3.04,3.6,759
