moment,node,load5,load10,load15,procs
1,2,0.42,1.27,1.79,512
1,5,0.69,1.61,2.02,508
1,3,1.84,3.71,3.29,512
1,1,1.03,2.64,2.85,506
1,6,0.65,1.61,1.98,494
1,4,0.89,1.3,1.58,510
1,7,1.11,1.9,2,506
2,2,0.39,1.25,1.78,553
2,5,0.63,1.58,2.01,508
2,3,1.69,3.65,3.27,512
2,1,0.95,2.59,2.83,506
2,6,0.6,1.59,1.97,494
2,4,0.9,1.29,1.58,511
2,7,1.02,1.87,1.99,506
3,2,0.44,1.25,1.77,719
3,5,0.66,1.57,2,629
3,3,1.79,3.64,3.27,646
3,1,1.2,2.62,2.84,697
3,4,0.83,1.27,1.57,636
3,6,0.63,1.58,1.97,620
3,7,1.1,1.87,1.99,640
4,6,0.58,1.55,1.95,637
4,2,0.8,1.31,1.79,734
4,1,1.1,2.57,2.83,715
4,5,0.85,1.6,2.01,649
4,3,2.29,3.71,3.29,650
4,4,0.76,1.25,1.56,651
4,7,1.01,1.84,1.98,645
5,2,0.98,1.34,1.8,733
5,6,0.85,1.59,1.97,634
5,1,1.65,2.66,2.85,713
5,5,1.02,1.62,2.01,647
5,3,2.27,3.68,3.29,648
5,7,1.17,1.86,1.99,643
5,4,0.94,1.28,1.57,649
6,2,0.9,1.32,1.79,766
6,6,0.87,1.58,1.96,669
6,1,1.68,2.65,2.85,764
6,7,1.07,1.83,1.98,677
6,5,0.94,1.59,2,680
6,3,2.25,3.66,3.28,684
6,4,0.86,1.26,1.56,682
7,1,1.87,2.67,2.85,764
7,6,1.52,1.7,2,669
7,2,1.07,1.35,1.79,766
7,7,1.07,1.82,1.97,676
7,4,1.44,1.37,1.59,682
7,5,1.26,1.65,2.02,678
7,3,2.47,3.68,3.29,682
8,6,2.04,1.81,2.03,685
8,1,2.44,2.78,2.89,793
8,2,1.7,1.47,1.83,781
8,4,2.04,1.5,1.63,700
8,3,2.59,3.68,3.29,702
8,7,1.54,1.9,2,695
8,5,1.48,1.69,2.03,698
9,6,1.87,1.78,2.02,685
9,1,2.24,2.73,2.87,793
9,2,1.57,1.45,1.82,781
9,4,1.88,1.47,1.63,699
9,3,2.62,3.67,3.29,702
9,5,1.36,1.66,2.02,698
9,7,1.5,1.89,1.99,696
10,1,2.38,2.75,2.88,792
10,6,1.72,1.75,2.01,684
10,2,1.84,1.51,1.84,781
10,4,2.13,1.53,1.64,700
10,3,2.73,3.68,3.29,702
10,5,1.33,1.65,2.01,698
10,7,1.86,1.96,2.02,696
