moment,node,bytes_read,bytes_write,io_read,io_write,time_spent_read,time_spent_write
1,3,0,187064320,0,36,0,0.0479999999995329
1,4,0,36864,0,8,0,0
1,5,0,187117568,0,44,0,0.0680000000004242
1,2,0,278016000,0,37,0,0.0439999999993432
1,1,0,278102016,0,38,0,0.0360000000003424
1,7,0,213827584,0,50,0,0.0720000000003438
1,6,0,142688256,0,33,0,0.0360000000005272
2,3,0,12288,0,1,0,0
2,4,0,221184,0,11,0,0.0359999999999019
2,5,0,356352,0,31,0,0
2,2,0,61440,0,3,0,0.00399999999999068
2,1,0,135168,0,19,0,0.272000000000006
2,7,0,8192,0,2,0,0
2,6,0,741376,0,10,0,0.00799999999981083
3,3,0,151552,0,17,0,0.0320000000007212
3,4,0,122880,0,5,0,0.0200000000006213
3,5,65536,131072,7,7,0.00799999999999912,0.00799999999981083
3,2,0,12288,0,2,0,0
3,7,0,90112,0,6,0,0.0279999999999916
3,1,0,1015808,0,17,0,0.0320000000003375
3,6,0,348160,0,29,0,0.0400000000000063
4,3,0,319488,0,8,0,0.00799999999981083
4,5,0,122114048,0,972,0,99.5639999999995
4,4,0,311296,0,7,0,0.051999999999822
4,2,0,311296,0,9,0,0.0119999999998157
4,7,0,34480128,0,270,0,11.0639999999995
4,1,0,536576,0,40,0,0.0119999999998157
4,6,0,331776,0,8,0,0.0119999999998015
5,3,0,68231168,0,524,0,19.6800000000003
5,4,0,68227072,0,524,0,35.692
5,5,0,260575232,0,2106,0,195.508000000001
5,7,0,68468736,0,528,0,20.2799999999997
5,1,0,68231168,0,524,0,21.4479999999994
5,2,0,68222976,0,524,0,20.3640000000005
5,6,0,68329472,0,544,0,41.3000000000003
6,4,0,651264,0,46,0,0.0879999999998091
6,5,0,290816,0,13,0,0.127999999999815
6,3,0,155648,0,5,0,0.00799999999981083
6,7,0,0,0,0,0,0
6,1,0,163840,0,6,0,0.0440000000006222
6,2,0,561152,0,51,0,0.203999999999709
6,6,0,196608,0,10,0,0.00799999999981083
7,5,0,0,0,0,0,0
7,4,0,0,0,0,0,0
7,7,0,589824,0,39,0,0.019999999999996
7,2,0,53248,0,5,0,0
7,3,0,479232,0,39,0,0
7,1,0,24576,0,3,0,0
7,6,0,4096,0,1,0,0
