moment,node,bytes_read,bytes_write,io_read,io_write,time_spent_read,time_spent_write
1,5,0,71847936,0,22,0,0.0159999999996217
1,2,0,141324288,0,29,0,0.0239999999996314
1,3,0,71761920,0,26,0,0.032000000001446
1,4,0,107741184,0,33,0,0.0159999999996217
1,1,0,140587008,0,35,0,0.0159999999996217
1,7,0,72249344,0,83,0,0.191999999999624
1,6,0,71872512,0,29,0,0.0560000000006227
2,5,0,4096,0,1,0,0
2,3,0,0,0,0,0,0
2,2,0,49152,0,2,0,0.00400000000081491
2,4,0,86016,0,16,0,0.111999999999995
2,1,0,73728,0,4,0,0.00799999999981083
2,7,0,12288,0,2,0,0
2,6,0,77824,0,2,0,0.00400000000000489
3,3,0,81920,0,6,0,0.00799999999981083
3,2,0,153464832,0,1200,0,123.212000000001
3,5,0,44609536,0,368,0,16.8079999999991
3,4,0,85327872,0,681,0,59.0160000000006
3,1,0,266240,0,27,0,0.0120000000006257
3,7,0,0,0,0,0,0
3,6,0,111570944,0,922,0,84.8720000000004
4,5,0,34447360,0,268,0,10.0720000000001
4,3,0,111824896,0,944,0,85.0519999999998
4,2,0,30175232,0,249,0,7.26799999999955
4,4,0,50667520,0,391,0,22.0159999999996
4,1,0,323584,0,7,0,0.0119999999988067
4,6,0,67801088,0,585,0,41.9279999999999
4,7,0,327680,0,7,0,0.0120000000006257
5,3,0,135790592,0,1115,0,73.6080000000002
5,5,0,34254848,0,265,0,9.85999999999996
5,2,0,68362240,0,526,0,34.5560000000005
5,1,0,68206592,0,522,0,31.0239999999994
5,4,0,68206592,0,522,0,23.4359999999997
5,6,0,102309888,0,783,0,69.7559999999994
5,7,0,68222976,0,524,0,37.5840000000007
6,5,0,126976,0,14,0,0.039999999999992
6,3,0,290816,0,10,0,0.0639999999988135
6,2,0,122880,0,8,0,0.0119999999988067
6,1,0,299008,0,23,0,0.148000000000636
6,6,0,196608,0,5,0,0.0120000000006257
6,4,0,237568,0,11,0,0.104000000000624
6,7,0,200704,0,10,0,0.0319999999988028
7,5,0,61440,0,5,0,0
7,3,0,53248,0,5,0,0.00400000000081491
7,2,0,16384,0,3,0,0.00799999999981083
7,4,0,49152,0,5,0,0
7,1,0,65536,0,3,0,0
7,6,0,77824,0,7,0,0.0360000000000014
7,7,0,77824,0,7,0,0.00799999999981083
8,5,0,4096,0,1,0,0
8,3,0,20480,0,3,0,0.00399999999899592
8,2,0,4096,0,1,0,0
8,1,0,90112,0,4,0,0
8,4,0,0,0,0,0,0
8,6,0,110592,0,18,0,0.168000000000006
8,7,0,94208,0,16,0,0.220000000000823
9,5,0,327680,0,35,0,0
9,3,0,61440,0,4,0,0
9,2,0,0,0,0,0,0
9,4,0,94208,0,15,0,0.00799999999999557
9,1,0,178778112,0,1505,0,159.291999999999
9,6,0,45056,0,4,0,0
9,7,0,331776,0,4,0,0
10,5,4096,212897792,1,1769,0.0840000000000001,194.824
10,3,0,606208,0,17,0,0.0360000000008114
10,2,0,179093504,0,1543,0,164.936000000001
10,4,4096,179134464,1,1540,0.1,152.283999999999
10,6,0,729088,0,91,0,0.0360000000000014
10,1,0,581632,0,50,0,0.0440000000016312
10,7,0,178847744,0,1511,0,163.979999999999
11,5,0,34254848,0,268,0,9.63600000000042
11,3,0,68411392,0,555,0,23.9200000000001
11,2,0,68468736,0,548,0,36.1280000000006
11,4,0,68284416,0,527,0,24.3760000000002
11,6,0,102260736,0,786,0,42.9399999999987
11,1,0,68132864,0,523,0,38.5919999999987
11,7,0,68665344,0,564,0,37.9360000000015
12,5,0,73728,0,8,0,0.020000000000806
12,3,0,155648,0,25,0,0.184000000000623
12,2,0,45056,0,4,0,0.00399999999899592
12,4,0,53248,0,6,0,0
12,6,0,40960,0,4,0,0.00400000000081491
12,1,0,61440,0,5,0,0
12,7,0,61440,0,6,0,0.00799999999981083
13,5,0,57344,0,12,0,0
13,3,0,28672,0,4,0,0.00399999999899592
13,2,0,0,0,0,0,0
13,4,0,16384,0,2,0,0
13,6,0,16384,0,2,0,0
13,1,0,102400,0,19,0,0.00400000000081491
13,7,0,40960,0,6,0,0.00399999999899592
14,5,0,0,0,0,0,0
14,2,0,0,0,0,0,0
14,3,0,12288,0,2,0,0.00400000000081491
14,4,0,12288,0,2,0,0
14,6,0,45056,0,2,0,0
14,1,0,0,0,0,0,0
14,7,0,24576,0,4,0,0.00400000000081491
15,5,0,20480,0,3,0,0
15,2,0,12288,0,2,0,0.0360000000000014
15,3,0,16384,0,2,0,0
15,6,0,69632,0,4,0,0.00400000000081491
15,1,0,16384,0,2,0,0
15,4,0,16384,0,2,0,0
15,7,0,40960,0,7,0,0
16,5,0,466944,0,8,0,0.0119999999988067
16,2,0,434176,0,11,0,0.0480000000006271
16,3,0,352256,0,8,0,0.0119999999988067
16,6,0,593920,0,14,0,0.0919999999984213
16,1,0,385024,0,8,0,0.0239999999994325
16,4,0,405504,0,21,0,0.300000000000622
16,7,0,2138112,0,24,0,0.0399999999990541
17,2,0,120672256,0,939,0,93.4679999999989
17,5,0,120786944,0,943,0,91.4920000000002
17,3,0,123031552,0,957,0,93.7560000000012
17,6,0,565248,0,21,0,0.0160000000014406
17,4,0,120647680,0,943,0,96.5239999999994
17,1,0,86016,0,4,0,0.0280000000006169
17,7,0,110592,0,5,0,0.0120000000006257
18,5,0,776675328,0,5985,0,861.596000000001
18,2,4096,986157056,1,7598,0.104,1051.68
18,3,0,865914880,0,6673,0,932.12
