moment,node,bytes_read,bytes_write,io_read,io_write,time_spent_read,time_spent_write
1,2,0,49152,0,2,0,0
1,5,0,140496896,0,26,0,0.0160000000032596
1,3,0,151552,0,14,0,0.179999999999993
1,4,0,49152,0,2,0,0
1,1,0,140525568,0,33,0,0.0199999999967986
1,6,0,40960,0,4,0,0.00400000000081491
1,7,0,28672,0,2,0,0.00400000000081491
2,3,0,425984,0,35,0,0
2,2,0,77824,0,7,0,0
2,5,0,6807552,0,59,0,0.575999999993655
2,4,0,90112,0,12,0,0.123999999993543
2,1,0,16384,0,4,0,0.00400000000000489
2,6,0,352256,0,42,0,0
2,7,0,36864,0,5,0,0
3,4,0,303104,0,26,0,0.00400000000081491
3,3,0,147456,0,10,0,0.00400000000000489
3,2,0,413696,0,35,0,0.00800000000162981
3,5,0,393216,0,34,0,0.00400000000081491
3,1,0,6197248,0,68,0,0.595999999998298
3,6,0,49152,0,4,0,0.00800000000162981
3,7,0,602112,0,37,0,0.0120000000024447
4,3,0,34394112,0,268,0,10.5999999999985
4,4,0,111288320,0,883,0,88.1880000000019
4,1,0,344064,0,7,0,0.0120000000024447
4,5,0,401408,0,24,0,0.256000000002444
4,2,0,290816,0,7,0,0.0120000000024447
4,6,0,397312,0,27,0,0.207999999995167
4,7,0,188416,0,4,0,0.0119999999951688
5,3,0,34103296,0,261,0,9.98400000000402
5,5,0,68427776,0,531,0,36.5040000000008
5,1,0,102551552,0,812,0,61.0639999999985
5,4,0,180465664,0,1503,0,134.784
5,2,0,68222976,0,524,0,20.7319999999963
5,6,0,68280320,0,529,0,32.3120000000054
5,7,0,68222976,0,524,0,21.1440000000002
6,3,0,126976,0,4,0,0.0120000000024447
6,1,0,204800,0,5,0,0.00800000000162981
6,5,0,73728,0,6,0,0.00400000000081491
6,4,0,106496,0,4,0,0.00400000000081491
6,2,0,163840,0,5,0,0.00800000000162981
6,7,0,299008,0,20,0,0.192000000001627
6,6,0,188416,0,6,0,0.0119999999951688
7,4,0,94208,0,19,0,0.251999999999995
7,5,0,40960,0,5,0,0.00400000000081491
7,1,0,24576,0,3,0,0.0120000000000005
7,3,0,24576,0,4,0,0
7,2,0,114688,0,18,0,0.151999999999987
7,7,0,69632,0,7,0,0.00400000000081491
7,6,0,12288,0,2,0,0
8,5,0,135270400,0,1033,0,110.752
8,1,0,0,0,0,0,0
8,4,0,102400,0,6,0,0
8,3,0,106496,0,21,0,0.244
8,2,0,61440,0,6,0,0
8,7,0,71946240,0,571,0,43.4119999999966
8,6,0,135294976,0,1035,0,107.476000000002
9,1,0,622592,0,15,0,0.0960000000024479
9,5,0,2482176,0,24,0,0.067999999995223
9,3,0,352256,0,10,0,0.00799999999435386
9,4,0,417792,0,12,0,0.0160000000032596
9,2,0,479232,0,11,0,0.0120000000024447
9,7,0,151683072,0,1276,0,165.896000000005
9,6,0,520192,0,24,0,0.0120000000024447
10,1,0,184352768,0,1579,0,171.519999999997
10,5,0,181051392,0,1557,0,156.964
10,3,0,214769664,0,1786,0,184.255999999999
10,4,0,3629056,0,37,0,0.079999999999302
10,2,0,182804480,0,1570,0,161.839999999998
10,7,0,6119424,0,82,0,0.29599999999482
10,6,0,182472704,0,1539,0,161.439999999997
11,1,0,102514688,0,787,0,74.3480000000054
11,5,0,68567040,0,540,0,38.0520000000033
11,3,0,35037184,0,305,0,9.65600000000268
11,4,0,68378624,0,526,0,39.9079999999958
11,2,0,68431872,0,526,0,36.4599999999991
11,7,0,68861952,0,548,0,38.0560000000033
11,6,0,68562944,0,540,0,37.0160000000008
12,1,0,1118208,0,46,0,0.0119999999951688
12,5,0,2215936,0,21,0,0.0639999999984866
12,4,0,1114112,0,47,0,0.00800000000162981
12,3,0,2220032,0,21,0,0.044000000001688
12,2,0,516096,0,5,0,0.00800000000162981
12,6,0,540672,0,7,0,0.0119999999951688
12,7,0,524288,0,11,0,0.0480000000024461
13,5,0,495616,0,5,0,0.0120000000024447
13,1,0,671744,0,8,0,0.0120000000024447
13,4,0,552960,0,21,0,0.15600000000245
13,3,0,491520,0,7,0,0.0120000000024447
13,2,0,471040,0,13,0,0.00800000000162981
13,6,0,479232,0,5,0,0.00800000000162981
13,7,0,442368,0,17,0,0.0159999999959837
14,5,0,462135296,0,3588,0,491.051999999996
14,1,0,483328,0,6,0,0.0159999999959837
14,4,0,476585984,0,3704,0,498.771999999997
14,3,0,505430016,0,3926,0,526.231999999996
14,6,0,307200,0,5,0,0.0279999999984284
14,2,0,360448,0,10,0,0.0479999999951701
14,7,0,303104,0,6,0,0.00800000000162981
15,5,0,5251072,0,46,0,0.292000000001281
15,1,0,606744576,0,4718,0,678.204000000006
15,4,0,479232,0,9,0,0.0160000000032596
15,3,0,516096,0,17,0,0.124000000002439
15,2,0,404115456,0,3140,0,398.716
15,6,0,419266560,0,3293,0,423.032000000007
15,7,0,361103360,0,2808,0,352.580000000002
16,5,0,1167360,0,26,0,0.00800000000162981
16,1,0,528384,0,17,0,0.0199999999967986
16,4,0,335872,0,6,0,0.0119999999951688
16,3,0,389120,0,6,0,0.0119999999951688
16,2,0,372736,0,7,0,0.0120000000016347
16,6,0,405504,0,8,0,0.0279999999967941
16,7,0,4943872,0,46,0,0.311999999998079
17,5,0,715689984,0,77,0,0.116000000001691
17,1,0,715792384,0,58,0,0.044000000001688
17,4,0,715587584,0,63,0,0.044000000001688
17,3,0,715665408,0,67,0,0.0679999999993015
17,2,0,1011712,0,43,0,0.0120000000024447
17,6,0,528384,0,25,0,0.332000000001628
17,7,0,49152,0,2,0,0.00399999999999068
18,5,0,340754432,0,2620,0,327.199999999997
18,1,4096,764796928,1,5934,0.044,791.008000000002
18,4,0,72515584,0,561,0,43.7799999999988
18,3,0,353841152,0,2741,0,294.896000000001
18,2,4096,1320853504,1,4708,0.0880000000000001,621.951999999997
18,6,0,627355648,0,4820,0,649.432000000001
18,7,0,716242944,0,115,0,0.0559999999968568
19,5,8192,351875072,2,2707,0.16,390.148000000001
19,1,0,144945152,0,1116,0,180.699999999997
19,4,4096,641691648,1,4931,0.112,711.215999999999
19,2,0,504410112,0,3873,0,517.995999999999
19,3,4096,404574208,1,3114,0.152,463.860000000005
19,6,0,194588672,0,1493,0,154.563999999998
19,7,4096,562384896,1,4319,0.0840000000000001,577.640000000007
20,5,0,1384235008,0,10630,0,1622.852
20,1,4096,1816866816,1,13952,0.156,2147.164
20,4,4096,1428316160,1,11013,0.152,1637.09600000001
20,3,0,1513963520,0,11628,0,1792.408
20,2,0,101654528,0,788,0,128.384000000004
20,7,0,1059713024,0,8149,0,1215.46399999999
20,6,4096,433229824,1,3331,0.144,486.108
21,5,0,339968,0,6,0,0.00800000000162981
21,1,0,516096,0,12,0,0.0960000000024479
21,4,0,393216,0,8,0,0.0159999999959837
21,2,4096,606015488,1,4670,0.164,622.675999999996
21,3,0,376832,0,9,0,0.0120000000024447
21,7,0,606208,0,10,0,0.00800000000162981
21,6,0,1342459904,0,4872,0,665.943999999996
22,5,4096,594292736,1,4568,0.104,615.599999999999
22,1,0,335605760,0,2579,0,342.040000000001
22,4,0,294596608,0,2264,0,293.203999999998
22,3,4096,426504192,1,3290,0.0800000000000001,360.643999999999
22,2,0,605646848,0,4654,0,624.428
22,6,0,628318208,0,4870,0,667.260000000004
22,7,4096,407162880,1,3126,0.1,389.260000000002
23,5,0,104194048,0,814,0,130.007999999999
23,1,0,573595648,0,4416,0,710.368000000002
23,4,0,419655680,0,3227,0,483.856000000007
23,2,0,385024,0,6,0,0.00800000000162981
23,3,0,331059200,0,2546,0,409.599999999999
23,6,0,401408,0,18,0,0.0120000000024447
23,7,0,139825152,0,1085,0,133.835999999996
24,5,0,1454080,0,53,0,0.0120000000024447
24,1,0,700416,0,7,0,0.0119999999951688
24,2,0,1286144,0,54,0,0.0160000000024496
24,3,0,524288,0,8,0,0.00800000000162981
24,4,0,573440,0,10,0,0.0199999999967986
24,6,0,499712,0,7,0,0.0119999999951688
24,7,0,368640,0,12,0,0.092000000002443
25,1,0,1363968,0,54,0,0.0120000000024447
25,5,0,294912,0,4,0,0.0119999999951688
25,3,0,417792,0,8,0,0.0120000000024447
25,2,0,266240,0,3,0,0.00800000000162981
25,4,0,409600,0,6,0,0.0239999999976135
25,6,0,299008,0,4,0,0.0120000000024447
25,7,0,1163264,0,37,0,0.0120000000024447
