moment,node,bytes_read,bytes_write,io_read,io_write,time_spent_read,time_spent_write
1,1,0,116518912,0,360,0,17.2439999999998
1,6,0,663552,0,46,0,0.00799999999981083
1,3,0,207556608,0,1056,0,107.620000000001
1,4,0,208896,0,25,0,0.14800000000082
1,5,0,516096,0,42,0,0.00400000000081491
1,2,0,314544128,0,2563,0,305.540000000001
1,7,0,3964928,0,47,0,0.231999999999971
2,5,0,178642944,0,1479,0,158.987999999999
2,4,0,178655232,0,1480,0,167.464
2,1,0,179433472,0,1533,0,164.264
2,6,0,178757632,0,1479,0,149.732
2,3,4096,182538240,1,1524,0.024,153.636
2,2,0,270336,0,12,0,0.0759999999987997
2,7,0,179015680,0,1522,0,153.592
3,5,0,380928,0,9,0,0.0200000000004366
3,3,0,155648,0,5,0,0.0120000000006257
3,2,0,16384,0,2,0,0
3,1,0,151552,0,4,0,0.0119999999988067
3,4,0,528384,0,40,0,0.00799999999981083
3,6,0,225280,0,7,0,0.00799999999981083
3,7,0,184320,0,5,0,0.0239999999994325
4,5,0,221184,0,5,0,0.0120000000006257
4,2,0,348160,0,8,0,0.00800000000162981
4,3,0,331776,0,7,0,0.00799999999981083
4,4,0,323584,0,7,0,0.0120000000006257
4,6,0,34447360,0,269,0,10.5720000000001
4,1,0,319488,0,7,0,0.0160000000014406
4,7,0,327680,0,9,0,0.00799999999981083
5,5,0,102359040,0,785,0,73.1359999999986
5,2,0,68403200,0,527,0,25.5319999999992
5,3,4096,68255744,1,524,0,20.3919999999998
5,4,0,68255744,0,524,0,21.8319999999985
5,6,0,34230272,0,265,0,9.60800000000017
5,1,0,68255744,0,524,0,21.9159999999993
5,7,0,68222976,0,524,0,29.9120000000003
6,5,4096,2002944,1,19,0,0.0320000000010623
6,3,0,1929216,0,19,0,0.0879999999997381
6,2,0,3616768,0,32,0,0.0799999999999272
6,4,0,1937408,0,19,0,0.0280000000002474
6,1,0,1925120,0,19,0,0.0879999999997381
6,6,0,3915776,0,48,0,0.204000000000562
6,7,0,258048,0,6,0,0.0120000000006257
7,5,4096,2400256,1,35,0,0.16399999999949
7,2,0,688128,0,27,0,0.0880000000002497
7,3,0,2686976,0,79,0,0.043999999999869
7,1,0,2154496,0,21,0,0.0320000000010623
7,6,0,507904,0,9,0,0.00799999999981083
7,4,0,2138112,0,21,0,0.0840000000007421
7,7,0,466944,0,8,0,0.0120000000006257
8,5,0,2334720,0,23,0,0.0840000000007421
8,2,0,44789760,0,344,0,17.2999999999993
8,3,0,442368,0,7,0,0.0239999999994325
8,6,0,45256704,0,396,0,24.3999999999996
8,1,0,136327168,0,1101,0,115.096
8,4,0,135761920,0,1042,0,115.120000000001
8,7,0,1044480,0,77,0,0.111999999998815
9,5,0,180027392,0,1594,0,172.688
9,2,0,6496256,0,112,0,0.372000000001208
9,3,0,6131712,0,54,0,0.376000000000204
9,6,0,179363840,0,1496,0,163.316
9,4,0,401408,0,7,0,0.0119999999988067
9,1,0,179167232,0,1507,0,166.528
9,7,0,344064,0,4,0,0.0120000000006257
10,5,0,1097728,0,46,0,0.0119999999988067
10,2,4096,179351552,1,1515,0,162.9
10,3,0,179425280,0,1532,0,161.992000000001
10,4,0,179793920,0,1581,0,178.728000000001
10,6,0,34775040,0,289,0,10.2680000000005
10,1,0,757760,0,28,0,0.0120000000006257
10,7,0,180928512,0,1530,0,164.844
11,5,0,174968832,0,1359,0,151.816000000001
11,2,0,68612096,0,531,0,37.2039999999997
11,3,0,68694016,0,531,0,36.8439999999991
11,4,0,68763648,0,533,0,40.7119999999995
11,6,0,34631680,0,269,0,10.4959999999992
11,1,0,116756480,0,902,0,92.1719999999987
11,7,0,68685824,0,532,0,37.9920000000002
12,2,0,87093248,0,691,0,58.5360000000001
12,5,0,5468160,0,51,0,0.259999999998399
12,4,0,67911680,0,539,0,43.5360000000001
12,3,0,72708096,0,577,0,45.9519999999993
12,6,0,116092928,0,921,0,88.6000000000004
12,1,0,24633344,0,207,0,5.79200000000047
12,7,0,48582656,0,389,0,21.3599999999998
13,2,0,385024,0,4,0,0.0120000000006257
13,5,0,602112,0,6,0,0.0120000000006257
13,3,0,495616,0,5,0,0.0120000000006257
13,6,0,561152,0,19,0,0.0239999999994325
13,4,0,376832,0,4,0,0.0119999999988067
13,1,0,450560,0,5,0,0.0120000000006257
13,7,0,348160,0,6,0,0.00799999999981083
14,2,0,516096,0,14,0,0.119999999999436
14,5,0,606208,0,18,0,0.0200000000004366
14,3,0,1003520,0,48,0,0.0239999999994325
14,6,0,12288,0,2,0,0
14,4,0,483328,0,8,0,0.0120000000006257
14,1,0,425984,0,7,0,0.0280000000002474
14,7,0,376832,0,4,0,0.0120000000006257
15,2,0,10571776,0,90,0,1.69599999999991
15,5,0,622592,0,9,0,0.035999999999234
15,1,4096,962560,1,48,0,0.0639999999996093
15,3,0,10530816,0,85,0,1
15,6,0,790528,0,39,0,0.00799999999981083
15,4,0,487424,0,7,0,0.0159999999996217
15,7,0,950272,0,33,0,0.0119999999988067
16,2,0,802816,0,39,0,0.00799999999981083
16,5,0,1560576,0,39,0,0.00799999999981083
16,1,0,434176,0,6,0,0.0119999999988067
16,4,0,430080,0,6,0,0.00799999999981083
16,3,0,483328,0,14,0,0.0360000000006266
16,6,0,610304,0,10,0,0.00800000000162981
16,7,0,393216,0,8,0,0.092000000000624
