moment,node,buffer_cache,free,map,used
1,3,11352024,93470784,60092,2660604
1,2,11462028,93431628,59724,2589756
1,5,11656948,93178276,60200,2648188
1,6,11859440,92930612,60204,2693360
1,4,11270508,93549832,59876,2663072
1,1,11261128,93578444,60236,2643840
1,7,11766744,92998452,60040,2718216
2,3,11352108,93471684,60092,2659620
2,5,11874716,92685912,72940,2922784
2,2,11505292,93389708,60028,2588412
2,6,11859412,92931692,60204,2692308
2,1,11393320,93442412,60268,2647680
2,4,11270520,93550144,60040,2662748
2,7,11898852,92887016,60040,2697544
3,3,11526752,92670480,72728,3286180
3,5,11875028,91988456,72952,3619928
3,2,11679944,92451840,72616,3351628
3,6,12034056,92117748,72844,3331608
3,1,11567968,92647968,72808,3267476
3,4,11445208,92576124,72864,3462080
3,7,12073616,91678996,72736,3730800
4,3,11526792,92478908,72692,3477712
4,5,11875052,91841492,72952,3766868
4,2,11679960,92480468,72660,3322984
4,6,12034080,91953016,72792,3496316
4,1,11567996,92509140,72840,3406276
4,4,11511784,92188964,75136,3782664
4,7,12073624,91483124,72752,3926664
5,3,11659904,89517996,77212,6305512
5,5,12008196,88831428,77480,6643788
5,2,11813064,89423880,77192,6246468
5,1,11701092,89575140,77376,6207180
5,6,12167176,88329548,77316,6986688
5,4,11578352,89276084,77396,6628976
5,7,12273268,87924528,79524,7285616
6,3,11659912,88874960,77212,6948540
6,5,12008204,88016476,77480,7458732
6,2,11813072,87571220,77192,8099120
6,1,11701104,89223672,77188,6558636
6,6,12167192,87542420,77152,7773800
6,4,11578360,88177760,77296,7727292
6,7,12273284,86828180,79524,8381948
7,3,11659920,87102400,77212,8721092
7,5,12008276,84866204,77480,10608932
7,2,11813072,85458116,77192,10212224
7,1,11701104,87494820,77376,8287488
7,6,12167200,85548556,77316,9767656
7,4,11578424,86126504,77396,9778484
7,7,12273284,84667816,79524,10542312
8,3,11659928,85773796,77212,10049688
8,5,12008292,84400072,77320,11075048
8,2,11813080,84779024,77192,10891308
8,1,11701112,86179108,77376,9603192
8,6,12167200,84132124,77316,11184088
8,4,11578440,85572592,77396,10332380
8,7,12273300,83505184,79524,11704928
9,3,11485428,85455856,77212,10542128
9,5,11833932,83496440,77480,12153040
9,1,11526628,85716228,77376,10240556
9,2,11638596,83653852,77192,12190964
9,6,12167208,82800316,77316,12515888
9,4,11404072,85103616,77396,10975724
9,7,12210776,80530684,79524,14741952
10,3,11485452,83297636,77212,12700324
10,5,11833952,82549352,77480,13100108
10,1,11526660,84676480,77196,11280272
10,2,11638616,83151844,77192,12692952
10,4,11404104,84334336,77396,11744972
10,6,12167228,81969832,77316,13346352
10,7,12098840,79891604,79524,15492968
11,3,11485472,82377400,77212,13620540
11,5,11834028,80641700,77480,15007684
11,2,11638640,82028788,77192,13815984
11,1,11526676,84133000,77376,11823736
11,4,11404176,82399804,77396,13679432
11,7,12098872,79888032,79524,15496508
11,6,12167244,79573624,77316,15742544
12,3,11485480,80134904,77208,15863028
12,5,11834164,79674080,77480,15975168
12,2,11638656,81406360,77192,14438396
12,1,11526692,81612508,77208,14344212
12,4,11404316,80942260,77852,15136836
12,7,12098888,77694688,79524,17689836
12,6,12167252,77886396,77316,17429764
13,3,11485488,79366448,77212,16631476
13,5,11834172,78444660,77480,17204580
13,2,11638664,80822964,77192,15021784
13,1,11526692,80505792,77376,15450928
13,4,11404324,80211880,77396,15867208
13,7,12098888,75953208,79524,19431316
13,6,11992764,78073060,77316,17417588
14,3,11485488,79108320,77212,16889604
14,5,11834244,76435616,77480,19213552
14,2,11638664,80092352,77192,15752396
14,1,11526692,78622988,77376,17333732
14,4,11404388,78670756,77396,17408268
14,7,12098896,75698368,79524,19686148
14,6,11992788,77467504,77316,18023120
15,3,11485488,78363084,77212,17634840
15,5,11834380,75065160,77480,20583872
15,2,11638664,79082424,77192,16762324
15,1,11526692,78613416,77376,17343304
15,4,11404524,77669944,77396,18408944
15,7,12098904,72747032,79524,22637476
15,6,11992796,77004360,77316,18486256
16,3,11485504,78146388,77212,17851520
16,5,11834392,74995468,77480,20653552
16,1,11526692,77656272,77208,18300448
16,2,11638672,78570052,77192,17274688
16,4,11404540,77533940,77260,18544932
16,7,12098904,71967608,79524,23416900
16,6,11992796,76995404,77316,18495212
17,3,11485512,77751036,77212,18246864
17,5,11834464,74958372,77480,20690576
17,1,11526700,76393324,77376,19563388
17,2,11638680,78079756,77192,17764976
17,4,11404612,77309172,77396,18769628
17,7,12098912,71382288,79524,24002212
17,6,11992804,76869820,77316,18620788
18,3,11485512,76318348,77212,19679552
18,5,11834468,74803968,77480,20844976
18,1,11526708,76402492,78064,19554212
18,2,11638680,78081140,77192,17763592
18,4,11404620,76686140,77396,19392652
18,7,12098912,70118380,79524,25266120
18,6,11992812,76678820,77316,18811780
19,5,11834608,74105764,77480,21543040
19,3,11485512,75712204,77212,20285696
19,1,11526708,75775744,77376,20180960
19,2,11638688,77689056,77192,18155668
19,4,11404744,76121136,77396,19957532
19,7,12098912,69890836,79524,25493664
19,6,11992820,76337724,77316,19152868
20,5,11834680,74113640,77480,21535092
20,3,11485520,75706792,77212,20291100
20,2,11638688,77142476,77192,18702248
20,1,11526716,75731416,77564,20225280
20,4,11404824,75254432,77396,20824156
20,7,12098920,69819508,79524,25564984
20,6,11992820,75525344,77316,19965248
21,5,11834696,73738952,77480,21909764
21,3,11485520,75020148,77212,20977744
21,1,11526716,75707212,77376,20249484
21,2,11638688,77087836,77192,18756888
21,4,11404836,75173352,77396,20905224
21,7,12098928,69414184,79524,25970300
21,6,11992828,74884800,77316,20605784
22,5,11834824,73731484,77780,21917104
22,3,11485528,74171744,77212,21826140
22,1,11526716,75330780,77376,20625916
22,2,11638696,76621052,77192,19223664
22,4,11404964,75179700,77396,20898748
22,7,12098928,68661020,79524,26723464
22,6,11992828,74732932,77316,20757652
23,5,11834840,72692488,77480,22956084
23,3,11485536,74167744,77212,21830132
23,1,11526724,74596340,77376,21360348
23,2,11638708,75665804,77200,20178900
23,4,11404980,74979044,77396,21099388
23,7,12098936,68090636,79524,27293840
23,6,11992836,74054980,77316,21435596
24,5,11834912,72429640,77752,23218860
24,3,11485536,74175916,77328,21821960
24,1,11526732,74601632,77376,21355048
24,7,12098944,68001992,79524,27382476
24,2,11638712,75279720,77192,20564980
24,4,11405044,74971724,77264,21106644
24,6,11992844,73722656,77316,21767912
25,5,11834920,72450132,77480,23198360
25,3,11485544,74165184,77212,21832684
25,1,11526732,74603860,77376,21352820
25,7,12098944,67892176,79524,27492292
25,2,11638712,75294968,77192,20549732
25,4,11405052,74971632,77396,21106728
25,6,11992852,73606552,77316,21884008
26,5,12339364,71934556,77720,23209492
26,3,11657344,73546664,77212,22279404
26,1,12025120,74079704,77376,21378588
26,7,12703656,67238964,79524,27540792
26,2,12063624,74867668,77376,20552120
26,4,11770928,74112348,77396,21600136
26,6,12352936,73137316,77316,21993160
27,5,14302248,68331672,77480,24849492
27,3,13687996,71143848,77212,22651568
27,7,14400000,64436364,79524,28647048
27,1,13268964,72469680,77376,21744768
27,2,13545484,72709108,77192,21228820
27,4,13280484,72240240,77396,21962688
27,6,14228400,70795336,77316,22459676
28,5,14303572,67486824,77480,25693016
28,3,13736944,68617752,77212,25128716
28,1,13268964,71951688,77376,22262760
28,7,14441324,64310208,79524,28731880
28,2,13594784,71733564,77192,22155064
28,4,13281760,70989448,77196,23212204
28,6,14326040,70368376,77316,22788996
29,5,15611796,66143244,77480,25728372
29,3,15116688,67198592,77212,25168132
29,1,14844176,69057296,77376,23581940
29,7,16074080,60317340,79524,31091992
29,2,15048224,70240620,77192,22194568
29,4,14664532,69566540,77396,23252340
29,6,15507632,67357980,77316,24617800
30,5,16964644,64752964,77324,25765804
30,3,16544276,65731600,77876,25207536
30,7,17588368,58746900,79524,31148144
30,1,15879572,67991328,77416,23612512
30,2,16402128,68847840,77192,22233444
30,4,16090692,68100700,77228,23292020
30,6,17048264,65012104,77316,25423044
31,5,18002392,61880268,79556,27600752
31,7,17852904,56494188,81784,33136320
31,1,15882756,67943212,79772,23657444
