moment,node,buffer_cache,free,map,used
1,5,9870364,95249336,59760,2363712
1,2,9899472,95354436,59912,2229504
1,3,9894004,95206580,60112,2382828
1,4,10043796,95112408,59920,2327208
1,1,9972060,95243440,60344,2267912
1,7,9768840,95414568,60028,2300004
1,6,9846256,95310676,60084,2326480
2,5,9913628,95204184,60108,2365600
2,3,9894088,95207240,60016,2382084
2,2,10074836,95191704,59912,2216872
2,4,10175424,94988008,60076,2319980
2,1,9972136,95244064,60040,2267212
2,7,9768860,95413952,59972,2300600
2,6,10020736,94894244,72756,2568432
3,3,10068648,94520616,72592,2894148
3,2,10249504,94545148,72480,2688760
3,5,10088216,94544932,72740,2850264
3,4,10350572,94324336,72788,2808504
3,1,10146796,94585000,72616,2751616
3,7,9943536,94815376,72580,2724500
3,6,10021124,94116728,72724,3345560
4,5,10154788,93898620,74720,3430004
4,3,10068836,94221316,72648,3193260
4,2,10249532,94258212,72488,2975668
4,4,10350612,94021616,72780,3111184
4,1,10146816,94294172,72636,3042424
4,6,10021156,93613804,72804,3848452
4,7,9943576,94406868,72572,3132968
5,3,10201944,93057796,77828,4223672
5,5,10221420,89581688,77276,7680304
5,2,10382656,92580604,77012,4520152
5,1,10279932,91367320,77144,5836160
5,4,10483708,91143144,77308,5856560
5,6,10220816,89719496,79588,7543100
5,7,10076684,93077032,77080,4329696
6,5,10221420,87390788,77276,9871204
6,3,10202024,92376568,77164,4904820
6,2,10382672,91075108,77012,6025632
6,1,10279948,88714600,77144,8488864
6,6,10220832,88808748,79588,8453832
6,4,10483724,89605116,77308,7394572
6,7,10076764,92621668,77080,4784980
7,5,10221428,85704168,77276,11557816
7,3,10202168,90054876,76952,7226368
7,2,10382680,88396388,77012,8704344
7,4,10483732,88439996,77308,8559684
7,1,10279956,87549664,77144,9653792
7,6,10220840,85780556,79588,11482016
7,7,10076908,90646760,77080,6759744
8,5,10221432,83343548,77276,13918432
8,3,10202176,89189536,77388,8091700
8,2,10382688,86626900,77016,10473824
8,1,10279964,85808944,77144,11394504
8,4,10483732,87784192,77308,9215488
8,6,10220840,84775656,79588,12486916
8,7,10076920,89983064,77080,7423428
9,5,10221432,81897940,77276,15364040
9,3,10202372,86802288,77164,10478752
9,2,10382688,85816704,77016,11284020
9,4,10483732,85921676,77308,11078004
9,1,10279972,84671576,77144,12531864
9,6,10220840,81412412,79588,15850160
9,7,10077112,88721236,77080,8685064
10,5,10221460,80524972,77276,16736980
10,3,10202448,86075940,77164,11205024
10,2,10382688,83718944,77016,13381780
10,4,10483772,85349448,77308,11650192
10,6,10220848,79859972,79588,17402592
10,1,10280000,84028732,77144,13174680
10,7,10077216,86505440,77080,10900756
11,5,10221492,79357476,77276,17904444
11,3,10202612,84610884,77164,12669916
11,2,10382724,82135504,77016,14965184
11,4,10483792,83800880,77308,13198740
11,6,10220876,77512240,79588,19750296
11,1,10280020,82747844,77144,14455548
11,7,10077368,85730360,77080,11675684
12,5,10221500,79262908,77276,17999004
12,3,10202692,83017728,77164,14262992
12,2,10382740,82104096,77016,14996576
12,4,10483800,82942972,77308,14056640
12,6,10220892,75799468,79588,21463052
12,1,10280028,81764672,77144,15438712
12,7,10077448,84358916,77080,13047048
13,5,10221516,78879484,77276,18382412
13,3,10202832,82133636,77164,15146944
13,2,10382740,80406108,77016,16694564
13,4,10483808,82851600,77308,14148004
13,6,10220892,74938252,79588,22324268
13,1,10280044,81059808,77144,16143560
13,7,10077584,84181844,77080,13223984
14,5,10221516,78871272,77276,18390624
14,2,10382740,80026652,77016,17074020
14,3,10202832,82142356,77164,15138224
14,4,10483816,82854096,77308,14145500
14,6,10220908,74460240,79588,22802264
14,1,10280044,81056980,77144,16146388
14,7,10077604,83062708,77080,14343100
15,5,11520820,77513348,77276,18449244
15,2,11461936,78429776,77016,17591700
15,3,11164956,79459484,77164,16858972
15,6,11352284,72305604,79588,23825524
15,1,11382320,79906928,77144,16194164
15,4,11328456,80275596,77308,15879360
15,7,10944968,81265108,77080,15273336
16,5,11630332,75738372,77276,20114708
16,2,11462836,78017128,77016,18003448
16,3,11167180,77851600,77164,18464632
16,6,11841056,71095392,79588,24546964
16,1,11383620,76748664,77144,19351128
16,4,11329112,78595720,77308,17558580
16,7,10948408,79874784,77080,16660220
17,2,11884916,75537148,77016,20061348
17,5,11876056,72668140,77276,22939216
17,3,11553612,75854404,76976,20075396
17,6,12264140,70381260,79588,24838012
17,4,11689416,78217548,77308,17576448
17,1,11734292,75405104,77144,20344016
17,7,11413248,79392964,77080,16677200
18,5,12966676,71386908,77276,23129828
18,2,12939096,74452444,77016,20091872
18,3,12594636,74782616,77184,20106160
18,6,13284968,67549792,79588,26648652
18,4,12593612,77293376,77308,17596424
18,1,12649084,74465144,77256,20369184
18,7,12250056,78533900,77080,16699456
19,5,13744216,70489192,79572,23250004
19,2,13080856,74325396,77016,20077160
19,3,12614308,74539392,79220,20329712
19,6,14270540,65150036,81636,28062836
19,4,12598516,77097224,79300,17787672
19,1,13038904,73983328,79332,20461180
19,7,12254360,78325908,79504,16903144
20,5,13955228,70109452,79616,23418732
20,2,13358632,74064120,77016,20060660
20,6,14339920,64416476,81636,28727016
20,3,12866280,74506496,79492,20110636
20,1,13372640,73625536,79332,20485236
20,4,12767072,75735260,79700,18981080
20,7,12532848,76995024,79476,17955540
21,5,15855380,68151100,79616,23476932
21,2,14699028,71123420,77016,21660964
21,6,15797784,60683488,81636,31002140
21,3,14056900,73285072,79308,20141440
21,1,14692576,72270992,79332,20519844
21,4,13865260,74245940,79700,19372212
21,7,13556784,75553260,79476,18373368
22,5,15855868,68201784,79616,23425760
22,2,14701556,71049176,79164,21732680
22,6,16700388,59475392,81884,31307632
22,3,14058336,73240552,79492,20184524
22,1,14694320,70634264,79500,22154828
22,4,13865708,74198956,79700,19418748
22,7,13557848,74572272,79476,19353292
23,5,17226636,66776920,79616,23479856
23,2,16318640,69374724,79164,21790048
23,6,17749020,57074280,81884,32660112
23,3,15490648,71716524,80156,20276240
23,1,16135844,68832124,79500,22515444
23,4,15129088,72892648,80016,19461676
23,7,14858680,73234176,79476,19390556
24,5,17967092,65744344,79616,23771976
24,2,16320156,69375104,79164,21788152
24,6,19129828,55473328,82140,32880256
24,3,15502124,71535564,79492,20445724
24,4,15132428,72804660,79700,19546324
24,1,16348116,68351660,79500,22783636
24,7,14860860,72846344,79476,19776208
25,5,18811640,64438652,79616,24233120
25,2,17336140,68282692,79188,21864580
25,6,19884468,54766116,82140,32832828
25,3,16451548,70602544,79684,20429320
25,1,17250300,67381680,79500,22851432
25,4,15905980,72008248,79700,19569184
25,7,16053728,71507200,79476,19922484
26,5,20078296,62888892,79616,24516224
26,2,17938764,67677592,79164,21867056
26,6,21557052,53246412,82140,32679948
26,3,16945924,70052124,79492,20485364
26,1,18001332,66163184,79500,23318896
26,4,16399152,71035360,79700,20048900
26,7,16163884,71271008,79476,20048520
27,5,20709128,61434648,79616,25339636
27,2,18746008,66851812,79164,21885592
27,6,22157416,52582092,82140,32743904
27,3,17674612,69376372,79428,20432428
27,1,18415492,64862020,79500,24205900
27,4,17070436,70377044,79700,20035932
27,7,17041732,70433608,79476,20008072
28,5,22189592,59843948,79616,25449872
28,6,23985404,50687576,82140,32810432
28,2,19558764,65963192,79164,21961456
28,3,18389828,68422184,79492,20671400
28,1,19655768,63448688,79500,24378956
28,4,17665712,69831884,79700,19985816
28,7,17466964,69957000,79476,20059448
29,5,22908200,58535100,79616,26040112
29,6,24615248,49873112,82140,32995052
29,2,20413636,64881568,79356,22188208
29,3,19172904,67359528,79680,20950980
29,1,20408856,62738536,79500,24336020
29,4,18328024,69187144,79700,19968244
29,7,18478908,68224996,79476,20779508
30,5,24300884,57116284,79616,26066244
30,6,26412456,47983656,82140,33087300
30,2,21177716,64070756,79356,22234940
30,3,19833712,66494688,79492,21155012
30,1,21309608,61871064,79500,24302740
30,4,18932728,68450136,79700,20100548
30,7,18770108,67807768,79476,20905536
31,5,24651440,54984172,79616,27847800
31,6,26733688,47183928,82140,33565796
31,2,21850060,63389336,79356,22244016
31,1,21731816,61468336,79500,24283260
31,3,20330580,66246356,79664,20906476
31,4,19367612,68112164,79700,20003636
31,7,19515416,67106044,79476,20861952
32,5,26412088,53091732,79616,27979592
32,6,28840560,44993648,82140,33649204
32,2,22796156,62417844,79356,22269412
32,1,22963220,60202876,79500,24317316
32,3,21277540,65259224,79492,20946648
32,4,20199504,67259208,79700,20024700
32,7,20073136,66531296,79476,20878980
33,5,24639832,54832372,79616,28011208
33,6,26664624,45907028,82140,34911760
33,2,21653368,63544472,79180,22285572
33,1,21622840,61562968,79500,24297604
33,3,20256708,64799636,79300,22427068
33,4,19242908,68150540,79700,20089964
33,7,19300356,67045880,79476,21137176
34,5,26409760,53025480,79616,28048172
34,1,22962084,60174728,79500,24346600
34,6,28733456,43781456,82140,34968500
34,2,22795544,62362636,79356,22325232
34,3,21278864,63751220,79492,22453328
34,4,20198056,67171060,79700,20114296
34,7,20073792,66252036,79476,21157584
35,5,26763228,52815008,79616,27905176
35,2,23301416,61831592,79356,22350404
35,6,29220368,43228488,82140,35034556
35,1,23382904,59668852,79500,24431656
35,3,21817064,63141704,79472,22524644
35,4,20557372,66762692,79700,20163348
35,7,20615060,65442264,79476,21426088
36,5,28523252,51007664,79616,27952496
36,6,31128260,41234196,82140,35120956
36,2,24415236,60686396,79516,22381780
36,1,24616672,58403040,79500,24463700
36,3,22722768,62210492,79492,22550152
36,4,21466392,65827912,79700,20189108
36,7,21377420,64658124,79476,21447868
37,5,26736520,52913584,79616,27833308
37,6,29029476,43464076,82140,34989860
37,2,23232200,61738364,79356,22512848
37,1,23268568,59854044,79500,24360800
37,3,21688400,62894988,79492,22900024
37,7,20591556,65470496,79476,21421360
37,4,20559248,66725392,79700,20198772
38,5,28522788,51081060,79612,27879564
38,6,31162620,41274664,82140,35046128
38,2,24415048,60416928,79356,22651436
38,1,24617312,58679764,79500,24186336
38,7,21377492,64660340,79476,21445580
38,3,22723532,61834148,79492,22925732
38,4,21465228,65790700,79700,20227484
39,6,31542008,39347048,82140,36594356
39,5,28874144,50875740,79616,27733528
39,2,24873376,59953976,79356,22656060
39,1,24938320,58393636,79500,24151456
39,3,23110428,60937832,79676,23435152
39,7,21901232,64074364,79476,21507816
39,4,21816712,65449276,79700,20217424
40,6,33695740,37087740,82140,36699932
40,5,30634892,49017964,79616,27830556
40,2,26033200,58763388,79356,22686824
40,1,26271220,57006512,79500,24205680
40,3,24167944,59295404,79492,24020064
40,7,22681656,63264024,79476,21537732
40,4,22733172,64412412,79700,20337828
41,6,31485260,39341336,82140,36656816
41,5,28873748,51050028,79312,27559636
41,2,24907608,59922724,79356,22653080
41,1,24954296,58388264,79500,24140852
41,3,23112188,60477156,79688,23894068
41,7,21853184,64129380,79472,21500848
41,4,21786168,65458288,79700,20238956
42,6,33660560,37111980,82140,36710872
42,5,30633760,49434548,79616,27415104
42,1,26271256,57032892,79600,24179264
42,2,26033320,58764752,79356,22685340
42,3,24167576,59393856,79492,23921980
42,7,22682580,63270024,79468,21530808
42,4,22732568,64484656,79700,20266188
43,6,28935744,41931168,82140,36616500
43,5,26653112,53603812,79616,27226488
43,2,23191264,61703000,79356,22589148
43,1,23165600,60256344,79500,24061468
43,3,21562560,61992172,79492,23928680
43,4,20461216,66813832,79700,20208364
43,7,20558308,64794956,79476,22130148
44,5,28522500,51708504,79616,27252408
44,6,31163164,39654088,82140,36666160
44,2,24414700,60447772,79356,22620940
44,1,24616888,58836692,79500,24029832
44,3,22726772,60789288,79492,23967352
44,4,21465704,65574192,79700,20443516
44,7,21381856,63950452,79476,22151104
45,5,28560052,51908616,79616,27014744
45,6,31339576,39422300,82132,36721536
45,2,24802344,60029672,79356,22651396
45,1,24550976,58928076,79500,24004360
45,4,21325616,65731364,79700,20426432
45,3,22953360,60588340,79680,23941712
45,7,21689780,62853764,79476,22939868
46,5,30634384,49783180,79616,27065848
46,6,33608644,37094140,82132,36780628
46,2,26033484,58768792,79356,22681136
46,1,26139212,57342184,79500,24002016
46,4,22468324,64562212,79700,20452876
46,3,24127944,59384044,79492,23971424
46,7,22641672,61875864,79476,22965876
47,5,28602708,52021828,79616,26858876
47,6,31323000,39471728,82132,36688684
47,2,24764772,59942660,79356,22775980
47,1,24686476,58203472,79500,24593464
47,4,21267764,65683292,79700,20532356
47,3,22938880,60530164,79664,24014368
47,7,21715548,62790688,79476,22977176
48,5,30633060,49941884,79616,26908468
48,6,33639444,37098684,82132,36745284
48,2,26033728,58638908,79356,22810776
48,1,26138428,56704796,79500,24640188
48,4,22468968,64454344,79700,20560100
48,3,24129032,59310640,79492,24043740
48,7,22643676,61839128,79476,23000608
49,5,28524196,52424172,79616,26535044
49,6,31270440,38325992,82132,37886980
49,2,24562428,60175768,79356,22745216
49,1,24485760,58419592,79500,24578060
49,7,21520296,62995868,79476,22967248
49,4,21202588,65834668,79536,20446156
49,3,22759308,60776992,79300,23947112
50,5,30632924,50330064,79616,26520424
50,2,26033688,58667952,79356,22781772
50,6,33458848,36084248,82132,37940316
50,7,22642696,61842852,79476,22997864
50,1,26137912,56595696,79500,24749804
50,4,22467132,64545032,79700,20471248
50,3,24129488,59374760,79492,23979164
51,5,28532864,52765728,79616,26184820
51,2,24754860,59616580,79356,23111972
51,6,31298420,38208904,82132,37976088
51,7,21692012,62738040,79476,23053360
51,3,22835580,60623720,79676,24024112
51,4,21205280,65567580,79700,20710552
51,1,24485792,58091056,79500,24906564
52,5,30633568,50612908,79616,26236936
52,2,26033844,58304744,79356,23144824
52,6,33555016,35896080,82132,38032316
52,7,22645272,61760208,79476,23077932
52,3,24131372,59290932,79492,24061108
52,4,22468192,64273268,79700,20741952
52,1,26138648,56396444,79500,24948320
53,5,28524460,52618708,79616,26340244
53,2,24673840,59711852,79164,23097720
53,6,31270692,38219688,82132,37993032
53,7,21660372,62804344,79476,23018696
53,3,22884724,60663232,79492,23935456
53,4,21202752,65556380,79700,20724280
53,1,24485992,58111368,79500,24886052
54,5,30633668,50739404,79616,26110340
54,6,33505324,35931488,82132,38046600
54,2,26033236,58313468,79356,23136708
54,7,22647260,61794100,79476,23042052
54,3,24132144,59382368,79492,23968900
54,4,22468340,64269240,79700,20745832
54,1,26138672,56539908,79284,24804832
55,5,28663572,52766492,79616,26053348
55,2,24799748,59394888,79356,23288776
55,6,31333260,38150612,82132,37999540
55,7,21729428,61827776,79476,23926208
55,3,22892060,60570424,79492,24020928
55,4,21256692,65520880,79520,20705840
55,1,24642740,58176076,79500,24664596
56,2,26034216,58152104,79356,23297092
56,5,30633928,50804388,79616,26045096
56,6,33501992,35929356,82132,38052064
56,7,22647964,60888068,79476,23947380
56,3,24134516,59263492,79492,24085404
56,4,22469252,64280108,79700,20734052
56,1,26138872,56644380,79500,24700160
57,5,28542120,53024340,79616,25916952
57,2,24763120,59451272,79356,23269020
57,6,31305332,38189964,82132,37988116
