moment,node,buffer_cache,free,map,used
1,2,11827096,93266692,59984,2389624
1,5,12181736,92816052,60196,2485624
1,3,11667268,93368476,59924,2447668
1,4,11885176,93113040,59820,2485196
1,1,11549348,93506956,60092,2427108
1,6,12230076,92775708,59832,2477628
1,7,11945496,93090152,60016,2447764
2,3,11667264,93370024,60120,2446124
2,2,11827172,93267516,59804,2388724
2,5,12313772,92690092,60196,2479548
2,4,11927944,93074720,60124,2480748
2,1,11549356,93507236,60092,2426820
2,6,12362080,92649580,60180,2471752
2,7,12162940,92728512,72028,2591960
3,4,12103092,92401664,72516,2978656
3,3,11841900,92703784,72760,2937728
3,2,12001764,92627132,72416,2854516
3,5,12488456,92016516,72428,2978440
3,1,11724084,92828236,73000,2931092
3,6,12536820,91966676,72664,2979916
3,7,12163552,91912264,72656,3407596
4,3,11908460,92067564,75216,3507388
4,4,12103148,92123712,72828,3256552
4,1,11724208,92137540,72736,3621664
4,5,12488596,91760972,72908,3233844
4,2,12001848,92341796,72580,3139768
4,6,12536872,91669940,72740,3276600
4,7,12163592,91721856,72664,3597964
5,3,11975016,88927800,77272,6580596
5,5,12621776,88611376,77444,6250260
5,1,11923852,87085220,79496,8474340
5,4,12236276,88283260,77364,6963876
5,2,12134956,89309568,77124,6038888
5,6,12669992,88346488,77244,6466932
5,7,12296760,88216676,77176,6969976
6,3,11975032,85745904,77272,9762476
6,1,11923868,85229500,79496,10330044
6,5,12621980,86446444,77444,8414988
6,4,12236284,86165036,77364,9082092
6,2,12134964,87291536,77124,8056912
6,7,12296964,86996308,77176,8190140
6,6,12670008,86914016,77244,7899388
7,4,12236292,84607020,77364,10640100
7,5,12622188,84164056,77444,10697168
7,1,11923876,82403640,79496,13155896
7,3,11975032,84166728,77272,11341652
7,2,12134972,85075732,77124,10272708
7,7,12297168,85314664,77068,9871580
7,6,12670008,85256652,77244,9556752
8,5,13074032,82762816,77444,11646564
8,1,12514996,79888288,79496,15080128
8,4,12701448,82803032,77364,11978932
8,3,12468260,82408884,77272,12606268
8,2,12529600,83408480,77124,11545332
8,7,12650208,84316324,77176,10516880
8,6,13078780,83731688,77244,10672944
9,1,12884884,76352816,79496,18245712
9,5,13433004,81237084,77444,12813324
9,3,12804492,80229292,77272,14449628
9,4,12990108,80184948,77364,14308356
9,2,12902520,82881968,77124,11698924
9,7,12903760,82493720,77176,12085932
9,6,13436728,81714316,77244,12332368
10,1,13407308,75682584,82068,18393520
10,5,13752584,80917256,79436,12813572
10,3,13208820,79749828,79560,14524764
10,4,13401500,79731548,79712,14350364
10,2,13124136,81375176,79428,12984100
10,7,13182572,80012624,79168,14288216
10,6,13694140,79730264,79496,14059008
11,1,14271180,73457996,82068,19754236
11,5,14428784,80225384,79468,12829244
11,3,13947596,77734144,79356,15801672
11,4,14098108,77711244,79712,15674060
11,2,13715008,79766776,79428,14001628
11,7,13710556,79470512,79436,14302344
