moment,node,buffer_cache,free,map,used
1,1,7787432,97505228,60020,2190752
1,6,7761412,97494696,60052,2227304
1,3,7992876,97272412,59952,2218124
1,4,7853020,97358060,60036,2272332
1,5,7762500,97424068,60120,2296844
1,2,7925328,97374620,59904,2183464
1,7,7718592,97534708,59904,2230112
2,5,7937108,97095968,72948,2450336
2,4,7984484,97230144,60036,2268784
2,1,7919560,97372936,60096,2190916
2,6,7804552,97451036,60048,2227824
2,3,7992920,97272660,59952,2217832
2,2,7968776,97332580,59904,2182056
2,7,7718592,97534416,59904,2230404
3,5,7937252,96434820,72836,3111340
3,3,8167528,96837744,72728,2478140
3,2,8143204,96914464,72360,2425744
3,1,8094060,96931664,72300,2457688
3,4,8159684,96804904,72504,2518824
3,6,7979224,97013040,72312,2491148
3,7,7893156,97157340,72540,2432916
4,5,7937508,95745676,72924,3800228
4,2,8143392,96406408,72484,2933612
4,3,8167664,96311888,72588,3003860
4,4,8159824,96274700,72764,3048888
4,6,8045960,96138064,74940,3299388
4,1,8094232,96425088,72620,2964092
4,7,7893276,96528280,72532,3061856
5,5,8211300,92752068,79700,6520044
5,2,8362012,92953560,77024,6167840
5,3,8371920,93692316,77092,5419176
5,4,8358112,93960084,77300,5165216
5,6,8223568,92824320,77192,6435524
5,1,8297244,94238532,77148,4947636
5,7,8072228,94591884,77052,4819300
6,5,8248296,91013660,81800,8221456
6,3,8471448,92640904,79112,6371060
6,2,8490048,91859312,79384,7134052
6,4,8435572,92694124,79272,6353716
6,1,8403388,92962420,79240,6117604
6,6,8393788,91374864,79588,7714760
6,7,8142164,94286408,77052,5054840
7,5,8550420,89996140,82152,8936852
7,2,8745380,91396456,79384,7341576
7,3,8693004,91855552,79488,6934856
7,1,8614436,92044340,79568,6824636
7,6,8712000,90186992,79588,8584420
7,4,8654304,91814704,79628,7014404
7,7,8281436,92889260,77052,6312716
8,5,8442496,89959612,82324,9081304
8,2,8621748,90857396,79384,8004268
8,3,8590164,91718364,79488,7174884
8,6,8566044,89357108,79588,9560260
8,1,8512380,92049880,79568,6921152
8,4,8559212,91787264,79628,7136936
8,7,8213300,92949820,77052,6320292
9,5,8554372,89641652,82324,9287388
9,2,8750384,90540272,79384,8192756
9,3,8689804,91335384,79488,7458224
9,6,8677704,88978588,79588,9827120
9,4,8571800,91286076,79628,7625536
9,1,8503988,91726664,79568,7252760
9,7,8163548,92990300,77052,6329564
10,5,8438960,89655708,82324,9388744
10,2,8624216,89871932,79384,8987264
10,3,8592192,90978824,79488,7912396
10,4,8557532,91133428,79628,7792452
10,6,8563688,88208664,79588,10711060
10,1,8511196,91275864,79568,7696352
10,7,8215108,92871324,79044,6396980
11,5,8545864,88999592,82324,9937956
11,2,8711452,89567424,79384,9204536
11,3,8698444,90571160,79488,8213808
11,4,8656476,90995316,79628,7831620
11,6,8647796,88056020,79588,10779596
11,1,8614968,91170464,79568,7697980
11,7,8283136,92728224,79088,6472052
12,2,8764988,89245928,79384,9472496
12,5,8555644,88630532,82324,10297236
12,4,8684752,90359140,79628,8439520
12,3,8760452,90383620,79488,8339340
12,6,8744736,87455752,79588,11282924
12,1,8637656,90641724,79568,8204032
12,7,8308664,92695848,79088,6478900
13,2,8480508,89273968,79384,9728936
13,5,8280320,88791388,82324,10411704
13,3,8404840,90573424,79488,8505148
13,6,8279904,87721756,79588,11481752
13,4,8373472,90373172,79628,8736768
13,1,8327696,90439884,79568,8715832
13,7,8077320,92886680,79088,6519412
14,2,8883632,88594324,79384,10005456
14,5,8666440,88085568,82324,10731404
14,3,8810852,89935036,79488,8737524
14,6,8903052,87039828,79588,11540532
14,4,8756004,89932036,79628,8795372
14,1,8721180,89913192,79568,8849040
14,7,8354708,92575124,79088,6553580
15,2,8886512,88523140,79384,10073760
15,5,8667132,88008816,82324,10807464
15,1,8723276,89710360,79568,9049776
15,3,8812920,89719908,79488,8950584
15,6,8902960,86971740,79588,11608712
15,4,8755136,89767040,79628,8961236
15,7,8355624,92356064,79088,6771724
16,2,8507760,88167216,79384,10808436
16,5,8330428,87455436,82324,11697548
16,1,8406920,89901896,79568,9174596
16,4,8460788,89428912,79628,9593712
16,3,8496944,89542180,79488,9444288
16,6,8397788,86595580,79588,12490044
16,7,8145668,91758656,79088,7579088
