moment,node,recv_packets,send_bytes,send_packets
1,3,1907,118211170,2357
1,2,17,4923,22
1,5,79,34584,79
1,6,66,17047,68
1,4,45,14357,50
1,1,57,26632,59
1,7,59,28089,64
2,3,52,136035,62
2,5,5211,272232,3700
2,2,2881,44425171,2502
2,6,16,5622,24
2,1,4696,346856,4803
2,4,16,4250,23
2,7,15404,271225600,10988
3,3,5024,373514,2883
3,5,2371,133218893,2963
3,2,5325,88988673,4248
3,6,4949,205940,2761
3,1,1364,212522,859
3,4,5095,290341,3140
3,7,9923,542316635,11586
4,3,57,12260,66
4,5,117,22653,116
4,2,44,22392,51
4,6,76,35102,79
4,1,94,28465,97
4,4,23850,1401395,20529
4,7,85,35960,93
5,3,74027,4460430,65067
5,5,74666,4528857,66674
5,2,99581,5815878,86063
5,1,52564,2974615,43574
5,6,87548,5217268,77095
5,4,86167,5142393,73806
5,7,83571,4390267,64481
6,3,47232,2067336,30934
6,5,52903,2500699,37511
6,2,35537,1410975,20990
6,1,24990,720419,10686
6,6,59482,2771205,41670
6,4,52130,2491092,37464
6,7,54048,2345532,35268
7,3,85220,4589415,68988
7,5,111060,6263048,94033
7,2,127036,7123898,107230
7,1,92750,5117742,76854
7,6,144766,8101292,121811
7,4,105886,5770111,85707
7,7,107987,5490220,82423
8,3,51534,2358581,35399
8,5,24604,822486,12253
8,2,29867,995898,14807
8,1,26891,758870,11442
8,6,53249,2434547,36561
8,4,25896,731879,10911
8,7,116345,5838753,87988
9,3,76172,3904344,58706
9,5,89251,5140124,77306
9,1,83324,4212667,63139
9,2,146165,8295232,125079
9,6,90183,4823676,72488
9,4,54870,2670080,38207
9,7,27081,764282,11181
10,3,140524,8166124,122468
10,5,113168,6296127,94457
10,1,44215,2029109,30288
10,2,60136,3086063,45959
10,4,84469,4418757,66223
10,6,83475,4150971,62341
10,7,25711,692866,10431
11,3,114081,6377908,96012
11,5,48022,2529558,37668
11,2,108366,5954851,89298
11,1,83913,4419977,66064
11,4,50001,2157696,31134
11,7,85671,4290800,64226
11,6,155244,8726492,130908
12,3,77428,4236543,63512
12,5,96906,5247254,78806
12,2,28389,1021795,15189
12,1,28354,1020399,15201
12,4,62328,3096151,44389
12,7,205629,11022680,165927
12,6,86406,4668424,70124
13,3,62462,3145403,47329
13,5,124863,6838016,102711
13,2,54610,2562323,38377
13,1,90146,4881074,73257
13,4,125375,7072648,106233
13,7,50179,2049647,30225
13,6,55024,2663119,39919
14,3,80221,4032369,60494
14,5,115221,6576127,98963
14,2,30745,1106522,16449
14,1,83352,4410256,66359
14,4,66623,3383927,49713
14,7,133960,6964193,104646
14,6,116258,6534974,98217
15,3,36811,1457664,21916
15,5,119831,6920825,103901
15,2,96445,5129481,77015
15,1,89445,4909038,73426
15,4,65155,3074471,44169
15,7,62548,2593193,38762
15,6,59074,2822118,42211
16,3,111731,6247577,93844
16,5,74924,4034860,60425
16,1,46596,2136792,32033
16,2,51228,2417633,36181
16,4,94850,5120613,76897
16,7,163759,8681349,130820
16,6,30852,1087727,16290
17,3,168700,9587926,144236
17,5,124062,7057212,106169
17,1,64473,3444380,51587
17,2,42419,1768690,26230
17,4,96031,5026079,74570
17,7,97355,4708943,70440
17,6,103041,5393375,80906
18,3,97575,5452523,81699
18,5,60191,3023334,45262
18,1,81456,4405177,66162
18,2,31713,1134024,16872
18,4,105201,5965775,88026
18,7,121926,5841039,88151
18,6,71571,3753130,56411
19,5,141345,8011313,120431
19,3,90723,4896935,73659
19,1,73857,4110118,61571
19,2,26275,756660,11273
19,4,60877,2881140,42797
19,7,106845,5521776,82622
19,6,43915,1951762,29135
20,5,62457,3096091,46455
20,3,121049,6797148,102191
20,2,96172,5281788,79339
20,1,56263,2864976,43088
20,4,41101,1869712,26902
20,7,110310,5404578,81126
20,6,86085,4534356,68213
21,5,109817,6093990,91465
21,3,72054,3721357,55937
21,1,67243,3685426,55145
21,2,108308,5962874,89510
21,4,39720,1625253,24445
21,7,101428,4787941,71666
21,6,148658,8191896,122813
22,5,60530,3009785,45093
22,3,104437,5705109,85882
22,1,41501,1847907,27843
22,2,115962,6321669,95105
22,4,46443,2264520,31990
22,7,74418,3325229,50216
22,6,47258,2181332,32972
23,5,72858,3867381,58350
23,3,56428,3346006,50461
23,1,66160,3560399,53505
23,2,22944,875321,12998
23,4,62175,3137859,47140
23,7,93993,4848902,72874
23,6,54717,2809643,42092
24,5,47131,2689384,40430
24,3,29910,1852600,27784
24,1,14799,822942,12381
24,7,66007,3280178,49571
24,2,29596,1484708,22288
24,4,11299,689197,9233
24,6,30826,1537584,23214
25,5,77878,4703624,70948
25,3,3759,252242,3699
25,1,13509,835253,12365
25,7,99400,5541237,83389
25,2,28528,1526063,22925
25,4,29308,1756011,26430
25,6,34310,1666897,24985
