moment,node,recv_packets,send_bytes,send_packets
1,5,40,24317,47
1,2,401,14258011,419
1,3,58,27020,58
1,4,82,49816,84
1,1,55,13224,55
1,7,58,26569,62
1,6,44,11162,49
2,5,1482,109655,1480
2,3,28,11069,37
2,2,12302,224696674,10730
2,4,6787,135820093,7019
2,1,72,173242,80
2,7,17,4616,22
2,6,4950,212959,2932
3,3,5063,391548,2988
3,2,4999,315426224,6406
3,5,5838,133245283,4858
3,4,5465,271073685,6191
3,1,4861,323670,2873
3,7,5644,212872,2866
3,6,224,100634,258
4,5,18601,1174448,16935
4,3,189,59568,195
4,2,114,42456,116
4,4,116,46428,119
4,1,119,55857,123
4,6,96,25714,106
4,7,172,76272,170
5,3,6343,387892,3447
5,5,222602,11907512,176754
5,2,7794,336509,3992
5,1,112540,6169892,91855
5,4,96056,5189994,76971
5,6,92803,4948703,72504
5,7,10718,371292,4531
6,5,55776,2832269,42364
6,3,24626,774014,10485
6,2,60864,2798743,41812
6,1,92346,5088827,76099
6,6,49193,1875584,27916
6,4,48658,2369572,35513
6,7,22282,605053,9027
7,5,106392,5903032,88492
7,3,80103,4303655,62242
7,2,128617,7390720,110289
7,4,67645,3510431,52379
7,1,41563,1725059,25800
7,6,145513,7741077,115769
7,7,142587,7572643,113523
8,5,111107,5948998,89355
8,3,39373,1540646,23015
8,2,80567,4280233,63956
8,1,64330,2964070,44512
8,4,87713,4372877,65906
8,6,54294,2100627,31284
8,7,21453,554748,8229
9,5,238269,13403790,201116
9,3,175391,9428778,138299
9,2,58151,2916319,43655
9,4,106996,5595705,83417
9,1,145205,7957593,119389
9,6,204310,10737119,160731
9,7,109005,5745406,86293
10,5,49175,2324950,34885
10,3,92622,4873398,72132
10,2,144117,8106431,121507
10,4,57351,2507005,37523
10,6,101669,4937284,73718
10,1,88314,4710336,70160
10,7,176313,9607469,144402
11,5,98926,5442881,81268
11,3,69018,3834581,55450
11,2,67238,3352064,50445
11,4,56093,2768630,41396
11,6,198138,10478174,156621
11,1,118059,6543284,98453
11,7,142351,7692658,115717
12,5,82907,4437698,66686
12,3,118491,6551724,97336
