moment,node,recv_packets,send_bytes,send_packets
1,2,75,16459,73
1,5,75,24037,72
1,3,69,29656,67
1,4,69,30232,67
1,1,71,31353,70
1,6,66,28749,65
1,7,71,32468,72
2,3,22,5086,29
2,2,39,80764,50
2,5,6716,135861719,7644
2,4,2867,44482826,2409
2,1,56,79437,61
2,6,9483,135866736,7541
2,7,5835,249976,3595
3,4,5082,88874866,3889
3,3,4982,211703,2899
3,2,4989,276113,2797
3,5,7472,406610644,8798
3,1,4940,410184,2887
3,6,3443,135570474,3485
3,7,2313,133193840,2939
4,3,19409,1247842,17994
4,4,167,76403,171
4,1,223,83699,228
4,5,272,197036,280
4,2,167,58761,171
4,6,158,63452,164
4,7,226,78465,225
5,3,120503,6929040,102678
5,5,125290,7034165,103865
5,1,123302,6281899,91977
5,4,131912,7105280,104650
5,2,99463,5655930,83497
5,6,93685,4773291,70584
5,7,138734,7243323,108101
6,3,171188,9116205,135904
6,1,134366,6987551,103713
6,5,173159,9986074,146519
6,4,132747,7063093,105697
6,2,94134,5109038,76087
6,7,94017,4902056,73189
6,6,88802,4480508,66887
7,4,109257,5850544,87789
7,5,83036,4731893,68110
7,1,118843,6002885,89787
7,3,59969,3280827,49194
7,2,121678,7120587,107038
7,7,106666,5818508,87392
7,6,128647,7263260,108940
8,5,50939,241774896,44166
8,1,77726,426008355,65834
8,4,26179,305146145,24140
8,3,60697,360531487,56309
8,2,32320,262073736,29975
8,7,54616,204316933,45515
8,6,28960,279039809,26192
9,1,9328,137457162,8113
9,5,6906,188239137,6332
9,3,3597,123690393,3853
9,4,4311,136503076,4290
9,2,4457,107297082,4311
9,7,5698,137269437,4810
9,6,5682,127485797,5189
10,1,30930,779591988,27563
10,5,15298,627826554,15635
10,3,17648,692840513,17574
10,4,23648,671755615,21475
10,2,22593,563118199,20237
10,7,22109,454956856,17980
10,6,26771,498984710,22441
11,1,1786,13648221,1676
11,5,1934,35167359,1916
11,3,1281,10052877,1224
11,4,1222,17209282,1232
11,2,1097,619534,1019
11,7,1641,13061492,1240
11,6,1102,12115349,1085
12,1,33853,826049464,30084
12,5,26045,709636452,24852
12,4,20198,816700674,21011
12,3,26226,780191341,24082
12,2,17020,569764668,16931
12,6,29664,594133206,25720
12,7,30550,601866648,24570
13,5,35243,980186068,36732
13,1,44582,1174758907,42010
13,4,30297,970694399,28355
13,3,29770,1085762642,29937
13,2,31580,853128569,30811
13,6,38697,675437071,34258
13,7,30943,862841337,26792
14,5,31467,837592559,30332
14,1,39168,1142890416,38527
14,4,33569,1037582330,31904
14,3,30596,903322809,28590
14,6,32965,782515967,30236
14,2,28235,764772731,26702
14,7,24166,740566098,22872
15,5,25213,734677276,24313
15,1,34450,852436193,32195
15,4,22235,643213086,21872
15,3,26656,794588009,25678
15,2,22899,637077574,21303
15,6,28559,586304656,25778
15,7,9021,572505347,11108
16,5,24651,677820414,23601
16,1,30751,759391213,28084
16,4,23739,689872058,22516
16,3,22808,662459075,21413
16,2,20653,538645373,19704
16,6,19882,511394030,20251
16,7,16406,539374403,16186
17,5,24222,684783763,23388
17,1,33073,789514605,30815
17,4,24122,677759523,23401
17,3,24069,674710585,23358
17,2,23482,585375094,22206
17,6,21624,554255897,21312
17,7,17575,517518870,15755
18,5,21626,618152275,20316
18,1,32598,834850022,31264
18,4,23986,706261901,23109
18,3,24631,733753559,23913
18,2,15407,619068761,16665
18,6,20392,553946557,19761
18,7,22435,503280550,18700
19,5,22508,620619534,21382
19,1,32427,809543749,31774
19,4,20093,573200614,19455
19,2,20518,551569286,19741
19,3,18226,720526423,19106
19,6,21009,556034788,20518
19,7,20493,421236096,17139
20,5,17630,676134603,19474
20,1,32238,790820553,30298
20,4,24843,714613444,23582
20,3,17646,723773844,18252
20,2,21709,581047466,20925
20,7,24979,543904215,21051
20,6,28920,568346727,25237
21,5,17103,707912725,18644
21,1,25703,811273716,25884
21,4,22336,633971739,21963
21,2,21683,594049217,20232
21,3,25404,750399300,24449
21,7,21128,456470772,17477
21,6,26430,531828519,25261
22,5,23012,668158206,21862
22,1,31684,785710098,29935
22,4,25354,728229054,24933
22,3,18361,724736596,19866
22,2,21800,591634960,21106
22,6,22706,600013171,22128
22,7,24529,556640120,21205
23,5,21836,642469805,20906
23,1,29873,742844737,28230
23,4,15819,663993119,16909
23,2,21992,600542518,21048
23,3,19414,794537483,20145
23,6,28469,573066747,25972
23,7,24549,572801191,21111
24,5,21823,608640785,20246
24,1,25042,819003230,26155
24,2,22811,594293182,21848
24,3,24280,693435936,21536
24,4,14429,619431265,15571
24,6,26793,522989911,25091
24,7,24454,563332126,21094
25,1,32299,817884348,30914
25,5,23312,643342761,23865
25,3,21969,655574388,21461
25,2,16224,608511290,18041
25,4,17803,709857405,18364
25,6,26833,534413528,24626
25,7,23438,508668683,19347
26,5,22806,629408947,22606
26,1,31211,772046530,31280
26,4,15645,687252718,16953
26,3,25571,758355116,23505
26,2,20977,554541550,19299
26,6,26079,513009789,23622
26,7,15237,503181836,14440
27,1,32210,798381223,30764
27,5,22528,647377511,22712
27,4,14899,642096879,16682
27,3,24945,738434685,25009
27,2,21813,587522233,20412
27,6,19328,512677928,18755
27,7,20857,468473563,17893
28,1,31017,799904821,30557
28,5,24382,690752408,24242
28,3,19048,746492252,19595
28,4,22415,671511838,21127
28,2,22427,620094966,21058
28,6,26893,522604792,24054
28,7,18168,547828108,17434
29,1,32474,822410719,31236
29,5,22938,642543633,22633
29,4,21061,620871233,20454
29,3,16789,711708605,18418
29,2,22556,611724548,22480
29,6,24921,498600691,22673
29,7,15952,503828886,14766
30,1,30549,766068787,30329
30,5,25811,699972342,27187
30,4,24033,711989294,23380
30,3,24274,724565627,23739
30,2,21349,556755977,20548
30,6,20034,555354707,19295
30,7,17614,578615066,16586
31,1,30656,760070145,29004
31,5,18617,724963700,19422
31,3,22444,668949854,21802
31,4,24577,694052074,22661
31,2,17116,643580584,18567
31,6,29641,594642435,27164
31,7,22012,486299407,18657
32,1,30622,786906001,29786
32,5,17605,716423243,18685
32,3,23382,703779756,21815
32,4,22143,633917178,20909
32,2,15686,603102419,17239
32,6,24743,469815192,23516
32,7,23483,526056309,20743
33,1,31446,764735780,32177
33,5,22808,659882631,21299
33,3,18844,755667193,20440
33,4,24320,702527455,22319
33,2,17761,669945664,18644
33,6,26127,484533504,24570
33,7,25458,576879493,22397
34,1,30658,777725169,30550
34,5,16730,689697445,17940
34,4,17385,699833408,18937
34,3,23026,680982408,22002
34,2,22575,621186135,21835
34,6,28573,573389395,26921
34,7,23032,538612857,19990
35,1,28739,720834600,28614
35,5,21570,622019598,20888
35,4,15324,649672615,16508
35,3,21947,655559861,21365
35,2,21280,577329185,20648
35,6,25680,509227274,23477
35,7,18513,597632515,16905
36,1,31572,790968047,29621
36,5,24056,694579392,23586
36,4,22350,657577265,21608
36,3,22565,694475388,23634
36,2,22961,604341967,22652
36,6,19860,525518453,19874
36,7,16898,537933001,16084
37,1,32130,809907231,31087
37,5,23804,677973520,22715
37,4,15627,650610445,16647
37,3,22680,677052231,21673
37,2,20624,545899887,19853
37,6,25895,500164354,23674
37,7,18373,597669126,17825
38,1,27276,846403003,28748
38,5,22598,638670779,23521
38,4,24452,714321872,22649
38,3,24212,710927523,22847
38,2,22709,602751696,21207
38,6,29683,624953199,28199
38,7,18132,581828949,16637
39,1,29684,725519964,27859
39,5,23641,682466097,24110
39,4,14912,654134281,16419
39,3,24254,702851812,22964
39,2,15427,585202373,16819
39,6,28235,531057793,26232
39,7,22396,503117180,18285
40,1,25326,826304825,26730
40,5,17661,705411270,18972
40,4,26049,752191751,25037
40,3,24755,761786107,24373
40,2,23469,641384623,22159
40,6,25576,479500559,23608
40,7,23643,533587672,19448
41,1,25775,825491722,26766
41,5,18465,720627447,19945
41,4,24505,719589315,23666
41,3,24159,694827114,22601
41,6,28773,559903290,26024
41,2,20112,542880002,19852
41,7,25899,577002019,22098
42,1,26384,819841293,28796
42,5,22113,616028932,21992
42,4,24342,699478510,23242
42,3,23864,698112646,23272
42,2,21875,594252093,20976
42,6,26651,521729713,24824
42,7,15202,516159566,14525
43,1,32995,829647695,31864
43,5,25080,681826346,24460
43,4,24255,695628488,22869
43,6,28575,564522682,25579
43,3,22149,685286299,21612
43,2,15768,654548719,17260
43,7,17865,550407232,16396
44,1,25878,837094965,26852
44,5,18073,678467903,18889
44,4,24846,722008120,26031
44,6,27353,521846693,25327
44,3,25555,767555995,24585
44,2,21937,600033491,20938
44,7,24255,551494054,20432
45,1,32802,825199715,31471
45,5,22223,630736245,21763
45,4,21650,616115268,21814
45,3,25310,759247338,24711
45,2,21014,580845525,20187
45,6,27519,548281620,26556
45,7,9344,554704074,12438
46,1,26557,846924763,28278
46,5,22739,680044419,23924
46,4,23735,710593562,22799
46,3,17922,721059883,18997
46,2,20736,565201979,19983
46,6,26622,521745566,24870
46,7,24660,555797511,20678
47,1,42139,855563166,40027
47,5,36096,674615409,32689
47,4,36293,707346358,32773
47,2,38334,621036340,34387
47,6,39064,557912619,33315
47,3,38634,725671187,33849
47,7,30793,512111320,26656
48,1,147822,7809790,116879
48,5,184927,10251291,152953
48,4,91020,5264538,73876
