moment,node,recv_packets,send_bytes,send_packets
1,1,49,15871,47
1,6,75,26576,73
1,3,73,17582,68
1,4,54,24436,51
1,5,46,10675,46
1,2,99,44669,95
1,7,67,14011,64
2,5,4919,216785,2995
2,4,9030,135904753,7152
2,1,6799,135860755,7399
2,6,2086,44339078,2412
2,3,18,4626,22
2,2,2917,44592447,2515
2,7,15,5009,22
3,5,251,164992,289
3,3,4994,200442,2736
3,2,5813,133533264,4517
3,1,8880,541732129,10851
3,4,1323,59828,768
3,6,4466,44527209,3088
3,7,5461,197846,2697
4,5,129,46671,134
4,2,202,99641,210
4,3,192,88635,183
4,4,124,43010,130
4,6,7477,598714,6314
4,1,136,355192,144
4,7,108,42038,114
5,5,64042,61932103,48102
5,2,84631,49627432,66532
5,3,72931,67279851,53763
5,4,62610,62143747,49965
5,6,116831,76405705,93215
5,1,62479,66853058,47613
5,7,49890,50122161,34959
6,5,4244,87214848,4158
6,3,4741,94272295,4595
6,2,9100,101999639,7760
6,4,4053,87061338,3848
6,1,4626,94407234,4456
6,6,5640,118294918,5561
6,7,2457,72772476,2414
7,5,10072,260569042,9663
7,2,16186,265147920,13628
7,3,11603,289504366,10915
7,1,13093,298941849,12294
7,6,16779,400765322,15220
7,4,12920,253501483,11755
7,7,5856,216511012,5836
8,5,14215,321248287,13355
8,2,23300,391530221,21124
8,3,16313,390530717,15100
8,6,19096,446421771,18398
8,1,15201,399672848,14403
8,4,16499,342762922,15250
8,7,7632,289249149,7970
9,5,12506,321264263,11755
9,2,21329,389475130,20306
9,3,15055,380065760,14369
9,6,19665,438577853,18553
9,4,15364,333160496,14367
9,1,14290,392073147,13925
9,7,6580,289202303,7194
10,5,13044,325690647,12766
10,2,19278,403052166,17655
10,3,15406,370025113,15017
10,4,17334,291439035,15412
10,6,18745,444101120,17823
10,1,14154,383375905,13871
10,7,10002,289172047,9231
11,5,11527,252737527,10951
11,2,17541,312569513,15737
11,3,10968,296890493,10600
11,4,11808,270819815,10836
11,6,14033,373172371,13021
11,1,11586,304250876,11213
11,7,10503,220054851,8565
12,2,20801,384767063,18907
12,5,12801,356813168,12919
12,4,17306,357489790,15699
12,3,14949,367482208,13956
12,6,18279,446460794,17548
12,1,15459,382403116,14909
12,7,7427,292026643,7562
13,2,19724,394325118,18453
13,5,12570,321425777,12128
13,3,14961,369595181,14502
13,6,18480,445554171,17423
13,4,16500,333352133,15721
13,1,15316,397564876,14995
13,7,6945,289359118,7441
14,2,27443,358504355,24199
14,5,12591,351308226,12604
14,3,13493,379909160,12991
14,6,19137,458473101,17912
14,4,14099,368297937,13575
14,1,14244,403714619,14416
14,7,6861,291871642,7392
15,2,21340,389504039,19765
15,5,13668,292862183,12393
15,1,16243,395914461,15509
15,3,13559,376602591,13344
15,6,17149,457798637,16814
15,4,17550,361480384,16492
15,7,7528,293241818,7517
16,2,131238,100569304,98834
16,5,109170,92966946,87192
16,1,89080,107879372,68362
16,4,89506,116128557,70149
16,3,111430,100031305,83081
16,6,110822,131543948,85981
16,7,151192,80075119,112042
