moment,node,load5,load10,load15,procs
1,3,6.41,7.99,8.39,516
1,2,7.2,8.27,8.23,515
1,5,12.68,14.33,13.99,517
1,6,6.6,7.4,7.93,500
1,4,7.55,8.64,8.61,514
1,1,6.97,7.99,8.31,514
1,7,6.99,8.5,8.58,512
2,3,5.9,7.86,8.35,516
2,5,11.66,14.09,13.91,558
2,2,6.62,8.14,8.19,515
2,6,6.07,7.27,7.88,500
2,1,6.41,7.85,8.26,514
2,4,6.95,8.49,8.56,514
2,7,6.51,8.38,8.54,513
3,3,5.5,7.74,8.31,623
3,5,10.73,13.85,13.83,723
3,2,6.17,8.02,8.15,653
3,6,5.67,7.17,7.85,605
3,1,5.97,7.74,8.22,638
3,4,6.47,8.37,8.52,651
3,7,6.23,8.29,8.51,692
4,3,5.06,7.61,8.26,633
4,5,9.87,13.62,13.76,715
4,2,5.68,7.88,8.1,634
4,6,5.21,7.05,7.8,618
4,1,5.5,7.61,8.18,632
4,4,6.03,8.25,8.48,640
4,7,5.73,8.15,8.46,692
5,3,5.06,7.57,8.25,654
5,5,9.32,13.45,13.7,736
5,2,5.3,7.77,8.07,654
5,1,5.3,7.53,8.15,649
5,6,5.6,7.1,7.82,639
5,4,5.95,8.19,8.46,657
5,7,6.07,8.18,8.47,722
6,3,5.37,7.59,8.25,654
6,5,9.37,13.39,13.68,736
6,2,5.68,7.81,8.08,654
6,1,5.67,7.58,8.16,649
6,6,6.19,7.2,7.85,639
6,4,6.27,8.22,8.47,658
6,7,6.79,8.3,8.5,723
7,3,5.66,7.62,8.25,653
7,5,9.34,13.32,13.66,735
7,2,6.58,7.96,8.13,653
7,1,5.94,7.6,8.17,648
7,6,6.49,7.24,7.86,639
7,4,6.81,8.3,8.5,657
7,7,7.36,8.39,8.53,723
8,3,5.85,7.62,8.25,653
8,5,9.32,13.24,13.63,734
8,2,6.86,7.99,8.14,652
8,1,6.75,7.74,8.21,647
8,6,6.78,7.29,7.87,638
8,4,7.07,8.33,8.5,656
8,7,7.98,8.5,8.57,720
9,3,6.1,7.65,8.26,653
9,5,9.37,13.19,13.61,736
9,1,6.93,7.76,8.21,649
9,2,6.95,7.99,8.13,653
9,6,6.95,7.32,7.87,637
9,4,7.22,8.34,8.51,657
9,7,9.18,8.74,8.65,720
10,3,6.18,7.64,8.25,654
10,5,9.34,13.12,13.59,735
10,1,7.09,7.78,8.22,647
10,2,7.03,7.99,8.13,653
10,4,7.29,8.34,8.5,657
10,6,7.04,7.33,7.88,639
10,7,9.65,8.85,8.68,720
11,3,6.4,7.66,8.25,653
11,5,9.31,13.05,13.56,736
11,2,7.11,8,8.13,654
11,1,7.16,7.79,8.22,649
11,4,7.5,8.36,8.51,656
11,7,9.99,8.93,8.71,722
11,6,6.71,7.26,7.85,639
12,3,6.45,7.65,8.25,651
12,5,9.21,12.97,13.53,732
12,2,7.26,8.01,8.14,651
12,1,7.39,7.82,8.23,646
12,4,7.54,8.36,8.51,657
12,7,10.24,9,8.73,720
12,6,6.82,7.27,7.85,636
13,3,6.74,7.69,8.26,651
13,5,9.35,12.93,13.52,732
13,2,7.24,8,8.13,652
13,1,7.52,7.84,8.23,647
13,4,7.5,8.33,8.5,657
13,7,10.38,9.05,8.75,722
13,6,6.91,7.28,7.85,636
14,3,7,7.73,8.27,651
14,5,9.32,12.87,13.49,731
14,2,7.46,8.03,8.14,651
14,1,7.72,7.88,8.24,647
14,4,7.62,8.35,8.5,656
14,7,10.59,9.12,8.77,720
14,6,7.08,7.31,7.86,637
15,3,7.16,7.75,8.27,650
15,5,9.22,12.79,13.46,712
15,2,7.51,8.03,8.14,651
15,1,7.82,7.9,8.25,645
15,4,7.81,8.37,8.51,654
15,7,10.94,9.21,8.81,718
15,6,7.31,7.36,7.87,636
16,3,7.39,7.78,8.28,651
16,5,9.12,12.71,13.43,709
16,1,8,7.93,8.25,644
16,2,7.55,8.03,8.14,649
16,4,7.91,8.38,8.52,654
16,7,11.19,9.29,8.84,718
16,6,7.53,7.4,7.88,633
17,3,7.6,7.82,8.29,649
17,5,9.11,12.65,13.41,709
17,1,8.08,7.95,8.26,642
17,2,7.66,8.04,8.14,649
17,4,8.07,8.41,8.52,652
17,7,11.41,9.37,8.86,715
17,6,7.49,7.39,7.88,633
18,3,7.71,7.84,8.29,649
18,5,9.02,12.57,13.38,707
18,1,8.15,7.97,8.26,642
18,2,7.61,8.03,8.14,647
18,4,8.07,8.4,8.52,651
18,7,11.62,9.45,8.89,713
18,6,7.61,7.42,7.88,633
19,5,8.86,12.48,13.35,709
19,3,8.29,7.96,8.33,648
19,1,8.14,7.97,8.26,643
19,2,7.64,8.03,8.14,647
19,4,8.14,8.41,8.52,651
19,7,11.81,9.52,8.92,715
19,6,7.72,7.45,7.89,631
20,5,8.95,12.43,13.33,707
20,3,8.43,8,8.34,649
20,2,7.67,8.03,8.14,649
20,1,8.29,8,8.27,642
20,4,8.29,8.44,8.53,651
20,7,11.99,9.6,8.95,715
20,6,8.38,7.59,7.93,632
21,5,8.95,12.38,13.3,708
21,3,8.47,8.01,8.34,647
21,1,8.43,8.04,8.28,642
21,2,7.62,8.01,8.13,649
21,4,8.27,8.43,8.53,650
21,7,12.15,9.67,8.97,714
21,6,8.43,7.61,7.94,633
22,5,8.96,12.32,13.28,708
22,3,8.44,8.01,8.34,648
22,1,8.39,8.04,8.28,642
22,2,7.81,8.04,8.14,649
22,4,8.33,8.44,8.53,651
22,7,12.22,9.73,9,712
22,6,8.4,7.62,7.94,632
23,5,8.88,12.25,13.25,709
23,3,8,7.93,8.31,648
23,1,8.12,7.98,8.26,642
23,2,7.74,8.02,8.13,651
23,4,8.22,8.42,8.52,652
23,7,12.2,9.77,9.01,714
23,6,8.29,7.61,7.93,632
24,5,8.49,12.11,13.2,708
24,3,7.44,7.81,8.27,648
24,1,7.63,7.89,8.23,643
24,7,11.86,9.74,9.01,714
24,2,7.52,7.97,8.12,647
24,4,7.88,8.35,8.5,652
24,6,8.1,7.58,7.92,632
25,5,8.05,11.96,13.15,708
25,3,6.84,7.68,8.23,649
25,1,7.1,7.77,8.19,643
25,7,11.07,9.61,8.97,714
25,2,7.32,7.92,8.1,648
25,4,7.25,8.21,8.45,651
25,6,7.77,7.52,7.9,632
26,5,7.41,11.76,13.08,709
26,3,6.3,7.56,8.18,648
26,1,6.53,7.64,8.14,643
26,7,10.18,9.45,8.92,717
26,2,6.81,7.81,8.06,650
26,4,6.67,8.07,8.41,651
26,6,7.39,7.45,7.88,635
27,5,7.29,11.67,13.04,721
27,3,6.11,7.5,8.16,659
27,7,9.37,9.29,8.87,733
27,1,6.01,7.51,8.1,658
27,2,6.27,7.68,8.02,661
27,4,6.14,7.94,8.36,661
27,6,7.6,7.49,7.89,645
28,5,7.75,11.69,13.04,728
28,3,7.06,7.67,8.21,665
28,1,6.01,7.49,8.09,664
28,7,8.62,9.14,8.82,741
28,2,6.73,7.75,8.04,666
28,4,6.53,7.99,8.38,667
28,6,7.15,7.4,7.86,650
29,5,8.01,11.68,13.03,728
29,3,7.38,7.73,8.23,666
29,1,6.33,7.53,8.1,664
29,7,8.81,9.17,8.84,742
29,2,7.07,7.81,8.06,666
29,4,6.96,8.05,8.4,667
29,6,7.3,7.43,7.86,650
30,5,8.09,11.63,13,728
30,3,7.51,7.75,8.23,668
30,7,9.07,9.22,8.85,742
30,1,6.14,7.47,8.08,664
30,2,7.22,7.83,8.06,667
30,4,7.05,8.05,8.39,667
30,6,7.52,7.47,7.87,650
31,5,7.84,11.52,12.96,758
31,7,8.34,9.06,8.81,787
31,1,5.65,7.35,8.03,694
31,3,7.23,7.69,8.21,696
31,2,6.65,7.69,8.02,697
31,4,6.48,7.92,8.35,697
31,6,7.07,7.38,7.84,680
32,5,7.61,11.41,12.92,758
32,7,7.67,8.91,8.76,787
32,1,5.2,7.22,7.99,694
32,3,6.65,7.56,8.17,696
32,2,6.27,7.6,7.98,697
32,4,6.04,7.8,8.31,697
32,6,6.59,7.27,7.8,680
33,5,7.81,11.39,12.9,758
33,7,8.18,9,8.79,787
33,1,5.5,7.25,8,695
33,3,6.36,7.48,8.14,696
33,2,6.49,7.62,7.99,698
33,4,6.28,7.82,8.31,698
33,6,6.7,7.28,7.81,681
34,7,8.56,9.06,8.81,787
34,5,7.9,11.35,12.88,758
34,3,5.85,7.36,8.1,696
34,1,5.14,7.15,7.96,695
34,2,6.05,7.51,7.95,698
34,4,5.78,7.69,8.27,698
34,6,6.73,7.28,7.8,681
35,7,8.6,9.06,8.81,793
35,5,7.59,11.23,12.83,762
35,3,5.38,7.23,8.05,700
35,1,4.89,7.06,7.93,699
35,2,5.97,7.47,7.94,702
35,4,5.47,7.6,8.23,702
35,6,6.35,7.19,7.77,685
36,7,9.51,9.24,8.87,793
36,5,7.62,11.17,12.81,762
36,3,5.75,7.28,8.06,700
36,1,5.22,7.1,7.93,699
36,2,6.21,7.5,7.94,702
36,4,5.84,7.64,8.24,702
36,6,6.64,7.24,7.78,685
37,7,8.75,9.09,8.82,793
37,5,7.65,11.12,12.78,762
37,3,5.53,7.21,8.03,700
37,1,4.8,6.98,7.89,699
37,2,5.71,7.37,7.9,702
37,4,5.37,7.51,8.2,702
37,6,6.67,7.23,7.78,685
38,7,8.05,8.94,8.78,793
38,5,7.04,10.94,12.71,762
38,3,5.89,7.26,8.05,700
38,1,4.41,6.86,7.85,699
38,4,5.1,7.42,8.17,702
38,2,5.26,7.25,7.86,702
38,6,6.14,7.11,7.74,685
39,7,7.56,8.82,8.74,793
39,5,7.28,10.92,12.7,762
39,3,6.06,7.27,8.04,700
39,1,4.7,6.88,7.85,699
39,4,5.33,7.43,8.17,702
39,2,5.72,7.31,7.87,702
39,6,6.04,7.08,7.72,685
40,7,7.2,8.73,8.71,793
40,5,6.93,10.79,12.65,762
40,3,5.73,7.18,8.01,700
40,1,4.49,6.8,7.82,699
40,4,5.06,7.34,8.13,702
40,2,5.34,7.21,7.84,702
40,6,6.04,7.06,7.71,685
41,7,7.9,8.85,8.75,793
41,5,6.86,10.71,12.61,762
41,3,5.99,7.21,8.02,700
41,1,4.29,6.72,7.78,699
41,4,5.14,7.32,8.12,702
41,2,5.71,7.25,7.85,702
41,6,5.88,7.01,7.69,685
42,7,7.35,8.72,8.71,793
42,5,7.19,10.71,12.6,762
42,3,5.99,7.19,8.01,700
42,1,3.94,6.61,7.74,699
42,2,5.41,7.17,7.82,701
42,4,5.05,7.26,8.1,702
42,6,6.29,7.08,7.71,685
43,7,6.84,8.59,8.66,793
