moment,node,load5,load10,load15,procs
1,5,3.35,1.86,1.8,506
1,2,5.35,2.85,2.58,510
1,3,4.73,2.77,3,513
1,4,7.29,3.25,2.19,513
1,1,3.07,1.75,1.98,507
1,7,4.93,2.33,2.25,507
1,6,2.45,1.33,1.54,493
2,5,3.08,1.83,1.79,506
2,3,4.35,2.72,2.98,513
2,2,4.92,2.8,2.56,510
2,4,6.7,3.2,2.18,514
2,1,2.83,1.72,1.96,508
2,7,4.53,2.3,2.23,507
2,6,2.25,1.31,1.53,532
3,3,4.49,2.78,3,602
3,2,4.76,2.81,2.57,616
3,5,2.91,1.82,1.79,613
3,4,6.25,3.16,2.17,619
3,1,2.6,1.69,1.95,613
3,7,4.33,2.29,2.23,604
3,6,2.31,1.34,1.54,722
4,5,2.92,1.84,1.8,629
4,3,4.13,2.73,2.98,633
4,2,4.38,2.76,2.55,627
4,4,5.75,3.11,2.16,631
4,1,2.39,1.66,1.94,625
4,6,2.13,1.31,1.53,754
4,7,3.98,2.25,2.22,627
5,3,3.88,2.7,2.97,655
5,5,3.41,1.96,1.83,645
5,2,4.75,2.86,2.59,647
5,1,2.76,1.75,1.97,645
5,4,5.69,3.14,2.18,651
5,6,3.16,1.54,1.61,785
5,7,3.82,2.25,2.22,648
6,5,3.93,2.09,1.88,644
6,3,4.21,2.79,3,655
6,2,5.09,2.97,2.62,647
6,1,3.34,1.89,2.01,645
6,6,4.11,1.76,1.68,785
6,4,6.03,3.26,2.22,651
6,7,4.32,2.38,2.26,648
7,5,4.26,2.19,1.91,645
7,3,4.59,2.9,3.03,654
7,2,5.4,3.07,2.66,646
7,4,6.27,3.35,2.26,650
7,1,3.87,2.02,2.06,644
7,6,4.82,1.95,1.74,784
7,7,4.61,2.47,2.29,647
8,5,4.64,2.3,1.95,644
8,3,5.02,3.01,3.07,654
8,2,5.77,3.18,2.7,649
8,1,4.2,2.12,2.09,643
8,4,6.49,3.45,2.29,650
8,6,5.64,2.17,1.81,783
8,7,5.04,2.6,2.33,646
9,5,4.83,2.38,1.98,645
9,3,5.34,3.11,3.1,654
9,2,6.11,3.29,2.73,648
9,4,6.69,3.54,2.33,650
9,1,4.27,2.17,2.11,645
9,6,6.31,2.37,1.88,784
9,7,5.12,2.65,2.35,648
10,5,5.24,2.51,2.02,643
10,3,5.56,3.19,3.13,654
10,2,6.26,3.37,2.76,646
10,4,6.88,3.63,2.36,651
10,6,7,2.58,1.95,785
10,1,4.41,2.24,2.13,644
10,7,5.51,2.77,2.39,647
11,5,5.54,2.62,2.06,645
11,3,5.83,3.29,3.16,655
11,2,6.48,3.47,2.8,646
11,4,6.89,3.68,2.39,649
11,6,7.56,2.77,2.01,783
11,1,4.86,2.36,2.17,644
11,7,5.63,2.84,2.42,647
12,5,5.9,2.74,2.1,643
12,3,6.01,3.37,3.19,653
12,2,6.76,3.58,2.84,646
12,4,6.97,3.76,2.42,645
12,6,8,2.93,2.07,784
12,1,5.03,2.44,2.2,645
12,7,5.9,2.95,2.45,646
13,5,5.67,2.74,2.11,644
13,3,5.52,3.31,3.17,653
13,2,6.54,3.58,2.84,646
13,4,6.74,3.76,2.43,644
13,6,8,3.02,2.1,784
13,1,5.02,2.48,2.21,642
13,7,5.91,3,2.47,646
14,5,5.3,2.71,2.1,643
14,2,6.1,3.54,2.83,646
14,3,5.08,3.26,3.15,653
14,4,6.2,3.7,2.42,644
14,6,7.52,3,2.1,781
14,1,4.78,2.48,2.21,643
14,7,5.76,3.02,2.48,646
15,5,5.59,2.82,2.14,642
15,2,6.25,3.61,2.86,645
15,3,4.99,3.27,3.16,652
15,6,7.88,3.15,2.16,761
15,1,5.28,2.62,2.26,642
15,4,6.5,3.8,2.46,645
15,7,5.54,3.01,2.48,646
16,5,5.14,2.77,2.13,658
16,2,5.75,3.55,2.84,663
16,3,5.56,3.42,3.2,668
16,6,7.41,3.13,2.16,785
16,1,5.1,2.62,2.26,660
16,4,5.98,3.74,2.44,661
16,7,6.37,3.23,2.56,660
17,2,5.69,3.58,2.86,661
17,5,4.97,2.78,2.13,657
17,3,6.47,3.64,3.28,666
17,6,8.02,3.33,2.22,783
17,4,6.38,3.86,2.49,660
17,1,5.33,2.71,2.29,658
17,7,6.66,3.34,2.6,658
18,5,5.45,2.91,2.18,657
18,2,6.12,3.7,2.9,662
18,3,6.19,3.63,3.28,666
18,6,8.49,3.51,2.29,783
18,4,6.35,3.9,2.51,661
18,1,5.3,2.75,2.31,658
18,7,6.13,3.29,2.58,658
19,5,5.18,2.9,2.18,687
19,2,5.63,3.64,2.88,662
19,3,7.38,3.92,3.37,696
19,6,8.29,3.55,2.31,798
19,4,6.08,3.88,2.51,691
19,1,4.88,2.71,2.29,673
19,7,5.64,3.23,2.57,690
20,5,4.76,2.85,2.17,687
20,2,5.17,3.58,2.87,662
20,6,7.79,3.52,2.31,801
20,3,7.59,4.02,3.41,696
20,1,4.49,2.66,2.28,673
20,4,5.6,3.82,2.5,691
20,7,5.91,3.33,2.6,691
21,5,5.18,2.97,2.21,687
21,2,5.56,3.69,2.91,662
21,6,8.69,3.78,2.4,801
21,3,6.98,3.95,3.39,696
21,1,4.37,2.67,2.29,673
21,4,5.15,3.75,2.48,691
21,7,5.84,3.36,2.62,691
22,5,4.85,2.94,2.2,687
22,2,5.36,3.68,2.91,677
22,6,8.39,3.8,2.41,816
22,3,6.5,3.9,3.38,696
22,1,5.46,2.92,2.37,689
22,4,4.74,3.69,2.47,691
22,7,5.45,3.32,2.61,691
23,5,5.02,3,2.23,687
23,2,5.57,3.75,2.94,677
23,6,8.92,3.99,2.48,816
23,3,6.86,4.02,3.42,696
23,1,5.9,3.06,2.42,690
23,4,4.92,3.75,2.49,691
23,7,5.41,3.35,2.62,691
24,5,4.7,2.97,2.22,688
24,2,5.12,3.68,2.92,677
24,6,8.53,3.99,2.49,831
24,3,6.63,4.02,3.42,697
24,4,4.52,3.68,2.48,691
24,1,5.43,3,2.4,690
24,7,5.14,3.32,2.62,691
25,5,4.64,2.99,2.23,688
25,2,5.11,3.71,2.93,677
25,6,8.57,4.07,2.52,831
25,3,6.98,4.14,3.46,697
25,1,5.24,3,2.41,690
25,4,4.72,3.74,2.51,691
25,7,5.53,3.43,2.66,691
26,5,4.27,2.94,2.22,688
26,2,4.7,3.64,2.91,677
26,6,8.84,4.2,2.57,831
26,3,6.82,4.15,3.47,697
26,1,4.82,2.95,2.39,690
26,4,4.34,3.68,2.49,691
26,7,5.08,3.38,2.64,691
27,5,4.17,2.94,2.22,688
27,2,4.49,3.62,2.91,678
27,6,8.13,4.13,2.56,832
27,3,7.16,4.27,3.51,697
27,1,4.75,2.97,2.4,690
27,4,4.16,3.65,2.49,691
27,7,5.08,3.4,2.66,692
28,5,4.23,2.97,2.24,688
28,6,8.28,4.23,2.6,832
28,2,4.13,3.56,2.89,693
28,3,6.58,4.2,3.49,697
28,1,4.53,2.95,2.4,690
28,4,3.82,3.59,2.47,691
28,7,4.67,3.35,2.64,692
29,5,4.38,3.02,2.26,688
29,6,7.86,4.21,2.6,832
29,2,3.88,3.51,2.88,693
29,3,6.3,4.18,3.49,697
29,1,4.49,2.97,2.41,690
29,4,3.76,3.58,2.48,692
29,7,4.3,3.29,2.63,693
30,5,4.27,3.02,2.26,688
30,6,8.51,4.41,2.67,832
30,2,3.64,3.47,2.87,693
30,3,5.87,4.12,3.47,697
30,1,4.21,2.94,2.4,690
30,4,3.46,3.52,2.46,692
30,7,3.95,3.24,2.61,693
31,5,3.92,2.97,2.25,688
31,6,7.83,4.33,2.66,832
31,2,3.35,3.41,2.86,693
31,1,3.87,2.89,2.39,690
31,3,5.96,4.17,3.49,697
31,4,3.18,3.46,2.45,692
31,7,4.28,3.32,2.64,693
32,5,4.17,3.04,2.28,688
32,6,7.76,4.38,2.68,832
32,2,3.16,3.37,2.85,693
32,1,3.72,2.88,2.38,690
32,3,5.49,4.1,3.47,697
32,4,3,3.42,2.44,692
32,7,4.01,3.28,2.63,693
33,5,3.84,2.99,2.26,688
33,6,7.22,4.32,2.67,832
33,2,2.91,3.32,2.83,693
33,1,3.42,2.83,2.37,690
33,3,5.53,4.13,3.49,697
33,4,2.76,3.36,2.43,692
33,7,3.85,3.26,2.63,693
34,5,3.85,3.01,2.27,688
34,1,3.31,2.81,2.37,690
34,6,7.52,4.43,2.72,832
34,2,2.68,3.26,2.82,693
34,3,5.16,4.08,3.47,697
34,4,2.54,3.3,2.42,692
34,7,3.54,3.2,2.62,693
35,5,3.54,2.96,2.26,688
35,2,2.46,3.21,2.8,693
35,6,6.92,4.36,2.7,832
35,1,3.04,2.77,2.36,689
35,3,5.31,4.13,3.49,697
35,4,2.34,3.25,2.4,692
35,7,3.66,3.23,2.63,693
36,5,3.58,2.97,2.27,688
36,6,7.25,4.47,2.75,832
36,2,2.35,3.17,2.79,693
36,1,2.88,2.74,2.35,689
36,3,4.89,4.06,3.47,697
36,4,2.23,3.21,2.4,692
36,7,3.45,3.2,2.62,693
37,5,3.29,2.92,2.26,688
37,6,6.83,4.43,2.74,833
37,2,2.16,3.12,2.78,694
37,1,2.65,2.69,2.34,689
37,3,4.98,4.09,3.49,697
37,7,3.25,3.16,2.61,693
37,4,2.05,3.16,2.38,692
38,5,3.43,2.96,2.27,688
38,6,6.76,4.45,2.76,833
38,2,1.98,3.07,2.76,694
38,1,2.76,2.71,2.35,689
38,7,2.99,3.11,2.6,693
38,3,4.58,4.02,3.47,697
38,4,1.89,3.11,2.37,692
39,6,6.22,4.38,2.75,832
39,5,3.15,2.91,2.26,689
39,2,1.83,3.02,2.75,694
39,1,2.54,2.67,2.33,689
39,3,4.85,4.09,3.49,697
39,7,3.07,3.12,2.6,693
39,4,1.74,3.05,2.36,692
40,6,6.44,4.46,2.78,832
40,5,3.46,2.98,2.29,689
40,2,1.68,2.96,2.73,694
40,1,2.33,2.62,2.32,689
40,3,4.46,4.02,3.47,697
40,7,2.83,3.07,2.59,693
40,4,1.6,3,2.34,692
41,6,6.25,4.45,2.79,834
41,5,3.18,2.93,2.27,690
41,2,1.54,2.92,2.72,695
41,1,2.15,2.58,2.31,691
41,3,4.83,4.11,3.5,699
41,7,2.6,3.02,2.58,693
41,4,1.47,2.95,2.33,694
42,6,6.79,4.59,2.84,834
42,5,3.41,2.98,2.29,690
42,1,2.05,2.55,2.3,691
42,2,1.5,2.88,2.71,695
42,3,4.52,4.05,3.49,699
42,7,2.47,2.98,2.57,693
42,4,1.35,2.9,2.32,694
43,6,6.32,4.53,2.83,837
43,5,3.14,2.93,2.28,692
43,2,1.38,2.83,2.69,697
43,1,1.89,2.51,2.29,693
43,3,4.8,4.12,3.52,701
43,4,1.24,2.85,2.31,696
43,7,2.27,2.93,2.55,695
44,5,3.05,2.91,2.28,692
44,6,6.46,4.59,2.86,837
44,2,1.27,2.79,2.68,697
44,1,1.98,2.52,2.29,693
44,3,4.41,4.05,3.5,701
44,4,1.14,2.81,2.29,696
44,7,2.09,2.89,2.54,695
45,5,2.8,2.86,2.27,692
45,6,5.94,4.51,2.84,837
45,2,1.17,2.74,2.66,697
45,1,1.82,2.48,2.28,693
45,4,1.05,2.76,2.28,696
45,3,4.54,4.08,3.51,701
45,7,1.92,2.84,2.53,695
46,5,2.82,2.87,2.27,692
46,6,6.11,4.57,2.87,837
46,2,1.07,2.7,2.65,697
46,1,1.83,2.47,2.28,693
46,4,0.97,2.71,2.27,696
46,3,4.18,4.02,3.49,701
46,7,1.77,2.79,2.51,695
47,5,2.59,2.82,2.26,692
47,6,5.7,4.51,2.86,837
47,2,0.99,2.65,2.63,697
47,1,1.69,2.43,2.26,693
47,4,0.89,2.67,2.25,696
47,3,4.64,4.12,3.53,701
47,7,1.63,2.74,2.5,695
48,5,2.78,2.86,2.27,692
48,6,5.88,4.57,2.89,837
48,2,0.91,2.61,2.62,697
48,1,1.55,2.39,2.25,693
48,4,0.82,2.62,2.24,696
48,3,4.27,4.05,3.51,701
48,7,1.5,2.7,2.48,695
49,5,2.56,2.81,2.26,692
49,6,5.57,4.53,2.88,837
49,2,0.83,2.56,2.6,697
49,1,1.43,2.35,2.24,693
49,7,1.38,2.65,2.47,695
49,4,0.75,2.58,2.23,696
49,3,4.09,4.01,3.5,701
50,5,2.68,2.83,2.27,692
50,2,0.77,2.52,2.59,697
50,6,6,4.63,2.93,837
50,7,1.27,2.61,2.46,695
50,1,1.47,2.34,2.24,693
50,4,0.69,2.54,2.22,696
50,3,3.76,3.95,3.48,701
51,5,2.54,2.8,2.26,692
51,2,0.71,2.48,2.58,697
51,6,5.52,4.56,2.91,837
51,7,1.16,2.56,2.44,696
51,3,3.62,3.91,3.47,701
51,4,0.64,2.5,2.21,696
51,1,1.44,2.32,2.23,694
52,5,2.58,2.8,2.27,693
52,2,0.65,2.44,2.56,697
52,6,6.28,4.73,2.98,837
52,7,1.07,2.52,2.43,696
52,3,3.33,3.85,3.45,701
52,4,0.58,2.45,2.19,696
52,1,1.72,2.36,2.25,694
53,5,2.37,2.75,2.26,693
53,2,0.84,2.45,2.56,697
53,6,6.1,4.72,2.98,837
53,7,0.98,2.48,2.42,696
53,3,3.46,3.87,3.46,701
53,4,0.54,2.41,2.18,696
53,1,1.58,2.32,2.23,694
54,5,2.82,2.84,2.29,693
54,6,6.65,4.86,3.04,837
54,2,0.93,2.44,2.56,697
54,7,0.91,2.44,2.4,696
54,3,3.19,3.8,3.44,701
54,4,0.49,2.37,2.17,696
54,1,1.54,2.3,2.23,694
55,5,2.6,2.79,2.27,691
55,2,0.86,2.4,2.55,696
55,6,6.2,4.79,3.03,834
55,7,0.83,2.4,2.39,694
55,3,3.49,3.86,3.46,699
55,4,0.45,2.33,2.16,694
55,1,1.49,2.28,2.22,692
56,2,0.79,2.36,2.53,696
56,5,2.87,2.85,2.29,691
56,6,6.9,4.96,3.09,834
56,7,0.77,2.36,2.38,694
56,3,3.21,3.79,3.44,699
56,4,0.42,2.29,2.15,694
56,1,1.69,2.31,2.23,692
57,5,2.8,2.83,2.29,691
57,2,0.72,2.32,2.52,696
57,6,6.35,4.88,3.07,834
57,7,0.7,2.32,2.36,694
57,3,3.04,3.75,3.43,699
57,4,0.38,2.26,2.13,694
57,1,1.72,2.3,2.23,692
58,5,3.38,2.95,2.33,691
58,2,0.67,2.28,2.51,696
58,6,6.72,4.98,3.12,834
58,7,0.65,2.28,2.35,694
58,3,2.79,3.68,3.41,699
58,4,0.35,2.22,2.12,694
58,1,1.98,2.35,2.24,692
59,2,0.61,2.24,2.49,695
59,5,3.35,2.95,2.34,691
59,6,6.59,4.98,3.13,834
59,7,0.6,2.24,2.34,694
59,3,2.73,3.65,3.4,699
59,4,0.32,2.18,2.11,694
59,1,1.98,2.34,2.24,692
60,2,1.04,2.3,2.51,695
60,5,3.72,3.04,2.37,691
60,6,7.02,5.1,3.17,834
60,7,0.55,2.2,2.33,694
60,3,2.51,3.59,3.38,699
60,4,1.02,2.29,2.15,694
60,1,2.39,2.42,2.27,693
61,2,1.04,2.28,2.5,695
61,5,3.5,3,2.36,691
61,6,6.62,5.05,3.17,834
61,7,0.58,2.18,2.32,694
61,3,2.39,3.55,3.37,699
61,4,1.18,2.31,2.15,694
61,1,2.35,2.41,2.27,692
62,6,7.21,5.19,3.23,834
62,2,1.28,2.31,2.51,695
62,5,4.1,3.14,2.41,691
62,7,0.7,2.18,2.32,694
62,3,2.6,3.57,3.38,699
62,4,1.96,2.45,2.2,694
62,1,2.81,2.5,2.3,692
63,6,6.87,5.16,3.23,834
63,2,1.42,2.32,2.51,695
63,5,4.01,3.13,2.41,691
63,7,0.8,2.18,2.31,694
63,3,2.55,3.55,3.37,699
63,4,1.97,2.44,2.2,694
63,1,2.9,2.53,2.31,692
64,6,7.52,5.32,3.29,834
64,5,4.33,3.21,2.44,691
64,2,2.1,2.45,2.55,695
64,7,1.14,2.22,2.33,694
64,3,2.83,3.59,3.39,699
64,4,2.53,2.55,2.24,694
64,1,3.39,2.64,2.34,692
65,5,3.99,3.16,2.43,691
65,2,1.93,2.41,2.54,695
65,6,7.64,5.38,3.32,835
65,7,1.21,2.22,2.33,694
65,3,3,3.61,3.39,699
65,4,2.33,2.51,2.22,694
65,1,3.2,2.61,2.34,692
66,6,7.27,5.34,3.32,835
66,5,4.07,3.19,2.44,691
66,2,2.02,2.42,2.54,695
66,7,1.75,2.32,2.36,694
66,3,3.48,3.7,3.43,699
66,4,2.46,2.53,2.23,694
66,1,3.34,2.65,2.35,692
67,6,7.73,5.47,3.37,835
67,5,4.06,3.21,2.45,691
67,2,1.86,2.38,2.53,695
67,7,1.61,2.28,2.35,694
67,3,3.68,3.74,3.44,699
67,4,2.27,2.49,2.22,694
67,1,3.08,2.61,2.34,692
68,6,7.11,5.38,3.35,835
68,5,3.74,3.15,2.44,691
68,2,1.71,2.34,2.52,695
68,7,1.96,2.34,2.37,694
68,4,2.08,2.45,2.21,694
68,3,4.19,3.85,3.47,699
68,1,2.83,2.56,2.33,692
69,6,7.34,5.46,3.39,835
69,5,4,3.22,2.46,691
69,2,1.65,2.32,2.51,695
69,7,1.81,2.3,2.35,694
69,3,3.85,3.78,3.46,699
69,4,1.92,2.41,2.2,694
69,1,2.6,2.52,2.31,692
70,6,6.75,5.37,3.37,835
70,2,1.52,2.28,2.49,695
70,5,3.76,3.18,2.45,691
70,7,1.74,2.28,2.34,694
70,1,2.47,2.49,2.31,692
70,3,4.19,3.85,3.48,699
70,4,1.92,2.4,2.2,694
71,6,6.69,5.38,3.38,835
71,2,1.4,2.24,2.48,695
71,5,4.1,3.26,2.48,691
71,7,1.6,2.24,2.33,694
71,1,2.68,2.54,2.32,692
71,4,1.77,2.36,2.18,694
71,3,3.85,3.79,3.46,699
72,6,6.32,5.32,3.38,835
72,2,1.29,2.2,2.47,695
72,5,3.77,3.2,2.47,691
72,7,1.47,2.2,2.32,694
72,4,1.63,2.32,2.17,694
72,3,3.54,3.72,3.44,699
72,1,2.54,2.51,2.31,692
73,6,6.77,5.43,3.42,835
73,2,1.82,2.3,2.5,695
73,5,4.03,3.27,2.5,692
73,7,1.35,2.17,2.31,694
73,4,1.5,2.28,2.16,694
73,3,3.34,3.68,3.43,699
73,1,2.66,2.53,2.32,692
74,6,6.39,5.37,3.41,835
74,2,1.76,2.28,2.49,695
74,5,3.79,3.23,2.49,692
74,7,1.25,2.13,2.29,694
74,4,1.46,2.26,2.15,694
74,3,3.07,3.62,3.41,699
74,1,2.61,2.53,2.32,692
75,6,6.68,5.45,3.45,835
75,2,2.18,2.36,2.51,695
75,5,4.04,3.29,2.51,692
75,7,1.15,2.09,2.28,694
75,4,2.06,2.37,2.19,694
75,3,2.82,3.56,3.39,699
75,1,3.04,2.62,2.35,692
76,6,6.54,5.44,3.46,835
76,2,2.16,2.35,2.51,695
76,5,3.8,3.26,2.5,692
76,7,1.13,2.08,2.27,694
76,4,2.06,2.37,2.19,694
76,3,2.6,3.5,3.37,699
76,1,3.12,2.64,2.36,692
77,6,7.06,5.57,3.51,834
77,2,2.47,2.41,2.53,696
77,5,4.14,3.33,2.53,692
77,3,2.55,3.47,3.37,699
77,7,1.12,2.06,2.27,694
77,4,2.53,2.46,2.22,694
77,1,3.67,2.76,2.4,693
78,6,6.98,5.58,3.52,834
78,2,2.51,2.42,2.53,695
78,5,4.2,3.36,2.55,692
78,3,2.51,3.45,3.36,699
78,7,1.11,2.04,2.26,694
78,4,2.57,2.47,2.22,693
78,1,3.61,2.77,2.4,693
79,6,7.54,5.72,3.58,834
79,2,3.03,2.53,2.57,695
79,5,4.51,3.44,2.58,692
79,3,2.55,3.44,3.36,699
79,7,1.02,2.01,2.25,694
79,4,3.16,2.6,2.27,693
79,1,4.05,2.87,2.44,693
80,6,7.01,5.64,3.57,834
80,2,3.03,2.54,2.57,695
80,5,4.31,3.42,2.57,692
80,3,2.42,3.4,3.34,699
80,7,1.1,2.01,2.25,695
80,4,2.99,2.57,2.26,693
80,1,4.04,2.89,2.45,693
81,6,7.73,5.81,3.63,834
81,2,3.51,2.65,2.6,695
81,5,4.52,3.47,2.6,693
81,3,2.71,3.44,3.36,699
81,4,3.39,2.66,2.29,693
81,7,1.25,2.02,2.25,694
81,1,4.52,3.01,2.49,693
82,6,7.43,5.78,3.64,834
82,2,3.31,2.62,2.59,695
82,5,4.4,3.47,2.6,693
82,3,2.73,3.44,3.36,699
82,4,3.52,2.7,2.31,694
82,7,1.31,2.02,2.25,694
82,1,4.24,2.97,2.48,692
83,6,7.8,5.88,3.68,834
83,2,3.84,2.74,2.63,695
83,5,4.69,3.54,2.63,693
83,3,3.23,3.53,3.39,699
83,4,3.72,2.75,2.33,694
83,7,1.85,2.12,2.28,694
83,1,4.7,3.09,2.52,692
84,6,7.74,5.9,3.7,834
84,5,4.39,3.5,2.62,692
84,2,3.53,2.69,2.62,695
84,3,3.13,3.5,3.38,699
84,4,3.5,2.72,2.32,694
84,7,2.02,2.15,2.29,694
84,1,4.4,3.06,2.51,692
85,6,8.08,6,3.74,834
85,2,3.97,2.8,2.66,695
85,5,4.6,3.56,2.64,692
85,3,3.44,3.56,3.4,698
85,4,3.7,2.78,2.34,694
85,7,2.58,2.27,2.33,694
85,1,4.77,3.15,2.55,692
86,6,8.31,6.09,3.78,834
86,5,4.31,3.52,2.63,692
86,2,3.73,2.77,2.65,695
86,3,3.41,3.55,3.4,698
86,4,3.41,2.73,2.33,694
86,7,2.53,2.26,2.32,694
86,1,4.47,3.12,2.54,692
87,6,8.93,6.25,3.85,834
87,2,4.16,2.87,2.68,695
87,5,4.37,3.54,2.65,692
87,3,3.94,3.66,3.43,698
87,4,3.69,2.8,2.35,694
87,7,3.13,2.39,2.37,694
87,1,4.67,3.18,2.56,692
88,6,9.25,6.36,3.9,834
88,5,4.1,3.5,2.64,692
88,2,3.82,2.83,2.67,695
88,3,4.02,3.68,3.44,698
88,4,3.4,2.76,2.34,694
88,7,2.88,2.35,2.35,694
88,1,4.38,3.15,2.56,692
89,6,8.51,6.26,3.88,834
89,2,3.52,2.78,2.65,694
89,5,3.77,3.44,2.62,692
89,4,3.12,2.71,2.33,694
89,3,4.66,3.82,3.49,699
89,7,3.45,2.48,2.39,694
89,1,4.03,3.09,2.54,691
90,6,8.23,6.24,3.88,834
90,2,3.23,2.73,2.64,694
90,5,3.79,3.45,2.63,692
90,3,4.69,3.84,3.5,699
90,4,2.87,2.67,2.31,694
90,7,3.18,2.44,2.38,694
90,1,3.7,3.04,2.53,691
91,6,7.57,6.13,3.86,834
91,5,3.57,3.41,2.62,692
91,2,3.06,2.7,2.63,694
91,4,2.64,2.62,2.3,694
91,3,5.03,3.93,3.52,699
91,1,3.41,2.99,2.51,691
91,7,3,2.41,2.37,694
92,6,7.45,6.13,3.87,834
92,5,3.76,3.45,2.64,692
92,2,2.81,2.66,2.61,694
92,3,4.63,3.86,3.51,699
92,4,2.43,2.58,2.29,694
92,1,3.29,2.97,2.51,691
92,7,2.76,2.37,2.36,693
93,6,6.85,6.03,3.85,834
93,5,3.46,3.39,2.63,692
93,2,2.75,2.65,2.61,694
93,4,2.24,2.54,2.27,694
93,3,4.34,3.81,3.49,699
93,1,3.03,2.93,2.5,691
93,7,2.54,2.33,2.35,693
94,6,6.94,6.06,3.88,834
94,5,3.9,3.49,2.66,692
94,2,2.61,2.62,2.6,694
94,4,2.06,2.49,2.26,694
94,3,4.07,3.77,3.48,699
94,1,3.11,2.94,2.51,691
94,7,2.34,2.29,2.33,693
95,6,6.71,6.03,3.88,834
95,5,3.75,3.46,2.66,692
95,2,2.64,2.63,2.6,694
95,4,1.89,2.45,2.25,694
95,3,3.83,3.72,3.46,700
95,1,2.86,2.89,2.49,691
