moment,node,load5,load10,load15,procs
1,2,3.47,8.04,10.04,514
1,5,2.63,10.57,13.58,513
1,3,5.67,8.56,10.17,516
1,4,2.7,9.76,11.65,512
1,1,2.74,8.33,10.76,511
1,6,3.61,8.44,10.6,498
1,7,3.62,8.22,10.83,513
2,3,5.22,8.42,10.11,516
2,2,3.19,7.9,9.98,515
2,5,2.42,10.39,13.5,514
2,4,2.48,9.6,11.59,512
2,1,2.52,8.19,10.7,511
2,6,3.33,8.3,10.54,498
2,7,3.41,8.1,10.77,555
3,4,2.28,9.44,11.53,624
3,3,4.8,8.28,10.06,626
3,2,2.93,7.77,9.93,626
3,5,2.23,10.22,13.43,629
3,1,2.31,8.06,10.64,625
3,6,3.06,8.16,10.49,610
3,7,3.38,8.02,10.73,702
4,3,4.65,8.19,10.02,650
4,4,2.1,9.28,11.46,642
4,1,2.29,7.95,10.6,707
4,5,2.05,10.05,13.36,648
4,2,2.7,7.64,9.88,645
4,6,2.97,8.06,10.44,630
4,7,3.19,7.9,10.68,724
5,3,5,8.21,10.02,657
5,5,2.04,9.92,13.3,650
5,1,3.31,8.07,10.62,722
5,4,2.97,9.34,11.47,651
5,2,3.04,7.63,9.86,653
5,6,3.22,8.02,10.42,634
5,7,3.41,7.87,10.65,734
6,3,5.08,8.17,9.99,657
6,1,4.16,8.17,10.64,722
6,5,2.52,9.88,13.27,650
6,4,3.54,9.35,11.46,651
6,2,3.6,7.67,9.86,653
6,7,3.86,7.89,10.65,734
6,6,3.68,8.04,10.41,634
7,4,4.69,9.5,11.5,651
7,5,2.88,9.84,13.23,650
7,1,4.87,8.25,10.65,721
7,3,5.24,8.15,9.98,657
7,2,3.95,7.68,9.85,653
7,7,3.95,7.84,10.61,734
7,6,3.79,7.99,10.38,634
8,5,2.89,9.72,13.18,667
8,1,4.64,8.15,10.6,740
8,4,4.32,9.34,11.44,664
8,3,4.82,8.02,9.92,665
8,2,3.8,7.58,9.81,666
8,7,3.88,7.76,10.57,748
8,6,3.48,7.86,10.32,648
9,1,6.67,8.51,10.71,748
9,5,4.02,9.84,13.2,671
9,3,4.91,7.98,9.9,667
9,4,4.69,9.33,11.42,669
9,2,4.37,7.64,9.82,671
9,7,3.57,7.63,10.52,753
9,6,4.16,7.93,10.33,650
10,1,7.26,8.6,10.73,792
10,5,4.1,9.76,13.15,686
10,3,4.52,7.85,9.85,687
10,4,4.96,9.31,11.41,699
10,2,4.1,7.53,9.77,700
10,7,3.28,7.51,10.46,782
10,6,4.31,7.89,10.31,684
11,1,7.88,8.71,10.75,792
11,5,4.09,9.67,13.11,686
11,3,4.32,7.75,9.81,687
11,4,5.2,9.29,11.39,699
11,2,4.09,7.47,9.74,700
11,7,3.5,7.48,10.44,782
11,6,4.69,7.91,10.3,684
12,1,7.33,8.58,10.7,795
12,5,3.84,9.52,13.04,701
12,4,4.79,9.13,11.33,700
12,3,4.77,7.79,9.81,700
12,2,3.77,7.35,9.68,701
12,6,4.47,7.81,10.26,684
12,7,3.46,7.41,10.4,783
13,5,3.54,9.36,12.97,701
13,1,6.74,8.44,10.64,795
13,4,4.4,8.98,11.26,699
13,3,5.11,7.81,9.8,700
13,2,3.46,7.22,9.63,701
13,6,4.19,7.7,10.21,683
13,7,3.9,7.43,10.39,783
14,5,3.25,9.21,12.9,702
14,1,6.2,8.3,10.58,795
