moment,node,load5,load10,load15,procs
1,1,2.13,1.35,1.54,506
1,6,1.02,0.95,1.34,496
1,3,1.68,1.09,1.69,510
1,4,2.01,1.36,1.45,509
1,5,2.16,1.55,1.59,508
1,2,3.07,1.51,1.52,514
1,7,1.94,1.12,1.29,506
2,5,2.23,1.57,1.59,550
2,4,1.85,1.33,1.44,509
2,1,1.96,1.33,1.53,507
2,6,0.94,0.93,1.33,497
2,3,1.54,1.08,1.68,511
2,2,2.82,1.48,1.51,514
2,7,1.79,1.1,1.28,506
3,5,2.05,1.55,1.59,732
3,3,1.42,1.06,1.67,588
3,2,2.84,1.51,1.52,596
3,1,1.88,1.32,1.53,586
3,4,1.78,1.33,1.44,585
3,6,1.1,0.97,1.34,573
3,7,1.64,1.08,1.28,583
4,5,1.89,1.52,1.58,765
4,2,2.61,1.48,1.51,634
4,3,1.54,1.09,1.68,632
4,4,1.64,1.31,1.43,627
4,6,1.26,1,1.35,617
4,1,1.73,1.3,1.52,624
4,7,1.75,1.12,1.29,624
5,5,2.54,1.66,1.62,815
5,2,3.12,1.61,1.55,671
5,3,1.74,1.14,1.69,665
5,4,1.59,1.3,1.43,659
5,6,1.88,1.13,1.39,649
5,1,2,1.36,1.54,658
5,7,1.69,1.11,1.28,652
6,5,4.18,2.02,1.74,843
6,3,1.92,1.19,1.71,688
6,2,3.67,1.75,1.59,706
6,4,2.26,1.44,1.48,681
6,1,2.64,1.5,1.58,679
6,6,2.53,1.28,1.43,683
6,7,1.63,1.11,1.28,665
7,5,3.84,1.98,1.73,856
7,2,3.38,1.72,1.58,704
7,3,1.77,1.17,1.7,701
7,1,2.42,1.48,1.57,694
7,6,2.48,1.29,1.44,682
7,4,2.56,1.52,1.5,696
7,7,1.58,1.11,1.28,664
8,5,3.53,1.95,1.72,874
8,2,3.11,1.69,1.58,706
8,3,1.63,1.15,1.69,703
8,6,2.93,1.4,1.47,684
8,1,2.23,1.45,1.56,696
8,4,2.36,1.5,1.49,698
8,7,1.54,1.11,1.28,666
9,5,3.97,2.07,1.76,874
9,2,2.94,1.68,1.57,709
9,3,1.5,1.13,1.68,704
9,6,3.57,1.56,1.52,685
9,4,2.17,1.47,1.49,698
9,1,2.77,1.58,1.6,696
9,7,2.13,1.24,1.32,666
10,5,4.85,2.28,1.83,875
10,2,3.42,1.8,1.61,709
10,3,1.7,1.18,1.69,704
10,4,2.79,1.61,1.53,700
10,6,3.29,1.54,1.52,685
10,1,3.35,1.72,1.65,696
10,7,2.12,1.25,1.32,681
11,5,4.63,2.28,1.83,877
11,2,3.15,1.77,1.6,709
11,3,2.2,1.29,1.73,705
11,4,2.57,1.59,1.52,700
11,6,3.1,1.53,1.51,686
11,1,3.16,1.71,1.65,698
11,7,1.95,1.23,1.32,683
12,2,2.9,1.74,1.59,704
12,5,4.25,2.24,1.82,877
12,4,2.44,1.58,1.52,702
12,3,2.02,1.27,1.72,704
12,6,3.42,1.62,1.54,686
12,1,2.91,1.68,1.64,698
12,7,1.8,1.21,1.31,683
13,2,2.66,1.71,1.59,704
13,5,3.91,2.2,1.81,877
13,3,1.86,1.25,1.71,704
13,6,3.54,1.68,1.56,685
13,4,2.25,1.55,1.51,702
13,1,2.68,1.65,1.63,697
13,7,1.89,1.24,1.32,683
14,2,2.85,1.77,1.6,704
14,5,4.48,2.35,1.86,876
14,3,1.87,1.26,1.71,704
14,6,3.66,1.73,1.58,685
14,4,2.39,1.59,1.53,702
14,1,3.02,1.74,1.66,697
14,7,1.82,1.24,1.32,683
15,2,3.5,1.92,1.66,705
15,5,5.32,2.56,1.93,855
15,1,3.5,1.86,1.7,697
15,3,1.88,1.27,1.71,704
15,6,4.25,1.89,1.63,688
15,4,2.6,1.65,1.54,702
15,7,1.67,1.22,1.31,683
16,2,3.87,2.02,1.69,705
16,5,5.54,2.65,1.96,856
16,1,3.62,1.91,1.71,697
16,4,2.95,1.74,1.57,704
16,3,2.05,1.32,1.72,704
16,6,4.23,1.92,1.64,687
16,7,1.54,1.2,1.3,683
