moment,node,bytes_read,bytes_write,io_read,io_write,time_spent_read,time_spent_write
1,5,0,0,0,0,0,0
1,6,0,73728,0,14,0,0.176000000000002
1,3,0,16384,0,2,0,0.0320000000000107
1,2,0,61440,0,8,0,0.0880000000000081
1,4,0,16384,0,2,0,0
1,7,0,0,0,0,0,0
1,1,0,0,0,0,0,0
2,5,0,16384,0,2,0,0.0159999999999911
2,6,0,16384,0,2,0,0
2,2,0,4096,0,1,0,0
2,3,0,16384,0,2,0,0
2,4,0,16384,0,2,0,0
2,7,0,16384,0,2,0,0.00400000000000489
2,1,0,16384,0,2,0,0.0160000000000053
3,3,0,112549888,0,893,0,55.3320000000003
3,2,0,57344,0,11,0,0.0719999999999885
3,5,0,49152,0,2,0,0.019999999999996
3,6,0,134447104,0,1032,0,108.14
3,4,0,80805888,0,621,0,53.8799999999992
3,1,0,102400,0,6,0,0.00399999999899592
3,7,0,172032,0,5,0,0.0159999999998064
4,5,4096,179748864,1,1439,0,116.715999999999
4,3,0,179314688,0,1485,0,122.584
4,2,4096,210112512,1,1663,0,131.307999999999
4,6,4096,269697024,1,1099,0,76.5560000000005
4,4,0,123121664,0,949,0,57.4800000000014
4,7,0,68558848,0,533,0,25.9120000000004
4,1,0,68534272,0,529,0,40.8960000000006
5,5,0,67919872,0,609,0,44.8520000000008
5,3,0,372736,0,19,0,0.131999999998811
5,6,0,266240,0,5,0,0.00799999999981083
5,2,0,71581696,0,641,0,48.2240000000002
5,4,0,221184,0,5,0,0.0359999999982392
5,1,0,307200,0,23,0,0.168000000000617
5,7,0,200704,0,6,0,0.00799999999981083
6,5,0,274432,0,5,0,0.0120000000006257
6,2,0,290816,0,4,0,0.0120000000006257
6,6,0,114688,0,2,0,0.00799999999981083
6,3,0,233472,0,5,0,0.0120000000006257
6,4,0,196608,0,4,0,0.0120000000006257
6,1,0,176128,0,5,0,0.0119999999988067
6,7,0,176128,0,3,0,0.0159999999996217
7,5,0,73728,0,5,0,0.00799999999981083
7,2,0,155648,0,6,0,0.0239999999998162
7,6,0,53248,0,3,0,0.0480000000000018
7,3,0,24576,0,4,0,0
7,4,0,139264,0,6,0,0.00799999999981083
7,1,0,0,0,0,0,0
7,7,0,118784,0,7,0,0.00799999999981083
8,5,0,16384,0,3,0,0.00799999999900081
8,2,0,20480,0,2,0,0
8,6,0,102400,0,15,0,0.0280000000000058
8,4,0,12288,0,2,0,0
8,3,0,40960,0,4,0,0.00399999999899592
8,7,0,44290048,0,339,0,17.5320000000011
8,1,0,135290880,0,1037,0,113.416000000001
9,5,0,180224,0,16,0,0.275999999999996
9,2,0,131072,0,9,0,0.0400000000000063
9,6,0,111980544,0,943,0,86.8639999999996
9,4,0,106496,0,19,0,0.163999999999987
9,3,0,589824,0,43,0,0.0960000000000036
9,7,0,536576,0,37,0,0.00799999999981083
9,1,0,614400,0,48,0,0.0559999999990026
