moment,node,bytes_read,bytes_write,io_read,io_write,time_spent_read,time_spent_write
1,1,0,45056,0,6,0,0.0280000000000058
1,2,0,24576,0,2,0,0
1,4,0,0,0,0,0,0
1,5,0,4096,0,1,0,0.0159999999999911
1,6,0,0,0,0,0,0
1,3,0,24576,0,2,0,0
1,7,0,0,0,0,0,0
2,5,0,94208,0,8,0,0
2,1,0,24576,0,2,0,0.00399999999999068
2,2,0,20480,0,2,0,0
2,4,0,12288,0,2,0,0
2,3,0,0,0,0,0,0
2,6,0,77824,0,8,0,0.0480000000000018
2,7,0,16384,0,2,0,0.0279999999999916
3,5,0,0,0,0,0,0
3,3,4096,357834752,1,1713,0.02,192.995999999999
3,4,0,134508544,0,1031,0,112.487999999998
3,1,0,252235776,0,977,0,94.4440000000031
3,2,0,134328320,0,1026,0,105.531999999999
3,6,0,155738112,0,924,0,84.9440000000031
3,7,0,44343296,0,7,0,0.00799999999435386
4,5,0,68661248,0,544,0,37.7839999999997
4,3,0,376418304,0,1594,0,139.635999999999
4,2,0,69656576,0,547,0,24.6960000000019
4,1,0,164782080,0,1343,0,106.627999999997
4,4,0,292560896,0,2365,0,251.091999999997
4,6,0,136257536,0,1140,0,67.3159999999981
4,7,0,185364480,0,1489,0,130.528000000004
5,5,0,290816,0,5,0,0.0159999999959837
5,3,0,274432,0,5,0,0.0120000000024447
5,2,0,290816,0,5,0,0.0120000000024447
5,1,0,335872,0,6,0,0.0120000000024447
5,4,0,344064,0,8,0,0.0120000000024447
5,6,0,253952,0,5,0,0.0120000000024447
5,7,0,62345216,0,555,0,39.7679999999964
6,5,0,94208,0,3,0,0.00800000000162981
6,3,0,172032,0,5,0,0.0120000000024447
6,2,0,65536,0,4,0,0
6,4,0,258048,0,20,0,0.116000000001634
6,1,0,143360,0,3,0,0.0120000000024447
6,6,0,102400,0,2,0,0.0119999999951688
6,7,0,208896,0,16,0,0.0800000000024426
7,5,0,0,0,0,0,0
7,3,0,176128,0,24,0,0.212000000000003
7,2,0,24576,0,3,0,0
7,1,0,69632,0,5,0,0.0400000000000063
7,4,0,69632,0,3,0,0.00800000000162981
7,6,0,4096,0,1,0,0.00400000000000489
7,7,0,77824,0,3,0,0.00800000000162981
