moment,node,bytes_read,bytes_write,io_read,io_write,time_spent_read,time_spent_write
1,5,0,49152,0,9,0,0
1,2,0,16384,0,2,0,0
1,4,0,0,0,0,0,0
1,3,0,0,0,0,0,0
1,7,0,16384,0,2,0,0
1,1,0,0,0,0,0,0
1,6,0,16384,0,2,0,0
2,5,0,53248,0,6,0,0.019999999999996
2,2,0,28672,0,4,0,0.0319999999999965
2,4,0,49152,0,6,0,0.019999999999996
2,3,0,49152,0,5,0,0.00799999999999557
2,7,0,32768,0,4,0,0
2,1,0,98304,0,14,0,0.103999999999999
2,6,0,45056,0,4,0,0.00799999999981083
3,5,0,294912,0,7,0,0.0159999999996217
3,2,0,44429312,0,348,0,16.728000000001
3,4,0,118677504,0,921,0,97.3080000000001
3,1,0,16384,0,2,0,0
3,3,0,184320,0,7,0,0.0120000000006257
3,7,0,36864,0,6,0,0.0159999999999911
3,6,0,311296,0,8,0,0.0119999999998015
4,5,0,68403200,0,526,0,20.0360000000001
4,2,0,68579328,0,531,0,34.6039999999994
4,1,0,68530176,0,529,0,21.4080000000005
4,7,0,68530176,0,529,0,22.7479999999996
4,3,0,68521984,0,529,0,37.8080000000009
4,4,4096,243056640,1,1462,0.108,100.279999999999
4,6,0,102563840,0,788,0,62.8600000000006
5,5,0,339968,0,8,0,0.0239999999994325
5,2,0,278528,0,5,0,0.00799999999981083
5,4,0,323584,0,8,0,0.00800000000162981
5,3,0,286720,0,7,0,0.0119999999988067
5,1,0,331776,0,8,0,0.0120000000006257
5,7,0,237568,0,5,0,0.0120000000006257
5,6,0,335872,0,6,0,0.0119999999988067
6,5,0,1744896,0,17,0,0.0599999999994907
6,2,0,1761280,0,17,0,0.0480000000006839
6,4,0,110592,0,2,0,0.0159999999996217
6,3,0,3428352,0,31,0,0.128000000000611
6,6,0,3543040,0,42,0,0.208000000000126
6,1,0,65536,0,2,0,0.00799999999981083
6,7,0,1736704,0,15,0,0.0400000000008731
