moment,node,buffer_cache,free,map,used
1,1,2233364,103266876,60148,1983172
1,3,2258276,103098400,59884,2126736
1,6,2235700,103267472,59900,1980240
1,5,2237048,103209560,59764,2036804
1,7,2250092,103354624,59840,1878696
1,2,2233092,103257604,60424,1992716
1,4,2244788,103271212,59752,1967412
2,5,2237048,103209632,59900,2036732
2,1,2539856,102782220,72772,2161336
2,3,2258360,103098788,59884,2126264
2,6,2235700,103267312,60068,1980400
2,7,2293352,103309656,59840,1880404
2,2,2233100,103259744,60108,1990568
2,4,2419600,103106544,59948,1957268
3,5,2411632,102787216,72472,2284564
3,1,2540724,102184008,72760,2758680
3,3,2433012,102668944,72424,2381456
3,6,2410340,102835156,72464,2237916
3,7,2468032,102327344,72496,2688036
3,2,2407572,102810844,72680,2264996
3,4,2594656,102683428,72240,2205328
4,5,2544888,101483928,77072,3454596
4,6,2543576,101535384,77116,3404452
4,1,2673964,101013840,77328,3795608
4,3,2566156,101345048,77044,3572208
4,7,2667840,100738988,79300,4076584
4,4,2727956,101416496,76700,3338960
4,2,2540920,101477032,77196,3465460
5,6,2543592,97071736,77156,7868084
5,5,2544896,97162196,77120,7776320
5,3,2566168,97001036,77044,7916208
5,7,2667856,96824848,79356,7990708
5,1,2673972,96416936,77328,8392504
5,4,2727964,96806480,76908,7948968
5,2,2540992,97047108,77196,7895312
6,3,2576340,95010908,77044,9896164
6,5,2555260,95314616,77120,9613536
6,6,2553056,95180104,77156,9750252
6,7,2668520,91313672,79356,13501220
6,1,2683480,94468744,77328,10331188
6,4,2738140,94721572,76908,10023700
6,2,2551364,95054900,77196,9877148
7,3,2576356,92343580,77044,12563476
7,5,2555276,92678424,77120,12249712
7,6,2553776,92263648,77156,12665988
7,1,2684156,91336124,77328,13463132
7,7,2683108,89041972,79356,15758332
7,4,2738148,91717212,76908,13028052
7,2,2551376,92292512,77196,12639524
8,3,2586532,90190308,77044,14706572
8,5,2565636,90782548,77120,14135228
8,7,2687480,85539120,79356,19256812
8,6,2563952,90412580,77156,14506880
8,4,2748360,90257100,76908,14477952
8,1,2694352,90149872,77328,14639188
8,2,2561756,90458864,77196,14462792
9,3,2594276,90040284,77044,14848852
9,5,2575668,90118072,77120,14789672
9,6,2568764,90120084,77156,14794564
9,7,2698392,83928392,79356,20856628
9,4,2757844,90021392,76908,14704176
9,1,2697396,89701476,77328,15084540
9,2,2570052,90170792,77196,14742568
10,5,2576100,89874520,77120,15032792
10,3,2596748,89906424,77044,14980240
10,7,2709820,83692360,79356,21081232
10,6,2574168,89913148,77156,14996096
10,4,2759228,89786708,76728,14937476
10,1,2704568,89481796,77328,15297048
10,2,2572204,89896132,77196,15015076
11,3,2606936,89835816,77044,15040660
11,5,2586472,89812848,77120,15084092
11,7,2713700,83294608,79356,21475104
11,4,2768760,89739072,76908,14975580
11,6,2584364,89881432,77156,15017616
11,1,2713736,89352648,77328,15417028
11,2,2582576,89832044,77196,15068792
12,3,2607968,89838116,77044,15037328
12,5,2594128,89765376,77120,15123908
12,7,2728868,83121724,79356,21632820
12,4,2776556,89703040,76712,15003816
12,1,2716440,89345080,77332,15421892
12,2,2590504,89716336,77196,15176572
12,6,2585384,89864140,77156,15033888
13,5,2597660,89759912,77120,15125840
13,7,2729056,82789476,79356,21964880
13,3,2617128,89788796,77044,15077488
13,4,2779616,89701160,76744,15002636
13,1,2724952,89297192,77328,15461268
13,2,2593084,89650392,77196,15239936
13,6,2594544,89838296,77156,15050572
14,5,2607036,89750560,77120,15125816
14,7,2744324,82694208,79356,22044880
14,3,2625580,89774296,77044,15083536
14,4,2789116,89695576,77572,14998720
14,2,2603440,89577248,77196,15302724
14,1,2731080,89272072,77328,15480260
14,6,2603256,89838344,77156,15041812
15,7,2745004,82411184,79356,22327224
15,4,2797448,89682488,76908,15003476
15,5,2613608,89748828,77124,15120976
15,3,2627320,89762536,77044,15093556
15,2,2607352,89449888,77196,15426172
15,1,2736192,89243868,77328,15503352
15,6,2605384,89832740,77156,15045288
16,2,2614904,89411084,77196,15457424
16,3,2637508,89760128,77044,15085776
16,7,2759628,82406480,79356,22317304
16,5,2618884,89750012,77120,15114516
16,4,2800332,89674556,76912,15008524
16,1,2744656,89229028,77328,15509728
16,6,2614892,89805844,77156,15062676
17,7,2766060,82304168,79356,22413184
17,2,2623296,89398816,77196,15461300
17,3,2642632,89767652,77044,15073128
17,4,2808492,89675576,76912,14999344
17,5,2627636,89721292,77120,15134484
17,1,2749464,89227764,77328,15506184
17,6,2621008,89817248,77156,15045156
18,7,2766792,82148432,79356,22568188
18,2,2624120,89266436,77196,15592856
18,3,2642644,89655160,77044,15185608
18,4,2808500,89553876,76912,15121036
18,5,2629348,89607064,77120,15247000
18,1,2749488,89091952,77328,15641972
18,6,2621024,89706796,77156,15155592
19,3,2642664,89363140,77044,15477608
19,7,2766808,81390468,79356,23326136
19,4,2808520,89302916,76912,15371976
19,2,2624464,88859604,77196,15999344
19,5,2629480,89359612,77120,15494320
19,1,2749520,88838208,77328,15895684
19,6,2621040,89398736,77156,15463636
20,3,2642672,89353576,77044,15487164
20,4,2808528,89057892,76912,15616992
20,7,2766808,81009496,79356,23707108
20,2,2624472,88721368,77196,16137572
20,5,2629492,89084996,77120,15768924
20,1,2749520,88661508,77328,16072384
20,6,2621048,89336304,77264,15526060
21,4,2808536,88522148,76912,16152728
21,3,2642680,89077344,77040,15763388
21,7,2766824,80648236,79356,24068352
21,2,2624480,88531492,77196,16327440
21,5,2629500,88812948,77120,16040964
21,1,2749536,88160264,77328,16573612
21,6,2621064,88962120,77156,15900228
22,3,2642696,88623208,77044,16217508
22,4,2808536,87911824,76912,16763052
22,7,2766832,80658520,79356,24058060
22,2,2624496,88218912,77196,16640004
22,1,2749544,87718556,77328,17015312
22,6,2621064,88451612,77156,16410736
22,5,2629508,88444432,77120,16409472
23,3,2642712,88017604,77044,16823096
23,4,2808552,87921708,76912,16753152
23,7,2766840,80649280,79356,24067292
23,2,2624504,88100044,77196,16758864
23,1,2749560,87739468,77328,16994384
23,6,2621080,88109916,77156,16752416
23,5,2629524,88099768,77120,16754120
24,3,2642712,87987844,77044,16852856
24,7,2766856,80656976,79356,24059580
24,4,2808552,87897040,77124,16777820
24,2,2624580,88008636,77196,16850196
24,1,2749568,87705172,77328,17028672
24,6,2621096,88098488,77156,16763828
24,5,2629600,88034796,77120,16819016
25,3,2642728,87852440,77044,16988244
25,7,2766864,80563784,79356,24152764
25,4,2808552,87659744,76912,17015116
25,1,2749576,87408812,77328,17325024
25,2,2624720,87789816,77196,17068876
25,6,2621104,87934540,77156,16927768
25,5,2629740,87828996,77120,17024676
26,3,2642728,87636348,77044,17204336
26,7,2766864,80490064,79356,24226484
26,4,2808556,87293216,76912,17381640
26,2,2624732,87463460,77196,17395220
26,1,2749584,87045424,77328,17688404
26,6,2621104,87632780,77156,17229528
26,5,2629756,87466432,77120,17387224
27,3,2642736,87383448,77044,17457228
27,7,2766872,80101060,79356,24615480
27,1,2749588,86768400,77328,17965424
27,2,2624740,87185048,77196,17673624
27,4,2808572,87014192,76912,17660648
27,6,2621108,87322912,77156,17539392
27,5,2629768,87144936,77120,17708708
28,3,2642744,87010256,77044,17830412
28,7,2766872,79749908,79356,24966632
28,2,2624748,86818504,77196,18040160
28,1,2749596,86427176,77328,18306640
28,4,2808580,86690232,76728,17984600
28,6,2621116,87000472,77156,17861824
28,5,2629776,86779556,77120,18074080
29,3,2642752,86732416,77044,18108244
29,7,2766880,79351684,79356,25364848
29,1,2749604,86099184,77328,18634624
29,4,2808588,86280144,76912,18394680
29,2,2624820,86657500,77196,18201092
29,6,2621124,86718856,77156,18143432
29,5,2629848,86434396,77120,18419168
