moment,node,buffer_cache,free,map,used
1,5,9516784,95664784,60076,2301844
1,6,9496084,95720092,60072,2267236
1,3,9322464,95831184,60016,2329764
1,2,9535496,95776760,59700,2171156
1,4,9429112,95782148,60028,2272152
1,7,9376068,95861988,59916,2245356
1,1,9433372,95841828,59812,2208212
2,5,9516792,95664940,60076,2301680
2,6,9496092,95720204,60072,2267116
2,2,9535504,95776716,59908,2171192
2,3,9540252,95372488,72576,2570672
2,4,9561220,95644244,60028,2277948
2,7,9419404,95824864,59916,2239144
2,1,9565484,95715088,60084,2202840
3,3,9540556,94709800,72668,3233056
3,2,9710212,94908036,72528,2865164
3,5,9691460,94890468,72796,2901484
3,6,9670732,94966188,72748,2846492
3,4,9735764,94954444,72684,2793204
3,1,9740140,95017104,72704,2726168
3,7,9594084,95091764,72576,2797564
4,5,9824664,93227916,77352,4430832
4,3,9673708,93251388,77216,4558316
4,2,9910016,92816936,79308,4756460
4,6,9803992,93426092,77268,4253328
4,4,9869008,93283732,77316,4330672
4,7,9727200,93982668,77164,3773544
4,1,9873268,93447844,77228,4162300
5,5,9843400,90386184,77352,7253828
5,3,9691760,89731420,77216,8060232
5,6,9815820,91894216,77268,5773376
5,2,9924780,90745268,79312,6813364
5,4,9886364,90407268,77316,7189780
5,1,9887088,91235156,77228,6361168
5,7,9736980,92439684,77164,5306748
6,5,9845936,86342740,77352,11294736
6,2,9924884,86074888,79308,11483640
6,6,9815864,87872752,77268,9794796
6,3,9694784,87025764,77216,10762864
6,4,9888560,86831456,77316,10763396
6,1,9887936,87817784,77228,9777692
6,7,9736988,88973556,77164,8772868
7,5,9846008,82635076,77352,15002328
7,2,9924892,79269024,79308,18289496
7,6,9815872,83153892,77268,14513648
7,3,9694792,82143736,77216,15644884
7,4,9888572,82260416,77316,15334424
7,1,9887936,83239616,77228,14355860
7,7,9737004,83817188,77164,13929220
8,5,9846140,82144564,77352,15492708
8,2,9924900,78412120,79308,19146392
8,6,9815872,82176224,77268,15491316
8,4,9888580,82120124,77316,15474708
8,3,9694988,81861632,77216,15926792
8,7,9737016,82229900,77164,15516496
8,1,9887956,81976044,77228,15619412
9,5,9846868,82081904,77352,15554640
9,2,9924944,78224276,79308,19334192
9,6,9815956,82119396,77268,15548060
9,4,9888580,82115020,77316,15479812
9,3,9695676,81793760,77216,15993976
9,7,9737024,82214396,77164,15531992
9,1,9887964,81967604,77228,15627844
