moment,node,buffer_cache,free,map,used
1,1,11323956,93825900,59904,2333556
1,2,11345588,93841376,59980,2296448
1,4,11313612,93792448,59932,2377352
1,5,11648628,93441376,60388,2393408
1,6,11791792,93292180,60424,2399440
1,3,11406504,93715128,60044,2361780
1,7,11635848,93492976,59988,2354588
2,5,11648636,93441208,60388,2393568
2,1,11191860,93957252,60092,2334300
2,2,11477692,93705360,59980,2300360
2,4,11663064,93196672,72680,2623676
2,3,11317648,93794468,60036,2371296
2,6,11748544,93335492,60116,2399376
2,7,11592596,93535944,59980,2354872
3,5,11823268,92444548,72820,3215596
3,3,11492324,92831968,72684,3159120
3,4,11663732,92546116,72744,3273564
3,1,11366620,92830248,72776,3286544
3,2,11652356,92769160,72548,3061896
3,6,11923204,92337748,72872,3222460
3,7,11767284,92798580,72556,2917548
4,5,11964508,90468652,77376,5050252
4,3,11625464,90847308,77212,5010640
4,2,11785452,90761048,77116,4936912
4,1,11566272,89593376,79592,6323764
4,4,11797096,90189608,77320,5496708
4,6,12056312,90436596,77236,4990504
4,7,11900420,90585300,77064,4997692
5,5,11975272,89173372,77376,6334768
5,3,11644364,89613304,77212,6225744
5,2,11804348,89645492,77116,6033572
5,1,11580452,89456540,79592,6446420
5,4,11814504,89461712,77320,6207196
5,6,12065772,90013960,77236,5403680
5,7,11911412,90365484,77064,5206516
6,5,11975280,81910624,77376,13597508
6,3,11644372,84631256,77216,11207784
6,2,11804348,83507160,77116,12171904
6,4,11814700,83931288,77320,11737424
6,1,11580460,82413556,79592,13489396
6,6,12065780,84366968,77236,11050664
6,7,11911608,86095948,77064,9475856
7,5,11975280,81681132,77376,13827000
7,3,11644380,83451244,77212,12387788
7,2,11823020,82946040,77116,12714352
7,1,11580460,82307016,79592,13595936
7,4,11815420,82716248,77116,12951744
7,6,12065780,83757680,77236,11659952
7,7,11912324,84921088,77064,10650000
