moment,node,buffer_cache,free,map,used
1,5,7369544,97931856,60084,2182012
1,2,7396376,98023928,59872,2063108
1,4,7371212,97951964,60344,2160236
1,3,7371684,98038764,59940,2072964
1,7,7365248,98014368,59888,2103796
1,1,7394512,98006288,60032,2082612
1,6,7368316,97965364,60164,2149732
2,5,7587248,97491364,72352,2404800
2,2,7439628,97979628,59872,2064156
2,4,7503100,97815124,60052,2165188
2,3,7502996,97903164,59940,2077252
2,7,7365252,98014492,59888,2103668
2,1,7394520,98006476,60032,2082416
2,6,7368412,97964776,60040,2150224
3,5,7587476,96892704,72792,3003232
3,2,7614128,97462528,72632,2406756
3,4,7678000,96848128,72760,2957284
3,1,7569020,97477844,72000,2436548
3,3,7678600,96925408,72588,2879404
3,7,7539760,97486080,72304,2457572
3,6,7543088,96867688,72604,3072636
4,5,7720728,95278720,77400,4483964
4,2,7747488,96024516,77000,3711408
4,1,7702320,95850600,77160,3930492
4,7,7673056,96244836,77056,3565520
4,3,7811740,95989368,77096,3682304
4,4,7811160,95838152,77312,3834100
4,6,7742896,95309372,79424,4431144
5,5,7733340,93526956,77400,6223116
5,2,7758464,94082276,77008,5642672
5,4,7823748,93744028,77312,5915636
5,3,7820820,94351100,77096,5311492
5,1,7714908,93757412,77160,6011092
5,7,7679392,94506300,77088,5297720
5,6,7752392,93115576,79464,6615444
6,5,7755480,92811868,79392,6916064
6,2,7782912,93261460,79000,6439040
6,4,7840876,93409560,77312,6232976
6,3,7845132,93231512,79408,6406768
6,6,7771064,92463532,81456,7248816
6,1,7737044,92819104,77160,6927264
6,7,7696204,93555240,79080,6231968
