moment,node,recv_packets,send_bytes,send_packets
1,2,15,3873,21
1,3,15,4182,24
1,5,14,5006,20
1,4,16,4352,22
1,1,17,5036,22
1,7,16,5475,21
1,6,17,5331,25
2,2,13,4911,19
2,3,6916,44768189,7368
2,5,11363,271377085,10278
2,4,4950,200519,2922
2,1,15,4335,22
2,7,57,135596,65
2,6,3036,44481223,2538
3,2,5052,253282,2906
3,3,11113,719573401,14505
3,5,1368,87818,868
3,4,225,100513,265
3,1,4942,200949,2895
3,7,5589,410797,2799
3,6,3820,227467,2198
4,2,6146,492406,3445
4,3,6275,444745,3911
4,5,6303,347176,3815
4,4,6916,365085,3890
4,7,5728,290620,2709
4,1,6917,427836,3858
4,6,6428,341096,3322
5,2,27155,1364838,20529
5,5,27461,1429057,21499
5,3,26668,1394439,20985
5,4,26183,1385168,20913
5,7,41312,1331443,20040
5,1,28351,1538960,23062
5,6,25629,1312666,19745
6,2,23741,1367959,16295
6,5,24894,1267176,17698
6,4,23337,1214687,16883
6,3,24582,1244715,17317
6,7,39131,1363228,19373
6,1,29786,1655493,24034
6,6,23943,1205435,16873
7,2,26934,1388590,19595
7,5,27246,1417826,20587
7,4,26166,1356521,20268
7,3,26178,1298864,19068
7,7,40080,1292152,19243
7,1,30903,1635699,23393
7,6,25798,1281488,19239
8,2,24990,1391010,17319
8,5,25059,1233991,17987
8,4,24961,1298690,18369
8,3,25737,1257228,18095
8,7,41626,1401774,20074
8,1,31767,1767003,24865
8,6,25308,1302355,18242
9,2,26328,1451206,18306
9,5,25647,1287313,18038
9,4,25898,1363075,19328
9,3,26668,1339168,18967
9,7,42848,1379872,20445
9,1,32699,1703077,25395
9,6,26246,1367039,19355
10,2,27126,1416778,20161
10,5,26328,1296445,19221
10,3,27762,1412906,20744
10,4,26532,1380516,20436
10,1,32492,1769891,24892
10,7,40349,1337959,19136
10,6,26978,1334002,20051
11,2,26624,1526879,18800
11,5,26031,1295002,18452
11,3,25373,1283109,18521
11,7,39648,1369931,20303
11,4,24938,1278524,18135
11,1,31505,1673050,24957
11,6,25078,1303809,18230
12,2,27287,1570277,19570
12,5,26474,1348433,19134
12,3,25232,1283610,18192
12,7,37849,1340780,19047
12,1,32186,1736214,24132
12,4,25669,1329359,19087
12,6,25662,1345209,19485
13,2,27665,1484426,20183
13,5,27206,1418066,20837
13,3,27411,1393253,20613
13,7,43396,1357024,20246
13,1,31411,1657525,24949
13,4,27036,1361221,20013
13,6,26267,1296939,19064
14,2,25950,1514708,18547
14,5,26022,1320759,18940
14,7,41682,1379933,19650
14,1,30822,1666695,23104
14,3,26231,1324100,18809
14,4,24432,1244390,17433
14,6,26135,1337933,18836
15,2,27670,1454734,20052
15,5,27281,1378233,19478
15,3,27390,1394690,20104
15,7,39307,1335391,19927
15,1,32823,1775623,26732
15,4,27492,1427450,20708
15,6,27637,1437447,21128
16,2,25953,1413669,18847
16,1,25989,1416821,19969
16,5,26543,1359224,20313
16,3,25913,1306122,19050
16,7,31977,1076279,15518
16,4,25252,1288396,18866
16,6,26229,1322035,19228
17,2,12892,852665,9645
17,1,18644,1012779,14965
17,5,7014,378692,5377
17,3,11261,587965,8553
17,7,21490,670344,9922
17,4,12052,672139,9740
17,6,14536,749337,10851
18,2,53654,215249721,56668
18,3,51202,215211164,58926
18,1,52011,268204214,59041
18,5,52890,211422644,56922
18,7,49351,175663066,52052
18,4,50011,214333493,50496
18,6,43394,224872744,47404
19,2,10812,888483,6287
19,3,10351,4760172,6071
19,5,9817,2748506,6267
19,1,12525,722212,7197
19,7,14000,2767441,6940
19,4,9487,4805381,5911
19,6,10439,648473,6323
20,2,10127,455747,6696
20,3,9286,428850,6178
20,5,9494,427361,6385
20,1,10895,511555,7422
20,7,15041,524665,7730
20,4,9361,427789,6274
20,6,9060,397642,5939
21,2,10847,508757,7538
21,3,10399,486623,7312
21,7,14356,529623,7856
21,1,11393,548565,8133
21,5,10501,515225,7518
21,4,10167,490959,7273
21,6,9928,480951,7000
22,2,9992,444519,6558
22,3,9835,449554,6523
22,7,13625,474243,7005
22,1,10345,479239,6976
22,5,9540,433502,6506
22,4,9035,416975,6130
22,6,9443,415486,6233
23,2,11037,536561,7686
23,3,10903,520708,7700
23,1,11615,560512,8314
23,7,15054,554649,8240
23,5,10952,548655,7627
23,4,9771,473975,7001
23,6,9503,452265,6673
24,2,11017,593806,6776
24,3,10175,511418,6365
24,7,14109,537407,7126
24,1,10608,489521,7131
24,5,10692,508154,6650
24,4,10545,522911,6536
24,6,10079,477674,6110
25,2,10416,600006,6946
25,3,10136,457728,6692
25,7,13472,516997,7080
