moment,node,recv_packets,send_bytes,send_packets
1,5,17,4990,24
1,6,16,5205,23
1,3,16,5793,22
1,2,15,4086,20
1,4,18,6831,24
1,7,16,5521,23
1,1,16,4247,22
2,5,15,4538,21
2,6,44,66885,53
2,2,15,5754,22
2,3,5315,269702,3879
2,4,4476,322761,4472
2,7,4072,44574880,2732
2,1,10977,271356656,9956
3,3,2463,133370149,3216
3,2,5014,205103,2973
3,5,5018,211059,3024
3,6,5047,382404,3077
3,4,5574,271077528,6170
3,1,5476,271076000,6169
3,7,5773,89022535,3931
4,5,5461,384247,3919
4,3,5064,337916,3533
4,2,5364,518724,3895
4,6,4554,313757,3098
4,4,5105,357823,3518
4,7,5602,265564,2490
4,1,4601,297747,3117
5,5,19980,6300857,15854
5,3,21366,6044835,16610
5,6,12999,5324061,10687
5,2,16446,6945483,13374
5,4,20947,6318085,16515
5,1,16235,6754754,13856
5,7,20962,5316274,11751
6,5,25411,47256331,22917
6,2,23701,35083269,21853
6,6,21282,28007197,19994
6,3,24115,51314995,22111
6,4,23530,54088886,21662
6,1,19536,35515872,18003
6,7,22579,23611480,19142
7,5,8706,446517,5697
7,2,11715,511946,7579
7,6,9918,512128,6723
7,3,9574,547017,6227
7,4,9130,459746,6059
7,1,9244,503028,6550
7,7,15329,593944,7928
8,5,5127,247230,3406
8,2,2140,145122,1428
8,6,5977,299467,4234
8,4,3864,187110,2439
8,3,5682,404085,3797
8,7,11279,448680,6443
8,1,6780,340343,4741
9,5,1318,258477,1078
9,2,453,211208,503
9,6,543,235873,547
9,4,388,203673,435
9,3,532,930470,579
9,7,839,238462,680
9,1,445,220063,485
