moment,node,recv_packets,send_bytes,send_packets
1,1,14,4147,20
1,2,17,5350,24
1,4,16,4472,22
1,5,24,6245,28
1,6,17,5928,23
1,3,17,5334,24
1,7,17,5427,23
2,5,12,4062,17
2,1,30,7813,42
2,2,4691,314695,4375
2,4,11832,180354712,10046
2,3,1507,115600,1567
2,6,62,137420,72
2,7,14,4284,20
3,5,5090,214445,3022
3,3,5299,88897538,4170
3,4,6666,404281950,8438
3,1,5013,427085,2990
3,2,7688,406607306,9095
3,6,5064,285317,2960
3,7,5607,243164,2963
4,5,8070,521392,5901
4,3,8173,510901,5712
4,2,8218,500273,5769
4,1,9936,585494,6960
4,4,8784,607465,5970
4,6,8482,507768,5662
4,7,10870,443977,5233
5,5,26910,51560961,25375
5,3,26968,52378927,24162
5,2,28822,57767761,26064
5,1,23470,39614313,22720
5,4,24902,45657294,23669
5,6,19033,26745544,19001
5,7,19555,27647582,17396
6,5,9212,486807,6248
6,3,8529,469622,5882
6,2,8917,484755,5941
6,4,9089,676860,6300
6,1,9315,511731,6895
6,6,8784,450817,5935
6,7,10963,453879,6121
7,5,2837,385175,2155
7,3,1059,264759,880
7,2,2680,383204,2009
7,1,459,216863,514
7,4,2168,1036276,1661
7,6,1956,299074,1433
7,7,1273,203910,853
