moment,node,recv_packets,send_bytes,send_packets
1,5,17,5135,27
1,2,16,4319,21
1,4,16,4230,22
1,3,18,6804,26
1,7,14,3995,21
1,1,21,4138,25
1,6,21,5418,27
2,5,5185,254765,3662
2,2,2893,44487760,2488
2,4,4620,359757,5018
2,3,11574,271467165,10563
2,7,20,6182,25
2,1,15,4905,20
2,6,41,78565,48
3,5,2956,177561442,3784
3,2,4529,44526951,3119
3,4,3537,135594343,3556
3,1,4796,193437,2829
3,3,7741,406795070,8981
3,7,5626,197860,2906
3,6,5063,367581,3039
4,5,4449,387990,2920
4,2,4311,315320,2925
4,1,4250,351441,2805
4,7,5117,245104,2355
4,3,4161,343576,2725
4,4,4129,253155,2743
4,6,4731,300495,2832
5,5,24441,36741676,22651
5,2,22790,26730498,21573
5,4,24992,38438709,22975
5,3,21857,23177867,20309
5,1,24600,35316488,22945
5,7,22837,18507214,20829
5,6,24176,27028524,22536
6,5,3123,17070180,3245
6,2,3348,21408354,3414
6,4,1861,17603227,1850
6,3,3852,16348690,3926
6,6,3342,15933752,3774
6,1,2600,22727196,2686
6,7,2741,16677180,3054
