moment,node,load5,load10,load15,procs
1,1,0.02,2.11,3.83,484
1,3,0.01,2.02,3.31,483
1,6,0.14,2.27,3.96,483
1,5,0.06,2.17,3.38,487
1,7,0.05,2.14,3.91,485
1,2,0.02,2.95,4.32,488
1,4,0.01,1.96,3.22,488
2,5,0.06,2.14,3.36,487
2,1,0.1,2.09,3.82,527
2,3,0.01,1.98,3.29,483
2,6,0.21,2.25,3.95,484
2,7,0.04,2.1,3.89,485
2,2,0.02,2.9,4.3,488
2,4,0.01,1.92,3.21,489
3,5,0.05,2.1,3.34,568
3,1,0.25,2.09,3.81,672
3,3,0.01,1.95,3.27,565
3,6,0.2,2.21,3.92,565
3,7,0.12,2.08,3.87,663
3,2,0.1,2.87,4.28,569
3,4,0.01,1.89,3.19,589
4,5,0.05,2.06,3.32,632
4,6,0.5,2.24,3.92,627
4,1,1.11,2.24,3.85,706
4,3,0.01,1.92,3.25,629
4,7,0.43,2.11,3.87,701
4,4,0.09,1.88,3.18,632
4,2,0.41,2.89,4.28,636
5,6,1.9,2.5,4,625
5,5,0.6,2.15,3.34,630
5,3,0.81,2.05,3.29,627
5,7,1.44,2.3,3.92,699
5,1,1.83,2.36,3.88,705
5,4,0.88,2.01,3.21,630
5,2,1.26,3.02,4.31,635
6,3,1.7,2.22,3.34,625
6,5,1.52,2.31,3.39,628
6,6,2.55,2.63,4.03,623
6,7,2.53,2.51,3.98,696
6,1,2.4,2.47,3.91,703
6,4,1.77,2.18,3.26,628
6,2,1.8,3.11,4.33,632
7,3,2.37,2.35,3.37,625
7,5,2.2,2.44,3.43,628
7,6,2.99,2.72,4.05,623
7,1,2.93,2.58,3.94,703
7,7,3.36,2.68,4.03,699
7,4,2.43,2.31,3.3,628
7,2,2.38,3.2,4.36,632
8,3,2.74,2.42,3.39,627
8,5,2.74,2.55,3.46,630
8,7,4.22,2.87,4.08,698
8,6,3.47,2.82,4.08,625
8,4,3.04,2.44,3.33,630
8,1,3.42,2.69,3.96,706
8,2,2.91,3.3,4.38,634
9,3,3.16,2.52,3.42,627
9,5,3.24,2.66,3.49,630
9,6,3.99,2.94,4.11,625
9,7,5.08,3.07,4.14,699
9,4,3.6,2.56,3.37,630
9,1,3.54,2.73,3.97,706
9,2,3.39,3.4,4.41,634
10,5,3.62,2.74,3.51,628
10,3,3.63,2.63,3.45,625
10,7,5.87,3.27,4.2,700
10,6,4.15,2.99,4.12,623
10,4,4.75,2.82,3.45,629
10,1,4.06,2.85,4,704
10,2,3.92,3.51,4.44,632
11,3,3.82,2.68,3.46,627
11,5,3.89,2.81,3.53,630
11,7,6.61,3.46,4.26,697
11,4,5.17,2.94,3.49,629
11,6,4.62,3.11,4.15,625
11,1,4.38,2.94,4.02,707
11,2,4.41,3.61,4.47,634
12,3,4.31,2.8,3.5,626
12,5,4.14,2.88,3.55,630
12,7,7.04,3.61,4.3,700
12,4,5.48,3.04,3.52,630
12,1,4.59,3,4.04,707
12,2,4.86,3.72,4.5,634
12,6,4.97,3.21,4.18,624
13,5,4.45,2.97,3.57,629
13,7,7.68,3.79,4.36,697
13,3,4.69,2.91,3.53,626
13,4,5.76,3.14,3.54,629
13,1,4.7,3.05,4.05,705
13,2,5.27,3.82,4.53,632
13,6,5.46,3.34,4.22,624
14,5,4.74,3.05,3.6,629
14,7,8.34,4,4.42,700
14,3,4.79,2.96,3.54,627
14,4,6.1,3.25,3.58,629
14,2,5.49,3.89,4.55,634
14,1,4.96,3.14,4.07,706
14,6,5.66,3.41,4.24,625
15,7,8.88,4.18,4.48,696
15,4,6.41,3.36,3.61,630
15,5,5.16,3.17,3.63,630
15,3,5.13,3.06,3.57,625
15,2,5.85,4,4.58,634
15,1,5.37,3.25,4.1,687
15,6,5.77,3.47,4.25,624
16,2,6.1,4.08,4.6,628
16,3,5.2,3.11,3.58,623
16,7,8.89,4.26,4.5,693
16,5,5.23,3.22,3.65,624
16,4,6.46,3.42,3.63,624
16,1,5.26,3.26,4.1,684
16,6,6.03,3.57,4.28,621
17,7,8.33,4.22,4.49,713
17,2,5.69,4.03,4.58,642
17,3,5.18,3.14,3.59,635
17,4,6.1,3.4,3.62,640
17,5,5.29,3.26,3.66,639
17,1,4.84,3.21,4.08,699
17,6,6.02,3.61,4.29,634
18,7,7.67,4.15,4.47,714
18,2,6.44,4.21,4.64,642
18,3,5.73,3.29,3.64,635
18,4,6.57,3.54,3.67,640
18,5,5.99,3.44,3.71,641
18,1,4.61,3.19,4.07,699
18,6,7.3,3.91,4.38,635
19,3,6.07,3.4,3.67,633
19,7,8.81,4.45,4.56,711
19,4,6.85,3.65,3.7,638
19,2,6.72,4.31,4.67,640
19,5,6.23,3.53,3.74,639
19,1,4.88,3.27,4.09,697
19,6,7.76,4.06,4.43,633
20,3,6.39,3.51,3.71,633
20,4,7.02,3.74,3.73,638
20,7,9.95,4.76,4.66,711
20,2,6.91,4.38,4.69,641
20,5,6.37,3.61,3.77,639
20,1,5.21,3.36,4.12,697
20,6,7.94,4.16,4.46,633
21,4,7.26,3.84,3.77,638
21,3,6.52,3.58,3.73,633
21,7,11,5.06,4.76,711
21,2,7.16,4.48,4.72,641
21,5,6.42,3.66,3.78,639
21,1,5.59,3.47,4.15,697
21,6,8.1,4.26,4.49,633
22,3,6.64,3.66,3.75,633
22,4,7.4,3.93,3.79,638
22,7,11.32,5.23,4.81,711
22,2,7.3,4.55,4.74,641
22,1,5.95,3.58,4.18,697
22,6,8.1,4.32,4.51,633
22,5,6.55,3.74,3.81,639
23,3,6.91,3.76,3.79,639
23,4,7.53,4.01,3.82,646
23,7,11.61,5.39,4.87,720
23,2,7.28,4.59,4.76,649
23,1,6.11,3.66,4.2,705
23,6,8.09,4.38,4.53,639
23,5,6.74,3.82,3.83,646
24,3,7.07,3.85,3.81,641
24,7,11.88,5.55,4.92,720
24,4,7.57,4.08,3.85,644
24,2,7.5,4.68,4.78,648
24,1,6.42,3.76,4.23,704
24,6,8.16,4.46,4.55,641
24,5,6.84,3.89,3.86,646
25,3,7.39,3.97,3.85,639
25,7,11.97,5.67,4.97,723
25,4,7.76,4.18,3.88,644
25,1,6.39,3.8,4.24,703
25,2,7.86,4.81,4.82,647
25,6,8.71,4.63,4.61,639
25,5,7.1,4,3.89,645
26,3,7.52,4.05,3.88,639
26,7,12.22,5.83,5.02,720
26,4,7.94,4.28,3.91,645
26,2,8.03,4.89,4.85,647
26,1,6.6,3.89,4.27,703
26,6,8.81,4.72,4.64,639
26,5,7.25,4.08,3.92,645
27,3,7.64,4.14,3.91,639
27,7,12.52,6,5.08,720
27,1,6.79,3.97,4.29,703
27,2,8.11,4.96,4.87,647
27,4,8.03,4.35,3.94,645
27,6,8.83,4.8,4.66,639
27,5,7.31,4.14,3.94,646
28,3,7.83,4.23,3.94,640
28,7,12.72,6.15,5.13,720
28,2,8.26,5.04,4.9,649
28,1,7.05,4.07,4.33,705
28,4,7.86,4.38,3.95,646
28,6,8.76,4.85,4.68,639
28,5,7.53,4.24,3.97,645
29,3,7.92,4.31,3.97,639
29,7,12.82,6.28,5.18,720
29,1,7.2,4.15,4.35,705
29,4,7.95,4.46,3.98,647
29,2,8.4,5.13,4.93,648
29,6,8.86,4.93,4.71,641
29,5,7.72,4.34,4.01,646
30,3,7.85,4.36,3.99,641
30,1,7.35,4.23,4.38,704
30,2,8.37,5.17,4.95,649
30,7,13,6.42,5.23,720
30,4,8.12,4.55,4.01,645
30,6,8.71,4.97,4.72,639
30,5,7.83,4.42,4.03,645
31,3,7.86,4.42,4.01,640
31,1,7.72,4.36,4.42,703
31,2,8.42,5.24,4.97,647
31,7,13.16,6.56,5.29,720
31,4,8.27,4.64,4.04,645
31,6,8.65,5.02,4.74,639
31,5,7.84,4.47,4.05,645
32,3,7.95,4.49,4.04,639
32,7,12.82,6.6,5.31,723
32,1,7.9,4.46,4.45,703
32,4,8.41,4.73,4.08,645
32,2,8.47,5.3,4.99,646
32,6,8.6,5.07,4.76,639
32,5,8.01,4.57,4.09,646
33,3,8.12,4.59,4.07,639
33,7,13,6.74,5.36,720
33,2,8.43,5.35,5.01,648
33,1,8.07,4.55,4.48,704
33,4,8.54,4.82,4.11,646
33,6,8.63,5.14,4.78,639
33,5,8.09,4.64,4.11,645
34,3,8.19,4.66,4.09,640
34,7,13.16,6.88,5.41,720
34,1,8.15,4.62,4.5,705
34,2,8.39,5.39,5.02,647
34,4,8.49,4.87,4.13,647
34,6,8.66,5.2,4.8,641
34,5,8.49,4.78,4.16,645
35,3,8.25,4.73,4.12,635
35,7,13.31,7.02,5.46,711
35,4,8.37,4.91,4.14,639
35,2,8.36,5.43,5.04,641
35,1,8.05,4.66,4.52,697
35,6,8.77,5.28,4.83,634
35,5,8.45,4.83,4.18,640
36,3,8.31,4.8,4.15,633
36,7,13.44,7.15,5.51,711
36,1,8.05,4.72,4.54,698
36,2,8.49,5.51,5.06,641
36,4,8.34,4.96,4.16,639
36,6,8.87,5.36,4.86,633
36,5,8.41,4.89,4.2,640
37,3,8.37,4.87,4.17,633
37,7,13.57,7.28,5.57,711
37,1,8.05,4.77,4.55,697
37,2,8.61,5.58,5.09,640
37,4,8.4,5.03,4.19,639
37,6,8.72,5.39,4.87,633
37,5,8.46,4.95,4.23,640
38,3,8.5,4.96,4.2,633
38,7,13.68,7.41,5.62,714
38,2,8.81,5.68,5.12,642
38,1,8.2,4.86,4.58,699
38,4,8.36,5.08,4.21,639
38,6,8.74,5.45,4.89,633
38,5,8.5,5.02,4.25,639
39,3,8.54,5.03,4.23,634
39,1,8.35,4.95,4.61,697
39,2,8.74,5.71,5.14,641
39,7,13.87,7.55,5.67,711
39,4,8.33,5.13,4.23,639
39,6,8.76,5.5,4.92,636
39,5,8.46,5.07,4.27,639
40,3,8.66,5.11,4.26,633
40,7,13.96,7.68,5.72,711
40,2,8.84,5.79,5.17,641
40,1,8.4,5.01,4.64,699
40,4,8.31,5.17,4.25,638
40,6,8.62,5.53,4.93,634
40,5,8.42,5.12,4.29,640
41,3,8.6,5.16,4.28,636
41,7,14.04,7.8,5.77,711
41,2,8.93,5.86,5.19,642
41,1,8.37,5.06,4.65,697
41,4,8.28,5.22,4.27,638
41,6,8.57,5.57,4.94,635
41,5,8.55,5.2,4.33,640
42,3,8.64,5.22,4.31,635
42,7,14.44,7.98,5.84,711
42,1,8.5,5.14,4.68,698
42,2,8.7,5.86,5.2,641
42,4,8.26,5.27,4.29,638
42,6,8.69,5.64,4.97,634
42,5,8.51,5.25,4.35,640
43,3,8.75,5.3,4.34,634
43,7,14.56,8.12,5.9,711
43,1,8.46,5.19,4.7,699
43,2,8.72,5.91,5.22,640
43,4,8.32,5.33,4.32,639
43,6,8.79,5.72,5,634
43,5,8.47,5.29,4.37,639
44,3,8.68,5.35,4.36,634
44,7,14.6,8.23,5.95,711
44,1,8.5,5.26,4.72,697
44,4,8.05,5.32,4.32,639
44,2,8.59,5.93,5.23,642
44,6,8.81,5.77,5.02,635
44,5,8.43,5.34,4.39,639
45,3,8.71,5.41,4.38,635
45,1,8.38,5.29,4.74,699
45,7,14.47,8.31,5.99,714
45,2,8.62,5.98,5.25,641
45,4,8.21,5.4,4.35,639
45,6,8.82,5.83,5.04,635
45,5,8.39,5.38,4.4,640
46,3,8.73,5.47,4.41,634
46,1,8.43,5.35,4.76,697
46,7,14.51,8.42,6.04,711
46,2,8.65,6.03,5.27,641
46,4,8.27,5.46,4.38,639
46,6,9.48,6.01,5.11,635
46,5,8.28,5.41,4.42,640
47,3,8.76,5.53,4.43,636
47,1,8.72,5.46,4.8,698
47,7,14.55,8.53,6.08,711
47,2,8.6,6.06,5.28,641
47,4,8.33,5.52,4.4,638
47,6,9.52,6.08,5.13,634
47,5,8.18,5.44,4.43,639
48,3,8.86,5.6,4.46,634
48,1,8.74,5.52,4.82,697
48,7,14.59,8.64,6.13,711
48,2,8.55,6.1,5.3,640
48,4,8.39,5.58,4.43,639
48,6,9.4,6.11,5.15,634
48,5,8.16,5.48,4.45,639
49,3,8.87,5.66,4.49,634
49,1,8.68,5.56,4.84,698
49,7,14.54,8.73,6.17,711
49,2,8.67,6.16,5.32,641
49,4,8.43,5.64,4.45,640
49,6,9.45,6.17,5.17,635
49,5,8.31,5.56,4.48,639
50,3,8.88,5.71,4.51,635
50,1,8.71,5.62,4.86,699
50,7,14.58,8.83,6.22,711
50,2,8.69,6.21,5.34,641
50,4,8.48,5.69,4.48,639
50,6,9.33,6.21,5.19,636
50,5,8.37,5.61,4.51,640
51,3,8.89,5.77,4.54,635
51,1,8.57,5.64,4.87,697
51,7,14.69,8.95,6.28,711
51,2,8.8,6.27,5.37,642
51,4,8.6,5.76,4.51,638
51,6,9.22,6.24,5.21,633
51,5,8.42,5.67,4.53,640
52,3,8.74,5.79,4.55,634
52,7,14.64,9.04,6.32,714
52,1,8.76,5.73,4.91,699
52,2,8.97,6.35,5.4,641
52,4,8.55,5.8,4.53,638
52,6,9.53,6.35,5.25,634
52,5,8.54,5.74,4.56,639
53,3,8.76,5.84,4.58,634
53,7,14.75,9.15,6.37,711
53,1,8.78,5.78,4.93,698
53,2,9.14,6.43,5.43,641
53,4,8.43,5.82,4.54,639
53,6,9.57,6.41,5.27,633
53,5,8.58,5.8,4.59,639
54,3,8.86,5.91,4.6,634
54,7,14.77,9.25,6.42,711
54,1,8.72,5.82,4.95,699
54,2,8.97,6.44,5.44,640
54,4,8.39,5.86,4.56,639
54,6,9.52,6.45,5.29,633
54,5,8.53,5.83,4.6,640
55,3,9.03,6,4.64,633
55,1,8.74,5.87,4.97,699
55,7,14.79,9.35,6.46,711
55,2,8.89,6.46,5.45,642
55,4,8.36,5.89,4.58,639
55,6,9.48,6.5,5.31,635
55,5,9.05,5.99,4.66,642
56,3,9.11,6.06,4.67,634
56,7,14.8,9.44,6.51,711
56,1,8.76,5.93,4.99,699
56,2,8.82,6.49,5.47,642
56,4,8.33,5.93,4.6,638
56,6,9.44,6.54,5.33,634
56,5,9.13,6.05,4.69,640
57,3,8.94,6.08,4.68,633
57,7,14.82,9.53,6.55,711
57,1,8.54,5.93,5,698
57,2,8.59,6.48,5.47,640
57,4,8.23,5.95,4.61,638
57,6,9.32,6.56,5.35,633
57,5,8.88,6.05,4.7,640
58,3,8.78,6.09,4.69,633
58,7,14.75,9.61,6.59,712
58,1,8.42,5.95,5.01,698
58,2,8.54,6.51,5.48,641
58,4,8.21,5.98,4.63,638
58,6,9.22,6.59,5.36,634
58,5,8.89,6.1,4.72,640
59,3,8.48,6.08,4.7,634
59,1,8.06,5.91,5,698
59,7,13.57,9.45,6.56,713
59,2,8.26,6.48,5.48,641
59,4,8.03,5.98,4.64,638
59,6,9.12,6.61,5.38,634
59,5,8.82,6.13,4.74,640
60,3,8.04,6.02,4.69,635
60,1,7.58,5.85,4.98,699
60,7,12.49,9.29,6.52,711
60,2,7.76,6.41,5.46,641
60,4,7.71,5.95,4.63,638
60,6,8.87,6.6,5.38,635
60,5,8.43,6.1,4.73,640
61,1,7.45,5.85,4.99,699
61,3,7.48,5.94,4.67,634
61,7,11.49,9.14,6.49,711
61,2,7.14,6.3,5.43,642
61,4,7.09,5.85,4.61,640
61,6,8.24,6.51,5.36,635
61,5,7.84,6.01,4.71,642
62,1,7.66,5.92,5.02,698
62,3,7.2,5.91,4.66,633
62,7,10.57,8.98,6.45,711
62,2,7.29,6.34,5.45,640
62,4,6.92,5.84,4.61,638
62,6,8.06,6.5,5.36,633
62,5,7.61,5.99,4.71,640
63,1,7.44,5.9,5.02,698
63,3,7.02,5.89,4.66,633
63,7,10.36,8.97,6.46,712
63,2,7.74,6.46,5.49,640
63,4,7.09,5.89,4.63,638
63,6,8.14,6.54,5.38,633
63,5,7.8,6.06,4.74,640
64,1,7.97,6.04,5.07,697
64,3,6.86,5.88,4.67,634
64,7,10.65,9.05,6.5,711
64,4,7.16,5.92,4.65,638
64,2,7.92,6.51,5.52,640
64,6,8.12,6.56,5.39,633
64,5,8.22,6.18,4.79,640
65,1,8.13,6.1,5.09,697
65,7,9.88,8.92,6.47,711
65,3,6.79,5.88,4.67,633
65,2,8.01,6.56,5.53,640
65,4,7.23,5.96,4.67,638
65,6,8.27,6.62,5.42,633
65,5,8.36,6.24,4.82,640
