moment,node,load5,load10,load15,procs
1,5,0,0.43,1.39,501
1,6,0.06,0.44,1.34,489
1,3,0.12,0.89,2.51,508
1,2,0.07,0.78,1.96,505
1,4,0.03,0.44,1.27,504
1,7,0,0.66,1.79,503
1,1,0.07,0.48,1.66,501
2,5,0,0.42,1.38,501
2,6,0.06,0.43,1.33,490
2,2,0.06,0.77,1.95,505
2,3,0.11,0.88,2.5,551
2,4,0.03,0.43,1.26,504
2,7,0,0.65,1.78,502
2,1,0.06,0.48,1.65,502
3,3,0.18,0.88,2.49,704
3,2,0.06,0.75,1.94,653
3,5,0,0.42,1.38,612
3,6,0.05,0.43,1.32,601
3,4,0.02,0.42,1.25,614
3,1,0.06,0.47,1.64,611
3,7,0,0.64,1.77,615
4,5,0.08,0.43,1.37,647
4,3,0.33,0.9,2.49,732
4,2,0.21,0.78,1.94,728
4,6,0.13,0.44,1.32,633
4,4,0.1,0.43,1.25,650
4,7,0,0.63,1.76,644
4,1,0.13,0.48,1.63,645
5,5,0.8,0.57,1.41,660
5,3,1.26,1.08,2.54,747
5,6,0.6,0.53,1.35,645
5,2,1.48,1.03,2.01,739
5,4,0.66,0.54,1.28,660
5,1,0.68,0.59,1.66,657
5,7,1.04,0.83,1.82,658
6,5,2.18,0.86,1.5,657
6,2,3.2,1.39,2.13,736
6,6,0.55,0.52,1.34,643
6,3,2.36,1.31,2.6,745
6,4,2.44,0.92,1.4,658
6,1,2.15,0.89,1.76,655
6,7,1.2,0.87,1.83,656
7,5,2.8,1.01,1.55,659
7,2,4.14,1.62,2.2,737
7,6,0.83,0.58,1.35,645
7,3,3.21,1.51,2.66,747
7,4,3.05,1.07,1.45,660
7,1,2.94,1.08,1.81,657
7,7,1.9,1.02,1.87,658
8,5,3.06,1.09,1.57,659
8,2,4.53,1.74,2.23,739
8,6,1.24,0.67,1.38,646
8,4,3.21,1.13,1.47,660
8,3,4.24,1.75,2.73,747
8,7,2.55,1.17,1.91,658
8,1,3.26,1.17,1.84,657
9,5,2.97,1.11,1.58,665
9,2,4.25,1.73,2.22,747
9,6,1.14,0.66,1.37,652
9,4,2.95,1.11,1.46,666
9,3,4.62,1.87,2.77,753
9,7,2.35,1.15,1.9,664
9,1,3,1.16,1.83,663
