moment,node,load5,load10,load15,procs
1,1,0.69,10.15,11.55,506
1,2,0.69,9.55,10.7,509
1,4,1.44,12.37,12.61,506
1,5,0.65,13.49,14.76,506
1,6,0.76,10.05,11.31,492
1,3,0.55,9.37,10.59,508
1,7,0.86,10.01,11.66,504
2,5,0.6,13.27,14.68,506
2,1,0.64,9.98,11.49,506
2,2,0.63,9.39,10.65,509
2,4,1.32,12.16,12.54,549
2,3,0.5,9.22,10.54,508
2,6,0.7,9.88,11.25,493
2,7,0.79,9.84,11.59,504
3,5,0.71,13.08,14.61,646
3,3,1.1,9.19,10.52,651
3,4,1.21,11.96,12.48,703
3,1,0.67,9.83,11.43,689
3,2,0.66,9.25,10.6,652
3,6,0.64,9.72,11.19,634
3,7,0.73,9.68,11.53,616
4,5,1.06,12.95,14.56,650
4,3,2.14,9.27,10.54,656
4,2,0.85,9.15,10.55,655
4,1,0.94,9.73,11.39,721
4,4,1.84,11.91,12.46,737
4,6,0.99,9.64,11.16,638
4,7,0.75,9.53,11.48,651
5,5,2.41,13.03,14.58,662
5,3,3.57,9.45,10.59,664
5,2,2.38,9.33,10.6,665
5,1,3.02,10.02,11.48,740
5,4,3.05,12,12.48,745
5,6,2.92,9.89,11.23,648
5,7,1.33,9.51,11.46,663
6,5,3.02,12.98,14.55,662
6,3,3.68,9.38,10.56,664
6,2,2.99,9.34,10.6,665
6,4,3.61,11.96,12.47,745
6,1,3.98,10.1,11.5,740
6,6,3.48,9.89,11.22,648
6,7,1.79,9.46,11.43,663
7,5,2.78,12.77,14.47,668
7,3,3.39,9.22,10.5,670
7,2,2.75,9.18,10.54,671
7,1,4.14,10.04,11.47,749
7,4,3.32,11.77,12.4,751
7,6,3.44,9.78,11.18,654
7,7,1.64,9.31,11.37,669
