moment,node,load5,load10,load15,procs
1,5,0.38,0.93,1.39,502
1,2,0.02,0.64,1.26,505
1,4,0.08,0.75,1.27,502
1,3,0,0.75,1.64,504
1,7,0.02,0.61,1.15,502
1,1,0.02,0.74,1.37,501
1,6,0.09,0.73,1.3,490
2,5,0.51,0.95,1.4,544
2,2,0.02,0.63,1.25,505
2,4,0.07,0.73,1.27,502
2,3,0,0.74,1.64,505
2,7,0.01,0.6,1.14,502
2,1,0.01,0.73,1.36,501
2,6,0.08,0.72,1.29,490
3,5,0.63,0.97,1.4,693
3,2,0.26,0.67,1.26,607
3,4,0.39,0.79,1.28,642
3,1,0.17,0.75,1.36,597
3,3,0,0.73,1.63,649
3,7,0.17,0.62,1.14,597
3,6,0.39,0.77,1.31,669
4,5,1.38,1.12,1.45,726
4,2,1.12,0.85,1.31,651
4,1,0.96,0.9,1.41,647
4,7,1.36,0.86,1.22,645
4,3,0.08,0.73,1.62,652
4,4,1,0.91,1.32,646
4,6,0.68,0.82,1.32,706
5,5,3.19,1.5,1.57,736
5,2,2.23,1.08,1.39,663
5,4,2.52,1.23,1.42,659
5,3,0.56,0.82,1.65,662
5,1,2.33,1.19,1.5,657
5,7,2.05,1.01,1.27,658
5,6,0.87,0.86,1.33,724
6,5,4.06,1.7,1.64,757
6,2,3.01,1.26,1.44,684
6,4,3.36,1.42,1.48,665
6,3,1.31,0.97,1.69,698
6,6,1.68,1.03,1.38,763
6,1,2.94,1.33,1.54,663
6,7,1.97,1.01,1.27,680
