moment,node,bytes_read,bytes_write,io_read,io_write,time_spent_read,time_spent_write
1,2,0,7241728,0,62,0,0.559999999997672
1,3,0,57344,0,5,0,0.00399999999999068
1,5,0,1744867328,0,61,0,0.0679999999993015
1,6,0,16384,0,2,0,0
1,4,0,1843159040,0,54,0,0.0799999999871943
1,7,0,798720,0,23,0,0
1,1,0,20480,0,2,0,0
2,2,0,0,0,0,0,0
2,3,0,53248,0,2,0,0
2,5,0,12288,0,2,0,0
2,6,0,28672,0,2,0,0.00400000001536682
2,4,0,16384,0,2,0,0
2,7,0,106496,0,13,0,0.0960000000000036
2,1,0,53248,0,4,0,0.0160000000032596
3,5,0,5775360,0,62,0,0.556000000011409
3,2,0,57344,0,4,0,0.00399999998626299
3,3,0,49152,0,2,0,0.00800000000162981
3,6,0,192512,0,5,0,0.0200000000032503
3,4,0,290816,0,7,0,0.0160000000170157
3,7,0,24576,0,2,0,0.00399999999999068
3,1,0,241664,0,14,0,0.11599999997415
4,5,0,34476032,0,272,0,10.4839999999886
4,2,0,360448,0,11,0,0.0160000000032596
4,3,0,1089536,0,23,0,0.00800000000162981
4,6,0,376832,0,11,0,0.0400000000032605
4,4,0,229376,0,8,0,0.0279999999878839
4,7,0,315392,0,7,0,0.0160000000032596
4,1,0,146292736,0,1166,0,100.516000000003
5,5,0,34459648,0,268,0,9.94000000000233
5,3,0,68481024,0,530,0,35.372000000003
5,2,0,68538368,0,541,0,20.6200000000081
5,6,0,103268352,0,814,0,51.2519999999786
5,4,0,179003392,0,1452,0,112.5
5,7,0,179552256,0,1437,0,126.036000000007
5,1,0,146563072,0,1235,0,106.656
6,3,0,3817472,0,33,0,0.127999999996973
6,5,0,3788800,0,36,0,0.156000000017229
6,2,0,4767744,0,66,0,0.152000000001863
6,6,0,5779456,0,59,0,0.172000000004203
6,4,0,72908800,0,654,0,46.640000000014
6,7,0,71671808,0,624,0,45.3759999999893
6,1,0,3825664,0,36,0,0.199999999996294
7,5,0,122880,0,15,0,0
7,3,0,69632,0,6,0,0.0200000000000102
7,2,0,45056,0,3,0,0
7,6,0,98304,0,6,0,0.00800000000162981
7,4,0,290816,0,26,0,0.143999999987898
7,7,0,192512,0,6,0,0.0200000000186265
7,1,0,32768,0,4,0,0
8,3,0,44642304,0,363,0,16.872000000003
8,5,0,147456,0,3,0,0.0160000000032596
8,2,0,135421952,0,1038,0,107.767999999982
8,6,0,135561216,0,1039,0,106.479999999995
8,4,0,221184,0,8,0,0.0119999999878928
8,7,0,204800,0,7,0,0.0360000000032414
8,1,0,159744,0,5,0,0.0120000000169966
9,3,0,958464,0,12,0,0.00800000000162981
9,5,0,178847744,0,1491,0,160.947999999975
9,2,0,178860032,0,1490,0,158.612000000023
9,6,0,178925568,0,1509,0,161.267999999998
9,4,0,114688,0,11,0,0.00400000001536682
9,7,0,69632,0,4,0,0.0119999999878928
9,1,0,61440,0,3,0,0.00800000000162981
10,3,0,179765248,0,1544,0,154.223999999988
10,5,0,978944,0,65,0,0.132000000001625
10,2,0,552960,0,32,0,0.0959999999757883
10,6,0,237568,0,26,0,0.0120000000000005
10,4,0,110592,0,10,0,0
10,7,0,442368,0,27,0,0.1919999999879
10,1,0,151552,0,18,0,0.195999999999998
11,3,4096,68268032,1,532,0.0519999999999996,26.6880000000237
11,5,0,68157440,0,524,0,37.4079999999958
11,2,0,68202496,0,533,0,37.7440000000061
11,6,0,102481920,0,788,0,75.4880000000121
11,4,0,225280,0,5,0,0.0199999999895226
11,7,0,45056,0,6,0,0
11,1,4096,35037184,1,299,0.0399999999999991,12.3679999999877
12,3,0,49152,0,4,0,0.00399999998626299
12,5,0,24576,0,2,0,0.00400000001536682
12,2,0,24576,0,2,0,0.00400000001536682
12,6,0,991232,0,33,0,0.00399999998626299
12,4,0,68083712,0,520,0,40.0240000000049
12,7,0,68976640,0,532,0,40.2840000000142
12,1,0,34103296,0,266,0,10.3239999999932
13,3,0,12288,0,2,0,0
13,5,0,24576,0,2,0,0.0040000000000191
13,2,0,638976,0,18,0,0
13,6,0,45056,0,10,0,0
13,7,0,655360,0,24,0,0.0119999999878928
13,4,0,696320,0,25,0,0.00800000000162981
13,1,0,36864,0,4,0,0.00400000001536682
14,5,0,4096,0,1,0,0.00399999999999068
14,3,0,0,0,0,0,0
14,2,0,53248,0,3,0,0
14,6,0,12288,0,2,0,0
14,4,0,69632,0,7,0,0.0999999999999943
14,7,0,57344,0,5,0,0.0160000000000196
14,1,0,20480,0,3,0,0.0120000000016205
15,5,0,77824,0,6,0,0
15,3,0,0,0,0,0,0
15,2,0,20480,0,2,0,0
15,6,0,49152,0,4,0,0
15,4,0,36864,0,4,0,0
15,7,0,24576,0,2,0,0
15,1,0,65536,0,4,0,0
16,5,0,454656,0,49,0,0.195999999999998
