moment,node,bytes_read,bytes_write,io_read,io_write,time_spent_read,time_spent_write
1,6,0,1081344,0,41,0,0
1,5,0,1516396544,0,57,0,0.0679999999993015
1,3,0,1783156736,0,57,0,0.0760000000009313
1,4,0,1564233728,0,71,0,0.111999999998488
1,2,0,1056768,0,36,0,0
1,7,0,1407188992,0,54,0,0.0639999999984866
1,1,0,98304,0,5,0,0.00400000000000489
2,6,0,57344,0,4,0,0.00799999999435386
2,5,0,0,0,0,0,0
2,3,0,45056,0,4,0,0.0200000000008203
2,4,0,20480,0,2,0,0
2,2,0,36864,0,4,0,0.00800000000162981
2,7,0,24576,0,1,0,0
2,1,0,90112,0,16,0,0.239999999999995
3,6,0,331776,0,8,0,0.00800000000162981
3,5,0,61440,0,4,0,0.0400000000024363
3,4,0,20480,0,3,0,0.00400000000000489
3,3,0,0,0,0,0,0
3,2,0,65536,0,4,0,0.0320000000016307
3,7,0,61440,0,4,0,0.00800000000162981
3,1,0,12288,0,2,0,0
4,6,0,286720,0,9,0,0.0240000000024452
4,5,0,389120,0,18,0,0.100000000003263
4,4,0,380928,0,12,0,0.0120000000024447
4,2,0,331776,0,7,0,0.0239999999976135
4,3,0,34443264,0,270,0,10.1039999999945
4,7,0,323584,0,7,0,0.0120000000024447
4,1,0,34463744,0,270,0,11.2119999999987
5,6,0,237051904,0,1850,0,167.008000000002
5,5,0,180649984,0,1490,0,106.031999999999
5,4,0,68206592,0,522,0,21.6640000000043
5,2,0,68272128,0,526,0,33.112000000001
5,3,0,35446784,0,308,0,10.3559999999998
5,7,0,180011008,0,1450,0,125.307999999997
5,1,0,35143680,0,307,0,10.4600000000064
6,6,0,185798656,0,1607,0,166.335999999998
6,5,0,71016448,0,624,0,46.8679999999949
6,4,0,3584000,0,32,0,0.171999999998661
6,2,0,3608576,0,45,0,0.148000000000224
6,3,0,3420160,0,30,0,0.0720000000001164
6,7,0,115601408,0,1000,0,93.0279999999984
6,1,0,3514368,0,31,0,0.135999999995335
7,5,0,290816,0,11,0,0.116000000004888
7,6,0,40960,0,5,0,0
7,2,0,290816,0,10,0,0.0279999999959841
7,4,0,1171456,0,66,0,0.0959999999951719
7,3,0,348160,0,29,0,0.14800000000244
7,7,0,380928,0,21,0,0.228000000002439
7,1,0,266240,0,13,0,0.0560000000032659
8,5,0,12288,0,2,0,0
8,6,0,217088,0,5,0,0.0120000000024447
8,2,0,512000,0,39,0,0
8,4,0,94208,0,2,0,0.0120000000024447
8,7,0,184320,0,6,0,0.0199999999967986
8,3,0,421888,0,7,0,0.0120000000024447
8,1,0,462848,0,7,0,0.0239999999968035
9,5,0,376832,0,4,0,0.0119999999951688
9,6,0,634880,0,12,0,0.0479999999951559
9,2,0,180002816,0,1380,0,155.820000000003
9,4,0,434176,0,7,0,0.0360000000024456
9,7,0,389120,0,6,0,0.0120000000024447
9,3,0,0,0,0,0,0
9,1,0,94208,0,17,0,0.0240000000000009
10,5,0,98304,0,8,0,0.100000000000009
10,6,0,241664,0,14,0,0.0800000000000125
10,2,0,178880512,0,1509,0,151.612000000001
10,4,0,178827264,0,1506,0,172.12
10,7,0,81920,0,6,0,0.063999999999993
10,3,0,178827264,0,1509,0,163.807999999998
10,1,0,178823168,0,1508,0,170.076000000001
11,5,0,102400,0,17,0,0.0319999999999965
11,6,0,53248,0,4,0,0
11,2,0,192512,0,14,0,0.140000000001635
11,4,0,34283520,0,283,0,11.4319999999983
11,7,0,45056,0,6,0,0
11,3,0,34209792,0,270,0,10.1200000000026
