moment,node,bytes_read,bytes_write,io_read,io_write,time_spent_read,time_spent_write
1,2,0,61440,0,3,0,0.00400000000000489
1,3,0,829464576,0,44,0,0.044000000001688
1,5,0,53248,0,2,0,0
1,4,0,940441600,0,46,0,0.0480000000016929
1,1,0,61440,0,2,0,0
1,6,0,4096,0,1,0,0
1,7,0,0,0,0,0,0
2,2,0,32768,0,3,0,0.00800000000162981
2,3,0,794624,0,28,0,0
2,5,0,139264,0,19,0,0.228000000000819
2,4,0,61440,0,5,0,0.0119999999951688
2,1,0,69632,0,9,0,0.00400000000000489
2,6,0,102400,0,7,0,0.0400000000000063
2,7,0,9990144,0,81,0,1.28399999999965
3,2,0,8896512,0,82,0,0.99199999999837
3,3,0,307200,0,9,0,0.0239999999976135
3,5,0,991232,0,29,0,0
3,4,0,913408,0,37,0,0.0160000000016254
3,1,0,786432,0,18,0,0.00400000000081491
3,6,0,61440,0,4,0,0.0079999999870779
3,7,0,1056768,0,35,0,0.112000000001629
4,2,0,34422784,0,268,0,10.0479999999952
4,3,0,192512,0,4,0,0.00800000000162981
4,5,0,307200,0,7,0,0.0159999999959837
4,4,0,311296,0,7,0,0.0120000000024447
4,1,0,30449664,0,237,0,9.65199999999459
4,6,0,307200,0,7,0,0.0160000000032596
4,7,0,73728,0,2,0,0
5,2,0,34373632,0,270,0,10.0960000000017
5,3,0,102350848,0,786,0,61.627999999997
5,5,0,68206592,0,522,0,27.5040000000008
5,4,0,179793920,0,1436,0,79.8199999999997
5,1,0,38064128,0,293,0,13.0320000000057
5,6,0,69050368,0,547,0,20.6760000000068
5,7,0,68362240,0,525,0,33.8799999999974
6,3,0,5812224,0,65,0,0.292000000001977
6,2,0,3903488,0,53,0,0.18800000000256
6,5,0,3846144,0,36,0,0.131999999996964
6,4,0,115318784,0,994,0,96.616000000001
6,1,0,3706880,0,39,0,0.188000000000173
6,6,0,3846144,0,36,0,0.103999999992084
6,7,0,3862528,0,38,0,0.168000000005122
7,2,0,204800,0,5,0,0.0120000000016347
7,3,0,217088,0,5,0,0.0120000000024447
7,5,0,163840,0,6,0,0.0240000000048894
7,4,0,585728,0,10,0,0.00799999999435386
7,1,0,528384,0,7,0,0.0159999999959837
7,6,0,344064,0,24,0,0.14800000000244
7,7,0,253952,0,5,0,0.0199999999967986
8,2,0,135344128,0,1036,0,109.311999999998
8,3,0,53248,0,3,0,0
8,5,0,98304,0,7,0,0.0640000000000072
8,4,0,106496,0,5,0,0.00800000000162981
8,1,0,266240,0,8,0,0.0120000000024447
8,6,0,179740672,0,1382,0,155.375999999999
8,7,0,53248,0,3,0,0.00800000000162981
9,2,0,11579392,0,94,0,1.31599999999889
9,3,0,179769344,0,1548,0,165.239999999994
9,5,0,159744,0,19,0,0.00400000000081491
9,4,0,32768,0,4,0,0.0120000000000005
9,1,0,178749440,0,1492,0,171.907999999996
9,6,0,178745344,0,1490,0,151.292000000001
9,7,0,179425280,0,1525,0,166.848000000001
10,2,0,202973184,0,1718,0,183.14
10,3,0,368640,0,41,0,0.00800000000162981
10,5,0,178814976,0,1506,0,162.295999999995
10,4,0,237568,0,27,0,0.268000000000001
10,1,0,1040384,0,75,0,0.192000000001642
10,6,0,258048,0,24,0,0.0320000000016307
10,7,0,323584,0,36,0,0.00799999999435386
11,2,0,34230272,0,272,0,9.92400000000384
11,3,0,102289408,0,792,0,72.5160000000033
11,5,0,68874240,0,556,0,35.8600000000006
11,4,0,94208,0,9,0,0
11,1,0,68169728,0,528,0,39.5360000000001
11,6,0,68214784,0,529,0,37.1040000000066
11,7,0,68136960,0,522,0,37.4800000000032
12,2,0,411938816,0,3151,0,401.275999999998
12,5,0,552083456,0,4218,0,608.18
12,3,0,53248,0,4,0,0.00400000000081491
12,4,0,69582848,0,554,0,43.1560000000027
12,1,0,209035264,0,1603,0,194.092000000004
12,6,0,265347072,0,2048,0,240.923999999999
12,7,0,164597760,0,1259,0,140.031999999999
13,2,0,870244352,0,1782,0,281.348000000002
13,3,0,159744,0,16,0,0.132000000000005
13,5,0,730066944,0,713,0,112.628000000004
13,4,0,192290816,0,1476,0,177.675999999999
13,1,0,1329328128,0,4309,0,677.443999999995
13,6,4096,1017421824,1,2904,0.168,417.02399999999
13,7,0,1758068736,0,6121,0,976.120000000003
14,2,0,978944,0,11,0,0.0400000000000489
14,3,0,1179648,0,13,0,0.047999999995227
14,1,0,57344,0,2,0,0.00400000000000489
14,5,0,1040384,0,16,0,0.0480000000008687
14,4,0,193048576,0,15,0,0.044000000001688
14,6,0,98304,0,8,0,0.0360000000000014
14,7,0,77824,0,3,0,0
15,2,0,0,0,0,0,0
15,3,0,1261568,0,16,0,0.0280000000057044
15,1,0,835584,0,10,0,0.0200000000016303
15,5,0,749568,0,20,0,0.0239999999976135
15,4,0,937984,0,10,0,0.00799999999435386
15,6,0,966656,0,11,0,0.00800000000162981
15,7,0,868352,0,15,0,0.0439999999951652
16,2,0,688128,0,8,0,0.0239999999951692
16,3,0,2084864,0,58,0,0.047999999995227
16,1,0,663552,0,8,0,0.0120000000024447
16,5,0,405504,0,8,0,0.0239999999976135
16,4,0,745472,0,11,0,0.0479999999992486
16,6,0,798720,0,23,0,0.0360000000024456
16,7,0,724992,0,26,0,0.216000000002452
17,2,0,409600,0,12,0,0.0120000000024447
17,3,0,516096,0,11,0,0.0120000000024447
17,1,0,364544,0,7,0,0.0119999999951688
17,5,0,364544,0,6,0,0.0120000000024447
17,4,0,442368,0,23,0,0.0440000000024412
17,6,0,380928,0,6,0,0.0160000000032596
17,7,0,983040,0,47,0,0.0120000000024447
18,2,0,1306624,0,29,0,0.0119999999951688
18,3,0,1904640,0,131,0,0.0800000000017462
18,1,0,1265664,0,68,0,0.132000000002449
18,4,0,372736,0,6,0,0.0120000000024447
18,5,0,1515520,0,24,0,0.0120000000024447
18,6,0,479232,0,6,0,0.0160000000032596
18,7,0,430080,0,10,0,0.0159999999959837
19,2,0,528384,0,9,0,0.0200000000024545
19,3,0,430080,0,7,0,0.0119999999951688
19,1,0,364544,0,10,0,0.00800000000162981
19,4,0,47874048,0,374,0,20.5919999999969
19,5,0,16384,0,4,0,0.0319999999999965
19,6,0,1105920,0,52,0,0.0079999999870779
19,7,0,307200,0,6,0,0.00800000000162981
20,2,0,48648192,0,395,0,19.0399999999983
20,3,0,1933312,0,168,0,0.212000000005816
20,1,0,376832,0,5,0,0.0239999999976135
20,4,0,1044480,0,42,0,0.0120000000024447
20,5,0,2760704,0,196,0,0.379999999997381
20,6,0,483328,0,12,0,0.0440000000024412
20,7,0,1994752,0,181,0,0.260000000002037
21,2,0,368640,0,6,0,0.0120000000024447
21,3,0,4349952,0,165,0,0.131999999997788
21,1,0,4968448,0,267,0,0.628000000004249
21,4,0,516096,0,7,0,0.0120000000024447
21,5,0,401408,0,7,0,0.0199999999959886
21,6,0,5767168,0,313,0,0.559999999997672
21,7,0,1523712,0,15,0,0.0679999999951661
22,2,0,929792,0,40,0,0.0279999999984284
22,1,0,49152,0,2,0,0.019999999999996
22,3,0,544768,0,9,0,0.0120000000016347
22,4,0,815104,0,43,0,0.0239999999951692
22,5,0,3047424,0,104,0,0.116000000006636
22,6,0,385024,0,6,0,0.0120000000024447
22,7,0,1347584,0,112,0,0.0160000000032596
23,2,0,442368,0,12,0,0.0120000000024447
23,1,0,2142208,0,180,0,0.271999999997206
23,3,0,2486272,0,228,0,0.491999999994292
23,4,0,454656,0,10,0,0.0120000000024447
23,5,0,1581056,0,134,0,0.0759999999936554
23,6,0,2461696,0,193,0,0.408000000010361
23,7,0,278528,0,4,0,0.0159999999959837
24,2,0,319488,0,6,0,0.00800000000162981
24,1,0,405504,0,10,0,0.0239999999976135
24,3,0,454656,0,5,0,0.0240000000048894
24,4,0,9199616,0,358,0,1.47999999999593
24,5,0,1642496,0,131,0,0.0760000000009313
24,6,0,1912832,0,18,0,0.0519999999911533
24,7,0,3706880,0,165,0,0.148000000001048
25,2,0,1015808,0,56,0,0.0279999999984284
25,1,0,2703360,0,102,0,0.0120000000024447
25,3,0,3604480,0,132,0,0.108000000000175
25,4,0,2719744,0,9,0,0.0160000000024354
25,5,0,4096000,0,110,0,0.0480000000008687
25,6,0,942080,0,92,0,0
25,7,0,1064960,0,92,0,0.0120000000024447
26,2,0,8937472,0,249,0,3.65600000000268
26,3,0,1888256,0,164,0,0.11200000000099
26,1,0,1437696,0,120,0,0.0199999999967986
26,4,0,425984,0,6,0,0.0160000000032596
26,5,0,1724416,0,142,0,0.0720000000001164
26,6,0,1495040,0,132,0,0.047999999995227
26,7,0,270336,0,4,0,0.0120000000024447
27,2,0,385024,0,5,0,0.0159999999951737
27,1,0,274432,0,4,0,0.0120000000024447
27,3,0,1875968,0,166,0,0.255999999993719
27,5,0,360448,0,6,0,0.0120000000024447
27,4,0,323584,0,6,0,0.0119999999951688
27,6,0,1646592,0,128,0,0.092000000004191
27,7,0,1855488,0,165,0,0.255999999999418
28,2,0,1536000,0,13,0,0.0120000000024447
28,1,0,1437696,0,84,0,0.0280000000024501
28,3,0,4702208,0,132,0,0.108000000000175
28,5,0,3125248,0,104,0,0.0279999999984284
28,4,0,6144000,0,138,0,0.716000000006005
28,6,0,348160,0,6,0,0.00800000000162981
28,7,0,2056192,0,10,0,0.0199999999967986
29,2,0,5353472,0,189,0,0.791999999996335
29,1,0,2433024,0,108,0,0.023999999995155
29,3,0,421888,0,10,0,0.0320000000065193
29,5,0,1384448,0,122,0,0.0280000000024501
29,4,0,393216,0,19,0,0.0399999999951604
29,6,0,4505600,0,178,0,0.119999999995343
29,7,0,1634304,0,142,0,0.0999999999985448
30,2,0,356352,0,6,0,0.0120000000024447
30,3,0,528384,0,11,0,0.0239999999976135
30,1,0,1503232,0,125,0,0.0200000000040745
30,5,0,1757184,0,147,0,0.108000000000175
30,4,0,417792,0,7,0,0.0120000000024447
30,6,0,372736,0,4,0,0.0200000000040745
30,7,0,1236992,0,8,0,0.0120000000024447
31,2,0,1228800,0,9,0,0.00800000000162981
31,1,0,3489792,0,131,0,0.0720000000001164
31,3,0,2715648,0,161,0,0.188000000001921
31,5,0,4182016,0,143,0,0.119999999995343
31,4,0,5152768,0,131,0,0.619999999995343
31,6,0,2670592,0,108,0,0.0360000000073342
31,7,0,1187840,0,101,0,0
