moment,node,bytes_read,bytes_write,io_read,io_write,time_spent_read,time_spent_write
1,5,0,172937216,0,60,0,0.0200000000004366
1,3,0,71872512,0,29,0,0.0160000000014406
1,2,0,172113920,0,37,0,0.0159999999996217
1,4,0,77824,0,3,0,0
1,6,0,71868416,0,26,0,0.0159999999996217
1,1,0,0,0,0,0,0
1,7,0,152014848,0,41,0,0.0440000000004375
2,5,0,40960,0,7,0,0
2,3,0,0,0,0,0,0
2,2,0,40960,0,4,0,0.00399999999899592
2,1,0,28672,0,4,0,0
2,4,0,22183936,0,173,0,5.56000000000131
2,6,0,65536,0,4,0,0.0120000000008247
2,7,0,16384,0,2,0,0
3,5,0,122880,0,4,0,0.0279999999998068
3,3,4096,77824,1,6,0,0.00399999999899592
3,1,0,294912,0,7,0,0.0120000000006257
3,2,0,15798272,0,128,0,2.40800000000046
3,4,0,307200,0,7,0,0.0159999999988116
3,6,0,61440,0,5,0,0.00399999999999068
3,7,4096,12288,1,2,0,0
4,5,0,34463744,0,269,0,10.6399999999994
4,3,0,34414592,0,268,0,10.1400000000008
4,1,0,1302528,0,51,0,0.0199999999986176
4,2,0,1282048,0,47,0,0.0120000000006257
4,4,0,942080,0,34,0,0.0120000000006257
4,6,0,118214656,0,1018,0,91.0319999999996
4,7,0,319488,0,9,0,0.0679999999993015
5,5,0,34521088,0,287,0,9.73200000000112
5,3,4096,35299328,1,306,0,10.0999999999985
5,1,0,102359040,0,785,0,74.7200000000012
5,2,0,68247552,0,525,0,20.2959999999986
5,6,0,130420736,0,1076,0,73.2639999999992
5,4,0,68247552,0,525,0,21.8960000000006
5,7,0,175669248,0,1440,0,117.98
6,5,0,3588096,0,33,0,0.16399999999885
6,3,0,3534848,0,31,0,0.092000000000553
6,1,0,5398528,0,49,0,0.17599999999986
6,2,0,3719168,0,47,0,0.192000000000235
6,4,0,3674112,0,38,0,0.0719999999982974
6,6,0,3706880,0,41,0,0.196000000000794
6,7,0,75845632,0,670,0,48.8759999999999
7,5,0,12288,0,2,0,0
7,1,0,114688,0,17,0,0.0600000000000023
7,3,20480,65536,5,9,0.004,0.0480000000000018
7,2,0,28672,0,2,0,0
7,6,0,49152,0,4,0,0
7,4,0,327680,0,25,0,0.188000000000628
7,7,4096,598016,1,6,0,0.0120000000006257
8,5,0,136085504,0,1044,0,107.876
8,3,16384,933888,4,20,0,0.00799999999981083
8,1,0,315113472,0,2532,0,303.928
8,2,0,888832,0,10,0,0.0360000000000582
8,6,0,741376,0,8,0,0.0319999999992433
8,4,0,786432,0,11,0,0.00799999999981083
8,7,32768,913408,8,22,0,0.00799999999981083
9,5,0,91021312,0,700,0,59.884
9,1,0,1576960,0,64,0,0.0560000000004948
9,3,0,45154304,0,349,0,16.2480000000014
9,4,0,179568640,0,1511,0,171.312000000001
9,2,0,179671040,0,1509,0,158.976000000001
9,6,0,827392,0,12,0,0.0480000000006271
9,7,0,897024,0,13,0,0.0120000000006257
