moment,node,buffer_cache,free,map,used
1,2,11693076,93137568,60036,2652768
1,3,11539996,93237696,60112,2705720
1,5,11949584,92794012,60256,2739816
1,6,12223916,92532504,60224,2726992
1,4,11649152,93153460,60496,2680800
1,7,11955428,92778908,60340,2749076
1,1,11489532,93308552,60196,2685328
2,2,11824880,93013260,60036,2645272
2,3,11583332,93194424,59948,2705656
2,5,11949588,92794896,60256,2738928
2,6,12356024,92397392,60224,2729996
2,4,11823660,92732708,72844,2927044
2,7,11955436,92780128,60040,2747848
2,1,11532872,93273564,60200,2676976
3,5,12124224,92051708,72860,3307480
3,2,11999816,92305716,72600,3177880
3,3,11758004,92449832,72780,3275576
3,6,12530772,91239088,72908,3713552
3,4,11823836,92067064,72952,3592512
3,7,12130112,92137112,72656,3216188
3,1,11707480,92541788,72768,3234144
4,5,12190804,91506860,75176,3785748
4,2,11999852,92095156,72644,3388404
4,3,11758060,92182864,72804,3542488
4,6,12530800,91021176,72908,3931436
4,4,11823908,91885576,72960,3773928
4,7,12130148,91748968,72712,3604296
4,1,11774076,91990936,75052,3718400
5,5,12263708,90917520,77396,4302184
5,3,11893100,91506384,77292,4083928
5,2,12135864,91211672,77168,4135876
5,6,12733332,89739256,79704,5010824
5,4,11963364,91034284,77496,4485764
5,7,12264612,90983760,77228,4235040
5,1,11847276,91303948,77304,4332188
6,3,11894804,87464328,79884,8124280
6,5,12260572,85833668,80240,9389172
6,2,12136184,86899932,79792,8447296
6,6,12735396,83563580,82880,11184436
6,4,11960228,86827564,80272,8695620
6,7,12618916,86371116,80012,8493380
6,1,11843860,87300668,79944,8338884
7,5,13684320,83778192,80240,10020900
7,3,13723764,83511920,79884,10247728
7,2,13543632,82781928,79792,11157852
7,6,13737624,82540280,82880,11205508
7,4,13701828,83907160,80272,9874424
7,7,15081864,81322944,80012,11078604
7,1,13672264,83981772,79944,9829376
8,3,13724884,83140624,79884,10617904
8,5,14653384,82509928,80240,10320100
8,2,14951100,80147052,79792,12385260
8,6,14846608,79148224,82880,13488580
8,4,13930676,82878976,80272,10673760
8,7,15082216,80870944,80012,11530252
8,1,13673556,83315284,79944,10494572
9,3,13724892,82227872,79884,11530648
9,5,14653240,81156992,80240,11673180
9,2,14951108,78823492,79792,13708812
9,6,14846624,78439988,82880,14196800
9,4,13930676,81149132,80272,12403604
9,7,15082272,80181320,80012,12219820
9,1,13673564,82854192,79948,10955656
10,3,11895280,84103520,79884,11484612
10,5,12260600,83608352,80240,11614460
10,2,12136244,81712312,79792,13634856
10,6,12735536,80604020,82880,14143856
10,4,11960284,83169580,80272,12353548
10,7,12267408,83069576,80012,12146428
10,1,11844204,84730812,79944,10908396
11,3,11895320,84103580,79884,11484512
11,5,12260604,83607784,80240,11615024
11,2,12136268,81711952,79792,13635192
11,6,12735568,80604880,82880,14142964
11,4,11960292,83169920,80272,12353200
11,7,12267416,83065280,80012,12150716
11,1,11843928,84729376,79944,10910108
12,3,11895332,84102928,79884,11485152
12,5,12260628,83607740,80240,11615044
12,2,12136272,81712172,79792,13634968
12,6,12735568,80604480,82880,14143364
12,4,11960300,83168916,80272,12354196
12,7,12267424,83063616,80012,12152372
12,1,11843952,84728744,79944,10910716
13,3,11895344,84103508,79884,11484560
13,5,12260636,83608308,80240,11614468
13,2,12136280,81712484,79792,13634648
13,6,12735580,80604868,82880,14142964
13,7,12267432,83064140,80012,12151840
13,4,11960316,83169648,80272,12353448
13,1,11843964,84728644,79944,10910804
14,5,12260636,83608700,80240,11614076
14,3,11895344,84102912,79884,11485156
14,2,12136288,81711752,79796,13635372
14,6,12735588,80605104,82880,14142720
14,4,11960316,83169620,80272,12353476
14,7,12267432,83064644,80012,12151336
14,1,11843972,84729592,79944,10909848
15,5,12260644,83609260,80240,11613508
15,3,11895344,84103688,79884,11484380
15,2,12136288,81711908,79792,13635216
15,6,12735588,80605216,82980,14142608
15,4,11960316,83170816,80272,12352280
15,7,12267440,83065200,80012,12150772
15,1,11843980,84730032,79944,10909400
16,5,12260644,83610548,80240,11612220
16,3,11895344,84103428,80080,11484640
16,2,12136296,81711400,79792,13635716
16,6,12735596,80605716,82880,14142100
16,4,11960332,83171616,80184,12351464
16,7,12267440,83065084,80012,12150888
16,1,11843988,84729936,79944,10909488
17,5,12260652,83610808,80240,11611952
17,3,11895356,84104036,79884,11484020
17,2,12136304,81711528,79792,13635580
17,6,12735604,80606588,82880,14141220
17,4,11960332,83171836,80272,12351244
17,7,12267448,83064916,80012,12151048
17,1,11844004,84729760,79944,10909648
18,5,12260660,83610716,80240,11612036
18,3,11895364,84104272,79884,11483776
18,2,12136304,81711236,79792,13635872
18,6,12735612,80606296,82880,14141504
18,4,11960340,83171776,80096,12351296
18,7,12267456,83065120,80012,12150836
18,1,11844004,84729668,79944,10909740
19,5,12260668,83611060,80240,11611684
19,3,11895372,84105532,79884,11482508
19,2,12136312,81711360,79792,13635740
19,6,12735612,80606344,82880,14141456
19,4,11960348,83172408,80272,12350656
19,7,12267464,83065976,80012,12149972
19,1,11844020,84730868,79944,10908524
20,5,12260668,83611420,80240,11611324
20,3,11895380,84105924,79884,11482108
20,2,12136320,81711536,79792,13635556
20,6,12735620,80607532,82880,14140260
20,4,11960348,83172412,80272,12350652
20,7,12267464,83066152,80012,12149796
20,1,11844020,84730948,79944,10908444
21,5,12260668,83611732,80240,11611012
21,3,11895380,84106036,79884,11481996
21,2,12136320,81712128,79792,13634964
21,6,12735620,80607784,82880,14140008
21,4,11960348,83172524,80272,12350540
21,7,12267464,83066544,80012,12149404
21,1,11844028,84730772,79944,10908612
22,5,12260584,83612632,80232,11610196
22,3,11895380,84106476,79884,11481556
22,2,12136328,81712072,79792,13635012
22,6,12560276,80783896,82880,14139240
22,4,11828420,83304484,80264,12350508
22,7,12267472,83066892,80012,12149048
22,1,11800712,84773744,79944,10908956
23,5,12260604,83612652,80232,11610156
23,3,11895388,84106540,79884,11481484
23,2,12136336,81712688,79792,13634388
