moment,node,buffer_cache,free,map,used
1,6,10287864,94849716,60100,2345832
1,5,10267624,94837436,60144,2378352
1,3,10209612,94876056,60004,2397744
1,4,10132668,94996272,59768,2354472
1,2,10428704,94786176,59972,2268532
1,7,10127604,95050308,59956,2305500
1,1,10150016,95036408,60096,2296988
2,6,10594500,94285148,72628,2603764
2,5,10267628,94838180,60156,2377604
2,3,10209628,94877980,60004,2395804
2,4,10132680,94998104,60092,2352628
2,2,10603588,94616292,59964,2263532
2,7,10170856,95007124,59956,2305432
2,1,10150024,95037856,60096,2295532
3,6,10594904,93489892,72800,3398616
3,5,10442392,94149036,72808,2891984
3,4,10307308,94335544,72784,2840560
3,3,10384168,94194664,72588,2904580
3,2,10778792,93944004,72524,2760616
3,7,10345496,94295508,72588,2842408
3,1,10324676,94350720,72692,2808016
4,6,10594960,93003940,72812,3884512
4,5,10442444,93906224,72832,3134744
4,4,10307324,94066972,72788,3109116
4,2,10778828,93698668,72548,3005916
4,3,10450512,93690608,74616,3342292
4,7,10345524,94001252,72620,3136636
4,1,10391236,93753528,74948,3338648
5,6,10797616,91812788,79572,4873008
5,5,10577864,93103316,77388,3802232
5,4,10445236,93275548,77324,3762628
5,2,10914324,92924520,77096,3644568
5,3,10522680,92913848,77132,4046884
5,7,10481120,93191548,77172,3810744
5,1,10463320,93084176,77244,3935916
6,6,10803480,87670912,82816,9009020
6,5,10839328,90080192,80068,6563892
6,4,10758096,90142948,80148,6582368
6,2,11645824,89311428,79872,6526160
6,3,11279492,88772108,80020,7431812
6,7,11461520,87103904,80056,8917988
6,1,11299864,89155752,79840,7027796
7,5,11950400,87099512,80068,8433500
7,6,12269960,84907112,82816,10306340
7,2,12774676,85757232,79872,8951504
7,4,11816872,86535736,80148,9130804
7,3,11894792,86800160,80020,8788460
7,7,12439412,86087200,80056,8956800
7,1,12030440,87257224,79840,8195748
8,5,11948168,86371252,80068,9163992
8,6,12266284,84686864,82816,10530264
8,2,12772156,85383228,79872,9328028
8,4,11812064,85104524,80148,10566824
8,7,12437188,86121432,80056,8924792
8,3,11889040,86701560,80020,8892812
8,1,12025264,86335504,79840,9122644
9,5,11948176,86371904,80068,9163332
9,6,12266484,84687392,82816,10529536
9,2,12772196,85382388,79872,9328828
9,4,11812092,85104480,80148,10566840
9,7,12437204,86121536,80056,8924672
9,3,11889048,86701932,80020,8892432
9,1,12024936,86334876,79840,9123600
10,5,11948068,86371180,80068,9164164
10,6,12266492,84686776,82816,10530144
10,2,12772332,85382240,79872,9328840
10,4,11812108,85102656,79980,10568648
10,7,12437204,86119404,80056,8926804
10,3,11889048,86701136,80020,8893228
10,1,12024948,86333064,79840,9125400
11,5,11948076,86372280,80068,9163056
11,6,12266500,84688116,82816,10528796
11,2,12772348,85382320,79872,9328744
11,4,11812124,85102316,80148,10568972
11,7,12437212,86118968,80056,8927232
11,3,11889060,86702200,80020,8892152
11,1,12024964,86333392,79840,9125056
12,5,11948096,86371876,80068,9163440
12,6,12266520,84686716,82816,10530176
12,2,12772368,85382204,79872,9328840
12,4,11812136,85101264,79980,10570012
12,7,12437220,86117792,80056,8928400
12,3,11889072,86701972,80020,8892368
12,1,12024980,86332836,79840,9125596
13,5,11948224,86371864,80068,9163324
13,6,12266540,84686912,82816,10529960
13,2,12772524,85382596,80060,9328292
13,4,11812256,85101436,80148,10569720
13,7,12437320,86117604,80056,8928488
13,3,11889220,86702036,80020,8892156
13,1,12025132,86332388,79840,9125892
14,5,11948252,86371464,80068,9163696
14,6,12266620,84687056,82816,10529736
14,2,12772572,85382464,79872,9328376
14,4,11812308,85100772,80224,10570332
14,7,12437372,86117652,80056,8928388
14,3,11889236,86701232,80020,8892944
14,1,12025160,86332864,79840,9125388
15,5,11948252,86371808,80068,9163352
15,6,12266708,84688260,82816,10528444
15,2,12772572,85383084,79872,9327756
15,4,11812316,85100936,80148,10570160
15,7,12437380,86118692,80052,8927340
15,3,11889236,86701264,80020,8892912
15,1,12025168,86332896,79840,9125348
16,5,11948252,86372800,80068,9162360
16,6,12266708,84685192,82816,10531512
16,2,12772580,85382312,79872,9328520
16,4,11812316,85100700,80148,10570396
16,7,12437380,86118656,80056,8927376
16,3,11889244,86701144,80020,8893024
16,1,12025176,86329388,79840,9128848
17,5,11948260,86372796,80068,9162356
17,6,12266716,84686020,82816,10530676
17,2,12772588,85381704,79872,9329120
17,4,11812324,85100836,80148,10570252
17,7,12437388,86119032,80056,8926992
17,3,11889252,86701084,80020,8893076
17,1,12025184,86329608,79840,9128620
18,5,10587068,87715576,80068,9180768
18,6,10810816,84952016,82816,11720580
18,2,10919168,87243424,79872,9320820
18,4,10448276,86349620,80148,10685516
18,7,10485316,88088976,80056,8909120
18,3,10524824,88075460,80020,8883128
18,1,10465188,87933100,79840,9085124
19,5,10617008,87571560,80068,9294844
19,6,10841444,84204404,82816,12437564
19,2,10921944,87059396,79872,9502072
19,4,10451832,86274756,80148,10756824
