moment,node,buffer_cache,free,map,used
1,2,11524644,93557944,60008,2400824
1,3,11319904,93722592,60044,2440916
1,5,11693784,93302572,60180,2487056
1,4,11363488,93609864,60112,2510060
1,1,11202368,93829920,60172,2451124
1,6,11751396,93233460,60340,2498556
1,7,11807648,93219200,59716,2456564
2,2,11656756,93435556,60008,2391100
2,3,11494664,93427704,72364,2561044
2,5,11693792,93304108,60180,2485512
2,4,11406760,93577128,60112,2499524
2,1,11202452,93831500,60172,2449460
2,6,11926836,93062400,60244,2494176
2,7,11807660,93220152,60012,2455600
3,2,11831212,93118796,72252,2533404
3,3,11494552,92912888,72692,3075972
3,5,11868308,92974496,72932,2640608
3,4,11581252,93260516,72880,2641644
3,1,11376992,93501696,72476,2604724
3,6,12101336,92746660,72756,2635416
3,7,11982148,92917256,72280,2584008
4,2,11898024,92142380,74648,3443008
4,3,11494788,91997888,72800,3990736
4,5,11868436,92350376,72876,3264600
4,4,11581480,92587784,72772,3314148
4,1,11443652,92796824,72748,3242936
4,6,12101492,92090628,72772,3291292
4,7,11982308,92221456,72640,3279648
5,2,11967820,91680476,77128,3835116
5,3,11694436,90827940,79564,4961036
5,5,12001548,91602720,77412,3879144
5,4,11714696,91878924,77292,3889792
5,1,11514140,92027168,77284,3942104
5,6,12237744,91335768,77292,3909900
5,7,12115428,91488824,77144,3879160
6,3,12054384,87481700,82740,7947328
6,2,12594024,88573796,80016,6315592
6,5,12628152,89035984,80268,5819276
6,4,12343520,89215012,80004,5924880
6,1,12180924,88861744,80092,6440744
6,6,12863416,88189672,80060,6430324
6,7,13367844,88055424,80044,6060144
7,2,13219864,86560416,80016,7703132
7,3,12637644,85018184,82740,9827584
7,5,12630364,88073424,80268,6779624
7,4,12344244,88559124,80004,6580044
7,1,12576964,87814104,80092,7092344
7,6,13489032,86525288,80060,7469092
7,7,13369852,87478212,80108,6635348
8,2,13219868,86566880,80016,7696664
8,3,12637652,85018744,82740,9827016
8,5,12630380,88088952,80268,6764080
8,4,12344300,88559648,80004,6579464
8,1,12576984,87814684,80092,7091744
8,6,13489052,86524652,80060,7469708
8,7,13369860,87478724,80044,6634828
9,2,13219900,86565984,80016,7697528
9,3,12637688,85017884,82740,9827840
9,5,12630396,88088788,80268,6764228
9,4,12344312,88558600,79836,6580500
9,1,12577016,87812932,80092,7093464
9,6,13489076,86523276,80060,7471060
9,7,13369872,87478272,79840,6635268
10,2,13219928,86566824,80016,7696660
10,3,12637704,85018320,82928,9827388
10,5,12630396,88087696,80268,6765320
10,4,12344312,88558680,79836,6580420
10,1,12577016,87813972,80092,7092424
10,6,13489080,86523464,80060,7470868
10,7,13369888,87478188,80044,6635336
11,2,13219948,86566912,80016,7696552
11,3,12637716,85017396,82932,9828300
11,5,12630408,88087552,80268,6765452
11,4,12344328,88558388,79808,6580696
11,1,12577024,87813648,80092,7092740
11,6,13489096,86523916,80060,7470400
11,7,13369896,87477624,79860,6635892
12,2,13219976,86567272,80016,7696164
12,5,12630424,88087524,80268,6765464
12,3,12637748,85017664,82740,9828000
12,4,12344344,88558704,80004,6580364
12,1,12577048,87813944,80092,7092420
12,6,13489124,86524088,80060,7470200
12,7,13369912,87477448,80044,6636052
13,2,11989864,87800632,80016,7692916
13,3,11707220,85665520,82740,10110672
13,5,12012704,88080156,80268,7390552
13,4,11740708,88548284,80004,7194420
13,1,11517048,88182668,80100,7783696
13,6,12247080,87774620,80060,7461712
13,7,12121232,88488100,80044,6874080
14,2,12019160,87442488,80056,8021764
14,3,11708056,85228196,82740,10547160
14,1,11521656,88118272,80100,7843484
14,5,12012028,87967032,80268,7504352
14,4,11768328,88419100,80004,7295984
14,6,12247244,87582464,80060,7653704
14,7,12125168,88341224,79932,7017020
15,2,12011640,85794880,80228,9676892
15,3,11699828,83003588,83004,12779996
15,1,11513904,85791752,80292,10177756
15,5,12005288,86400412,80484,9077712
15,4,11761636,86877940,80176,8843836
15,6,12238408,84313648,80232,10931356
15,7,12119088,87168364,80216,8195960
16,2,12013332,84393504,80228,11076576
16,3,11700740,80397932,83004,15384740
16,1,11514472,84805568,80292,11163372
16,5,12006044,83808420,80484,11668948
16,4,11763392,84261040,80176,11458980
16,6,12239136,82339688,80232,12904588
16,7,12119636,86138544,80216,9225232
17,2,12015556,82183132,80228,13284724
17,3,11701656,78629328,83004,17152428
17,1,11515320,82973196,80292,12994896
17,5,12007016,82671016,80484,12805380
17,4,11765648,82793616,80176,12924148
17,6,12240152,81114840,80232,14128420
17,7,12120312,84325780,80028,11037320
18,2,12015196,81740512,80228,13727704
18,3,11700232,77357692,83004,18425488
18,1,11514216,81179636,80292,14789560
18,4,11765220,82751824,80176,12966368
18,5,12005656,81617020,80484,13860736
18,6,12238796,80341376,80344,14903240
18,7,12119368,81778008,80216,13586036
19,2,12017220,79843872,80228,15622320
19,3,11701224,75589112,83004,20193076
19,1,11515012,81051236,80292,14917164
19,4,11767276,81208732,80176,14507404
19,5,12006580,80579956,80484,14896876
19,6,12239700,79265164,80232,15978548
19,7,12120084,81490964,80216,13872364
20,2,12019116,77967700,80228,17496596
20,3,11702056,75356612,83004,20424744
20,1,11515640,80413120,80292,15554652
20,4,11769228,80848368,80176,14865816
20,5,12007372,79559764,80484,15916276
20,6,12240616,78787832,80232,16454964
20,7,12120592,80331420,80216,15031400
21,2,12018776,77725808,80228,17738828
21,3,11700724,74793304,83004,20989384
21,1,11514532,78782104,80292,17186776
21,4,11768808,80041652,80176,15672952
21,5,12006048,78347616,80484,17129748
21,6,12239188,78618356,80232,16625868
21,7,12119700,80337452,80216,15026260
22,2,12021096,77653152,80228,17809164
22,1,11515376,78120892,80292,17847144
22,3,11701716,74018160,83004,21763536
22,4,11771196,79470012,80176,16242204
22,5,12007056,78086100,80484,17390256
22,6,12240148,77569176,80232,17674088
22,7,12120368,80141208,80216,15221836
23,2,12022664,77503112,80228,17957636
23,1,11515952,77776092,80292,18191368
23,3,11702528,73297024,83004,22483860
23,4,11772804,77683216,80176,18027392
23,5,12007744,76986604,80484,18489064
23,6,12241004,76744896,80232,18497512
23,7,12120864,78116276,80216,17246272
24,2,12022488,76601800,80228,18859124
24,1,11514840,77761984,80292,18206588
24,3,11700984,72360984,83004,23421444
24,4,11772564,77665928,80176,18044920
24,5,12006360,76960784,80484,18516268
24,6,12239372,75237220,80232,20006820
24,7,12119900,78137460,80216,17226052
25,2,12024336,76583860,80228,18875216
25,1,11515416,77554912,80292,18413084
25,3,11701756,71952568,83004,23829088
25,4,11774436,77481604,80176,18227372
25,5,12007096,76687352,80484,18788964
25,6,12240300,75220544,80232,20022568
25,7,12120408,78121272,80060,17241732
26,2,12026252,76330864,80228,19126296
26,3,11702620,71944264,83004,23836528
26,1,11516180,77533348,80292,18433884
26,4,11776392,77384600,80176,18322420
26,5,12007984,76696404,80484,18779024
26,6,12241068,75209104,80232,20033240
26,7,12121076,77839184,80216,17523152
27,2,12028240,76313240,80228,19141932
27,1,11516820,77155236,80292,18811356
27,3,11703576,71959056,83004,23820780
27,5,12008820,76068092,80484,19406500
27,4,11778440,76752900,80176,18952072
27,6,12242032,74864920,80232,20376460
27,7,12121620,77833740,80016,17528052
28,2,12027560,76022992,80228,19432860
28,1,11515424,76665712,80292,19302276
28,3,11701832,70474484,83004,25307096
28,5,12007164,75885968,80484,19590280
28,4,11777688,76556328,80176,19149396
28,6,12240324,74699072,80232,20544016
28,7,12120424,77831412,80216,17531576
29,2,12029904,76017408,80228,19436100
29,1,11516280,75484508,80292,20482624
29,3,11702888,69957132,83004,25823392
29,5,12008156,75873572,80484,19601684
29,4,11780072,76541624,80176,19161716
29,6,12241320,74709200,80232,20532892
29,7,12121160,77835876,80028,17526376
30,2,12029636,75475024,80228,19978752
30,3,11701596,69898508,83004,25883308
30,1,11515188,75233536,80292,20734688
30,5,12006824,75320272,80484,20156316
30,4,11779704,75898492,80176,19805216
30,6,12239988,74689308,80232,20554116
30,7,12120236,77834208,80216,17528968
31,2,12031888,74724120,80228,20727404
