moment,node,buffer_cache,free,map,used
1,5,8113136,97099400,60088,2270876
1,3,8535292,96705312,59956,2242808
1,2,8422188,96910296,59932,2150928
1,4,8510728,96710664,59940,2262020
1,6,8155076,97103392,60048,2224944
1,1,8270628,97040160,60072,2172624
1,7,8068736,97210424,59940,2204252
2,5,8288224,96935360,60104,2259828
2,3,8578544,96662608,59956,2242260
2,2,8422280,96912440,59908,2148692
2,1,8577260,96485264,72608,2420888
2,4,8510728,96712072,59940,2260612
2,6,8155168,97104756,60048,2223488
2,7,8068744,97211404,59940,2203264
3,5,8463196,96217964,72808,2802252
3,3,8753312,95950664,72688,2779436
3,1,8577600,95694380,72752,3211432
3,2,8596920,96218664,72464,2667828
3,4,8685376,96026072,72604,2771964
3,6,8329752,96378708,72588,2774952
3,7,8243520,96499140,72568,2740752
4,5,8529788,95665112,75072,3288512
4,3,8819920,95331932,74832,3331560
4,1,8577620,95225380,72752,3680412
4,2,8596948,95978840,72484,2907624
4,4,8685392,95763036,72608,3034984
4,6,8329908,96125736,72616,3027768
4,7,8243548,96224436,72604,3015428
5,5,8599040,94828336,77356,4056036
5,3,8888644,94509964,77096,4084804
5,1,8778776,93848724,79544,4855912
5,2,8731044,95066904,77024,3685464
5,6,8464428,95242944,77120,3776040
5,4,8820896,94610880,77116,4051636
5,7,8377768,95312448,77152,3793196
6,5,8821732,94381844,80096,4279836
6,3,9126364,93933356,79920,4423692
6,1,9018300,92637320,82516,5827792
6,2,8984620,94150836,80000,4347956
6,4,9074472,93958716,79928,4450224
6,6,8718464,94532684,80000,4232264
6,7,8694096,94223508,80008,4565808
7,5,8839672,94027488,80092,4616252
7,1,9020284,91752888,82516,6710240
7,3,9130812,93326976,79920,5025624
7,2,8986544,93288176,80000,5208692
7,6,8734992,94026216,80000,4722204
7,4,9076068,93547160,79928,4860184
7,7,8695536,93384036,80008,5403840
8,5,8871132,93362060,80328,5250220
8,3,9135288,92859896,80148,5488228
8,1,9027696,91179044,82868,7276672
8,2,8992552,93027416,80224,5463444
8,6,8765480,93469880,80216,5248052
8,4,9080240,93101216,80140,5301956
8,7,8701260,93223272,80100,5558880
9,5,8869320,92436916,80328,6177176
9,1,9020152,90249056,82868,8214204
9,3,9128900,91481408,80148,6873104
9,4,9075680,91928752,80140,6478980
9,2,8986124,91751900,80224,6745388
9,6,8765592,92781600,80216,5936220
9,7,8695880,91980404,80188,6807128
10,3,9128100,90468808,80148,7886504
10,5,8872796,91391644,80328,7218972
10,1,9019316,88376840,82868,10087256
10,4,9075144,90984180,80140,7424088
10,2,8985456,90600164,80224,7897792
10,6,8768888,91955892,80216,6758632
10,7,8695216,91040832,80188,7747364
11,3,9130264,89320476,80148,9032672
11,5,8877848,90446288,80328,8159276
11,1,9021708,86506396,82868,11955308
11,4,9076564,89800656,80140,8606192
11,2,8987420,89517224,80224,8978768
11,6,8774252,91476984,80216,7232176
11,7,8697020,90249296,80188,8537096
12,3,9128588,89061512,80148,9293312
12,5,8880104,89879308,80328,8724000
12,1,9019704,85044848,82868,13418860
12,4,9075392,89603372,80140,8804648
12,2,8985752,88870712,80224,9626948
12,6,8776760,90454488,80216,8252164
12,7,8695584,89586532,80188,9201296
13,3,9130728,88625804,80148,9726880
13,5,8886540,89290256,80328,9306616
13,1,9022248,83856332,82868,14604832
13,4,9076936,88710720,80140,9695756
13,2,8987900,88304600,80224,10190912
13,6,8781304,89672532,80216,9029576
13,7,8697412,88790716,80188,9995284
14,3,9129176,88056476,80148,10297760
14,5,8889264,88715932,80328,9878216
14,1,9020396,83214704,82868,15248312
14,4,9075816,88450900,80140,9956696
14,2,8986380,87407196,80224,11089836
14,6,8785196,89427324,80216,9270892
14,7,8696132,88493256,80188,10294024
15,3,9131428,87249056,80148,11102928
15,5,8895592,88318132,80328,10269688
15,1,9023040,82526592,82868,15933780
15,2,8988572,86174492,80224,12320348
15,4,9077440,87635128,80140,10770844
15,6,8791012,89180404,80216,9511996
15,7,8698048,88288888,80188,10496476
16,3,9128692,86541532,80148,11813188
16,5,8896212,87050172,80328,11537028
16,1,9019852,81127952,82868,17335608
16,4,9076296,87629780,80140,10777336
16,2,8985960,86151680,80224,12345772
16,6,8792824,87734332,80216,10956256
16,7,8695712,87082392,80188,11705308
17,3,9130912,86054060,80148,12298440
17,5,8903052,86730608,80328,11849752
17,1,9022428,80331436,82868,18129548
17,4,9077156,86919160,80140,11487096
17,2,8988164,85338508,80224,13156740
17,6,8798304,87711280,80216,10973828
17,7,8697500,86972108,80188,11813804
18,3,9132888,84842908,80148,13507616
18,5,8865392,86540136,80328,12077884
18,1,9024736,79367376,82868,19091300
18,4,9078572,86900700,80140,11504140
18,2,8990112,84472724,80224,14020576
18,6,8803448,86971664,80216,11708300
18,7,8699196,86360056,80188,12424160
