moment,node,recv_packets,send_bytes,send_packets
1,2,91,42428,88
1,3,45,25586,48
1,5,71,37500,73
1,6,57,27180,60
1,4,57,30645,59
1,7,38,11414,42
1,1,36,11089,37
2,2,11027,271313237,10457
2,3,1523,187342,1577
2,5,13,4475,19
2,6,4830,321162,4448
2,4,4872,197783,2915
2,7,23,5543,28
2,1,3700,88942157,3371
3,5,5052,211530,3038
3,2,3566,135644230,3585
3,3,6014,133550973,4924
3,6,7669,406345249,8927
3,4,228,104264,264
3,7,5645,263400,2931
3,1,4453,44535423,3189
4,5,924,74005,580
4,2,106,36409,108
4,3,142,31144,133
4,6,103,43894,104
4,4,71,19692,76
4,7,208,128835,203
4,1,1076,142099,681
5,5,6661,4591480,4202
5,3,4917,2507403,2590
5,2,6091,2092846,3416
5,6,7677,3608336,4447
5,4,6819,5398423,4396
5,7,7487,3620357,3722
5,1,6363,5479525,4069
6,3,8712,466244,4144
6,5,7708,435408,2818
6,2,7861,1142287,3689
6,6,9679,410445,4222
6,4,5239,321125,2073
6,7,6667,326152,2897
6,1,6898,632205,2807
7,5,2135,142599,1102
7,3,1835,111979,808
7,2,6251,263373,2633
7,6,106,41552,127
7,4,1226,88263,575
7,7,6055,460889,2617
7,1,618,85637,326
8,3,33925,1010937643,29189
8,5,30221,1123682370,28719
8,2,51992,1156144921,44081
8,6,35330,713021299,26092
8,4,31468,721651365,25093
8,7,44966,1990505923,44589
8,1,30842,1156370124,30683
9,3,8248,578145803,9663
9,5,10087,752602517,12344
9,2,16362,867480992,17595
9,6,16057,299990935,13321
9,4,31297,581220597,24113
9,7,8513,463852582,9398
9,1,11575,433091243,11198
10,3,30,71401,35
10,5,38,138148,48
10,2,45,118329,62
10,6,36,8257,46
10,4,39,9403,48
10,7,31,161802,38
10,1,33,8493,40
11,3,31,6408,33
11,5,20,5375,25
11,2,26,7210,33
11,6,37,7836,39
11,4,19,75632,25
11,7,21,61757,26
11,1,23,4760,27
12,3,13,5508,21
12,5,18,6114,24
12,2,14,5507,21
12,6,13,5174,19
12,4,23,7554,33
12,7,20,6194,25
12,1,21,86943,29
13,3,20,6654,26
13,5,23,6931,32
13,2,26,6430,30
13,6,22,7429,29
13,7,21,5742,24
13,4,15,6135,24
13,1,18,4549,24
14,5,22,5852,27
14,3,19,5619,25
14,2,21,6216,27
14,6,14,5756,21
14,4,27,6613,33
14,7,24,6871,32
14,1,31,180669,39
15,5,15,5552,22
15,3,21,7132,28
15,2,20,6760,28
15,6,27,7465,31
15,4,16,6263,25
15,7,20,6247,26
15,1,18,5396,25
16,5,22,1108394,48
16,3,21,31559,27
16,2,14,4943,19
16,6,14,5751,21
16,4,21,7044,30
16,7,17,447015,30
16,1,19,6528,25
17,5,15,5486,21
17,3,18,6429,23
17,2,20,6679,27
17,6,29,7902,35
17,4,12,5208,19
17,7,21,6278,27
17,1,18,5354,25
18,5,17,6114,24
18,3,14,5142,22
18,2,13,5508,20
18,6,12,5080,18
18,4,21,7409,30
18,7,18,6180,25
18,1,17,6115,24
19,5,16,6049,23
19,3,19,6653,26
19,2,18,6068,24
19,6,23,7509,30
19,4,15,6121,24
19,7,16,5552,22
19,1,15,5059,21
20,5,15,5483,21
20,3,15,5036,20
20,2,13,5468,20
20,6,13,5676,20
20,4,21,6695,28
20,7,18,6180,25
20,1,17,5803,25
21,5,17,6116,24
21,3,20,6788,27
21,2,20,6303,27
21,6,22,6931,28
21,4,22,7176,31
21,7,22,6344,28
21,1,18,6122,25
22,5,15,43111,22
22,3,12,4996,19
22,2,17,5159,21
22,6,14,5770,21
22,4,23,7333,31
22,7,17,5701,24
22,1,16,5533,22
23,5,38,10217,48
23,3,19,6536,25
23,2,27,6859,31
23,6,43,38729,48
23,4,40,9264,42
23,7,24,7004,29
23,1,36,8046,41
24,5,18,6156,25
24,3,14,5396,20
24,2,15,8332,22
24,6,19,5399,23
24,4,22,7634,33
24,7,16,6114,24
24,1,17,8753,24
25,5,7489,1648734,4274
25,3,6042,1587210,2957
25,2,7640,2324619,4255
25,6,9354,2536751,4982
25,4,5339,1993685,2931
25,7,6325,3047243,3466
25,1,7538,1991588,4171
26,5,17688,41265899,18674
26,2,15589,53736927,16320
26,3,13707,39130680,14913
26,6,19084,65244111,20620
26,7,20762,51996605,20573
26,4,14798,51293477,16111
26,1,16588,48620439,17697
27,3,13301,53778100,14201
27,5,14549,33229483,15080
27,2,15001,80538595,15310
27,6,19254,91311442,19751
27,7,19370,69482328,18733
27,4,14078,64454219,14729
27,1,17759,45174022,18037
28,3,7853,118802449,7511
28,5,8043,106882682,7891
28,2,8886,169480243,8540
28,6,9912,194940727,9540
28,7,8570,103787165,7063
28,4,7221,131395101,7438
