moment,node,recv_packets,send_bytes,send_packets
1,6,68,23536,71
1,5,68,32563,66
1,3,69,27239,67
1,4,48,13428,48
1,2,72,19012,69
1,7,72,32445,70
1,1,71,38680,67
2,6,5901,393811,5037
2,5,37,66188,45
2,3,18,6087,23
2,4,15,4556,21
2,2,12307,224825676,11227
2,7,1817,119010,1630
2,1,17,4512,23
3,6,251,96695,277
3,5,5058,338182,2884
3,4,4820,185596,2506
3,3,4987,190368,2741
3,2,10911,766382836,13741
3,7,5422,88857724,3709
3,1,4838,182415,2658
4,6,170,49067,165
4,5,218,109593,213
4,4,91,40296,98
4,2,117,49383,115
4,3,985,79581,629
4,7,125,56918,125
4,1,1188,151218,746
5,6,6554,3079363,3968
5,5,4031,3128622,2476
5,4,6444,4897338,4131
5,2,4169,2063123,2332
5,3,6757,5064378,3837
5,7,7271,1806213,3215
5,1,6107,4198005,3466
6,6,10295,464415,4543
6,5,4933,203869,1837
6,4,3447,188372,1441
6,2,8166,475849,3671
6,3,4658,787735,1911
6,7,11021,987473,4450
6,1,4605,282146,1874
7,5,12394,368732412,10535
7,6,10791,200609996,8245
7,2,13081,400627348,11277
7,4,15398,201038560,11195
7,3,8635,200647663,7301
7,7,10289,805314197,13170
7,1,15684,111242505,10201
8,5,30009,536045046,23749
8,6,22646,1103549555,22112
8,2,15387,1002448007,19167
8,4,46164,504086932,34611
8,7,16623,1199485162,22418
8,3,18521,802405254,18920
8,1,34952,993911169,28485
9,5,19,5977,25
9,6,18,6837,28
9,2,19,5998,27
9,4,19,70411,29
9,7,19,6578,27
9,3,19,5462,26
9,1,18,5989,24
10,5,12,5457,20
10,6,20,6874,28
10,2,16,5534,23
10,4,19,6219,26
10,7,13,5382,20
10,3,18,5371,25
10,1,17,5303,24
11,5,18,5982,24
11,6,24,7405,32
11,2,15,5721,21
11,4,12,4828,18
11,7,17,5595,23
11,3,18,6831,25
11,1,24,6571,28
12,5,14,4975,21
12,6,22,7445,30
12,2,17,6757,24
12,4,19,6505,26
12,7,18,6152,25
12,3,21,5660,25
12,1,19,6160,26
13,5,20,6626,27
13,6,16,6153,24
13,2,25,5737,30
13,4,14,5501,21
13,7,17,6027,24
13,3,26,215360,34
13,1,20,6226,27
14,5,17,5105,22
14,6,24,7602,32
14,2,17,5429,22
14,4,24,6563,29
14,7,16,36602,21
14,3,20,6156,26
14,1,18,5598,24
15,5,20,6709,28
15,6,21,7159,30
15,2,18,6171,26
15,4,16,5548,22
15,7,23,5949,28
15,3,19,5670,25
15,1,19,5827,26
16,5,20,5603,25
16,6,33,7451,37
16,2,16,5936,23
16,4,25,6710,29
16,7,20,258243,36
16,3,19,6168,26
16,1,23,5715,29
17,5,19,6093,25
17,6,20,6854,28
17,2,22,5859,27
17,4,14,4969,20
17,7,16,5791,23
17,3,20,6559,28
17,1,18,5598,24
18,5,7468,10310371,4649
18,6,8741,6122391,6256
18,2,6960,5278025,4835
18,4,5424,5959947,4090
18,7,6491,4233497,4316
18,3,7230,4901599,4147
18,1,8558,4856243,5494
19,5,17941,73993287,18917
19,6,27868,44256391,29924
19,2,19522,34228019,20505
19,4,15196,48285223,16613
19,7,15318,28024808,15770
19,3,13196,37466460,14381
19,1,19229,34654167,20425
20,6,17696,105253715,18404
20,5,12732,95905695,13098
20,2,13487,92942398,13783
20,4,12535,90671486,13058
20,7,12358,75735165,11902
20,3,10042,50324500,10360
20,1,15560,78870347,15502
21,6,4507,46826671,4321
21,5,4792,75133130,4685
21,2,5000,88024551,4817
21,7,5592,66107744,4735
21,4,5274,105503036,5083
21,3,4314,38176581,4056
21,1,4482,55201180,4207
22,5,7540,123152920,7252
22,6,8751,121846658,8288
22,2,7023,92714138,6759
22,7,9079,88927428,7004
22,4,7194,85557583,6785
22,3,7784,115387921,7236
22,1,7794,122549192,7597
23,6,7427,147077249,7037
23,5,6598,110575711,6246
23,2,5773,83563532,5477
23,7,6869,62857180,5371
23,4,6101,104709122,5758
23,3,5588,65690076,5065
23,1,5564,78244202,5118
24,6,6558,76105762,6376
24,5,5998,85170541,5866
24,2,4789,42724559,4454
24,7,6503,88614548,5423
24,4,5427,80509950,5084
24,3,5373,77956109,5086
24,1,5234,59024350,4844
25,6,5227,76530421,4906
25,5,4675,89601552,4501
25,2,4810,80491523,4529
25,7,6004,67443750,4801
25,4,4401,55685186,3784
25,3,3596,43012810,3335
25,1,3687,33810363,3398
26,6,10778,173034685,9719
26,5,8398,117493189,7787
26,2,8968,167650183,8530
26,4,8882,168323860,7909
26,7,10365,135120601,8234
26,3,7222,74665085,6428
26,1,8984,156014344,8066
27,6,5549,109577970,5070
27,5,4387,72721852,4147
27,2,4504,84713251,4248
27,4,4123,50835496,3564
27,7,5613,78596344,4508
27,3,3411,17461775,2952
27,1,4363,67200956,3926
28,6,11362,168243541,10331
28,5,9736,151546469,9028
28,2,9208,155075538,8762
28,4,8354,93699840,7414
28,7,11673,143671486,9271
28,3,8842,109659186,8066
28,1,9068,112027068,8144
29,6,5723,109832947,5167
29,5,4194,64912152,3807
29,2,4850,96056416,4687
29,4,4397,75845860,3918
29,7,5936,87754964,4654
29,3,3903,59199546,3542
29,1,3809,30192874,3272
30,6,5912,106086395,5305
30,5,4517,77234857,4124
30,2,4633,84329034,4267
30,4,4363,89481265,3923
30,7,4585,38803294,3573
30,3,3250,8751753,2844
30,1,4155,46340880,3695
31,6,11420,193654757,10519
31,5,9343,152505493,8510
31,2,8880,129810745,8196
