moment,node,recv_packets,send_bytes,send_packets
1,2,830,44658962,1010
1,3,55,27054,61
1,5,56,26178,59
1,4,36,23362,40
1,1,38,47593,46
1,6,44,11117,47
1,7,60,28021,58
2,2,8521,135923079,8152
2,3,4977,203488,2951
2,5,16,5929,23
2,4,2288,44493207,2565
2,1,27,6561,36
2,6,9866,180457093,9466
2,7,34,10863,38
3,2,3406,135585862,3528
3,3,186,89444,219
3,5,5021,199191,2922
3,4,5889,133340880,4830
3,1,4971,261977,2939
3,6,7139,450981442,9055
3,7,5491,196738,2852
4,2,1161,106336,770
4,3,161,59251,168
4,5,120,32397,127
4,4,222,84650,228
4,1,888,90363,590
4,6,134,122875,145
4,7,109,27294,115
5,2,5188,399585,2836
5,3,6020,375188,3275
5,5,4979,263399,2550
5,4,4643,546645,2498
5,1,5483,479389,2917
5,6,6091,524780,3173
5,7,6655,254855,2758
6,3,8821,2534752,3816
6,2,9551,3491956,3874
6,5,6820,1849438,2695
6,4,5544,1811302,2220
6,1,6481,4868338,2383
6,6,7884,3317897,3162
6,7,7073,2250639,2381
7,2,30332,899425049,27346
7,3,25816,578603334,21686
7,5,19362,513898143,16491
7,4,16665,513877706,14773
7,1,23779,962281798,22783
7,6,31637,898973386,26731
7,7,19712,898483301,19475
8,2,22,14342,34
8,3,39,10548,71
8,5,19,6494,28
8,4,16,93509,26
8,1,25,56889,46
8,6,34,215083,59
8,7,23,6700,33
9,2,32,7922,47
9,3,25,8069,34
9,5,20,6325,28
9,4,32,6988,37
9,1,16,5465,22
9,6,16,6002,23
9,7,19,6008,29
10,2,16,6106,25
10,3,27,6346,32
10,5,22,6141,28
10,4,15,5162,23
10,1,16,5914,23
10,6,17,5960,23
10,7,19,5649,24
11,2,22,6010,28
11,3,29,7957,36
11,5,17,5693,25
11,4,20,7112,27
11,1,18,6119,25
11,6,20,6113,24
11,7,28,6645,33
12,2,17,6036,24
12,5,19,7082,27
12,3,21,7440,30
12,4,14,5016,21
12,1,22,395941,31
12,6,16,5530,23
12,7,19,6077,25
13,2,15632,18532631,13343
13,3,15096,20637281,13210
13,5,13928,17223442,12166
13,4,15629,36315436,14194
13,1,13429,16666424,11737
13,6,15522,17220344,13084
13,7,10986,12501904,9325
14,2,19786,32453051,21155
14,3,18206,36524291,19428
14,1,16480,27148081,17811
14,5,16039,28509421,17664
14,4,19511,61797175,21235
14,6,17804,28321335,18938
14,7,13017,21249886,14182
15,2,10105,123664157,9888
15,3,13154,188249158,12758
15,1,10969,145796304,10714
15,5,10923,151398483,10711
15,4,9712,106832163,9541
15,6,10333,134455272,10034
15,7,12634,134179918,10858
16,2,6026,70653145,5778
16,3,8337,144212160,8095
16,1,5115,47294494,4892
16,5,6155,79287787,5832
16,4,6787,100196108,6614
16,6,6264,105927846,5878
16,7,7484,70651907,6029
17,2,8049,98728649,7506
17,3,10580,185665218,9777
17,1,8323,109989271,7808
17,5,8049,94634575,7643
17,4,8174,86472404,7784
17,6,8847,170284996,8531
17,7,11208,132440864,9232
18,2,7110,90659732,6715
18,3,9698,163246296,9205
18,1,7046,93014800,6695
18,4,6463,56764402,6234
18,5,6768,74565502,6422
18,6,6398,72399886,5976
18,7,7955,49804186,6347
19,2,5749,82872727,5250
19,3,7063,98177471,6438
19,1,6297,100897523,5879
19,4,5854,73257706,5517
19,5,5672,84606936,5245
19,6,5330,77933471,5021
19,7,6844,74190555,5198
20,2,8437,87445397,7642
20,3,10401,161406391,9398
20,1,8317,126075087,7686
20,4,9473,147191525,8759
20,5,8748,132734286,8042
20,6,9352,162165587,8772
20,7,10077,110218286,7649
21,2,6621,75993706,6025
21,3,8410,119838285,7897
21,1,6145,57611695,5697
21,4,6939,97519156,6467
21,5,6776,94473241,6327
21,6,6037,76359232,5643
21,7,7889,80684222,6292
22,2,7977,95594025,7070
22,1,7809,101417536,7295
22,3,10310,178653925,9314
22,4,8729,118760636,7980
22,5,8687,145082499,8002
22,6,8584,130403810,7801
22,7,10284,122920466,7701
23,2,5664,98715148,5138
23,1,5386,68326622,5011
23,3,7352,132670997,6749
23,4,6013,68151587,5517
23,5,5661,88804366,5138
23,6,5952,95727787,5382
23,7,7391,76012798,5451
24,2,7191,104396924,6616
24,1,6116,63523632,5649
24,3,7992,93177206,7426
24,4,7251,82251241,6728
24,5,7207,110431703,6564
24,6,6347,54149468,5902
24,7,8346,127237034,6918
25,2,8315,114306699,7530
25,1,7841,127016350,7118
25,3,9546,111589973,8397
25,4,8912,156419453,8068
25,5,8352,127930945,7526
25,6,7856,116409437,7150
25,7,10381,134159045,7783
26,2,5094,58998485,4666
26,3,5800,85359117,5249
26,1,5312,67907589,4828
26,4,6284,111389945,5768
26,5,6033,99885151,5465
26,6,5379,84730741,4947
26,7,6950,111186725,5508
27,2,7987,111425595,7392
27,1,7047,69595571,6308
27,3,9883,191224781,9017
27,5,8775,138472602,7817
27,4,8920,139793815,8085
27,6,8448,141009844,7637
27,7,10599,128990405,8140
28,2,6912,73700860,6324
28,1,6673,79727491,6134
28,3,8408,107760034,7929
28,5,6799,90214198,6361
28,4,8009,149580495,7454
28,6,6326,76847003,6097
28,7,7319,55764117,5919
29,2,8595,140651986,7760
29,1,8411,124304191,7853
29,3,10258,180062040,9569
29,5,8248,129599555,7586
29,4,8568,134625290,7913
29,6,9145,145560982,8279
29,7,10243,120665342,7793
30,2,6808,106219882,6342
30,3,7984,103173208,7392
30,1,5833,59675663,5396
30,5,6743,93505414,6217
30,4,6892,91046318,6351
30,6,7370,132674674,6953
30,7,7462,73832502,5912
31,2,7975,107201099,7180
31,1,7625,97358765,6933
31,3,9575,168578461,8820
31,5,8015,116749497,7297
31,4,9059,156263982,8333
31,6,7843,118758069,7173
31,7,10169,128449991,7671
32,2,5388,65298633,5148
32,3,7395,163152497,6614
32,1,5587,77815877,5070
32,5,4705,38894349,4293
32,4,5884,86268250,5431
32,6,5303,68362640,4907
32,7,6471,79447905,5077
33,2,9388,122981685,8592
33,3,11362,162209603,10398
33,1,8968,111385079,8339
33,5,9245,120929725,8466
33,4,8885,107545362,8263
33,6,9435,153419368,8881
33,7,10760,113722840,8309
34,2,5390,73399966,4934
34,3,7145,139025126,6478
34,1,5837,100019167,5486
34,5,5163,72326238,4668
34,4,6440,128928743,6121
34,6,4897,56802549,4615
34,7,6476,55519581,4830
35,2,9362,127036852,8634
35,3,11399,190577319,10419
35,1,8896,129292059,8185
35,5,8315,98791663,7645
35,4,9352,140921491,8807
35,6,8207,87070627,7645
35,7,10584,90387877,8082
36,2,4999,59939682,4534
36,3,7056,140374999,6381
36,1,6081,116816841,5954
36,5,6428,119487685,5912
36,4,6205,91684662,5682
36,6,5249,49946506,4902
36,7,6811,51374199,4995
37,2,8604,149299928,7846
37,3,10888,211150584,9805
37,1,7925,108146127,7115
37,5,9081,173666601,8351
37,4,8681,129087919,8236
37,6,7919,105450740,7407
37,7,10005,96499287,7543
38,2,6243,59844536,5717
38,3,7263,81067840,6687
38,1,6389,81419731,5914
38,5,6154,82454825,5725
38,4,6801,110351123,6395
38,6,6576,108302508,6220
38,7,7573,77839589,5863
39,2,8454,128612086,7469
39,3,9949,197507582,8953
39,1,7749,123678861,7050
39,5,8297,130900224,7473
39,4,8301,131052658,7602
39,6,7958,128000580,7301
39,7,10060,118336934,7704
40,2,5239,77525778,4691
40,3,6106,91731169,5547
40,1,5392,84925855,4905
40,4,5981,88965975,5732
40,5,4831,40048542,4401
40,6,5369,68361935,4966
40,7,6695,94536388,5218
41,2,9756,149719133,8837
41,3,10759,121290190,9722
41,1,9228,143519518,8611
41,5,9511,151404142,8801
41,4,8714,115347990,8060
41,6,8632,118133222,7885
41,7,11103,148874664,8797
42,2,5703,95089459,5256
42,3,5768,91083020,5232
42,1,5239,76746297,4833
42,4,5486,66742695,5068
42,5,6102,89246350,5544
42,6,5862,94110541,5372
42,7,6341,90081761,5134
43,2,8891,107969844,8093
43,3,10888,173601803,10042
43,1,8750,128716759,8033
43,5,9263,151208104,8440
43,4,9081,121632879,8375
43,6,9004,153651405,8421
43,7,10585,110262255,8363
44,2,6093,113384886,5715
44,3,6415,98868173,5797
44,1,5698,84578417,5223
44,5,5868,95043776,5336
44,4,5763,82128840,5280
44,7,6638,80648232,5143
44,6,5453,91418011,5068
45,2,8766,105614466,7955
45,3,10658,177466298,9774
45,1,8205,66266163,7425
45,5,9048,140825484,8402
45,4,9424,142506849,8756
45,6,8833,122190963,8118
45,7,10866,132306402,8688
46,2,5627,69403145,5098
46,3,6990,152682539,6602
46,1,5799,98725153,5268
46,5,5367,72543605,4880
46,4,5607,84226416,5443
46,7,6582,90401297,5113
46,6,5200,54051386,4767
47,2,8220,132125996,7467
47,3,10537,235387863,9803
47,5,8221,125133307,7602
47,1,7466,95152717,6772
47,4,8035,113464480,7333
47,6,7958,112708613,7635
47,7,9235,76368908,6920
48,2,6495,86560109,5909
48,3,7471,91199642,6918
48,5,6494,93472914,6046
48,1,6794,100422305,6423
48,4,6335,72140732,6030
48,6,5892,58159874,5628
48,7,7004,73521799,5575
49,2,7435,95764082,6752
49,3,9898,189258413,8970
49,5,8324,142745332,7786
49,1,7892,110079824,7181
49,4,8298,118962910,7441
49,6,8370,135674318,7655
49,7,9470,102648258,7192
50,2,8033,107741614,7536
50,3,9992,162322578,9282
50,5,7671,93025459,7134
50,1,7578,72684068,7072
50,4,7727,83707318,7168
50,6,7771,85021163,7307
50,7,10119,113245102,7783
51,2,6978,120560305,6331
51,3,8060,181406311,7605
51,5,6402,76582379,5815
51,1,7357,127666315,6796
51,4,6501,104182495,5919
51,6,6604,117038837,6195
51,7,6427,40845963,4738
52,2,7609,105502128,6823
52,3,9244,172567319,8605
52,5,8557,149976380,7759
52,1,7782,116003740,6995
52,4,8063,131795622,7467
52,6,8427,155297376,7925
52,7,8736,69434001,6553
53,2,5960,65768073,5514
53,3,7362,103008086,6790
53,5,6038,87355213,5638
53,4,7035,115263527,6620
