moment,node,recv_packets,send_bytes,send_packets
1,5,40,26402,48
1,3,61,28693,71
1,2,59,14559,63
1,4,66,19928,70
1,6,57,20914,59
1,1,36,18075,45
1,7,65,31331,66
2,5,11281,180344047,9957
2,3,3141,44495014,2533
2,2,75,155463,82
2,1,5834,398676,5396
2,4,14,4452,20
2,6,48,22191,53
2,7,15,4516,21
3,5,6969,450877674,9063
3,3,5937,132757930,4995
3,1,4588,271127219,5775
3,2,4978,337751,2900
3,4,4978,215300,2943
3,6,5002,362944,2789
3,7,5608,199463,2933
4,5,1185,209216,710
4,3,984,590028,657
4,1,137,47739,141
4,2,118,61610,115
4,4,89,25274,97
4,6,194,98102,193
4,7,101,25546,107
5,5,5564,2301702,2465
5,3,5631,2116288,2332
5,1,5122,1456608,3143
5,2,3474,977508,1929
5,6,3717,1516802,2079
5,4,6487,2272484,2841
5,7,4509,822548,2024
6,5,6310,224381674,4604
6,3,10297,208918020,7456
6,1,12976,80896625,8758
6,2,10651,128842328,7091
6,4,10399,224695580,7565
6,6,9487,209273168,6557
6,7,14350,208966520,8910
7,5,12329,13096017,11311
7,1,15462,14879460,14694
7,3,13547,13321873,12181
7,2,13003,11881654,11696
7,6,10080,24633157,9167
7,4,11195,9657284,9886
7,7,14339,11267343,12282
8,5,18990,56062487,20523
8,3,18735,36718761,20173
8,1,22724,28569360,24531
8,2,18962,27229272,20685
8,6,17231,83573837,18282
8,4,16917,47019553,17713
8,7,22960,50324371,22931
9,5,11142,103375044,11044
9,1,12229,54586248,11940
9,3,11185,82701397,10870
9,4,11168,127803569,10873
9,2,11062,97984438,11064
9,6,10832,100828871,10669
9,7,14510,102842189,12276
10,3,10432,110715775,10064
10,5,9679,72363098,9495
10,1,12238,65767164,12030
10,4,10204,93679130,9888
10,2,10017,93092656,10028
10,6,9604,77749518,9327
10,7,14276,89744057,11750
11,3,10282,102281650,9952
11,5,10617,133861716,10272
11,1,11561,63260551,11222
11,4,10095,118166532,9762
11,2,9835,85981747,9545
11,6,10155,106311935,9915
11,7,13530,96892266,10551
12,3,8832,94903999,8389
12,5,10157,119738145,9708
12,1,11994,85623733,11696
12,4,8383,67684311,7977
12,2,8859,78636605,8581
12,6,7956,56020114,7670
12,7,12260,78908223,9781
13,3,10409,144015198,9896
13,5,9848,98422259,9355
13,1,13235,128708124,12638
13,4,9664,100265195,9150
13,2,9612,87571437,9211
13,6,9408,81348071,8942
13,7,12958,51347555,9819
14,3,11419,120921526,10762
14,5,11261,136549737,10863
14,1,12642,107813044,12240
14,4,10838,104365817,10116
14,2,10929,79426372,10489
14,6,10606,107509834,10007
14,7,14324,49168640,11060
15,3,10668,126768577,9857
15,5,10194,120698013,9609
15,1,11278,59712819,10625
15,2,10326,122458067,9904
15,4,9971,128715718,9208
15,6,10195,113829340,9529
15,7,13124,59713386,9781
16,3,10041,103299111,9401
16,5,9766,92544334,9188
16,1,12808,108509119,12098
16,4,10628,128322788,9902
16,2,9941,69211898,9391
16,6,10031,83238661,9408
16,7,12873,62966353,10050
17,3,9820,131546907,9165
17,5,9466,101793723,8914
17,1,11172,75708463,10370
17,4,9549,106064579,8789
17,2,9487,85207136,9077
17,6,8575,69576442,8082
17,7,13265,111250841,10288
18,3,8475,86789936,7854
18,5,8476,81666583,7976
18,1,10085,60043965,9439
18,4,8246,107885468,7625
18,2,8937,76616740,8330
18,6,8072,82252040,7570
18,7,11209,110492947,8710
