moment,node,load5,load10,load15,procs
1,1,0.85,0.87,1.78,492
1,3,0.8,0.86,1.78,490
1,7,0.81,1.05,2.64,491
1,4,0.67,0.96,1.86,496
1,2,0.43,0.52,1.65,492
1,5,0.2,0.36,1.63,492
1,6,0.91,1.15,1.97,491
2,1,0.78,0.86,1.77,492
2,7,0.75,1.04,2.62,491
2,4,0.69,0.96,1.85,497
2,3,0.73,0.85,1.77,491
2,5,0.18,0.35,1.62,534
2,2,0.39,0.51,1.64,492
2,6,0.84,1.13,1.96,491
3,5,0.16,0.34,1.61,723
3,1,0.96,0.9,1.77,587
3,2,0.44,0.52,1.63,591
3,4,0.64,0.94,1.84,601
3,3,0.68,0.84,1.77,590
3,7,0.93,1.07,2.63,586
3,6,0.77,1.11,1.95,594
4,1,1.04,0.91,1.77,614
4,5,0.15,0.34,1.6,761
4,4,0.59,0.93,1.83,621
4,7,0.85,1.05,2.61,613
4,3,0.7,0.84,1.76,612
4,2,0.41,0.51,1.62,620
4,6,0.79,1.11,1.94,613
5,1,1.04,0.92,1.77,638
5,5,0.14,0.33,1.59,803
5,2,0.62,0.55,1.63,645
5,4,0.54,0.91,1.82,646
5,7,1.67,1.22,2.66,643
5,3,1.05,0.91,1.78,638
5,6,0.73,1.09,1.93,641
6,1,4.16,1.56,1.98,676
6,3,4.17,1.56,1.98,678
6,2,3.77,1.21,1.84,683
6,5,0.37,0.38,1.6,859
6,4,1.86,1.18,1.9,686
6,7,4.74,1.86,2.86,681
6,6,1.47,1.24,1.97,681
7,1,6.87,2.17,2.17,676
7,2,6.59,1.84,2.04,683
7,4,3.23,1.48,1.99,686
7,3,6.39,2.06,2.15,678
7,5,5.14,1.37,1.91,860
7,7,7.8,2.54,3.07,680
7,6,4.55,1.89,2.18,681
8,1,6.4,2.15,2.16,682
8,2,6.06,1.81,2.03,685
8,4,5.06,1.88,2.12,691
8,3,6.04,2.06,2.14,683
8,5,4.73,1.34,1.9,861
8,7,7.34,2.54,3.07,684
8,6,4.19,1.85,2.17,683
9,1,5.89,2.11,2.15,680
9,2,5.58,1.77,2.02,684
9,4,4.65,1.85,2.11,691
9,3,5.64,2.04,2.14,682
9,5,4.35,1.32,1.89,861
9,7,6.75,2.49,3.05,684
9,6,4.01,1.86,2.16,683
10,1,5.41,2.08,2.14,680
10,2,5.13,1.75,2,683
10,4,4.28,1.82,2.1,689
10,3,5.19,2.01,2.13,682
10,5,4,1.3,1.88,861
10,7,6.21,2.45,3.04,683
10,6,3.69,1.82,2.15,684
11,1,4.98,2.04,2.13,680
11,2,4.72,1.72,1.99,683
11,4,3.93,1.79,2.09,689
11,3,4.77,1.98,2.11,682
11,5,3.68,1.28,1.87,861
11,7,5.71,2.41,3.02,683
11,6,3.4,1.79,2.14,684
12,1,4.58,2.01,2.12,680
12,2,4.34,1.69,1.98,683
12,4,3.62,1.76,2.08,689
12,3,4.39,1.94,2.1,682
12,5,3.39,1.26,1.86,861
12,7,5.25,2.37,3,683
12,6,3.12,1.76,2.13,684
13,1,4.21,1.98,2.1,680
13,2,4.07,1.68,1.98,683
13,4,3.33,1.73,2.07,689
13,3,4.04,1.91,2.09,682
13,5,3.12,1.23,1.85,861
13,7,4.83,2.33,2.99,683
13,6,2.87,1.73,2.12,684
14,1,3.88,1.94,2.09,680
