moment,node,load5,load10,load15,procs
1,6,3.2,5.72,4.52,499
1,5,5.21,4.92,3.57,510
1,3,5.5,5.05,4.13,513
1,4,3.59,3.67,2.89,509
1,2,3.28,3.82,3.22,515
1,7,3.72,3.69,3.01,509
1,1,3.83,4.18,3.23,510
2,6,2.94,5.62,4.5,539
2,5,4.8,4.84,3.55,511
2,3,5.06,4.96,4.11,513
2,4,3.31,3.61,2.88,509
2,2,3.02,3.76,3.2,515
2,7,3.5,3.65,2.99,508
2,1,3.53,4.11,3.21,510
3,6,2.95,5.58,4.49,728
3,5,4.49,4.77,3.54,617
3,4,3.04,3.55,2.86,612
3,3,4.73,4.9,4.1,591
3,2,2.78,3.7,3.19,623
3,7,3.22,3.59,2.98,611
3,1,3.24,4.04,3.19,613
4,6,2.87,5.52,4.47,760
4,5,4.21,4.71,3.52,631
4,4,2.8,3.49,2.85,627
4,2,2.55,3.64,3.17,632
4,3,4.35,4.81,4.07,635
4,7,3.04,3.54,2.97,626
4,1,2.98,3.97,3.18,635
5,6,2.64,5.43,4.45,805
5,5,3.87,4.63,3.5,655
5,4,2.73,3.47,2.84,654
5,2,2.35,3.58,3.15,660
5,3,4.32,4.8,4.07,662
5,7,2.8,3.49,2.95,656
5,1,2.74,3.91,3.16,659
6,6,3.31,5.52,4.48,853
6,5,4.12,4.67,3.52,687
6,4,2.67,3.44,2.84,684
6,2,2.32,3.55,3.15,690
6,3,6.7,5.29,4.23,694
6,7,5.05,3.94,3.1,687
6,1,2.76,3.89,3.16,690
7,5,6.2,5.09,3.66,692
7,6,7.93,6.44,4.79,857
7,2,5.18,4.12,3.33,696
7,4,4.78,3.87,2.98,690
7,3,6.16,5.2,4.21,694
7,7,4.65,3.88,3.08,690
7,1,5.67,4.48,3.35,690
8,5,6.02,5.07,3.67,700
8,6,7.38,6.35,4.77,868
8,2,4.84,4.07,3.32,703
8,4,4.88,3.9,2.99,698
8,7,4.36,3.83,3.07,696
8,3,5.67,5.11,4.19,702
8,1,5.37,4.43,3.34,698
9,5,5.54,4.99,3.65,700
9,6,6.79,6.24,4.74,868
9,2,4.45,4,3.3,702
9,4,4.49,3.84,2.98,697
9,7,4.01,3.76,3.06,696
9,3,5.22,5.03,4.16,701
9,1,4.94,4.36,3.33,698
10,5,5.09,4.91,3.63,700
10,6,6.24,6.14,4.72,868
10,2,4.1,3.93,3.28,703
10,4,4.13,3.77,2.96,697
10,7,3.69,3.7,3.04,696
10,3,4.8,4.94,4.14,701
10,1,4.55,4.29,3.31,698
11,5,4.69,4.83,3.61,700
11,6,5.74,6.04,4.69,868
11,2,3.77,3.87,3.27,703
11,4,3.8,3.71,2.94,697
11,7,3.39,3.64,3.02,696
11,3,4.41,4.86,4.12,701
11,1,4.18,4.22,3.29,698
12,5,4.31,4.74,3.59,699
12,6,5.28,5.94,4.66,868
12,2,3.47,3.8,3.25,702
12,4,3.49,3.65,2.93,697
12,7,3.12,3.58,3.01,695
12,3,4.06,4.78,4.1,701
12,1,3.85,4.15,3.27,696
13,5,3.97,4.67,3.57,699
13,6,4.86,5.84,4.64,867
13,2,3.35,3.77,3.24,702
13,4,3.37,3.62,2.92,698
13,7,2.95,3.54,3,696
13,3,3.81,4.72,4.08,701
13,1,3.62,4.09,3.26,697
14,5,3.65,4.59,3.55,699
14,6,4.63,5.77,4.62,866
14,2,3.08,3.71,3.22,702
14,4,3.1,3.56,2.91,698
14,7,2.71,3.48,2.98,696
14,3,3.51,4.64,4.06,701
14,1,3.33,4.03,3.24,697
15,5,3.35,4.51,3.53,698
15,6,4.26,5.68,4.6,842
15,2,2.83,3.65,3.21,701
15,4,2.85,3.5,2.89,697
15,7,2.5,3.42,2.96,695
15,3,3.23,4.56,4.04,700
15,1,3.22,3.99,3.23,696
16,5,3.09,4.44,3.51,697
16,6,4,5.6,4.58,840
16,2,2.61,3.59,3.19,700
16,4,2.63,3.44,2.88,696
16,7,2.3,3.36,2.95,694
16,3,2.97,4.48,4.01,698
16,1,2.96,3.93,3.22,694
17,5,2.84,4.36,3.49,695
17,6,3.68,5.51,4.56,837
17,2,2.4,3.53,3.17,698
17,4,2.41,3.39,2.86,694
17,7,2.11,3.31,2.93,692
17,3,2.73,4.41,3.99,697
17,1,2.81,3.88,3.2,693
18,5,2.69,4.31,3.48,697
18,6,3.38,5.42,4.53,840
18,2,2.2,3.47,3.15,700
18,4,2.22,3.33,2.84,696
18,7,1.94,3.25,2.92,694
18,3,2.51,4.34,3.97,699
18,1,2.58,3.81,3.19,695
19,5,2.56,4.25,3.46,702
19,6,3.75,5.46,4.55,852
19,2,2.11,3.43,3.14,706
19,4,2.36,3.34,2.85,701
19,7,2.19,3.28,2.93,699
19,3,2.55,4.31,3.97,705
19,1,2.37,3.75,3.17,701
20,6,4.49,5.58,4.6,849
20,5,2.75,4.26,3.47,700
20,2,1.94,3.37,3.13,704
20,4,2.9,3.43,2.88,699
20,7,2.09,3.24,2.92,697
20,3,2.51,4.28,3.95,703
20,1,2.26,3.7,3.16,699
21,6,7.1,6.11,4.77,849
21,5,2.53,4.19,3.45,700
21,2,1.78,3.32,3.11,704
21,7,1.92,3.19,2.9,697
21,4,2.66,3.38,2.87,699
21,3,2.31,4.2,3.93,703
21,1,2.16,3.66,3.15,699
22,5,2.81,4.22,3.47,700
22,6,6.77,6.05,4.76,849
22,2,1.72,3.28,3.1,704
22,7,4.97,3.8,3.1,697
22,4,2.53,3.34,2.86,699
22,3,3.24,4.37,3.99,703
22,1,2.07,3.61,3.13,699
23,6,10.47,6.83,5.02,849
23,5,5.71,4.8,3.66,699
23,2,3.18,3.55,3.19,703
23,7,4.58,3.74,3.08,697
23,4,5.21,3.88,3.04,699
23,3,2.98,4.29,3.97,703
23,1,5.11,4.22,3.33,699
24,6,13.96,7.62,5.28,849
24,5,5.25,4.72,3.64,699
24,2,2.93,3.5,3.17,703
24,7,4.21,3.67,3.07,697
24,4,4.79,3.82,3.02,699
24,3,2.74,4.22,3.94,703
24,1,6.06,4.43,3.41,699
25,6,12.84,7.49,5.25,849
25,5,4.91,4.66,3.62,699
25,2,2.69,3.44,3.15,703
25,7,6.75,4.21,3.24,697
25,4,4.41,3.75,3,699
25,3,5.09,4.68,4.1,703
25,1,5.57,4.36,3.39,699
26,6,15.25,8.08,5.46,850
26,5,6.52,5,3.74,699
26,2,5.36,3.98,3.33,703
26,4,6.22,4.14,3.13,699
26,7,6.29,4.16,3.23,697
26,3,4.68,4.61,4.07,703
26,1,6.49,4.57,3.46,699
27,6,17.08,8.58,5.63,850
27,5,6,4.91,3.72,699
27,2,4.93,3.91,3.31,703
27,4,5.72,4.07,3.11,699
27,7,5.79,4.09,3.21,697
