moment,node,load5,load10,load15,procs
1,2,3.94,4.85,7.73,519
1,3,4.64,5.36,7.99,513
1,5,3.81,5.31,9.95,512
1,4,3.38,5.13,8.78,512
1,1,4.22,7.52,9.72,510
1,6,3.84,4.85,8.08,495
1,7,3.47,4.62,8.14,510
2,2,3.63,4.77,7.69,518
2,3,4.27,5.27,7.95,554
2,5,3.59,5.24,9.9,512
2,4,3.11,5.05,8.73,513
2,1,3.88,7.39,9.67,510
2,6,3.53,4.77,8.04,496
2,7,3.19,4.55,8.1,510
3,2,3.34,4.69,7.65,581
3,3,4.01,5.2,7.91,665
3,5,3.38,5.17,9.86,558
3,4,2.86,4.96,8.69,578
3,1,3.57,7.27,9.62,571
3,6,3.25,4.69,7.99,560
3,7,2.94,4.47,8.06,569
4,2,3.87,4.78,7.66,643
4,3,3.85,5.14,7.88,773
4,5,3.19,5.1,9.81,630
4,4,3.68,5.1,8.71,632
4,1,3.69,7.23,9.6,630
4,6,3.15,4.64,7.96,613
4,7,2.86,4.43,8.02,628
5,2,3.56,4.7,7.62,661
5,3,3.62,5.07,7.84,805
5,5,3.01,5.03,9.76,650
5,4,3.38,5.01,8.66,654
5,1,3.63,7.16,9.56,651
5,6,2.9,4.57,7.92,635
5,7,2.63,4.36,7.98,647
6,3,3.73,5.07,7.83,879
6,2,3.27,4.62,7.58,705
6,5,2.85,4.96,9.71,695
6,4,3.11,4.93,8.62,699
6,1,3.34,7.04,9.51,695
6,6,2.67,4.49,7.87,683
6,7,2.82,4.37,7.96,692
7,2,5.82,5.13,7.72,710
7,3,3.59,5.02,7.79,882
7,5,2.62,4.88,9.66,696
7,4,2.86,4.85,8.57,699
7,1,4.51,7.22,9.55,700
7,6,5.25,5,8.02,686
7,7,2.6,4.29,7.92,697
8,2,5.35,5.04,7.68,709
8,3,3.3,4.94,7.75,879
8,5,2.41,4.8,9.61,696
8,4,2.63,4.77,8.52,699
8,1,4.15,7.1,9.5,698
8,6,4.83,4.92,7.98,684
8,7,2.39,4.22,7.88,696
9,2,4.92,4.96,7.64,708
9,3,3.04,4.86,7.71,880
9,5,2.3,4.74,9.56,696
9,4,2.42,4.69,8.48,699
9,1,3.82,6.98,9.45,698
9,6,4.45,4.83,7.93,684
9,7,2.2,4.15,7.84,697
10,2,4.53,4.87,7.6,708
10,3,2.79,4.77,7.67,880
10,5,2.2,4.68,9.52,696
10,4,2.23,4.61,8.43,699
10,1,3.51,6.87,9.4,698
10,6,4.09,4.75,7.89,684
10,7,2.02,4.08,7.79,697
11,2,4.16,4.79,7.56,708
11,3,2.57,4.7,7.63,880
11,5,2.02,4.6,9.46,696
11,4,2.05,4.53,8.39,699
11,1,3.23,6.75,9.35,698
11,6,3.76,4.67,7.85,684
11,7,1.86,4.02,7.75,697
12,2,3.83,4.71,7.52,703
12,5,1.94,4.54,9.42,695
12,3,2.36,4.62,7.59,879
12,4,1.88,4.46,8.34,699
12,1,2.97,6.64,9.3,698
12,6,3.46,4.6,7.81,684
12,7,1.71,3.95,7.71,697
13,2,3.52,4.63,7.48,707
13,3,2.57,4.62,7.57,886
13,5,1.86,4.48,9.37,707
13,4,1.89,4.42,8.31,709
13,1,2.89,6.56,9.26,705
13,6,3.26,4.54,7.77,691
13,7,1.73,3.92,7.68,703
14,2,3.24,4.56,7.44,711
14,3,2.69,4.61,7.55,893
14,1,2.66,6.45,9.21,707
14,5,1.71,4.4,9.32,709
14,4,1.98,4.39,8.28,709
14,6,3.96,4.66,7.79,692
14,7,2.39,4.02,7.69,708
15,2,5.46,5,7.56,709
15,3,2.47,4.54,7.51,870
15,1,3.81,6.63,9.25,705
15,5,4.78,5,9.49,707
15,4,5.03,4.98,8.45,707
15,6,4.85,4.83,7.83,690
15,7,2.2,3.95,7.65,706
16,2,7.99,5.53,7.72,706
16,3,3.96,4.81,7.58,867
16,1,6.47,7.13,9.4,702
16,5,7.04,5.46,9.61,705
16,4,7.75,5.55,8.61,705
16,6,7.58,5.4,8,688
16,7,2.03,3.88,7.61,704
17,2,7.35,5.44,7.68,705
17,3,6.6,5.34,7.74,864
17,1,5.95,7.02,9.35,701
17,5,6.56,5.39,9.57,703
17,4,7.13,5.46,8.57,703
17,6,8.42,5.61,8.05,685
17,7,3.14,4.08,7.65,702
18,2,9.96,6.01,7.85,705
18,3,6.15,5.27,7.71,864
18,1,6.6,7.13,9.38,701
18,4,8.88,5.85,8.68,703
18,5,6.67,5.43,9.56,703
18,6,10.95,6.18,8.22,685
18,7,2.89,4.02,7.61,702
19,2,9.17,5.91,7.81,705
19,3,10.39,6.16,7.98,864
19,1,7.27,7.26,9.41,701
19,4,8.17,5.75,8.63,703
19,5,8.54,5.84,9.67,703
19,6,13.11,6.71,8.38,685
19,7,4.02,4.23,7.66,703
20,2,8.83,5.9,7.8,705
20,3,10.84,6.33,8.03,864
20,1,7.17,7.24,9.39,701
20,4,8.31,5.82,8.64,703
20,5,8.66,5.91,9.67,703
20,6,12.22,6.63,8.35,685
20,7,3.7,4.16,7.62,703
21,2,11.01,6.4,7.95,705
21,3,10.29,6.29,8,864
21,1,9.08,7.64,9.5,701
21,4,10.61,6.34,8.79,703
21,5,9.73,6.17,9.74,703
21,6,14.21,7.13,8.5,685
21,7,3.4,4.09,7.58,703
22,2,10.13,6.29,7.91,705
22,1,8.35,7.51,9.45,701
22,3,11.87,6.68,8.12,864
22,4,9.76,6.23,8.74,703
22,5,9.03,6.09,9.69,703
22,6,13.15,7.03,8.46,685
22,7,5.77,4.57,7.72,703
23,2,10.84,6.5,7.97,705
23,1,9.84,7.83,9.55,701
23,3,13.4,7.09,8.25,865
