moment,node,load5,load10,load15,procs
1,5,3.97,2.81,2.07,506
1,3,3.48,1.91,1.9,511
1,2,4.44,2.62,1.92,510
1,4,3.99,2.35,1.8,509
1,6,5.47,2.71,1.93,496
1,1,2.75,2.05,1.78,507
1,7,2.85,1.66,1.46,507
2,5,3.74,2.78,2.06,507
2,3,3.2,1.88,1.89,511
2,2,4.09,2.58,1.91,511
2,1,2.53,2.02,1.77,548
2,4,3.67,2.31,1.79,509
2,6,5.03,2.66,1.92,496
2,7,2.62,1.64,1.45,507
3,5,3.44,2.73,2.05,615
3,3,2.94,1.84,1.88,618
3,1,2.33,1.99,1.76,736
3,2,3.76,2.54,1.9,616
3,4,3.38,2.28,1.78,612
3,6,4.63,2.62,1.91,604
3,7,2.41,1.61,1.44,591
4,5,3.24,2.7,2.05,634
4,3,2.79,1.83,1.87,635
4,1,2.3,1.99,1.76,766
4,2,3.54,2.51,1.9,628
4,4,3.11,2.24,1.77,627
4,6,4.58,2.64,1.92,616
4,7,2.22,1.58,1.43,625
5,5,2.98,2.66,2.03,654
5,3,2.8,1.85,1.88,657
5,1,2.12,1.95,1.75,811
5,2,3.25,2.47,1.89,657
5,6,4.21,2.6,1.91,645
5,4,2.86,2.2,1.76,659
5,7,2.12,1.57,1.43,654
6,5,2.74,2.61,2.02,686
6,3,2.58,1.82,1.87,696
6,1,2.51,2.04,1.78,873
6,2,3.23,2.48,1.89,698
6,4,2.87,2.21,1.77,695
6,6,3.87,2.55,1.9,680
6,7,1.95,1.55,1.42,695
7,5,2.92,2.65,2.04,702
7,1,3.51,2.25,1.85,885
7,3,2.53,1.82,1.87,707
7,2,3.62,2.57,1.93,705
7,6,3.8,2.56,1.91,693
7,4,2.88,2.23,1.78,705
7,7,1.95,1.55,1.42,701
8,5,3.01,2.68,2.05,701
8,3,2.49,1.83,1.87,705
8,1,3.71,2.31,1.88,883
8,2,3.57,2.58,1.93,703
8,6,3.82,2.59,1.92,691
8,4,3.05,2.27,1.79,703
8,7,2.28,1.63,1.45,700
9,5,5.01,3.1,2.19,701
9,1,7.5,3.12,2.14,884
9,3,2.29,1.8,1.86,705
9,4,5.21,2.73,1.95,704
9,2,6.32,3.17,2.13,704
9,6,3.67,2.58,1.92,691
9,7,2.1,1.6,1.44,700
10,3,4.27,2.21,1.99,705
10,5,4.69,3.06,2.18,701
10,1,9.38,3.59,2.3,884
10,4,4.79,2.69,1.93,704
10,2,5.82,3.11,2.11,704
10,6,5.7,3.01,2.07,691
10,7,4.01,2.01,1.57,701
11,3,6.41,2.69,2.15,705
11,5,6,3.36,2.28,701
11,1,12.23,4.27,2.52,884
11,4,7.05,3.19,2.1,704
11,2,6.63,3.33,2.19,704
11,6,5.32,2.98,2.06,691
11,7,3.69,1.97,1.57,701
12,3,7.1,2.9,2.22,704
12,5,7.92,3.8,2.43,701
12,1,15.9,5.17,2.82,884
12,4,6.49,3.14,2.09,703
12,2,8.5,3.77,2.34,705
12,6,5.22,3,2.07,689
12,7,4.92,2.26,1.66,700
13,3,9.01,3.36,2.37,704
13,5,7.28,3.74,2.42,702
13,1,17.19,5.61,2.98,884
13,4,5.97,3.09,2.08,703
13,2,7.9,3.72,2.33,704
13,6,7.2,3.45,2.22,688
13,7,7.16,2.77,1.83,700
14,3,10.29,3.72,2.5,704
14,5,8.86,4.12,2.55,702
14,1,19.97,6.38,3.24,883
14,4,5.57,3.05,2.07,703
14,2,9.51,4.13,2.47,704
14,6,9.51,3.99,2.4,688
14,7,9.31,3.28,2,700
15,3,11.87,4.16,2.64,703
15,5,8.39,4.11,2.55,701
15,1,22.06,7.04,3.47,860
15,2,9.23,4.16,2.49,703
15,4,5.12,3,2.06,702
15,6,11.79,4.55,2.59,687
15,7,10.97,3.73,2.15,699
16,3,12.12,4.34,2.71,701
16,5,7.72,4.04,2.54,699
16,1,23.1,7.5,3.64,858
16,4,4.71,2.95,2.05,701
16,2,8.65,4.12,2.49,702
16,6,13.57,5.04,2.76,687
16,7,13.38,4.35,2.36,698
17,3,14.27,4.91,2.91,700
17,5,9.19,4.4,2.67,698
17,1,25.33,8.23,3.9,855
17,4,5.3,3.1,2.1,699
17,2,10.2,4.52,2.62,700
17,6,13.6,5.19,2.82,685
17,7,15.51,4.94,2.56,696
18,3,15.53,5.33,3.05,700
18,5,10.93,4.84,2.82,698
18,1,27.15,8.89,4.13,855
18,4,5.11,3.1,2.11,699
18,2,9.38,4.44,2.61,700
18,6,14.2,5.45,2.92,685
18,7,16.75,5.37,2.72,696
