moment,node,bytes_read,bytes_write,io_read,io_write,time_spent_read,time_spent_write
1,5,0,0,0,0,0,0
1,3,0,4096,0,1,0,0
1,2,0,207110144,0,25,0,0.0199999999895226
1,4,0,71757824,0,21,0,0.0119999999878928
1,7,0,116154368,0,23,0,0.0439999999911436
1,1,0,157470720,0,40,0,0.0199999999895226
1,6,0,107692032,0,27,0,0.0200000000186265
2,5,0,16384,0,2,0,0
2,2,0,26918912,0,212,0,6.54800000000978
2,3,0,1757184,0,50,0,0.13200000001234
2,4,0,73728,0,14,0,0.127999999999986
2,7,0,36864,0,2,0,0
2,1,0,32768,0,3,0,0.00399999999999068
2,6,0,12288,0,2,0,0.0120000000000005
3,3,0,53248,0,4,0,0.00799999998628209
3,7,0,44802048,0,401,0,17.9200000000221
3,5,0,134594560,0,1058,0,107.263999999996
3,2,0,87298048,0,706,0,79.9199999999925
3,1,0,204800,0,4,0,0.0120000000016205
3,4,0,344064,0,45,0,0
3,6,0,483328,0,64,0,0
4,3,0,183627776,0,1471,0,110.17200000002
4,5,0,55009280,0,443,0,21.3760000000077
4,1,0,59174912,0,455,0,17.7639999999956
4,7,0,60825600,0,469,0,24.1039999999921
4,2,0,178253824,0,1454,0,106.440000000002
4,4,0,175833088,0,1400,0,110.812000000005
4,6,0,194654208,0,1549,0,110.168000000004
5,3,0,242892800,0,613,0,38.4039999999809
5,7,0,186675200,0,84,0,5.7839999999851
5,5,0,14745600,0,119,0,11.551999999996
5,1,0,9568256,0,76,0,5.33200000000863
5,4,0,250548224,0,659,0,49.5919999999872
5,2,0,179204096,0,46,0,0.23199999998954
5,6,0,87134208,0,766,0,52.948000000004
6,3,0,122880,0,13,0,0.0160000000153673
6,7,0,86016,0,8,0,0.0960000000000036
6,5,0,179052544,0,34,0,0.0199999999895226
6,4,0,147456,0,10,0,0.00400000001536682
6,1,0,178823168,0,44,0,0.104000000004874
6,2,0,65536,0,10,0,0
6,6,0,143360,0,12,0,0.0319999999725269
7,7,0,45056,0,5,0,0
7,1,0,540672,0,62,0,0.0159999999878835
7,3,0,49152,0,5,0,0.00399999998626299
7,4,0,16384,0,3,0,0.00399999998626299
7,5,0,53248,0,5,0,0.00400000001536682
7,2,0,36864,0,3,0,0
7,6,0,49152,0,6,0,0.00400000001536682
8,7,0,24576,0,2,0,0
8,1,0,40960,0,4,0,0
8,3,0,12288,0,2,0,0.00400000001536682
8,5,0,12288,0,2,0,0.00399999998626299
8,4,0,4096,0,1,0,0
8,2,0,45056,0,4,0,0
8,6,0,4096,0,1,0,0
9,7,0,111599616,0,949,0,87.2920000000109
9,1,0,135544832,0,1060,0,112.53200000001
9,4,0,57344,0,5,0,0.0320000000000107
9,3,0,0,0,0,0,0
9,5,0,94208,0,7,0,0
9,6,0,77824,0,5,0,0.0240000000000009
9,2,0,131072,0,6,0,0.0159999999999911
10,7,0,135921664,0,1135,0,103.71599999999
10,1,0,178839552,0,1507,0,158.655999999988
10,3,0,94208,0,8,0,0.0919999999862569
10,4,0,147456,0,15,0,0.0720000000000027
10,5,0,179970048,0,1547,0,152.556000000011
10,2,0,593920,0,74,0,0
10,6,0,179515392,0,91,0,0.127999999989527
11,7,0,163840,0,5,0,0.00800000000162981
11,1,0,68235264,0,523,0,25.4040000000095
11,3,0,69488640,0,571,0,39.0840000000026
11,5,0,68427776,0,547,0,31.2239999999921
11,4,0,68534272,0,564,0,39.9200000000128
11,2,4096,68235264,1,530,0.032,20.1600000000019
11,6,0,102305792,0,790,0,72.948000000004
12,7,0,57344,0,3,0,0
12,3,0,126976,0,19,0,0.159999999999997
12,1,0,65536,0,8,0,0.0599999999862462
12,5,0,45056,0,4,0,0.00399999998626299
12,4,0,118784,0,5,0,0.00799999998625367
12,2,0,73728,0,11,0,0.00400000001536682
12,6,0,20480,0,2,0,0
13,7,0,0,0,0,0,0
13,1,0,32768,0,4,0,0
13,3,0,20480,0,2,0,0
13,5,0,16384,0,2,0,0
13,4,0,90112,0,4,0,0.00400000001536682
13,6,0,16384,0,2,0,0
13,2,0,57344,0,2,0,0
14,7,0,98304,0,4,0,0.0120000000169966
14,1,0,319488,0,22,0,0.0120000000016489
14,5,0,0,0,0,0,0
14,3,0,94208,0,3,0,0.0119999999878928
14,2,0,81920,0,3,0,0.00800000000162981
14,6,0,73728,0,4,0,0.00400000001536682
14,4,0,0,0,0,0,0
15,7,0,205070336,0,1579,0,184.123999999982
15,1,0,135168,0,6,0,0.00800000000162981
15,5,0,53248,0,3,0,0.00800000000000978
15,4,0,98304,0,5,0,0.0160000000016396
15,6,0,192512,0,6,0,0.0439999999878751
15,3,0,122880,0,4,0,0.00800000000162981
15,2,0,65536,0,4,0,0
16,7,4096,837455872,1,6407,0.152000000000001,901.528000000014
16,1,0,57344,0,11,0,0.107999999999976
16,5,0,65536,0,4,0,0.00400000001536682
16,2,0,151646208,0,1171,0,124.751999999979
16,3,0,148983808,0,1150,0,121.068000000027
16,6,0,73728,0,5,0,0.00800000000162981
16,4,0,132947968,0,1027,0,111.320000000007
17,7,0,16887808,0,140,0,22.1479999999865
17,1,0,118784,0,4,0,0.00800000000162981
17,5,0,141778944,0,1106,0,114.948000000004
17,4,0,754515968,0,5784,0,834.507999999998
17,2,0,637050880,0,4870,0,683.080000000011
17,3,0,835649536,0,6413,0,886.383999999998
17,6,0,119316480,0,938,0,89.2359999999946
18,7,0,61440,0,2,0,0.00800000000162981
18,1,0,151552,0,6,0,0.0120000000169966
18,5,0,121352192,0,935,0,93.3800000000047
18,4,0,65536,0,2,0,0.00399999998626299
18,3,0,159744,0,6,0,0.0119999999878928
18,2,0,110592,0,4,0,0.00800000000162981
18,6,0,803057664,0,6145,0,889.664000000019
19,7,0,77824,0,2,0,0.00800000000162981
19,1,0,127217664,0,977,0,106.831999999995
19,5,0,20480,0,2,0,0
19,4,0,73728,0,4,0,0.00800000000162981
19,3,0,16384,0,2,0,0
19,2,0,135168,0,12,0,0.00800000000162981
19,6,0,106496,0,2,0,0.00799999997252598
20,7,0,53248,0,2,0,0.00800000000162981
20,1,0,102400,0,9,0,0.00800000000162981
20,5,0,106496,0,4,0,0.00800000000162981
20,4,0,81920,0,2,0,0.00800000000162981
20,3,0,0,0,0,0,0
20,2,0,106496,0,3,0,0.0199999999895226
20,6,0,102400,0,4,0,0.00800000000162981
21,7,0,44515328,0,361,0,17.2040000000123
21,1,0,137408512,0,1050,0,115.084000000003
21,5,0,110592,0,4,0,0.00799999997252598
21,4,0,139264,0,7,0,0.0440000000016312
21,3,0,106496,0,2,0,0.0119999999878928
21,2,0,163840,0,6,0,0.0120000000169966
21,6,0,196608,0,6,0,0.0120000000169966
22,7,0,36818944,0,287,0,34.1679999999881
22,5,0,0,0,0,0,0
22,1,0,200704,0,15,0,0.00800000000162981
22,4,0,81920,0,6,0,0.00399999998626299
22,3,0,54599680,0,432,0,26.1440000000002
22,2,0,163840,0,13,0,0
22,6,0,184320,0,5,0,0.00800000000162981
23,7,0,21118976,0,163,0,5.10000000000582
23,5,0,289677312,0,2217,0,271.54800000001
23,1,0,797622272,0,6094,0,881.171999999991
23,4,0,374849536,0,2878,0,364.816000000021
23,3,0,132345856,0,1026,0,104.85600000001
23,2,0,159744,0,12,0,0.0359999999878937
23,6,0,212992,0,21,0,0.112000000001643
24,7,0,89460736,0,685,0,79.3280000000086
24,5,0,536829952,0,4121,0,556.095999999998
24,1,0,192512,0,14,0,0.0119999999878928
24,4,0,126676992,0,973,0,103.03999999999
24,3,4096,334602240,1,2558,0.108000000000001,296.456000000006
24,6,0,356352,0,27,0,0.00800000000162981
24,2,0,303693824,0,2339,0,293.388000000006
25,7,0,118714368,0,910,0,91.4439999999886
25,5,0,175411200,0,1347,0,149.483999999997
25,4,0,191664128,0,1469,0,179.247999999992
25,3,0,106496,0,4,0,0.00800000000162981
25,1,0,309800960,0,2371,0,302.988000000009
25,6,0,180158464,0,1380,0,153.387999999977
25,2,0,212836352,0,1628,0,188.423999999999
26,7,0,280489984,0,2147,0,265.016000000003
26,5,0,114688,0,4,0,0.00800000000162981
26,1,4096,118833152,1,912,0.103999999999999,75.3320000000086
26,4,0,168579072,0,1291,0,151.135999999999
26,3,0,129552384,0,992,0,101.055999999982
26,6,4096,707325952,1,5410,0.152000000000001,718.132000000012
26,2,0,440668160,0,3375,0,436.399999999994
