moment,node,bytes_read,bytes_write,io_read,io_write,time_spent_read,time_spent_write
1,3,0,135458816,0,11,0,0.0240000000024452
1,2,0,44511232,0,16,0,0.00799999999435386
1,5,0,40960,0,3,0,0
1,4,0,61440,0,5,0,0.0120000000000005
1,1,0,179757056,0,24,0,0.0599999999951706
1,6,0,0,0,0,0,0
1,7,0,68431872,0,20,0,0.0160000000032596
2,2,0,389120,0,57,0,0
2,3,0,40960,0,8,0,0
2,5,0,20480,0,2,0,0
2,4,0,44560384,0,384,0,17.4160000000047
2,1,0,0,0,0,0,0
2,6,0,3276800,0,73,0,0.49199999999837
2,7,0,45056,0,3,0,0
3,3,0,134561792,0,1075,0,106.792
3,2,0,134541312,0,1031,0,107.052000000003
3,5,0,12288,0,2,0,0
3,4,0,77824,0,4,0,0.0119999999951688
3,1,0,12288,0,2,0,0.0159999999999911
3,6,0,98304,0,4,0,0.0120000000024447
3,7,0,3559424,0,94,0,0.752000000000407
4,3,0,69672960,0,542,0,20.1840000000011
4,5,0,179904512,0,1467,0,116.228000000003
4,2,0,292548608,0,2365,0,229.576000000001
4,1,0,179822592,0,1454,0,119.876000000004
4,4,0,68546560,0,531,0,33.6640000000043
4,6,0,185597952,0,1516,0,125.312000000003
4,7,0,102703104,0,791,0,55.5239999999976
5,3,0,176128,0,7,0,0.0119999999951688
5,5,0,67780608,0,596,0,44.6679999999978
5,2,0,315392,0,9,0,0.0240000000016352
5,1,0,67584000,0,593,0,45.8199999999997
5,4,0,233472,0,19,0,0.29199999999517
5,6,0,62337024,0,565,0,35.1439999999953
5,7,0,196608,0,3,0,0.0120000000024447
6,3,0,114688,0,12,0,0.0360000000008114
6,5,0,36864,0,5,0,0.00799999999999557
6,2,0,57344,0,8,0,0.0119999999951688
6,1,0,212992,0,8,0,0.00800000000162981
6,4,0,32768,0,5,0,0
6,6,0,122880,0,7,0,0.00800000000162981
6,7,0,176128,0,30,0,0.335999999999999
7,3,0,73728,0,7,0,0.00800000000162981
7,5,0,155648,0,19,0,0.231999999999999
7,2,0,81920,0,10,0,0.00800000000162981
7,4,0,102400,0,8,0,0.0120000000000005
7,1,0,122880,0,11,0,0.0559999999999974
7,6,0,40960,0,7,0,0
7,7,0,73728,0,7,0,0
8,3,0,81920,0,4,0,0.00800000000162981
8,2,0,167936,0,18,0,0.00400000000081491
8,5,0,16384,0,2,0,0
8,1,0,98304,0,18,0,0.180000000000007
8,4,0,16384,0,2,0,0
8,6,0,53248,0,2,0,0
8,7,0,40960,0,3,0,0
9,3,0,0,0,0,0,0
9,5,0,45056,0,2,0,0.00400000000081491
9,2,0,569344,0,67,0,0
9,1,0,45056,0,2,0,0.00400000000081491
9,4,0,49152,0,3,0,0.00800000000162981
9,6,0,45056,0,2,0,0.00400000000081491
9,7,0,73728,0,4,0,0.00799999999435386
10,3,4096,213958656,1,1833,0.1,173.291999999997
10,5,0,172032,0,10,0,0.0559999999943557
10,4,0,179138560,0,1538,0,172.231999999997
10,2,0,282624,0,27,0,0.0120000000024447
10,1,0,94208,0,7,0,0.0160000000000053
10,6,0,68427776,0,552,0,40.0039999999965
10,7,0,179171328,0,1546,0,169.880000000004
11,3,0,34246656,0,268,0,10.1200000000026
11,1,0,68485120,0,564,0,40.2799999999964
11,5,0,68513792,0,566,0,37.3960000000006
11,2,0,68841472,0,538,0,38.7160000000003
11,4,0,68288512,0,528,0,38.8000000000029
11,6,0,135168,0,7,0,0.00800000000162981
11,7,0,102359040,0,792,0,72.1480000000026
12,3,0,77824,0,4,0,0.00800000000162981
12,1,0,90112,0,4,0,0.00800000000162981
12,2,0,86016,0,4,0,0.00799999999435386
12,5,0,40960,0,4,0,0.00400000000081491
12,4,0,81920,0,12,0,0.00400000000081491
12,6,0,139264,0,15,0,0.00800000000162981
12,7,0,102400,0,6,0,0.00799999999435386
13,3,0,110592,0,6,0,0.00799999999435386
13,1,0,143360,0,6,0,0.00800000000162981
13,2,0,0,0,0,0,0
13,5,0,90112,0,13,0,0
13,4,0,32768,0,4,0,0
13,6,0,0,0,0,0,0
13,7,0,110592,0,13,0,0.0120000000024447
14,3,0,114688,0,4,0,0.00800000000162981
14,1,0,16384,0,2,0,0.0120000000000005
14,5,0,110592,0,4,0,0.00800000000162981
14,2,0,12288,0,2,0,0.019999999999996
14,6,0,40960,0,2,0,0
14,4,0,106496,0,4,0,0.00800000000162981
14,7,0,94208,0,6,0,0.00800000000162981
15,3,0,0,0,0,0,0
15,2,0,147456,0,19,0,0.0360000000008114
15,1,0,90112,0,9,0,0.00799999999435386
15,5,0,114688,0,3,0,0.0120000000024447
15,4,0,131072,0,3,0,0.0159999999951737
15,6,0,122597376,0,938,0,94.0279999999984
15,7,0,65536,0,4,0,0.0119999999951688
16,3,0,139407360,0,1085,0,111.124000000002
16,2,0,139358208,0,1089,0,110.712
16,5,0,309272576,0,2367,0,292.699999999996
16,1,0,154619904,0,1184,0,137.388000000001
16,4,0,122880,0,6,0,0.0120000000000005
16,6,0,524673024,0,4021,0,572.380000000001
16,7,0,163840,0,5,0,0.0120000000024447
17,3,0,1055313920,0,8075,0,1227.732
17,2,0,598519808,0,4581,0,628.416000000005
17,1,4096,1217048576,1,9310,0.12,1389.58
17,4,0,274432,0,27,0,0.00800000000162981
17,5,0,0,0,0,0,0
17,6,0,402694144,0,3080,0,506.336000000003
17,7,0,115851264,0,915,0,88.7440000000002
18,3,0,139264,0,13,0,0.0120000000016347
18,2,0,114688,0,7,0,0.00799999999435386
18,4,0,24576,0,4,0,0.00400000000081491
18,5,0,16384,0,2,0,0.0279999999999916
18,1,245760,110313472,4,847,0.0080000000000009,133.68
18,6,0,65536,0,4,0,0.0119999999951688
18,7,0,1225043968,0,9366,0,1425.216
19,3,0,32768,0,4,0,0
19,2,0,81920,0,4,0,0.0240000000008109
19,4,0,714981376,0,5473,0,810.940000000002
19,1,0,102400,0,7,0,0
19,5,0,178044928,0,1374,0,151.743999999999
19,6,0,49152,0,9,0,0.00400000000081491
