moment,node,bytes_read,bytes_write,io_read,io_write,time_spent_read,time_spent_write
1,2,0,131072,0,5,0,0
1,4,0,90112,0,6,0,0
1,5,0,16384,0,2,0,0
1,3,0,210710528,0,41,0,0.0600000000040808
1,1,0,140513280,0,29,0,0.0240000000040794
1,6,0,44380160,0,6,0,0.00800000000162981
1,7,0,20480,0,2,0,0
2,2,0,143360,0,6,0,0.00400000000081491
2,5,0,179761152,0,361,0,16.4680000000008
2,4,0,134471680,0,1062,0,113.284
2,3,0,700416,0,69,0,0
2,1,0,135393280,0,10,0,0.0240000000016209
2,6,0,22134784,0,203,0,4.80800000000454
2,7,0,24150016,0,206,0,5.97599999999511
3,2,0,5165056,0,87,0,0.736000000004424
3,5,0,73728,0,4,0,0.0120000000016347
3,4,0,1196032,0,15,0,0.0160000000032596
3,3,0,106496,0,4,0,0.00799999999435386
3,1,0,113528832,0,971,0,91.3999999999942
3,6,0,112398336,0,861,0,102.727999999998
3,7,0,20381696,0,160,0,11.600000000005
4,2,0,68521984,0,529,0,25.403999999995
4,5,0,68620288,0,534,0,31.0759999999977
4,4,0,68513792,0,529,0,28.148000000001
4,1,0,174579712,0,1396,0,93.3000000000029
4,3,0,158633984,0,1259,0,99.2960000000013
4,6,0,69656576,0,542,0,20.1439999999953
4,7,0,68497408,0,529,0,20.8719999999949
5,2,0,139264,0,3,0,0.0120000000024447
5,5,0,172032,0,5,0,0.0120000000024447
5,4,0,184320,0,7,0,0.0199999999967986
5,1,0,180224,0,3,0,0.0199999999967986
5,3,0,88891392,0,764,0,63.7839999999997
5,6,0,155648,0,4,0,0.0120000000024447
5,7,0,225280,0,8,0,0.0160000000032596
6,2,0,946176,0,18,0,0.0640000000016272
6,5,0,995328,0,31,0,0.132000000001625
6,4,0,921600,0,15,0,0.0600000000024465
6,1,12288,1462272,3,33,0,0.144000000004894
6,3,0,1007616,0,17,0,0.0440000000016312
6,6,0,913408,0,13,0,0.00800000000162981
6,7,4096,950272,1,17,0,0.0799999999992451
7,2,0,630784,0,21,0,0.0479999999951701
7,5,0,929792,0,16,0,0.0159999999959837
7,4,0,1019904,0,26,0,0.115999999995168
7,1,0,520192,0,8,0,0.0119999999951688
7,3,0,909312,0,11,0,0.0120000000024447
7,6,0,966656,0,25,0,0.160000000002455
7,7,0,978944,0,28,0,0.172000000001631
8,2,0,901120,0,11,0,0.0120000000024447
8,5,0,745472,0,9,0,0.00800000000162981
8,4,0,880640,0,10,0,0.0280000000057044
8,1,0,1368064,0,16,0,0.0200000000040745
8,3,0,966656,0,33,0,0.311999999994342
8,6,0,532480,0,6,0,0.00800000000162981
8,7,0,884736,0,10,0,0.00800000000162981
9,5,0,1048576,0,34,0,0
9,4,0,1122304,0,44,0,0.0159999999959837
9,2,0,118415360,0,967,0,88.9320000000007
9,1,0,73728,0,5,0,0
9,3,0,913408,0,10,0,0.0120000000024447
9,6,0,0,0,0,0,0
9,7,0,733184,0,34,0,0
10,5,0,178987008,0,1517,0,162.408000000004
10,4,4096,178851840,1,1508,0.104,151.999999999999
10,2,4096,1346789376,1,10386,0.152,1511.64
10,1,0,2658304,0,92,0,0.220000000001164
10,3,0,1236992,0,31,0,0.00800000000162981
10,6,0,179978240,0,1550,0,145.163999999992
10,7,0,179228672,0,1512,0,164.283999999999
11,5,0,68272128,0,525,0,36.8279999999941
11,2,4096,1647022080,1,12588,0.172,2021.83199999999
11,4,0,68235264,0,526,0,40.6799999999995
11,1,0,102260736,0,786,0,72.2639999999956
11,3,0,68128768,0,523,0,36.9519999999975
11,6,0,68276224,0,526,0,20.4279999999999
11,7,0,68325376,0,530,0,24.9719999999991
12,5,0,36864,0,4,0,0.00400000000081491
12,4,0,20480,0,2,0,0.00400000000081491
12,2,0,73728,0,4,0,0.00800000000162981
12,1,0,40960,0,4,0,0.00400000000081491
12,3,0,36864,0,4,0,0.00400000000081491
12,6,0,40960,0,4,0,0.00400000000081491
12,7,0,49152,0,4,0,0.00400000000081491
13,5,0,303230976,0,2330,0,283.428000000005
13,4,0,811073536,0,6209,0,928.740000000002
13,2,0,151552,0,24,0,0.0920000000008088
13,1,0,90112,0,16,0,0.0319999999999965
13,3,4096,945528832,1,7225,0.112,1042.384
13,6,0,24576,0,6,0,0
13,7,0,970121216,0,7411,0,1126.04399999999
14,5,4096,791293952,1,6043,0.0959999999999996,853.743999999999
14,4,0,753860608,0,5761,0,941.059999999998
14,2,0,20480,0,2,0,0
14,1,4096,1761296384,1,13455,0.108,2070.568
14,3,0,159404032,0,1221,0,132.368000000005
14,6,4096,1957076992,1,14949,0.156,2272.564
14,7,0,599871488,0,4592,0,751.064000000003
15,5,0,873660416,0,6676,0,1087.36799999999
15,4,4096,1472368640,1,11245,0.112,1703.464
15,2,0,24576,0,4,0,0.00400000000081491
15,1,4096,651538432,1,4983,0.16,768.660000000003
15,3,4096,1259040768,1,9631,0.156,1500.71999999999
15,6,0,63766528,0,490,0,33.5760000000009
15,7,4096,1107361792,1,8458,0.1,1256.012
16,5,0,327680,0,26,0,0
16,4,0,36659200,0,309,0,49.5360000000001
16,2,0,49152,0,2,0,0.0160000000000053
16,1,0,270336,0,22,0,0.00800000000162981
16,3,0,143360,0,6,0,0.00400000000081491
16,6,0,570159104,0,4382,0,650.012000000001
16,7,0,651264,0,35,0,0.00400000000081491
17,5,0,28672,0,2,0,0
17,4,0,32768,0,4,0,0
17,2,0,245760,0,21,0,0
17,1,0,16384,0,2,0,0
17,3,0,188416,0,21,0,0
17,6,0,77824,0,4,0,0.00800000000162981
17,7,0,65536,0,9,0,0.0400000000000063
18,5,0,0,0,0,0,0
18,4,0,0,0,0,0,0
18,2,0,438272,0,9,0,0
18,1,0,4096,0,1,0,0
18,3,0,49152,0,2,0,0
18,6,0,0,0,0,0,0
18,7,0,57344,0,2,0,0
19,5,0,0,0,0,0,0
19,4,0,57344,0,6,0,0.019999999999996
19,2,0,86016,0,10,0,0.0280000000008158
19,1,0,475136,0,9,0,0
19,3,0,32768,0,4,0,0.00799999999999557
19,6,0,16384,0,2,0,0
19,7,0,0,0,0,0,0
20,5,0,32768,0,4,0,0.0320000000000107
20,4,0,49152,0,9,0,0
20,2,0,32768,0,5,0,0
20,1,0,86016,0,10,0,0.0519999999935408
20,3,0,20480,0,2,0,0
20,6,0,0,0,0,0,0
20,7,0,12288,0,2,0,0
21,5,0,20480,0,3,0,0
21,4,0,12288,0,2,0,0
21,1,0,90112,0,10,0,0.0160000000000053
21,2,0,45056,0,5,0,0.00400000000081491
21,6,0,73728,0,15,0,0.143999999999991
21,3,0,24576,0,2,0,0
21,7,0,12288,0,2,0,0
22,5,0,163840,0,10,0,0.0439999999999969
22,4,0,294912,0,11,0,0.0120000000024447
22,1,0,180224,0,7,0,0.0120000000016347
22,2,0,29536256,0,239,0,8.46399999999994
22,3,0,106496,0,12,0,0.0999999999999943
22,6,0,196608,0,10,0,0.0200000000024403
22,7,0,49152,0,2,0,0.0120000000000005
23,5,0,163840,0,3,0,0.00800000000162981
23,4,0,86347776,0,703,0,64.0400000000009
23,3,0,200704,0,7,0,0.0120000000024447
23,1,0,71802880,0,590,0,46.6680000000051
23,2,0,249856,0,8,0,0.0119999999951688
23,6,0,84307968,0,682,0,55.0959999999905
23,7,0,270336,0,19,0,0.0719999999943468
24,5,0,73981952,0,608,0,48.1040000000066
24,4,0,12288,0,2,0,0
24,1,0,12288,0,2,0,0
24,3,0,106921984,0,861,0,68.6959999999963
24,2,0,57344,0,2,0,0.00800000000162981
24,6,0,12288,0,2,0,0
24,7,0,90112,0,4,0,0.00800000000162981
25,5,0,28672,0,4,0,0.0240000000008109
25,4,0,73728,0,8,0,0.0160000000008154
25,1,0,36864,0,4,0,0.00399999999353895
25,3,0,69632,0,6,0,0.00400000000081491
25,2,0,102400,0,9,0,0.00400000000081491
25,6,0,12288,0,2,0,0
25,7,0,85164032,0,693,0,61.5279999999984
26,5,0,0,0,0,0,0
26,4,0,0,0,0,0,0
26,1,0,57344,0,5,0,0.0239999999999867
26,3,0,20480,0,2,0,0
26,2,0,0,0,0,0,0
26,6,0,20480,0,2,0,0.00400000000081491
26,7,0,12288,0,2,0,0
27,5,0,57344,0,10,0,0
