moment,node,bytes_read,bytes_write,io_read,io_write,time_spent_read,time_spent_write
1,5,0,167936,0,17,0,0.167999999999992
1,2,0,139264,0,6,0,0.00799999999981083
1,3,0,86016,0,5,0,0.019999999999996
1,1,0,340529152,0,192,0,4.36000000000097
1,4,0,77824,0,6,0,0
1,6,0,275804160,0,33,0,0.0240000000012515
1,7,0,141205504,0,86,0,0.0159999999996217
2,5,0,135168,0,6,0,0.00400000000081491
2,2,0,133447680,0,1065,0,105.824000000001
2,3,0,20480,0,2,0,0
2,1,0,802816,0,66,0,0
2,4,0,44670976,0,393,0,18.2480000000014
2,6,0,12369920,0,97,0,1.73199999999997
2,7,0,40960,0,3,0,0
3,5,0,117534720,0,1026,0,89.5959999999995
3,1,0,311296,0,7,0,0.0120000000006257
3,2,0,46624768,0,371,0,17.1399999999991
3,3,0,159744,0,8,0,0.00799999999981083
3,4,0,94208,0,9,0,0.0119999999988067
3,6,0,942080,0,59,0,0.0439999999998122
3,7,0,53248,0,2,0,0
4,5,0,130564096,0,1070,0,62.4040000000005
4,1,0,68415488,0,528,0,21.5679999999997
4,2,0,68546560,0,531,0,36.1200000000008
4,3,0,68562944,0,532,0,29.0760000000009
4,4,0,102666240,0,792,0,76.7360000000008
4,6,0,68530176,0,530,0,32.3159999999989
4,7,0,175149056,0,1396,0,97.9000000000015
5,1,0,983040,0,29,0,0.091999999999814
5,5,4096,999424,1,13,0,0.0239999999998162
5,3,0,1945600,0,68,0,0.0199999999998113
5,2,0,1024000,0,15,0,0.00799999999981083
5,4,4096,1413120,1,15,0,0.0319999999992433
5,6,0,1007616,0,14,0,0.0280000000006311
5,7,0,73043968,0,641,0,50.0159999999996
